map,hLevel,pure,bytes
lak103d,3,1,27008
WheelofWar,3,1,112083264
den504d,0,0,743984
brc101d,3,1,2138868
lak108d,0,0,9088
orz201d,3,0,20772
den020d,0,1,329188
orz107d,3,1,14172
rmtst,3,0,244680
den200d,0,0,1759368
den407d,0,1,97508
den504d,3,1,649820
lak105d,0,0,17720
brc200d,3,1,1458548
orz107d,0,0,20400
lak203d,3,0,102964
lak202d,3,1,194124
den312d,3,0,76320
lak507d,3,0,110348
den602d,3,0,1479604
den998d,0,1,235960
den009d,0,0,38092
lgt604d,3,1,733380
lgt601d,0,0,2965016
brc999d,0,0,967664
den408d,0,1,52428
orz303d,0,0,1197420
ost002d,0,0,708592
lak515d,3,1,50544
ost001d,0,1,2028564
ost102d,3,1,5084
den011d,0,1,2185904
brc501d,0,1,32745508
oth999d,0,0,44096
lak503d,0,1,3071200
brc203d,3,0,689888
den200n,3,1,793984
lak506d,3,1,567520
lak109d,0,1,19528
brc000d,0,0,3672760
brc504d,3,1,4611024
hrt201n,3,1,992760
orz100d,3,0,10267192
ost004d,3,1,108064
lak510d,0,1,2161220
hrt001d,0,0,166968
den101d,3,1,51604
den101d,0,0,55412
oth000d,0,0,739884
hrt201d,3,1,1624948
oth001d,3,1,841700
den207d,3,0,26508
lak102d,3,0,15844
AR0044SR,0,1,507123284
den200d,3,1,771268
lgt601d,0,1,11818588
orz203d,0,1,21108
den401d,0,0,550712
arena2,0,1,7168988
orz300d,3,1,15845032
den901d,3,1,302860
lak250d,3,0,883292
den600d,0,1,2058072
brc204d,0,0,1043264
den308d,0,0,127596
orz304d,3,0,172920
lak304d,3,1,957912
brc997d,0,1,7635032
lak510d,0,0,631232
isound1,0,1,568268
den501d,0,1,4950696
orz102d,0,1,85824
den200n,3,0,1839856
lak110d,3,1,3332
combat,0,0,3331424
lak100c,0,0,1675636
lak106d,0,1,278544
den901d,3,0,243180
brc999d,3,1,733120
brc503d,0,0,10134848
rmtst01,3,0,245132
oth000d,0,1,3698932
lak513d,0,0,3762640
lgt600d,3,1,1788596
combat2,3,1,2783960
den201d,0,1,57224
combat2,0,0,3281356
lgt101d,3,0,15212
lak507d,0,1,1400724
lak108d,3,1,6216
lak404d,3,1,585600
lak401d,3,0,1576424
brc505d,0,1,13287172
lak308d,3,0,514352
hrt002d,3,1,24704
brc101d,3,0,1472492
lak250d,0,1,944036
isound1,0,0,122900
lak511d,3,1,1921476
lgt605d,3,0,72740
den000d,3,0,5529768
den510d,3,0,4179368
lgt101d,0,1,34944
den500d,3,1,1397824
orz103d,3,0,1347428
den403d,0,1,371200
hrt201n,0,0,1023268
orz103d,3,1,1463712
ost000t,0,1,38033756
orz000d,0,1,922740
hrt002d,0,0,30508
lak503d,0,0,951288
arena,0,1,483584
lak107d,3,1,8272
orz301d,0,1,602548
den500d,3,0,1055324
den900d,0,1,971016
Aftershock,3,0,7550924
AR0700SR,3,1,37785988
den601d,3,1,897248
HotZone,0,1,132612916
AR0605SR,3,1,25361976
lak101d,3,0,7800
brc204d,3,1,892992
den204d,3,0,108116
WheelofWar,3,0,63370720
brc201d,0,1,4389968
lgt602d,0,0,2385252
lak203d,0,1,406324
den020d,3,0,97676
lak300d,3,1,421740
lak302d,0,0,818256
den308d,0,1,477556
orz304d,3,1,207072
rmtst01,0,1,1172892
HotZone,0,0,36491104
brc997d,0,0,4454876
lak102d,0,1,46732
den405d,3,0,25760
brc100d,0,1,7326560
brc200d,3,0,923832
lak519d,3,0,1228084
brc504d,3,0,2966880
den408d,3,0,14008
ost001d,0,0,596872
orz106d,0,1,35984
orz300d,0,0,12325844
hrt201d,3,0,1158504
den009d,0,1,125428
den505d,0,1,4946752
lak514d,3,0,2821692
lak514d,0,1,4757784
lak106d,0,0,74072
den203d,0,0,109116
den520d,3,0,1127256
lak401d,0,1,7594076
den601d,3,0,740476
lak504d,3,0,738184
orz704d,0,1,415744
lgt605d,0,1,645664
den204d,3,1,139040
lak200d,3,0,247860
den403d,3,0,121912
lak200d,0,1,1618844
lak512d,3,0,2777904
lak303d,3,1,844464
orz901d,3,0,1425592
den900d,0,0,226624
brc502d,3,0,188480
lak304d,0,0,940960
den405d,3,1,25512
den001d,0,0,554420
lgt604d,0,0,639904
orz000d,3,0,133872
orz105d,0,1,78592
lak526d,0,1,87584
brc100d,0,0,2209524
den510d,3,1,6840600
FireWalker,3,0,6444832
brc000d,3,1,3412188
orz704d,3,0,63800
lak101d,0,1,31340
ost000a,3,0,9662064
oth999d,0,1,352564
lak110d,0,0,5352
brc503d,3,1,12691488
ost003d,3,1,767192
den005d,0,1,2319988
orz102d,0,0,26496
den312d,3,1,80120
Aftershock,3,1,8914512
lak100d,0,0,2037392
den207d,3,1,30052
orz500d,3,0,5276232
den501d,0,0,1611744
orz999d,0,1,11400224
den011d,0,0,763396
DarkContinent,0,1,213805412
orz601d,0,1,192840
orz703d,0,0,24260816
den202d,0,1,67204
AR0605SR,0,0,22989200
lgt603d,3,1,1432688
lak303d,3,0,654832
arena2,3,0,1559980
lak100n,3,0,1380812
lgt603d,3,0,1210240
lak515d,0,0,74908
den000d,3,1,9735760
orz301d,3,0,148820
orz500d,0,1,5326096
brc505d,0,0,3845816
lak512d,3,1,1298924
hrt001d,3,1,149184
brc201d,0,0,3457624
lak504d,0,1,2624272
den404d,0,0,11324
lak104d,3,1,35460
orz100d,3,1,17271964
den202d,3,0,16972
lak107d,3,0,9800
orz203d,0,0,7360
ost102d,0,0,7648
den400d,0,1,11777860
lak201d,0,0,538836
combat,0,1,29661088
orz105d,3,0,17136
den602d,3,1,2000276
den998d,0,0,93864
rmtst,3,1,259324
orz601d,3,0,53920
lgt300d,3,1,2130516
lak505d,0,0,1215896
orz201d,3,1,19620
orz999d,3,0,1457524
orz302d,0,1,731728
den600d,0,0,604096
den001d,0,1,1880396
lak104d,3,0,30028
den201d,3,0,15160
lak513d,0,1,9940148
ost101d,0,0,125784
rmtst03,3,0,265324
orz200d,0,0,228920
brc300d,3,0,144876
hrt000d,0,1,60794992
ost000a,3,1,15865324
lak109d,3,0,7908
lak505d,3,1,1152028
lak100c,3,1,1643720
den505d,3,0,1028976
lgt300d,3,0,1484912
arena,3,0,62816
orz703d,0,1,27263604
orz901d,0,1,10084240
lgt602d,0,1,9618896
lak506d,0,0,617520
den203d,3,1,91188
lak308d,3,1,640788
lak202d,0,0,224736
orz106d,3,0,9432
lgt600d,3,0,1230804
den005d,3,0,610060
lak300d,3,0,390756
lak307d,3,1,122020
AR0700SR,3,0,20328444
DarkContinent,0,0,50619776
orz200d,0,1,688336
lak404d,3,0,501628
orz303d,3,1,1411324
FireWalker,3,1,8556724
lak105d,0,1,33224
den407d,0,0,32380
orz101d,0,1,219120
den502d,0,1,11138356
den401d,3,1,542364
orz302d,3,0,152032
ost003d,3,0,597928
den404d,0,1,26792
hrt000d,3,0,6833596
orz101d,0,0,76468
lak519d,3,1,1766800
lak526d,0,0,34108
lak100d,3,1,2033548
ost000t,0,0,11184888
den012d,0,0,1592980
den502d,0,0,3758364
lak100n,3,1,1798072
lak201d,3,1,471336
lak103d,0,0,31776
lak302d,0,1,2336868
den206d,0,0,229416
brc203d,3,1,854540
oth001d,3,0,1525320
brc300d,0,1,589312
lak511d,3,0,2093980
rmtst03,0,1,1199848
brc501d,3,0,6654540
ost004d,0,0,218744
den206d,0,1,723448
den400d,3,0,1773148
lak403d,3,1,1449280
AR0044SR,0,0,34829080
den012d,0,1,5792512
brc502d,0,1,1343020
lak403d,0,0,1925752
ost002d,0,1,2322544
den520d,0,1,7836544
ost101d,3,1,86940
lak307d,0,0,247884
lgt601d,3,0,2107416
brc999d,3,0,472344
den009d,3,0,30252
lgt604d,0,1,2771780
den011d,3,1,708780
brc501d,3,1,11747756
oth999d,3,0,37372
brc203d,0,0,924612
lak503d,3,1,876304
orz303d,3,0,980020
den408d,3,1,12164
ost002d,3,0,491656
ost001d,3,1,556468
lak515d,0,1,383040
ost102d,0,1,20456
orz201d,0,0,27448
den020d,3,1,104844
rmtst,0,0,337296
orz107d,0,1,66972
den200d,3,0,1584840
den407d,3,1,28864
den504d,0,1,2900544
lak105d,3,0,14716
WheelofWar,0,1,259183696
lak103d,0,1,62680
den504d,3,0,530900
lak108d,3,0,7288
brc101d,0,1,6754508
den312d,0,0,92868
lak507d,0,0,187972
den998d,3,1,99740
den602d,0,0,1807684
brc200d,0,1,3205408
orz107d,3,0,16292
lak202d,0,1,775228
lak203d,0,0,134488
orz304d,0,0,221092
lak304d,0,1,2679168
brc997d,3,1,1896924
lak510d,3,0,502276
isound1,3,1,62960
den401d,3,0,440608
orz203d,3,1,4484
arena2,3,1,2503784
orz300d,0,1,36647252
den901d,0,1,2380588
den600d,3,1,498088
lak250d,0,0,935132
brc204d,3,0,746664
den308d,3,0,95368
combat,3,0,1941324
lak106d,3,1,49996
lak100c,3,0,1303336
den501d,3,1,1852996
orz102d,3,1,22116
den200n,0,0,2042600
lak110d,0,1,10700
hrt201n,0,1,3073760
orz100d,0,0,13365984
lak510d,3,1,830928
ost004d,0,1,1352396
hrt001d,3,0,124752
den101d,0,1,131860
den101d,3,0,46212
lak506d,0,1,1801960
den200n,0,1,3054072
lak109d,3,1,6808
brc000d,3,0,2619168
brc504d,0,1,12549820
AR0044SR,3,1,14326552
den200d,0,1,2895912
lgt601d,3,1,3341940
oth000d,3,0,569940
hrt201d,0,1,3668044
oth001d,0,1,2578228
den207d,0,0,34236
lak102d,0,0,20344
lak503d,3,0,734108
arena,3,1,72680
lak107d,0,1,33784
lgt101d,3,1,17228
orz103d,0,0,1612856
den500d,0,1,5042856
den403d,3,1,186936
hrt201n,3,0,844456
orz103d,0,1,5165028
ost000t,3,1,13415656
orz000d,3,1,161340
hrt002d,3,0,24276
AR0605SR,0,1,179364140
lak101d,0,0,9676
brc204d,0,1,4218896
WheelofWar,0,0,71932120
den204d,0,0,173700
orz301d,3,1,180188
den500d,0,0,1364560
den900d,3,1,175036
Aftershock,0,0,14707596
AR0700SR,0,1,69008064
den601d,0,1,2910008
HotZone,3,1,54460028
lgt600d,0,1,6529692
combat2,0,1,29247420
den201d,3,1,15908
combat2,3,0,1933520
