map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
FireWalker,0,408,762,0,0,3,0
FireWalker,1,245,353,0,0,3,0
FireWalker,2,191,319,0,0,3,0
FireWalker,3,465,785,0,0,3,0
FireWalker,4,969,818,0,0,3,0
FireWalker,5,431,251,0,0,3,0
FireWalker,6,236,255,0,0,3,0
FireWalker,7,223,365,0,0,3,0
FireWalker,8,699,629,0,0,3,0
FireWalker,9,437,511,0,0,3,0
FireWalker,10,1590,1575,0,0,3,0
FireWalker,11,421,961,0,0,3,0
FireWalker,12,360,756,0,0,3,0
FireWalker,13,577,831,0,0,3,0
FireWalker,14,382,513,0,0,3,0
FireWalker,15,898,999,0,0,3,0
FireWalker,16,443,512,0,0,3,0
FireWalker,17,569,640,0,0,3,0
FireWalker,18,669,1105,0,0,3,0
FireWalker,19,1659,1936,0,0,3,0
FireWalker,20,1246,1083,0,0,3,0
FireWalker,21,666,741,0,0,3,0
FireWalker,22,911,595,0,0,3,0
FireWalker,23,1129,1251,0,0,3,0
FireWalker,24,787,678,0,0,3,0
FireWalker,25,1064,634,0,0,3,0
FireWalker,26,846,1180,0,0,3,0
FireWalker,27,966,1210,0,0,3,0
FireWalker,28,653,1220,0,0,3,0
FireWalker,29,933,1032,0,0,3,0
FireWalker,30,1913,2084,0,0,3,0
FireWalker,31,1750,982,0,0,3,0
FireWalker,32,813,767,0,0,3,0
FireWalker,33,1481,1493,0,0,3,0
FireWalker,34,1506,1718,0,0,3,0
FireWalker,35,1346,1664,0,0,3,0
FireWalker,36,1103,1231,0,0,3,0
FireWalker,37,1565,1948,0,0,3,0
FireWalker,38,954,1525,0,0,3,0
FireWalker,39,1502,1743,0,0,3,0
FireWalker,40,1134,1804,0,0,3,0
FireWalker,41,1077,1592,0,0,3,0
FireWalker,42,826,652,0,0,3,0
FireWalker,43,789,1132,0,0,3,0
FireWalker,44,1281,2081,0,0,3,0
FireWalker,45,896,1850,0,0,3,0
FireWalker,46,2051,764,0,0,3,0
FireWalker,47,684,1044,0,0,3,0
FireWalker,48,1243,1596,0,0,3,0
FireWalker,49,2166,951,0,0,3,0
FireWalker,50,2495,1153,0,0,3,0
FireWalker,51,1717,1397,0,0,3,0
FireWalker,52,2086,2586,0,0,3,0
FireWalker,53,2037,1708,0,0,3,0
FireWalker,54,2361,1799,0,0,3,0
FireWalker,55,926,1586,0,0,3,0
FireWalker,56,1281,1011,0,0,3,0
FireWalker,57,1197,1323,0,0,3,0
