map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
FireWalker,0,1178,1767,0,0,0,1
FireWalker,1,1035,1047,0,0,0,1
FireWalker,2,913,1216,0,0,0,1
FireWalker,3,1242,1965,0,0,0,1
FireWalker,4,1160,1218,0,0,0,1
FireWalker,5,846,840,0,0,0,1
FireWalker,6,850,945,0,0,0,1
FireWalker,7,738,894,0,0,0,1
FireWalker,8,1416,1601,0,0,0,1
FireWalker,9,979,1048,0,0,0,1
FireWalker,10,2223,2642,0,0,0,1
FireWalker,11,1705,2555,0,0,0,1
FireWalker,12,434,1260,0,0,0,1
FireWalker,13,1075,1997,0,0,0,1
FireWalker,14,1497,1626,0,0,0,1
FireWalker,15,1977,1644,0,0,0,1
FireWalker,16,1515,1373,0,0,0,1
FireWalker,17,1966,2205,0,0,0,1
FireWalker,18,1529,2794,0,0,0,1
FireWalker,19,1949,2194,0,0,0,1
FireWalker,20,2497,2825,0,0,0,1
FireWalker,21,2307,2576,0,0,0,1
FireWalker,22,1701,2891,0,0,0,1
FireWalker,23,1923,2908,0,0,0,1
FireWalker,24,1848,1705,0,0,0,1
FireWalker,25,2143,2044,0,0,0,1
FireWalker,26,1962,2271,0,0,0,1
FireWalker,27,1589,2132,0,0,0,1
FireWalker,28,2601,3747,0,0,0,1
FireWalker,29,2090,2749,0,0,0,1
FireWalker,30,3469,3770,0,0,0,1
FireWalker,31,2559,1610,0,0,0,1
FireWalker,32,2214,2045,0,0,0,1
FireWalker,33,2809,2997,0,0,0,1
FireWalker,34,2845,3159,0,0,0,1
FireWalker,35,4275,5055,0,0,0,1
FireWalker,36,3013,3139,0,0,0,1
FireWalker,37,2654,4179,0,0,0,1
FireWalker,38,2002,3420,0,0,0,1
FireWalker,39,1738,2691,0,0,0,1
FireWalker,40,3373,5199,0,0,0,1
FireWalker,41,3396,4047,0,0,0,1
FireWalker,42,3425,3139,0,0,0,1
FireWalker,43,2844,4552,0,0,0,1
FireWalker,44,4693,5864,0,0,0,1
