map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
HotZone,0,629,634,0,0,3,0
HotZone,1,642,621,0,0,3,0
HotZone,2,407,590,0,0,3,0
HotZone,3,384,502,0,0,3,0
HotZone,4,474,403,0,0,3,0
HotZone,5,322,334,0,0,3,0
HotZone,6,255,400,0,0,3,0
HotZone,7,379,431,0,0,3,0
HotZone,8,363,528,0,0,3,0
HotZone,9,169,244,0,0,3,0
HotZone,10,1033,1192,0,0,3,0
HotZone,11,537,463,0,0,3,0
HotZone,12,356,523,0,0,3,0
HotZone,13,411,356,0,0,3,0
HotZone,14,257,372,0,0,3,0
HotZone,15,266,346,0,0,3,0
HotZone,16,356,439,0,0,3,0
HotZone,17,1333,887,0,0,3,0
HotZone,18,270,293,0,0,3,0
HotZone,19,963,911,0,0,3,0
HotZone,20,1170,1205,0,0,3,0
HotZone,21,590,390,0,0,3,0
HotZone,22,545,761,0,0,3,0
HotZone,23,1032,914,0,0,3,0
HotZone,24,393,404,0,0,3,0
HotZone,25,1147,932,0,0,3,0
HotZone,26,842,933,0,0,3,0
HotZone,27,1376,1193,0,0,3,0
HotZone,28,764,1043,0,0,3,0
HotZone,29,601,501,0,0,3,0
HotZone,30,589,519,0,0,3,0
HotZone,31,556,571,0,0,3,0
HotZone,32,1818,1772,0,0,3,0
HotZone,33,989,1402,0,0,3,0
HotZone,34,533,514,0,0,3,0
HotZone,35,849,1038,0,0,3,0
HotZone,36,1261,944,0,0,3,0
HotZone,37,1687,1917,0,0,3,0
HotZone,38,416,464,0,0,3,0
HotZone,39,673,671,0,0,3,0
HotZone,40,609,601,0,0,3,0
HotZone,41,703,852,0,0,3,0
HotZone,42,1049,1449,0,0,3,0
HotZone,43,1486,1344,0,0,3,0
HotZone,44,1712,1465,0,0,3,0
HotZone,45,1036,1606,0,0,3,0
HotZone,46,1740,1804,0,0,3,0
HotZone,47,791,833,0,0,3,0
HotZone,48,870,823,0,0,3,0
HotZone,49,843,1415,0,0,3,0
HotZone,50,1005,1358,0,0,3,0
HotZone,51,3756,3231,0,0,3,0
HotZone,52,2880,2706,0,0,3,0
HotZone,53,1550,1373,0,0,3,0
HotZone,54,908,1766,0,0,3,0
HotZone,55,1431,1442,0,0,3,0
HotZone,56,689,572,0,0,3,0
HotZone,57,815,814,0,0,3,0
HotZone,58,2459,2568,0,0,3,0
HotZone,59,1368,1211,0,0,3,0
HotZone,60,1380,662,0,0,3,0
HotZone,61,1826,1123,0,0,3,0
HotZone,62,826,875,0,0,3,0
HotZone,63,1008,630,0,0,3,0
HotZone,64,836,929,0,0,3,0
HotZone,65,2593,2381,0,0,3,0
HotZone,66,1339,650,0,0,3,0
HotZone,67,989,1159,0,0,3,0
HotZone,68,1946,2012,0,0,3,0
HotZone,69,2303,2328,0,0,3,0
HotZone,70,1022,619,0,0,3,0
HotZone,71,1754,1388,0,0,3,0
HotZone,72,1425,889,0,0,3,0
HotZone,73,1004,783,0,0,3,0
HotZone,74,1879,1044,0,0,3,0
HotZone,75,1696,1002,0,0,3,0
HotZone,76,2667,2695,0,0,3,0
HotZone,77,2524,2472,0,0,3,0
HotZone,78,2074,1641,0,0,3,0
HotZone,79,1838,1961,0,0,3,0
HotZone,80,2324,1441,0,0,3,0
HotZone,81,1545,865,0,0,3,0
HotZone,82,5510,3443,0,0,3,0
HotZone,83,2884,1858,0,0,3,0
HotZone,84,919,566,0,0,3,0
HotZone,85,2818,1779,0,0,3,0
HotZone,86,2674,2489,0,0,3,0
HotZone,87,1013,957,0,0,3,0
HotZone,88,3000,3259,0,0,3,0
HotZone,89,1107,1340,0,0,3,0
HotZone,90,2729,1460,0,0,3,0
HotZone,91,1561,1147,0,0,3,0
HotZone,92,1726,909,0,0,3,0
HotZone,93,1261,739,0,0,3,0
HotZone,94,2292,1686,0,0,3,0
HotZone,95,2087,2098,0,0,3,0
HotZone,96,3182,2652,0,0,3,0
HotZone,97,3342,2934,0,0,3,0
HotZone,98,1679,915,0,0,3,0
HotZone,99,2513,1530,0,0,3,0
HotZone,100,3127,2760,0,0,3,0
HotZone,101,1896,776,0,0,3,0
HotZone,102,6360,2278,0,0,3,0
HotZone,103,5085,3340,0,0,3,0
HotZone,104,4929,3063,0,0,3,0
HotZone,105,4735,3067,0,0,3,0
HotZone,106,2569,2184,0,0,3,0
HotZone,107,1843,1382,0,0,3,0
HotZone,108,4164,2341,0,0,3,0
HotZone,109,2420,2003,0,0,3,0
HotZone,110,3904,2000,0,0,3,0
HotZone,111,3124,1685,0,0,3,0
HotZone,112,3466,2035,0,0,3,0
HotZone,113,5576,3847,0,0,3,0
HotZone,114,3515,3057,0,0,3,0
HotZone,115,4664,1583,0,0,3,0
HotZone,116,1316,638,0,0,3,0
HotZone,117,2007,1108,0,0,3,0
HotZone,118,3547,2068,0,0,3,0
HotZone,119,2909,2611,0,0,3,0
HotZone,120,4119,2871,0,0,3,0
HotZone,121,3441,1011,0,0,3,0
HotZone,122,5244,3808,0,0,3,0
HotZone,123,7499,4085,0,0,3,0
HotZone,124,4450,1927,0,0,3,0
HotZone,125,7293,4655,0,0,3,0
HotZone,126,2180,882,0,0,3,0
HotZone,127,2854,2096,0,0,3,0
HotZone,128,6088,3977,0,0,3,0
HotZone,129,2179,740,0,0,3,0
HotZone,130,2356,1210,0,0,3,0
HotZone,131,1524,825,0,0,3,0
HotZone,132,3142,986,0,0,3,0
HotZone,133,5087,2458,0,0,3,0
HotZone,134,3620,1964,0,0,3,0
HotZone,135,4686,3454,0,0,3,0
HotZone,136,1439,705,0,0,3,0
HotZone,137,4083,3271,0,0,3,0
HotZone,138,4455,3011,0,0,3,0
HotZone,139,5872,3404,0,0,3,0
HotZone,140,1879,1202,0,0,3,0
HotZone,141,2819,796,0,0,3,0
HotZone,142,6325,2483,0,0,3,0
HotZone,143,6147,2084,0,0,3,0
HotZone,144,6018,2296,0,0,3,0
HotZone,145,3498,3036,0,0,3,0
HotZone,146,5448,2136,0,0,3,0
HotZone,147,3913,2249,0,0,3,0
HotZone,148,5811,1963,0,0,3,0
HotZone,149,3297,2319,0,0,3,0
HotZone,150,6858,2842,0,0,3,0
HotZone,151,6155,2711,0,0,3,0
HotZone,152,4905,2778,0,0,3,0
HotZone,153,5774,3640,0,0,3,0
HotZone,154,4200,2363,0,0,3,0
HotZone,155,5817,2358,0,0,3,0
HotZone,156,4572,1117,0,0,3,0
HotZone,157,3964,2504,0,0,3,0
HotZone,158,4553,2518,0,0,3,0
HotZone,159,4547,2370,0,0,3,0
HotZone,160,3052,1308,0,0,3,0
HotZone,161,8137,4029,0,0,3,0
HotZone,162,6665,2855,0,0,3,0
HotZone,163,2406,1066,0,0,3,0
HotZone,164,2557,1758,0,0,3,0
HotZone,165,6973,4554,0,0,3,0
HotZone,166,3246,1823,0,0,3,0
HotZone,167,2951,927,0,0,3,0
HotZone,168,7300,3864,0,0,3,0
HotZone,169,6088,1841,0,0,3,0
HotZone,170,8177,3350,0,0,3,0
HotZone,171,6435,2783,0,0,3,0
HotZone,172,7842,4210,0,0,3,0
HotZone,173,1890,876,0,0,3,0
