map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
Turbo,0,333,1429,0,0,3,0
Turbo,1,602,1063,0,0,3,0
Turbo,2,703,1052,0,0,3,0
Turbo,3,859,870,0,0,3,0
Turbo,4,714,522,0,0,3,0
Turbo,5,413,531,0,0,3,0
Turbo,6,834,730,0,0,3,0
Turbo,7,732,779,0,0,3,0
Turbo,8,950,870,0,0,3,0
Turbo,9,671,738,0,0,3,0
Turbo,10,561,1396,0,0,3,0
Turbo,11,1070,1404,0,0,3,0
Turbo,12,612,883,0,0,3,0
Turbo,13,449,643,0,0,3,0
Turbo,14,846,791,0,0,3,0
Turbo,15,925,980,0,0,3,0
Turbo,16,857,1120,0,0,3,0
Turbo,17,824,770,0,0,3,0
Turbo,18,783,941,0,0,3,0
Turbo,19,1122,1006,0,0,3,0
Turbo,20,1474,1494,0,0,3,0
Turbo,21,1485,1547,0,0,3,0
Turbo,22,1031,1592,0,0,3,0
Turbo,23,2179,2757,0,0,3,0
Turbo,24,1352,1370,0,0,3,0
Turbo,25,597,1388,0,0,3,0
Turbo,26,1668,1873,0,0,3,0
Turbo,27,1539,1602,0,0,3,0
Turbo,28,1020,1854,0,0,3,0
Turbo,29,1414,1352,0,0,3,0
Turbo,30,2085,2093,0,0,3,0
Turbo,31,1576,2065,0,0,3,0
Turbo,32,853,1731,0,0,3,0
Turbo,33,1977,1885,0,0,3,0
Turbo,34,1124,931,0,0,3,0
Turbo,35,2347,1848,0,0,3,0
Turbo,36,2120,1846,0,0,3,0
Turbo,37,900,1186,0,0,3,0
Turbo,38,1762,2114,0,0,3,0
Turbo,39,1949,2108,0,0,3,0
Turbo,40,1811,2628,0,0,3,0
Turbo,41,2137,3087,0,0,3,0
Turbo,42,2600,2743,0,0,3,0
Turbo,43,1948,2064,0,0,3,0
Turbo,44,3130,3179,0,0,3,0
Turbo,45,2533,2578,0,0,3,0
Turbo,46,892,1235,0,0,3,0
Turbo,47,1653,1663,0,0,3,0
Turbo,48,2346,2112,0,0,3,0
Turbo,49,1493,1865,0,0,3,0
Turbo,50,2487,3092,0,0,3,0
Turbo,51,3294,3160,0,0,3,0
Turbo,52,1981,2029,0,0,3,0
Turbo,53,2587,1863,0,0,3,0
Turbo,54,1926,2023,0,0,3,0
Turbo,55,3959,3642,0,0,3,0
Turbo,56,2993,3524,0,0,3,0
Turbo,57,2663,1884,0,0,3,0
Turbo,58,2606,3198,0,0,3,0
Turbo,59,4380,4500,0,0,3,0
Turbo,60,3112,3488,0,0,3,0
Turbo,61,2622,1969,0,0,3,0
Turbo,62,4210,3789,0,0,3,0
Turbo,63,2743,2685,0,0,3,0
Turbo,64,3183,2969,0,0,3,0
Turbo,65,1445,1925,0,0,3,0
Turbo,66,2843,3754,0,0,3,0
Turbo,67,2659,2192,0,0,3,0
Turbo,68,2603,2603,0,0,3,0
Turbo,69,3015,3272,0,0,3,0
Turbo,70,2907,2872,0,0,3,0
Turbo,71,2425,2662,0,0,3,0
Turbo,72,3493,3181,0,0,3,0
Turbo,73,3054,1977,0,0,3,0
Turbo,74,2371,2032,0,0,3,0
Turbo,75,2492,1887,0,0,3,0
Turbo,76,5512,3856,0,0,3,0
Turbo,77,5633,4674,0,0,3,0
Turbo,78,2129,2839,0,0,3,0
Turbo,79,3823,1748,0,0,3,0
Turbo,80,2297,2535,0,0,3,0
Turbo,81,3188,1605,0,0,3,0
Turbo,82,3902,2713,0,0,3,0
Turbo,83,3429,2483,0,0,3,0
Turbo,84,3825,4440,0,0,3,0
Turbo,85,4114,3038,0,0,3,0
Turbo,86,3556,2811,0,0,3,0
Turbo,87,2787,3018,0,0,3,0
Turbo,88,2118,1792,0,0,3,0
Turbo,89,3574,2944,0,0,3,0
Turbo,90,3315,2743,0,0,3,0
Turbo,91,4106,3844,0,0,3,0
Turbo,92,2474,3650,0,0,3,0
Turbo,93,4486,2671,0,0,3,0
Turbo,94,5084,2313,0,0,3,0
Turbo,95,3498,2545,0,0,3,0
Turbo,96,3666,2965,0,0,3,0
Turbo,97,4620,3248,0,0,3,0
Turbo,98,4747,3252,0,0,3,0
Turbo,99,5443,4199,0,0,3,0
Turbo,100,7317,2896,0,0,3,0
Turbo,101,2836,2089,0,0,3,0
Turbo,102,3759,3153,0,0,3,0
Turbo,103,4758,3877,0,0,3,0
Turbo,104,4089,2288,0,0,3,0
Turbo,105,4269,3106,0,0,3,0
Turbo,106,3538,3381,0,0,3,0
Turbo,107,6406,4162,0,0,3,0
Turbo,108,2886,2636,0,0,3,0
Turbo,109,4302,3080,0,0,3,0
Turbo,110,7666,4094,0,0,3,0
Turbo,111,6591,3263,0,0,3,0
Turbo,112,5771,3115,0,0,3,0
Turbo,113,2657,2743,0,0,3,0
Turbo,114,4802,3237,0,0,3,0
Turbo,115,6047,3813,0,0,3,0
Turbo,116,6454,4138,0,0,3,0
Turbo,117,7243,5399,0,0,3,0
Turbo,118,3498,3736,0,0,3,0
Turbo,119,5427,2608,0,0,3,0
Turbo,120,6080,2918,0,0,3,0
Turbo,121,5488,3172,0,0,3,0
Turbo,122,6186,4044,0,0,3,0
Turbo,123,5278,3297,0,0,3,0
Turbo,124,2069,1210,0,0,3,0
Turbo,125,5753,3199,0,0,3,0
Turbo,126,4520,3064,0,0,3,0
Turbo,127,7661,5285,0,0,3,0
Turbo,128,5619,3265,0,0,3,0
Turbo,129,3357,3802,0,0,3,0
Turbo,130,5198,2229,0,0,3,0
Turbo,131,5011,2579,0,0,3,0
Turbo,132,3052,2273,0,0,3,0
Turbo,133,5879,3417,0,0,3,0
Turbo,134,7639,3459,0,0,3,0
Turbo,135,5201,2683,0,0,3,0
Turbo,136,8373,5161,0,0,3,0
Turbo,137,5384,3923,0,0,3,0
Turbo,138,6097,5060,0,0,3,0
Turbo,139,4561,1851,0,0,3,0
Turbo,140,4862,3581,0,0,3,0
Turbo,141,9570,5012,0,0,3,0
Turbo,142,7629,3573,0,0,3,0
Turbo,143,9508,4086,0,0,3,0
Turbo,144,9669,4319,0,0,3,0
Turbo,145,7026,4214,0,0,3,0
Turbo,146,9141,5625,0,0,3,0
Turbo,147,4750,2123,0,0,3,0
Turbo,148,6178,3329,0,0,3,0
Turbo,149,7709,3170,0,0,3,0
Turbo,150,7981,3764,0,0,3,0
Turbo,151,7885,4300,0,0,3,0
Turbo,152,6616,2850,0,0,3,0
Turbo,153,8402,4850,0,0,3,0
Turbo,154,7898,4747,0,0,3,0
Turbo,155,4732,2753,0,0,3,0
Turbo,156,11627,4755,0,0,3,0
Turbo,157,8662,3478,0,0,3,0
Turbo,158,8618,3605,0,0,3,0
Turbo,159,5789,3403,0,0,3,0
Turbo,160,5578,2098,0,0,3,0
Turbo,161,6578,3857,0,0,3,0
Turbo,162,6131,3711,0,0,3,0
Turbo,163,12873,4812,0,0,3,0
Turbo,164,8547,2822,0,0,3,0
Turbo,165,6799,4031,0,0,3,0
Turbo,166,5536,2713,0,0,3,0
Turbo,167,8426,4189,0,0,3,0
Turbo,168,7714,3944,0,0,3,0
Turbo,169,8661,2774,0,0,3,0
Turbo,170,5777,3818,0,0,3,0
Turbo,171,4929,1748,0,0,3,0
Turbo,172,9030,3122,0,0,3,0
Turbo,173,10581,4852,0,0,3,0
Turbo,174,5275,2516,0,0,3,0
Turbo,175,6983,3432,0,0,3,0
Turbo,176,11110,6540,0,0,3,0
Turbo,177,5561,1173,0,0,3,0
Turbo,178,9323,4294,0,0,3,0
Turbo,179,7387,4530,0,0,3,0
Turbo,180,8697,4497,0,0,3,0
Turbo,181,10068,5756,0,0,3,0
Turbo,182,7941,4694,0,0,3,0
Turbo,183,10283,2604,0,0,3,0
Turbo,184,9887,3613,0,0,3,0
Turbo,185,8638,3444,0,0,3,0
Turbo,186,9259,4618,0,0,3,0
Turbo,187,7726,5173,0,0,3,0
