map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
WheelofWar,0,1441,1427,0,0,0,1
WheelofWar,1,1456,1677,0,0,0,1
WheelofWar,2,1550,1512,0,0,0,1
WheelofWar,3,952,1596,0,0,0,1
WheelofWar,4,1561,1541,0,0,0,1
WheelofWar,5,1245,1798,0,0,0,1
WheelofWar,6,1078,1311,0,0,0,1
WheelofWar,7,1380,1669,0,0,0,1
WheelofWar,8,1367,1404,0,0,0,1
WheelofWar,9,1599,1333,0,0,0,1
WheelofWar,10,2826,3153,0,0,0,1
WheelofWar,11,2288,2522,0,0,0,1
WheelofWar,12,2547,2249,0,0,0,1
WheelofWar,13,2286,2512,0,0,0,1
WheelofWar,14,1788,2099,0,0,0,1
WheelofWar,15,1774,2349,0,0,0,1
WheelofWar,16,2505,3045,0,0,0,1
WheelofWar,17,1967,1699,0,0,0,1
WheelofWar,18,2763,2734,0,0,0,1
WheelofWar,19,1461,1820,0,0,0,1
WheelofWar,20,3519,4306,0,0,0,1
WheelofWar,21,4023,4964,0,0,0,1
WheelofWar,22,3526,4421,0,0,0,1
WheelofWar,23,3805,4593,0,0,0,1
WheelofWar,24,4022,4489,0,0,0,1
WheelofWar,25,4160,5088,0,0,0,1
WheelofWar,26,4455,3323,0,0,0,1
WheelofWar,27,2991,3416,0,0,0,1
WheelofWar,28,2849,2784,0,0,0,1
WheelofWar,29,3087,3632,0,0,0,1
WheelofWar,30,3681,4279,0,0,0,1
WheelofWar,31,5472,4677,0,0,0,1
WheelofWar,32,4316,5049,0,0,0,1
WheelofWar,33,3474,4408,0,0,0,1
WheelofWar,34,3209,1858,0,0,0,1
WheelofWar,35,4234,3604,0,0,0,1
WheelofWar,36,3532,3417,0,0,0,1
WheelofWar,37,4452,6098,0,0,0,1
WheelofWar,38,3786,5084,0,0,0,1
WheelofWar,39,3039,3331,0,0,0,1
WheelofWar,40,4015,4523,0,0,0,1
WheelofWar,41,4483,5873,0,0,0,1
WheelofWar,42,5099,4986,0,0,0,1
WheelofWar,43,4739,4374,0,0,0,1
WheelofWar,44,4947,5777,0,0,0,1
WheelofWar,45,5434,5991,0,0,0,1
WheelofWar,46,6073,5174,0,0,0,1
WheelofWar,47,7013,6394,0,0,0,1
WheelofWar,48,6457,7701,0,0,0,1
WheelofWar,49,4896,5050,0,0,0,1
WheelofWar,50,7195,6136,0,0,0,1
WheelofWar,51,6657,7234,0,0,0,1
WheelofWar,52,7564,8559,0,0,0,1
WheelofWar,53,6956,7941,0,0,0,1
WheelofWar,54,4943,6718,0,0,0,1
WheelofWar,55,9148,6375,0,0,0,1
WheelofWar,56,5697,6166,0,0,0,1
WheelofWar,57,4576,5340,0,0,0,1
WheelofWar,58,5812,5237,0,0,0,1
WheelofWar,59,5988,5483,0,0,0,1
WheelofWar,60,5038,4982,0,0,0,1
WheelofWar,61,5935,4800,0,0,0,1
WheelofWar,62,9257,5997,0,0,0,1
WheelofWar,63,5580,6740,0,0,0,1
WheelofWar,64,5290,4944,0,0,0,1
WheelofWar,65,6902,5598,0,0,0,1
WheelofWar,66,7377,5727,0,0,0,1
WheelofWar,67,8743,5130,0,0,0,1
WheelofWar,68,7524,7026,0,0,0,1
WheelofWar,69,7522,6167,0,0,0,1
WheelofWar,70,6702,5272,0,0,0,1
WheelofWar,71,5773,5294,0,0,0,1
WheelofWar,72,8320,7625,0,0,0,1
WheelofWar,73,6870,4718,0,0,0,1
WheelofWar,74,8542,4468,0,0,0,1
WheelofWar,75,10347,8628,0,0,0,1
WheelofWar,76,7301,5371,0,0,0,1
WheelofWar,77,6936,5391,0,0,0,1
WheelofWar,78,8463,6000,0,0,0,1
WheelofWar,79,7248,6315,0,0,0,1
WheelofWar,80,8553,8458,0,0,0,1
WheelofWar,81,7011,4320,0,0,0,1
WheelofWar,82,11307,6220,0,0,0,1
WheelofWar,83,8081,4432,0,0,0,1
WheelofWar,84,8623,6355,0,0,0,1
WheelofWar,85,5341,4966,0,0,0,1
WheelofWar,86,9502,5644,0,0,0,1
WheelofWar,87,7850,6670,0,0,0,1
WheelofWar,88,7008,5941,0,0,0,1
WheelofWar,89,6584,5074,0,0,0,1
WheelofWar,90,8837,6577,0,0,0,1
WheelofWar,91,8262,4930,0,0,0,1
WheelofWar,92,7609,5168,0,0,0,1
WheelofWar,93,8968,6308,0,0,0,1
WheelofWar,94,9681,4468,0,0,0,1
WheelofWar,95,9949,5254,0,0,0,1
WheelofWar,96,7902,5705,0,0,0,1
WheelofWar,97,9072,7073,0,0,0,1
WheelofWar,98,10521,6683,0,0,0,1
WheelofWar,99,8465,5270,0,0,0,1
WheelofWar,100,9725,7737,0,0,0,1
WheelofWar,101,8299,5120,0,0,0,1
WheelofWar,102,9514,4734,0,0,0,1
WheelofWar,103,9712,5271,0,0,0,1
WheelofWar,104,10047,7423,0,0,0,1
WheelofWar,105,10582,5767,0,0,0,1
WheelofWar,106,9032,6381,0,0,0,1
WheelofWar,107,10704,7291,0,0,0,1
WheelofWar,108,10426,5479,0,0,0,1
WheelofWar,109,8064,7139,0,0,0,1
WheelofWar,110,10194,6738,0,0,0,1
WheelofWar,111,10419,5937,0,0,0,1
WheelofWar,112,14201,7627,0,0,0,1
WheelofWar,113,11271,6574,0,0,0,1
WheelofWar,114,11907,7550,0,0,0,1
WheelofWar,115,11756,6789,0,0,0,1
WheelofWar,116,10427,5810,0,0,0,1
WheelofWar,117,8262,4306,0,0,0,1
WheelofWar,118,9987,6883,0,0,0,1
WheelofWar,119,11626,7703,0,0,0,1
WheelofWar,120,11105,5899,0,0,0,1
WheelofWar,121,12698,6798,0,0,0,1
WheelofWar,122,10658,5860,0,0,0,1
WheelofWar,123,10765,8225,0,0,0,1
WheelofWar,124,11521,5337,0,0,0,1
WheelofWar,125,9575,5526,0,0,0,1
WheelofWar,126,10710,5734,0,0,0,1
WheelofWar,127,10745,6948,0,0,0,1
WheelofWar,128,10722,6922,0,0,0,1
WheelofWar,129,11559,5643,0,0,0,1
WheelofWar,130,12682,5576,0,0,0,1
WheelofWar,131,13990,5460,0,0,0,1
WheelofWar,132,10622,6039,0,0,0,1
WheelofWar,133,10771,7180,0,0,0,1
WheelofWar,134,9041,3867,0,0,0,1
