map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
arena2,0,303,354,0,0,3,0
arena2,1,397,487,0,0,3,0
arena2,2,214,300,0,0,3,0
arena2,3,173,260,0,0,3,0
arena2,4,373,395,0,0,3,0
arena2,5,210,258,0,0,3,0
arena2,6,263,287,0,0,3,0
arena2,7,240,247,0,0,3,0
arena2,8,163,216,0,0,3,0
arena2,9,228,251,0,0,3,0
arena2,10,278,376,0,0,3,0
arena2,11,318,451,0,0,3,0
arena2,12,225,282,0,0,3,0
arena2,13,340,382,0,0,3,0
arena2,14,611,838,0,0,3,0
arena2,15,223,263,0,0,3,0
arena2,16,202,211,0,0,3,0
arena2,17,172,205,0,0,3,0
arena2,18,874,858,0,0,3,0
arena2,19,389,440,0,0,3,0
arena2,20,470,437,0,0,3,0
arena2,21,294,316,0,0,3,0
arena2,22,530,595,0,0,3,0
arena2,23,614,841,0,0,3,0
arena2,24,503,541,0,0,3,0
arena2,25,328,417,0,0,3,0
arena2,26,259,340,0,0,3,0
arena2,27,567,754,0,0,3,0
arena2,28,293,387,0,0,3,0
arena2,29,663,746,0,0,3,0
arena2,30,560,813,0,0,3,0
arena2,31,386,408,0,0,3,0
arena2,32,906,1017,0,0,3,0
arena2,33,576,661,0,0,3,0
arena2,34,457,602,0,0,3,0
arena2,35,804,1226,0,0,3,0
arena2,36,311,427,0,0,3,0
arena2,37,631,696,0,0,3,0
arena2,38,741,784,0,0,3,0
arena2,39,431,426,0,0,3,0
arena2,40,707,737,0,0,3,0
arena2,41,880,827,0,0,3,0
arena2,42,802,857,0,0,3,0
arena2,43,1085,1173,0,0,3,0
arena2,44,1406,1810,0,0,3,0
arena2,45,1167,1299,0,0,3,0
arena2,46,1192,1326,0,0,3,0
arena2,47,1363,1872,0,0,3,0
arena2,48,793,1031,0,0,3,0
arena2,49,1183,1338,0,0,3,0
arena2,50,936,883,0,0,3,0
arena2,51,1431,1741,0,0,3,0
arena2,52,1056,1305,0,0,3,0
arena2,53,1421,1483,0,0,3,0
arena2,54,1378,1629,0,0,3,0
arena2,55,1480,1783,0,0,3,0
arena2,56,1064,1015,0,0,3,0
arena2,57,1494,1303,0,0,3,0
arena2,58,1172,1411,0,0,3,0
arena2,59,1323,1638,0,0,3,0
arena2,60,1449,1473,0,0,3,0
arena2,61,1803,2165,0,0,3,0
arena2,62,1448,1530,0,0,3,0
arena2,63,1243,1162,0,0,3,0
arena2,64,1145,1059,0,0,3,0
arena2,65,1324,1467,0,0,3,0
arena2,66,1295,1228,0,0,3,0
arena2,67,1431,1526,0,0,3,0
arena2,68,1157,1082,0,0,3,0
arena2,69,1075,987,0,0,3,0
arena2,70,1450,1347,0,0,3,0
arena2,71,1341,980,0,0,3,0
arena2,72,1377,1565,0,0,3,0
arena2,73,985,981,0,0,3,0
arena2,74,1002,972,0,0,3,0
arena2,75,1423,1018,0,0,3,0
arena2,76,1485,1695,0,0,3,0
arena2,77,1582,1174,0,0,3,0
arena2,78,1291,1194,0,0,3,0
arena2,79,1370,1357,0,0,3,0
arena2,80,1205,993,0,0,3,0
arena2,81,2337,1806,0,0,3,0
arena2,82,1844,1781,0,0,3,0
arena2,83,1358,1020,0,0,3,0
arena2,84,1682,1641,0,0,3,0
arena2,85,1727,1718,0,0,3,0
arena2,86,2521,2246,0,0,3,0
arena2,87,1414,1424,0,0,3,0
arena2,88,2120,1757,0,0,3,0
arena2,89,1361,1066,0,0,3,0
arena2,90,1461,1036,0,0,3,0
arena2,91,1604,1133,0,0,3,0
arena2,92,1915,1302,0,0,3,0
arena2,93,1306,1115,0,0,3,0
arena2,94,1592,1710,0,0,3,0
arena2,95,1923,1728,0,0,3,0
arena2,96,1744,1353,0,0,3,0
arena2,97,1702,1199,0,0,3,0
arena2,98,1567,1221,0,0,3,0
arena2,99,1698,1162,0,0,3,0
arena2,100,1814,938,0,0,3,0
arena2,101,1720,1508,0,0,3,0
arena2,102,1715,963,0,0,3,0
arena2,103,2415,1349,0,0,3,0
arena2,104,3026,2619,0,0,3,0
arena2,105,2415,1324,0,0,3,0
arena2,106,1773,858,0,0,3,0
arena2,107,1669,786,0,0,3,0
arena2,108,1638,1089,0,0,3,0
arena2,109,2531,1831,0,0,3,0
arena2,110,1977,941,0,0,3,0
arena2,111,1807,761,0,0,3,0
arena2,112,2055,2023,0,0,3,0
arena2,113,1579,1264,0,0,3,0
arena2,114,2427,1795,0,0,3,0
arena2,115,2334,1728,0,0,3,0
arena2,116,2303,1560,0,0,3,0
arena2,117,2612,1542,0,0,3,0
arena2,118,2371,2171,0,0,3,0
arena2,119,2169,1470,0,0,3,0
arena2,120,1624,804,0,0,3,0
arena2,121,1244,738,0,0,3,0
arena2,122,1907,932,0,0,3,0
arena2,123,2217,2119,0,0,3,0
arena2,124,2038,1229,0,0,3,0
arena2,125,4085,2643,0,0,3,0
arena2,126,1644,762,0,0,3,0
arena2,127,946,447,0,0,3,0
arena2,128,2509,1008,0,0,3,0
arena2,129,1784,1025,0,0,3,0
arena2,130,1543,788,0,0,3,0
arena2,131,1560,825,0,0,3,0
arena2,132,1964,1669,0,0,3,0
arena2,133,2113,1042,0,0,3,0
arena2,134,3251,2278,0,0,3,0
arena2,135,2527,1023,0,0,3,0
arena2,136,2317,1018,0,0,3,0
arena2,137,3044,1795,0,0,3,0
arena2,138,3178,1296,0,0,3,0
arena2,139,2943,1368,0,0,3,0
arena2,140,1882,1001,0,0,3,0
arena2,141,1497,663,0,0,3,0
arena2,142,3420,1731,0,0,3,0
arena2,143,2742,1032,0,0,3,0
arena2,144,2883,1598,0,0,3,0
arena2,145,1725,719,0,0,3,0
arena2,146,3601,1096,0,0,3,0
arena2,147,2733,1555,0,0,3,0
arena2,148,2293,1026,0,0,3,0
arena2,149,2600,960,0,0,3,0
arena2,150,3054,1100,0,0,3,0
arena2,151,3434,1095,0,0,3,0
arena2,152,2440,812,0,0,3,0
arena2,153,4353,1956,0,0,3,0
arena2,154,2165,851,0,0,3,0
arena2,155,3784,1910,0,0,3,0
arena2,156,3447,2066,0,0,3,0
arena2,157,2622,1412,0,0,3,0
arena2,158,2174,1076,0,0,3,0
arena2,159,2192,678,0,0,3,0
arena2,160,5853,1626,0,0,3,0
arena2,161,2595,1057,0,0,3,0
arena2,162,1849,731,0,0,3,0
arena2,163,2800,1806,0,0,3,0
arena2,164,2554,723,0,0,3,0
arena2,165,2673,1125,0,0,3,0
arena2,166,2844,1439,0,0,3,0
arena2,167,1902,729,0,0,3,0
arena2,168,2348,1123,0,0,3,0
arena2,169,2559,1365,0,0,3,0
arena2,170,2389,764,0,0,3,0
arena2,171,3759,2244,0,0,3,0
arena2,172,2680,772,0,0,3,0
arena2,173,2773,1103,0,0,3,0
arena2,174,2229,796,0,0,3,0
arena2,175,2231,481,0,0,3,0
arena2,176,4870,2571,0,0,3,0
arena2,177,3402,1020,0,0,3,0
arena2,178,1997,784,0,0,3,0
arena2,179,2384,1192,0,0,3,0
arena2,180,2698,716,0,0,3,0
arena2,181,3764,2269,0,0,3,0
arena2,182,3047,912,0,0,3,0
arena2,183,2702,1041,0,0,3,0
arena2,184,3017,1295,0,0,3,0
arena2,185,3679,1717,0,0,3,0
arena2,186,2664,927,0,0,3,0
arena2,187,2541,951,0,0,3,0
arena2,188,3355,1215,0,0,3,0
arena2,189,2322,1173,0,0,3,0
arena2,190,2675,1523,0,0,3,0
arena2,191,3609,1529,0,0,3,0
arena2,192,2842,950,0,0,3,0
arena2,193,3143,759,0,0,3,0
arena2,194,4013,1719,0,0,3,0
arena2,195,3886,1515,0,0,3,0
arena2,196,4168,1872,0,0,3,0
arena2,197,3375,1315,0,0,3,0
arena2,198,5449,2509,0,0,3,0
arena2,199,3464,1494,0,0,3,0
arena2,200,2662,1220,0,0,3,0
arena2,201,3049,953,0,0,3,0
arena2,202,2798,1114,0,0,3,0
arena2,203,3544,840,0,0,3,0
arena2,204,2782,914,0,0,3,0
arena2,205,3295,1179,0,0,3,0
arena2,206,2539,606,0,0,3,0
arena2,207,2932,777,0,0,3,0
arena2,208,4234,1559,0,0,3,0
arena2,209,4492,2038,0,0,3,0
arena2,210,5122,1863,0,0,3,0
arena2,211,3753,1103,0,0,3,0
arena2,212,3570,1101,0,0,3,0
arena2,213,2918,1320,0,0,3,0
arena2,214,3327,733,0,0,3,0
arena2,215,3927,2172,0,0,3,0
arena2,216,3681,792,0,0,3,0
arena2,217,5376,2388,0,0,3,0
arena2,218,3992,1188,0,0,3,0
arena2,219,2839,795,0,0,3,0
arena2,220,3455,903,0,0,3,0
arena2,221,2992,894,0,0,3,0
arena2,222,3625,991,0,0,3,0
arena2,223,2669,774,0,0,3,0
arena2,224,2305,982,0,0,3,0
arena2,225,3865,863,0,0,3,0
arena2,226,3901,1511,0,0,3,0
arena2,227,2975,898,0,0,3,0
arena2,228,4736,1121,0,0,3,0
arena2,229,6555,1606,0,0,3,0
arena2,230,3623,910,0,0,3,0
arena2,231,2441,590,0,0,3,0
arena2,232,2477,660,0,0,3,0
arena2,233,3024,1141,0,0,3,0
arena2,234,5051,2593,0,0,3,0
arena2,235,4873,620,0,0,3,0
arena2,236,4519,585,0,0,3,0
arena2,237,4857,1602,0,0,3,0
arena2,238,4193,1629,0,0,3,0
arena2,239,3993,734,0,0,3,0
arena2,240,3868,1187,0,0,3,0
arena2,241,2623,797,0,0,3,0
arena2,242,5622,1803,0,0,3,0
arena2,243,5385,2013,0,0,3,0
arena2,244,4042,1311,0,0,3,0
