map,scenid,total-src,20move-src,distance,path_size,hLevel
brc000d,0,312,586,0,0,2
brc000d,1,286,396,0,0,2
brc000d,2,286,311,0,0,2
brc000d,3,272,611,0,0,2
brc000d,4,212,241,0,0,2
brc000d,5,266,447,0,0,2
brc000d,6,239,428,0,0,2
brc000d,7,276,283,0,0,2
brc000d,8,212,329,0,0,2
brc000d,9,202,271,0,0,2
brc000d,10,395,424,0,0,2
brc000d,11,310,599,0,0,2
brc000d,12,597,378,0,0,2
brc000d,13,191,191,0,0,2
brc000d,14,405,279,0,0,2
brc000d,15,335,451,0,0,2
brc000d,16,661,650,0,0,2
brc000d,17,147,144,0,0,2
brc000d,18,148,145,0,0,2
brc000d,19,429,650,0,0,2
brc000d,20,444,421,0,0,2
brc000d,21,404,357,0,0,2
brc000d,22,267,356,0,0,2
brc000d,23,385,418,0,0,2
brc000d,24,269,246,0,0,2
brc000d,25,941,724,0,0,2
brc000d,26,374,434,0,0,2
brc000d,27,1126,985,0,0,2
brc000d,28,1197,1166,0,0,2
brc000d,29,302,474,0,0,2
brc000d,30,565,559,0,0,2
brc000d,31,511,541,0,0,2
brc000d,32,1350,1704,0,0,2
brc000d,33,462,636,0,0,2
brc000d,34,1289,1593,0,0,2
brc000d,35,791,934,0,0,2
brc000d,36,433,326,0,0,2
brc000d,37,321,346,0,0,2
brc000d,38,1534,1155,0,0,2
brc000d,39,550,491,0,0,2
brc000d,40,1264,1287,0,0,2
brc000d,41,1821,1974,0,0,2
brc000d,42,1401,1412,0,0,2
brc000d,43,1246,1104,0,0,2
brc000d,44,1168,1179,0,0,2
brc000d,45,941,802,0,0,2
brc000d,46,560,458,0,0,2
brc000d,47,878,859,0,0,2
brc000d,48,1023,1183,0,0,2
brc000d,49,666,1016,0,0,2
brc000d,50,707,704,0,0,2
brc000d,51,2665,3317,0,0,2
brc000d,52,1087,1018,0,0,2
brc000d,53,1529,1410,0,0,2
brc000d,54,944,922,0,0,2
brc000d,55,2273,1892,0,0,2
brc000d,56,2345,2164,0,0,2
brc000d,57,1241,1493,0,0,2
brc000d,58,1890,2334,0,0,2
