map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
brc300d,0,182,174,0,0,0,0
brc300d,1,138,133,0,0,0,0
brc300d,2,121,123,0,0,0,0
brc300d,3,106,108,0,0,0,0
brc300d,4,161,170,0,0,0,0
brc300d,5,150,157,0,0,0,0
brc300d,6,127,128,0,0,0,0
brc300d,7,144,136,0,0,0,0
brc300d,8,116,112,0,0,0,0
brc300d,9,179,195,0,0,0,0
brc300d,10,268,294,0,0,0,0
brc300d,11,156,162,0,0,0,0
brc300d,12,200,215,0,0,0,0
brc300d,13,171,159,0,0,0,0
brc300d,14,207,204,0,0,0,0
brc300d,15,176,187,0,0,0,0
brc300d,16,156,176,0,0,0,0
brc300d,17,215,219,0,0,0,0
brc300d,18,148,152,0,0,0,0
brc300d,19,161,175,0,0,0,0
brc300d,20,274,277,0,0,0,0
brc300d,21,388,361,0,0,0,0
brc300d,22,192,217,0,0,0,0
brc300d,23,227,232,0,0,0,0
brc300d,24,330,336,0,0,0,0
brc300d,25,246,256,0,0,0,0
brc300d,26,215,228,0,0,0,0
brc300d,27,238,248,0,0,0,0
brc300d,28,271,277,0,0,0,0
brc300d,29,243,268,0,0,0,0
brc300d,30,403,402,0,0,0,0
brc300d,31,311,314,0,0,0,0
brc300d,32,314,317,0,0,0,0
brc300d,33,320,323,0,0,0,0
brc300d,34,290,301,0,0,0,0
brc300d,35,275,277,0,0,0,0
brc300d,36,314,330,0,0,0,0
brc300d,37,281,281,0,0,0,0
brc300d,38,453,460,0,0,0,0
brc300d,39,347,342,0,0,0,0
brc300d,40,337,351,0,0,0,0
brc300d,41,452,416,0,0,0,0
brc300d,42,440,426,0,0,0,0
brc300d,43,392,402,0,0,0,0
brc300d,44,355,364,0,0,0,0
brc300d,45,333,340,0,0,0,0
brc300d,46,356,358,0,0,0,0
brc300d,47,324,329,0,0,0,0
brc300d,48,487,476,0,0,0,0
brc300d,49,524,495,0,0,0,0
brc300d,50,549,444,0,0,0,0
brc300d,51,640,604,0,0,0,0
brc300d,52,497,433,0,0,0,0
brc300d,53,433,413,0,0,0,0
brc300d,54,641,595,0,0,0,0
brc300d,55,512,494,0,0,0,0
brc300d,56,482,416,0,0,0,0
brc300d,57,628,568,0,0,0,0
brc300d,58,450,424,0,0,0,0
brc300d,59,507,460,0,0,0,0
brc300d,60,631,554,0,0,0,0
brc300d,61,528,412,0,0,0,0
brc300d,62,598,527,0,0,0,0
brc300d,63,693,612,0,0,0,0
brc300d,64,588,526,0,0,0,0
brc300d,65,591,482,0,0,0,0
brc300d,66,648,562,0,0,0,0
brc300d,67,474,439,0,0,0,0
brc300d,68,525,481,0,0,0,0
brc300d,69,521,440,0,0,0,0
brc300d,70,794,566,0,0,0,0
brc300d,71,697,494,0,0,0,0
brc300d,72,700,506,0,0,0,0
brc300d,73,673,563,0,0,0,0
brc300d,74,615,477,0,0,0,0
brc300d,75,625,472,0,0,0,0
brc300d,76,552,447,0,0,0,0
brc300d,77,589,429,0,0,0,0
brc300d,78,684,480,0,0,0,0
brc300d,79,525,425,0,0,0,0
brc300d,80,699,446,0,0,0,0
brc300d,81,791,554,0,0,0,0
