map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
brc504d,0,160,216,0,0,0,1
brc504d,1,251,308,0,0,0,1
brc504d,2,299,320,0,0,0,1
brc504d,3,277,368,0,0,0,1
brc504d,4,169,217,0,0,0,1
brc504d,5,348,466,0,0,0,1
brc504d,6,179,179,0,0,0,1
brc504d,7,224,220,0,0,0,1
brc504d,8,231,353,0,0,0,1
brc504d,9,72,64,0,0,0,1
brc504d,10,505,724,0,0,0,1
brc504d,11,397,447,0,0,0,1
brc504d,12,554,640,0,0,0,1
brc504d,13,362,348,0,0,0,1
brc504d,14,495,759,0,0,0,1
brc504d,15,463,488,0,0,0,1
brc504d,16,497,672,0,0,0,1
brc504d,17,559,663,0,0,0,1
brc504d,18,706,963,0,0,0,1
brc504d,19,377,329,0,0,0,1
brc504d,20,643,740,0,0,0,1
brc504d,21,744,932,0,0,0,1
brc504d,22,920,1220,0,0,0,1
brc504d,23,573,681,0,0,0,1
brc504d,24,536,959,0,0,0,1
brc504d,25,490,533,0,0,0,1
brc504d,26,745,810,0,0,0,1
brc504d,27,852,1119,0,0,0,1
brc504d,28,815,1224,0,0,0,1
brc504d,29,611,912,0,0,0,1
brc504d,30,838,1492,0,0,0,1
brc504d,31,1079,1709,0,0,0,1
brc504d,32,755,781,0,0,0,1
brc504d,33,988,1356,0,0,0,1
brc504d,34,627,719,0,0,0,1
brc504d,35,606,655,0,0,0,1
brc504d,36,674,1103,0,0,0,1
brc504d,37,1053,1797,0,0,0,1
brc504d,38,1100,1572,0,0,0,1
brc504d,39,711,988,0,0,0,1
brc504d,40,1000,1076,0,0,0,1
brc504d,41,969,1353,0,0,0,1
brc504d,42,829,809,0,0,0,1
brc504d,43,1074,1642,0,0,0,1
brc504d,44,1202,1676,0,0,0,1
brc504d,45,1146,2212,0,0,0,1
brc504d,46,972,1158,0,0,0,1
brc504d,47,945,1004,0,0,0,1
brc504d,48,765,996,0,0,0,1
brc504d,49,990,1358,0,0,0,1
brc504d,50,1252,1643,0,0,0,1
brc504d,51,1048,1505,0,0,0,1
brc504d,52,1446,2230,0,0,0,1
brc504d,53,1410,1676,0,0,0,1
brc504d,54,1002,924,0,0,0,1
brc504d,55,1092,1482,0,0,0,1
brc504d,56,1316,1663,0,0,0,1
brc504d,57,1018,1435,0,0,0,1
brc504d,58,1673,1413,0,0,0,1
brc504d,59,1571,2231,0,0,0,1
brc504d,60,1416,1487,0,0,0,1
brc504d,61,1099,1253,0,0,0,1
brc504d,62,1235,1203,0,0,0,1
brc504d,63,1726,2587,0,0,0,1
brc504d,64,1797,2191,0,0,0,1
brc504d,65,1390,1710,0,0,0,1
brc504d,66,1973,1917,0,0,0,1
brc504d,67,1388,1925,0,0,0,1
brc504d,68,1326,2061,0,0,0,1
brc504d,69,1078,2128,0,0,0,1
brc504d,70,2276,1755,0,0,0,1
brc504d,71,1288,1629,0,0,0,1
brc504d,72,1586,1152,0,0,0,1
brc504d,73,1778,1445,0,0,0,1
brc504d,74,1524,1984,0,0,0,1
brc504d,75,1618,2634,0,0,0,1
brc504d,76,1384,2385,0,0,0,1
brc504d,77,1475,1532,0,0,0,1
brc504d,78,1833,1738,0,0,0,1
brc504d,79,1937,1584,0,0,0,1
brc504d,80,1797,1775,0,0,0,1
brc504d,81,2437,2111,0,0,0,1
brc504d,82,1606,1600,0,0,0,1
brc504d,83,1903,2379,0,0,0,1
brc504d,84,1771,2074,0,0,0,1
brc504d,85,2699,2387,0,0,0,1
brc504d,86,1504,1537,0,0,0,1
brc504d,87,1871,1648,0,0,0,1
brc504d,88,2243,2261,0,0,0,1
brc504d,89,1684,1696,0,0,0,1
brc504d,90,1818,1307,0,0,0,1
brc504d,91,2227,2053,0,0,0,1
brc504d,92,2162,1552,0,0,0,1
brc504d,93,2467,1422,0,0,0,1
brc504d,94,3143,2253,0,0,0,1
brc504d,95,1890,1706,0,0,0,1
brc504d,96,2185,1586,0,0,0,1
brc504d,97,2101,1501,0,0,0,1
brc504d,98,2036,2118,0,0,0,1
brc504d,99,1866,1510,0,0,0,1
brc504d,100,2303,1297,0,0,0,1
brc504d,101,2714,1375,0,0,0,1
brc504d,102,2256,1430,0,0,0,1
brc504d,103,2599,2400,0,0,0,1
brc504d,104,1951,1415,0,0,0,1
brc504d,105,2527,2075,0,0,0,1
brc504d,106,2302,1659,0,0,0,1
brc504d,107,2477,1483,0,0,0,1
brc504d,108,3125,2130,0,0,0,1
brc504d,109,3003,2097,0,0,0,1
brc504d,110,2879,2191,0,0,0,1
brc504d,111,1972,780,0,0,0,1
brc504d,112,2664,1963,0,0,0,1
