map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
combat,0,238,259,0,0,3,0
combat,1,170,155,0,0,3,0
combat,2,201,158,0,0,3,0
combat,3,114,113,0,0,3,0
combat,4,225,185,0,0,3,0
combat,5,234,165,0,0,3,0
combat,6,183,168,0,0,3,0
combat,7,199,234,0,0,3,0
combat,8,166,131,0,0,3,0
combat,9,145,153,0,0,3,0
combat,10,405,384,0,0,3,0
combat,11,228,253,0,0,3,0
combat,12,233,203,0,0,3,0
combat,13,248,281,0,0,3,0
combat,14,289,273,0,0,3,0
combat,15,219,252,0,0,3,0
combat,16,259,268,0,0,3,0
combat,17,246,200,0,0,3,0
combat,18,203,174,0,0,3,0
combat,19,262,217,0,0,3,0
combat,20,288,306,0,0,3,0
combat,21,302,310,0,0,3,0
combat,22,250,269,0,0,3,0
combat,23,273,272,0,0,3,0
combat,24,283,281,0,0,3,0
combat,25,301,308,0,0,3,0
combat,26,403,384,0,0,3,0
combat,27,364,360,0,0,3,0
combat,28,368,309,0,0,3,0
combat,29,300,248,0,0,3,0
combat,30,690,462,0,0,3,0
combat,31,473,468,0,0,3,0
combat,32,439,424,0,0,3,0
combat,33,440,424,0,0,3,0
combat,34,564,436,0,0,3,0
combat,35,459,384,0,0,3,0
combat,36,277,286,0,0,3,0
combat,37,411,374,0,0,3,0
combat,38,459,445,0,0,3,0
combat,39,462,410,0,0,3,0
combat,40,455,468,0,0,3,0
combat,41,501,486,0,0,3,0
combat,42,881,862,0,0,3,0
combat,43,492,418,0,0,3,0
combat,44,407,412,0,0,3,0
combat,45,574,549,0,0,3,0
combat,46,457,455,0,0,3,0
combat,47,552,519,0,0,3,0
combat,48,470,476,0,0,3,0
combat,49,487,461,0,0,3,0
combat,50,523,520,0,0,3,0
combat,51,475,461,0,0,3,0
combat,52,648,625,0,0,3,0
combat,53,746,666,0,0,3,0
combat,54,589,572,0,0,3,0
combat,55,850,791,0,0,3,0
combat,56,414,407,0,0,3,0
combat,57,453,462,0,0,3,0
combat,58,449,430,0,0,3,0
combat,59,417,427,0,0,3,0
combat,60,636,573,0,0,3,0
combat,61,662,574,0,0,3,0
combat,62,655,618,0,0,3,0
combat,63,719,616,0,0,3,0
combat,64,818,700,0,0,3,0
combat,65,993,816,0,0,3,0
combat,66,553,473,0,0,3,0
combat,67,1618,1361,0,0,3,0
combat,68,1100,948,0,0,3,0
combat,69,753,648,0,0,3,0
combat,70,583,514,0,0,3,0
combat,71,653,551,0,0,3,0
combat,72,1146,966,0,0,3,0
combat,73,827,725,0,0,3,0
combat,74,1150,910,0,0,3,0
combat,75,678,558,0,0,3,0
combat,76,565,484,0,0,3,0
combat,77,587,433,0,0,3,0
combat,78,506,420,0,0,3,0
combat,79,797,637,0,0,3,0
combat,80,654,519,0,0,3,0
combat,81,910,658,0,0,3,0
combat,82,569,418,0,0,3,0
combat,83,634,471,0,0,3,0
combat,84,661,499,0,0,3,0
combat,85,953,756,0,0,3,0
combat,86,783,587,0,0,3,0
combat,87,704,425,0,0,3,0
combat,88,642,431,0,0,3,0
combat,89,890,534,0,0,3,0
combat,90,750,560,0,0,3,0
combat,91,885,668,0,0,3,0
combat,92,787,487,0,0,3,0
combat,93,683,466,0,0,3,0
combat,94,714,504,0,0,3,0
combat,95,779,478,0,0,3,0
combat,96,761,511,0,0,3,0
combat,97,714,418,0,0,3,0
combat,98,615,411,0,0,3,0
combat,99,746,439,0,0,3,0
combat,100,889,547,0,0,3,0
combat,101,915,742,0,0,3,0
combat,102,1153,714,0,0,3,0
combat,103,1434,920,0,0,3,0
combat,104,1424,892,0,0,3,0
combat,105,877,563,0,0,3,0
combat,106,1034,689,0,0,3,0
combat,107,964,588,0,0,3,0
combat,108,732,498,0,0,3,0
combat,109,1273,822,0,0,3,0
combat,110,1711,875,0,0,3,0
combat,111,945,551,0,0,3,0
combat,112,877,452,0,0,3,0
combat,113,1454,946,0,0,3,0
combat,114,1162,700,0,0,3,0
combat,115,929,504,0,0,3,0
combat,116,1043,525,0,0,3,0
combat,117,1524,892,0,0,3,0
combat,118,1019,635,0,0,3,0
combat,119,1236,620,0,0,3,0
combat,120,915,501,0,0,3,0
combat,121,896,509,0,0,3,0
combat,122,1775,1009,0,0,3,0
combat,123,960,525,0,0,3,0
combat,124,1030,512,0,0,3,0
combat,125,1273,669,0,0,3,0
combat,126,827,479,0,0,3,0
combat,127,912,478,0,0,3,0
combat,128,1858,1093,0,0,3,0
combat,129,1120,519,0,0,3,0
combat,130,1131,493,0,0,3,0
combat,131,1123,545,0,0,3,0
combat,132,1763,1012,0,0,3,0
combat,133,2097,1071,0,0,3,0
combat,134,1207,543,0,0,3,0
combat,135,1131,583,0,0,3,0
combat,136,911,535,0,0,3,0
combat,137,866,454,0,0,3,0
combat,138,1786,1152,0,0,3,0
combat,139,1847,879,0,0,3,0
combat,140,1345,755,0,0,3,0
combat,141,1142,713,0,0,3,0
combat,142,1247,595,0,0,3,0
combat,143,1343,791,0,0,3,0
combat,144,1771,1052,0,0,3,0
combat,145,1811,902,0,0,3,0
combat,146,1214,627,0,0,3,0
combat,147,1003,491,0,0,3,0
combat,148,1602,727,0,0,3,0
combat,149,1193,571,0,0,3,0
combat,150,1217,553,0,0,3,0
combat,151,1267,522,0,0,3,0
combat,152,1552,662,0,0,3,0
combat,153,1082,570,0,0,3,0
combat,154,1096,499,0,0,3,0
combat,155,1318,563,0,0,3,0
combat,156,1796,902,0,0,3,0
combat,157,2235,1191,0,0,3,0
combat,158,1423,519,0,0,3,0
combat,159,1060,495,0,0,3,0
combat,160,1577,655,0,0,3,0
combat,161,1444,546,0,0,3,0
combat,162,1405,567,0,0,3,0
combat,163,1448,734,0,0,3,0
combat,164,1078,502,0,0,3,0
combat,165,1894,704,0,0,3,0
combat,166,2269,1128,0,0,3,0
combat,167,2401,720,0,0,3,0
combat,168,2758,1192,0,0,3,0
combat,169,1409,588,0,0,3,0
combat,170,1594,786,0,0,3,0
combat,171,1495,538,0,0,3,0
combat,172,2153,914,0,0,3,0
combat,173,1707,916,0,0,3,0
combat,174,2140,876,0,0,3,0
combat,175,3111,1283,0,0,3,0
combat,176,2194,760,0,0,3,0
combat,177,2025,878,0,0,3,0
combat,178,1820,624,0,0,3,0
combat,179,2277,746,0,0,3,0
combat,180,1804,550,0,0,3,0
combat,181,1813,561,0,0,3,0
combat,182,2007,815,0,0,3,0
combat,183,1638,649,0,0,3,0
combat,184,2694,1383,0,0,3,0
combat,185,2815,1339,0,0,3,0
combat,186,2450,1249,0,0,3,0
combat,187,1681,691,0,0,3,0
combat,188,2459,751,0,0,3,0
combat,189,2378,843,0,0,3,0
combat,190,1861,658,0,0,3,0
combat,191,1886,776,0,0,3,0
combat,192,2042,608,0,0,3,0
combat,193,1565,592,0,0,3,0
combat,194,1918,551,0,0,3,0
combat,195,1569,668,0,0,3,0
combat,196,2452,1235,0,0,3,0
combat,197,1908,601,0,0,3,0
combat,198,1616,785,0,0,3,0
combat,199,1732,526,0,0,3,0
combat,200,1903,566,0,0,3,0
combat,201,1497,511,0,0,3,0
combat,202,1459,524,0,0,3,0
combat,203,2735,1256,0,0,3,0
combat,204,2307,1128,0,0,3,0
combat,205,1854,601,0,0,3,0
combat,206,1919,595,0,0,3,0
combat,207,2031,796,0,0,3,0
combat,208,2458,899,0,0,3,0
combat,209,1716,635,0,0,3,0
combat,210,1731,500,0,0,3,0
combat,211,1823,507,0,0,3,0
combat,212,2046,660,0,0,3,0
combat,213,2347,832,0,0,3,0
combat,214,2127,823,0,0,3,0
combat,215,1516,522,0,0,3,0
combat,216,2297,1194,0,0,3,0
combat,217,1620,705,0,0,3,0
combat,218,1863,699,0,0,3,0
combat,219,1422,477,0,0,3,0
