map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
combat,0,343,280,0,0,3,1
combat,1,344,344,0,0,3,1
combat,2,273,207,0,0,3,1
combat,3,248,254,0,0,3,1
combat,4,275,237,0,0,3,1
combat,5,353,202,0,0,3,1
combat,6,249,230,0,0,3,1
combat,7,177,203,0,0,3,1
combat,8,513,500,0,0,3,1
combat,9,400,430,0,0,3,1
combat,10,401,493,0,0,3,1
combat,11,281,290,0,0,3,1
combat,12,257,257,0,0,3,1
combat,13,610,684,0,0,3,1
combat,14,393,340,0,0,3,1
combat,15,508,581,0,0,3,1
combat,16,581,571,0,0,3,1
combat,17,368,346,0,0,3,1
combat,18,459,458,0,0,3,1
combat,19,787,844,0,0,3,1
combat,20,447,464,0,0,3,1
combat,21,317,348,0,0,3,1
combat,22,522,638,0,0,3,1
combat,23,337,367,0,0,3,1
combat,24,311,366,0,0,3,1
combat,25,397,435,0,0,3,1
combat,26,588,646,0,0,3,1
combat,27,503,541,0,0,3,1
combat,28,479,407,0,0,3,1
combat,29,452,353,0,0,3,1
combat,30,612,670,0,0,3,1
combat,31,434,483,0,0,3,1
combat,32,554,775,0,0,3,1
combat,33,418,466,0,0,3,1
combat,34,1210,1085,0,0,3,1
combat,35,1202,1199,0,0,3,1
combat,36,610,612,0,0,3,1
combat,37,511,538,0,0,3,1
combat,38,595,587,0,0,3,1
combat,39,626,581,0,0,3,1
combat,40,697,737,0,0,3,1
combat,41,787,979,0,0,3,1
combat,42,956,1250,0,0,3,1
combat,43,714,743,0,0,3,1
combat,44,564,702,0,0,3,1
combat,45,643,885,0,0,3,1
combat,46,549,736,0,0,3,1
combat,47,1010,1177,0,0,3,1
combat,48,515,652,0,0,3,1
combat,49,898,884,0,0,3,1
combat,50,644,770,0,0,3,1
combat,51,1028,1102,0,0,3,1
combat,52,973,1045,0,0,3,1
combat,53,1360,1641,0,0,3,1
combat,54,642,815,0,0,3,1
combat,55,715,862,0,0,3,1
combat,56,495,630,0,0,3,1
combat,57,576,803,0,0,3,1
combat,58,589,662,0,0,3,1
combat,59,565,680,0,0,3,1
combat,60,731,865,0,0,3,1
combat,61,769,706,0,0,3,1
combat,62,859,835,0,0,3,1
