map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
combat2,0,217,177,0,0,3,0
combat2,1,157,138,0,0,3,0
combat2,2,193,187,0,0,3,0
combat2,3,157,144,0,0,3,0
combat2,4,157,125,0,0,3,0
combat2,5,251,225,0,0,3,0
combat2,6,165,148,0,0,3,0
combat2,7,182,160,0,0,3,0
combat2,8,150,143,0,0,3,0
combat2,9,146,153,0,0,3,0
combat2,10,411,414,0,0,3,0
combat2,11,370,401,0,0,3,0
combat2,12,202,219,0,0,3,0
combat2,13,279,268,0,0,3,0
combat2,14,396,463,0,0,3,0
combat2,15,314,289,0,0,3,0
combat2,16,280,277,0,0,3,0
combat2,17,283,294,0,0,3,0
combat2,18,273,207,0,0,3,0
combat2,19,249,250,0,0,3,0
combat2,20,508,479,0,0,3,0
combat2,21,391,435,0,0,3,0
combat2,22,391,361,0,0,3,0
combat2,23,273,315,0,0,3,0
combat2,24,328,331,0,0,3,0
combat2,25,377,350,0,0,3,0
combat2,26,329,311,0,0,3,0
combat2,27,231,210,0,0,3,0
combat2,28,313,326,0,0,3,0
combat2,29,227,259,0,0,3,0
combat2,30,514,493,0,0,3,0
combat2,31,468,453,0,0,3,0
combat2,32,308,309,0,0,3,0
combat2,33,582,596,0,0,3,0
combat2,34,417,438,0,0,3,0
combat2,35,563,562,0,0,3,0
combat2,36,587,524,0,0,3,0
combat2,37,382,373,0,0,3,0
combat2,38,285,275,0,0,3,0
combat2,39,377,386,0,0,3,0
combat2,40,659,557,0,0,3,0
combat2,41,471,453,0,0,3,0
combat2,42,689,773,0,0,3,0
combat2,43,989,889,0,0,3,0
combat2,44,537,531,0,0,3,0
combat2,45,664,660,0,0,3,0
combat2,46,472,457,0,0,3,0
combat2,47,830,847,0,0,3,0
combat2,48,560,473,0,0,3,0
combat2,49,490,480,0,0,3,0
combat2,50,566,554,0,0,3,0
combat2,51,585,563,0,0,3,0
combat2,52,560,534,0,0,3,0
combat2,53,461,433,0,0,3,0
combat2,54,504,488,0,0,3,0
combat2,55,633,583,0,0,3,0
combat2,56,656,624,0,0,3,0
combat2,57,505,456,0,0,3,0
combat2,58,773,668,0,0,3,0
combat2,59,520,506,0,0,3,0
combat2,60,549,559,0,0,3,0
combat2,61,1176,920,0,0,3,0
combat2,62,669,578,0,0,3,0
combat2,63,674,606,0,0,3,0
combat2,64,579,503,0,0,3,0
combat2,65,493,475,0,0,3,0
combat2,66,642,567,0,0,3,0
combat2,67,552,435,0,0,3,0
combat2,68,557,489,0,0,3,0
combat2,69,548,423,0,0,3,0
