map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
den005d,0,411,418,0,0,3,1
den005d,1,368,295,0,0,3,1
den005d,2,91,82,0,0,3,1
den005d,3,258,248,0,0,3,1
den005d,4,317,269,0,0,3,1
den005d,5,319,300,0,0,3,1
den005d,6,91,81,0,0,3,1
den005d,7,128,132,0,0,3,1
den005d,8,119,103,0,0,3,1
den005d,9,158,142,0,0,3,1
den005d,10,367,354,0,0,3,1
den005d,11,368,377,0,0,3,1
den005d,12,404,379,0,0,3,1
den005d,13,517,474,0,0,3,1
den005d,14,470,481,0,0,3,1
den005d,15,505,467,0,0,3,1
den005d,16,319,282,0,0,3,1
den005d,17,423,410,0,0,3,1
den005d,18,491,456,0,0,3,1
den005d,19,283,276,0,0,3,1
den005d,20,630,638,0,0,3,1
den005d,21,510,484,0,0,3,1
den005d,22,410,401,0,0,3,1
den005d,23,620,539,0,0,3,1
den005d,24,487,437,0,0,3,1
den005d,25,562,526,0,0,3,1
den005d,26,468,371,0,0,3,1
den005d,27,546,515,0,0,3,1
den005d,28,500,427,0,0,3,1
den005d,29,599,587,0,0,3,1
den005d,30,655,559,0,0,3,1
den005d,31,488,417,0,0,3,1
den005d,32,872,809,0,0,3,1
den005d,33,559,528,0,0,3,1
den005d,34,821,775,0,0,3,1
den005d,35,1109,1050,0,0,3,1
den005d,36,573,517,0,0,3,1
den005d,37,465,444,0,0,3,1
den005d,38,544,505,0,0,3,1
den005d,39,409,375,0,0,3,1
den005d,40,888,815,0,0,3,1
den005d,41,707,640,0,0,3,1
den005d,42,827,701,0,0,3,1
den005d,43,821,787,0,0,3,1
den005d,44,714,632,0,0,3,1
den005d,45,975,865,0,0,3,1
den005d,46,761,690,0,0,3,1
den005d,47,696,649,0,0,3,1
den005d,48,947,888,0,0,3,1
den005d,49,673,631,0,0,3,1
den005d,50,986,959,0,0,3,1
den005d,51,641,635,0,0,3,1
den005d,52,742,675,0,0,3,1
den005d,53,1133,1036,0,0,3,1
den005d,54,876,796,0,0,3,1
den005d,55,667,594,0,0,3,1
den005d,56,1403,1300,0,0,3,1
den005d,57,1035,1001,0,0,3,1
den005d,58,1094,933,0,0,3,1
den005d,59,857,777,0,0,3,1
den005d,60,1092,996,0,0,3,1
den005d,61,788,649,0,0,3,1
den005d,62,1185,993,0,0,3,1
den005d,63,889,749,0,0,3,1
den005d,64,1002,833,0,0,3,1
den005d,65,1005,822,0,0,3,1
den005d,66,1111,801,0,0,3,1
