map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
den009d,0,155,151,0,0,0,0
den009d,1,156,149,0,0,0,0
den009d,2,126,124,0,0,0,0
den009d,3,121,132,0,0,0,0
den009d,4,105,113,0,0,0,0
den009d,5,150,143,0,0,0,0
den009d,6,128,122,0,0,0,0
den009d,7,116,122,0,0,0,0
den009d,8,77,77,0,0,0,0
den009d,9,123,132,0,0,0,0
den009d,10,155,159,0,0,0,0
den009d,11,164,167,0,0,0,0
den009d,12,159,142,0,0,0,0
den009d,13,131,126,0,0,0,0
den009d,14,141,146,0,0,0,0
den009d,15,168,179,0,0,0,0
den009d,16,167,162,0,0,0,0
den009d,17,203,199,0,0,0,0
den009d,18,193,194,0,0,0,0
den009d,19,213,199,0,0,0,0
den009d,20,208,209,0,0,0,0
den009d,21,289,278,0,0,0,0
den009d,22,196,190,0,0,0,0
den009d,23,198,175,0,0,0,0
den009d,24,192,199,0,0,0,0
den009d,25,238,219,0,0,0,0
den009d,26,261,258,0,0,0,0
den009d,27,223,231,0,0,0,0
den009d,28,193,196,0,0,0,0
den009d,29,217,214,0,0,0,0
den009d,30,324,322,0,0,0,0
den009d,31,247,247,0,0,0,0
den009d,32,287,291,0,0,0,0
den009d,33,317,299,0,0,0,0
den009d,34,336,377,0,0,0,0
den009d,35,288,287,0,0,0,0
den009d,36,304,334,0,0,0,0
den009d,37,337,328,0,0,0,0
den009d,38,347,344,0,0,0,0
den009d,39,345,351,0,0,0,0
den009d,40,316,314,0,0,0,0
den009d,41,374,368,0,0,0,0
den009d,42,349,348,0,0,0,0
den009d,43,342,337,0,0,0,0
den009d,44,403,395,0,0,0,0
den009d,45,331,327,0,0,0,0
den009d,46,297,295,0,0,0,0
den009d,47,401,415,0,0,0,0
den009d,48,328,328,0,0,0,0
den009d,49,313,325,0,0,0,0
den009d,50,445,413,0,0,0,0
den009d,51,476,447,0,0,0,0
den009d,52,513,542,0,0,0,0
den009d,53,409,405,0,0,0,0
den009d,54,401,389,0,0,0,0
den009d,55,359,366,0,0,0,0
den009d,56,422,423,0,0,0,0
den009d,57,399,395,0,0,0,0
den009d,58,393,392,0,0,0,0
den009d,59,460,425,0,0,0,0
den009d,60,494,454,0,0,0,0
den009d,61,495,451,0,0,0,0
den009d,62,473,468,0,0,0,0
den009d,63,451,427,0,0,0,0
den009d,64,493,436,0,0,0,0
den009d,65,484,430,0,0,0,0
den009d,66,442,415,0,0,0,0
den009d,67,472,423,0,0,0,0
den009d,68,412,399,0,0,0,0
den009d,69,429,418,0,0,0,0
den009d,70,507,450,0,0,0,0
den009d,71,485,454,0,0,0,0
den009d,72,475,421,0,0,0,0
den009d,73,510,432,0,0,0,0
den009d,74,482,384,0,0,0,0
den009d,75,479,406,0,0,0,0
den009d,76,510,419,0,0,0,0
den009d,77,525,407,0,0,0,0
den009d,78,471,403,0,0,0,0
den009d,79,482,398,0,0,0,0
den009d,80,528,415,0,0,0,0
den009d,81,578,434,0,0,0,0
den009d,82,513,401,0,0,0,0
den009d,83,551,473,0,0,0,0
den009d,84,533,405,0,0,0,0
den009d,85,583,444,0,0,0,0
den009d,86,590,458,0,0,0,0
den009d,87,530,407,0,0,0,0
den009d,88,546,428,0,0,0,0
den009d,89,572,446,0,0,0,0
den009d,90,607,433,0,0,0,0
den009d,91,600,445,0,0,0,0
den009d,92,637,427,0,0,0,0
den009d,93,574,400,0,0,0,0
den009d,94,584,422,0,0,0,0
den009d,95,636,418,0,0,0,0
den009d,96,616,443,0,0,0,0
den009d,97,537,394,0,0,0,0
den009d,98,638,403,0,0,0,0
den009d,99,524,404,0,0,0,0
den009d,100,678,423,0,0,0,0
den009d,101,671,410,0,0,0,0
