map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
den200n,0,182,332,0,0,0,0
den200n,1,141,288,0,0,0,0
den200n,2,108,151,0,0,0,0
den200n,3,112,195,0,0,0,0
den200n,4,89,107,0,0,0,0
den200n,5,106,191,0,0,0,0
den200n,6,102,137,0,0,0,0
den200n,7,119,155,0,0,0,0
den200n,8,105,135,0,0,0,0
den200n,9,118,205,0,0,0,0
den200n,10,235,253,0,0,0,0
den200n,11,216,214,0,0,0,0
den200n,12,214,344,0,0,0,0
den200n,13,255,288,0,0,0,0
den200n,14,265,414,0,0,0,0
den200n,15,271,434,0,0,0,0
den200n,16,198,194,0,0,0,0
den200n,17,328,338,0,0,0,0
den200n,18,310,335,0,0,0,0
den200n,19,228,319,0,0,0,0
den200n,20,332,364,0,0,0,0
den200n,21,233,285,0,0,0,0
den200n,22,666,1124,0,0,0,0
den200n,23,309,465,0,0,0,0
den200n,24,282,440,0,0,0,0
den200n,25,402,635,0,0,0,0
den200n,26,240,256,0,0,0,0
den200n,27,497,759,0,0,0,0
den200n,28,290,293,0,0,0,0
den200n,29,265,341,0,0,0,0
den200n,30,706,711,0,0,0,0
den200n,31,516,524,0,0,0,0
den200n,32,519,733,0,0,0,0
den200n,33,506,537,0,0,0,0
den200n,34,352,432,0,0,0,0
den200n,35,775,1176,0,0,0,0
den200n,36,319,386,0,0,0,0
den200n,37,528,712,0,0,0,0
den200n,38,287,297,0,0,0,0
den200n,39,249,255,0,0,0,0
den200n,40,879,859,0,0,0,0
den200n,41,508,516,0,0,0,0
den200n,42,743,1159,0,0,0,0
den200n,43,476,502,0,0,0,0
den200n,44,565,548,0,0,0,0
den200n,45,600,636,0,0,0,0
den200n,46,912,814,0,0,0,0
den200n,47,495,488,0,0,0,0
den200n,48,676,928,0,0,0,0
den200n,49,645,946,0,0,0,0
den200n,50,537,517,0,0,0,0
den200n,51,461,430,0,0,0,0
den200n,52,607,622,0,0,0,0
den200n,53,809,811,0,0,0,0
den200n,54,1032,1688,0,0,0,0
den200n,55,782,860,0,0,0,0
den200n,56,496,648,0,0,0,0
den200n,57,930,1283,0,0,0,0
den200n,58,559,556,0,0,0,0
den200n,59,593,647,0,0,0,0
den200n,60,632,568,0,0,0,0
den200n,61,834,746,0,0,0,0
den200n,62,869,1210,0,0,0,0
den200n,63,815,1181,0,0,0,0
den200n,64,552,556,0,0,0,0
den200n,65,558,542,0,0,0,0
den200n,66,697,592,0,0,0,0
den200n,67,1038,894,0,0,0,0
den200n,68,923,1493,0,0,0,0
den200n,69,642,913,0,0,0,0
den200n,70,1062,838,0,0,0,0
den200n,71,789,642,0,0,0,0
den200n,72,719,633,0,0,0,0
den200n,73,810,711,0,0,0,0
den200n,74,781,556,0,0,0,0
den200n,75,815,677,0,0,0,0
den200n,76,998,773,0,0,0,0
den200n,77,705,577,0,0,0,0
den200n,78,963,932,0,0,0,0
den200n,79,1097,1155,0,0,0,0
den200n,80,928,701,0,0,0,0
den200n,81,684,551,0,0,0,0
den200n,82,824,618,0,0,0,0
den200n,83,1236,1123,0,0,0,0
den200n,84,1039,841,0,0,0,0
den200n,85,1528,1884,0,0,0,0
den200n,86,1228,1491,0,0,0,0
den200n,87,1087,1430,0,0,0,0
den200n,88,660,720,0,0,0,0
den200n,89,1247,1213,0,0,0,0
den200n,90,827,587,0,0,0,0
den200n,91,907,528,0,0,0,0
den200n,92,1451,1134,0,0,0,0
den200n,93,1041,818,0,0,0,0
den200n,94,811,503,0,0,0,0
den200n,95,1207,994,0,0,0,0
den200n,96,956,599,0,0,0,0
den200n,97,1016,778,0,0,0,0
den200n,98,708,483,0,0,0,0
den200n,99,2268,1322,0,0,0,0
den200n,100,1345,821,0,0,0,0
den200n,101,1475,1198,0,0,0,0
den200n,102,1349,808,0,0,0,0
den200n,103,1045,607,0,0,0,0
den200n,104,2065,1521,0,0,0,0
den200n,105,1818,1181,0,0,0,0
den200n,106,1856,918,0,0,0,0
den200n,107,1013,662,0,0,0,0
den200n,108,1297,899,0,0,0,0
den200n,109,1201,738,0,0,0,0
den200n,110,1452,864,0,0,0,0
den200n,111,1000,550,0,0,0,0
den200n,112,1049,656,0,0,0,0
den200n,113,1704,1291,0,0,0,0
den200n,114,1478,801,0,0,0,0
den200n,115,1082,572,0,0,0,0
den200n,116,936,477,0,0,0,0
den200n,117,1232,555,0,0,0,0
den200n,118,1359,933,0,0,0,0
den200n,119,1023,563,0,0,0,0
den200n,120,1493,653,0,0,0,0
den200n,121,1032,458,0,0,0,0
den200n,122,1076,628,0,0,0,0
den200n,123,1068,450,0,0,0,0
den200n,124,968,461,0,0,0,0
den200n,125,1101,671,0,0,0,0
den200n,126,2113,1688,0,0,0,0
den200n,127,1554,1197,0,0,0,0
den200n,128,2011,873,0,0,0,0
den200n,129,1615,854,0,0,0,0
den200n,130,1255,589,0,0,0,0
den200n,131,1051,458,0,0,0,0
den200n,132,1096,710,0,0,0,0
den200n,133,1273,532,0,0,0,0
den200n,134,1148,454,0,0,0,0
den200n,135,838,388,0,0,0,0
den200n,136,2219,749,0,0,0,0
den200n,137,1168,435,0,0,0,0
den200n,138,1076,564,0,0,0,0
den200n,139,1459,693,0,0,0,0
den200n,140,1660,643,0,0,0,0
den200n,141,1188,488,0,0,0,0
den200n,142,1032,525,0,0,0,0
den200n,143,1182,515,0,0,0,0
den200n,144,2348,720,0,0,0,0
den200n,145,1286,464,0,0,0,0
den200n,146,1273,380,0,0,0,0
den200n,147,1694,803,0,0,0,0
den200n,148,2266,1019,0,0,0,0
den200n,149,1204,474,0,0,0,0
den200n,150,1070,438,0,0,0,0
den200n,151,1192,479,0,0,0,0
den200n,152,1303,710,0,0,0,0
den200n,153,1749,837,0,0,0,0
den200n,154,1227,512,0,0,0,0
den200n,155,1459,462,0,0,0,0
den200n,156,1493,656,0,0,0,0
den200n,157,1183,515,0,0,0,0
den200n,158,1216,616,0,0,0,0
den200n,159,1160,421,0,0,0,0
den200n,160,2046,446,0,0,0,0
den200n,161,1181,456,0,0,0,0
den200n,162,1407,590,0,0,0,0
den200n,163,1091,407,0,0,0,0
den200n,164,1698,672,0,0,0,0
den200n,165,1299,433,0,0,0,0
den200n,166,1132,355,0,0,0,0
den200n,167,1368,411,0,0,0,0
den200n,168,1863,603,0,0,0,0
den200n,169,1667,749,0,0,0,0
den200n,170,1601,565,0,0,0,0
den200n,171,1642,730,0,0,0,0
den200n,172,1323,492,0,0,0,0
den200n,173,1440,485,0,0,0,0
den200n,174,1593,556,0,0,0,0
den200n,175,3660,825,0,0,0,0
den200n,176,1358,539,0,0,0,0
den200n,177,1437,654,0,0,0,0
den200n,178,1299,572,0,0,0,0
den200n,179,1572,807,0,0,0,0
den200n,180,1260,439,0,0,0,0
den200n,181,1605,705,0,0,0,0
den200n,182,1985,611,0,0,0,0
den200n,183,1386,470,0,0,0,0
den200n,184,1528,570,0,0,0,0
den200n,185,1430,461,0,0,0,0
den200n,186,1603,593,0,0,0,0
den200n,187,1613,731,0,0,0,0
den200n,188,1372,446,0,0,0,0
den200n,189,1170,564,0,0,0,0
den200n,190,1678,550,0,0,0,0
den200n,191,1460,539,0,0,0,0
den200n,192,1170,432,0,0,0,0
den200n,193,1882,809,0,0,0,0
den200n,194,1556,510,0,0,0,0
den200n,195,1497,496,0,0,0,0
den200n,196,1272,472,0,0,0,0
den200n,197,1542,479,0,0,0,0
den200n,198,1577,426,0,0,0,0
den200n,199,1467,523,0,0,0,0
den200n,200,1590,480,0,0,0,0
den200n,201,2435,626,0,0,0,0
den200n,202,1651,673,0,0,0,0
den200n,203,1769,538,0,0,0,0
den200n,204,1610,531,0,0,0,0
den200n,205,1713,491,0,0,0,0
den200n,206,2844,543,0,0,0,0
den200n,207,1736,562,0,0,0,0
den200n,208,1747,641,0,0,0,0
den200n,209,2257,661,0,0,0,0
den200n,210,1545,490,0,0,0,0
den200n,211,2005,480,0,0,0,0
