map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
hrt002d,0,117,134,0,0,0,1
hrt002d,1,197,207,0,0,0,1
hrt002d,2,100,97,0,0,0,1
hrt002d,3,109,99,0,0,0,1
hrt002d,4,168,181,0,0,0,1
hrt002d,5,121,119,0,0,0,1
hrt002d,6,203,201,0,0,0,1
hrt002d,7,161,153,0,0,0,1
hrt002d,8,121,136,0,0,0,1
hrt002d,9,112,116,0,0,0,1
hrt002d,10,216,219,0,0,0,1
hrt002d,11,315,318,0,0,0,1
hrt002d,12,168,199,0,0,0,1
hrt002d,13,177,203,0,0,0,1
hrt002d,14,158,159,0,0,0,1
hrt002d,15,227,222,0,0,0,1
hrt002d,16,229,232,0,0,0,1
hrt002d,17,232,226,0,0,0,1
hrt002d,18,311,331,0,0,0,1
hrt002d,19,244,243,0,0,0,1
hrt002d,20,225,237,0,0,0,1
hrt002d,21,305,283,0,0,0,1
hrt002d,22,319,333,0,0,0,1
hrt002d,23,288,302,0,0,0,1
hrt002d,24,320,297,0,0,0,1
hrt002d,25,430,412,0,0,0,1
hrt002d,26,420,345,0,0,0,1
hrt002d,27,384,373,0,0,0,1
hrt002d,28,302,281,0,0,0,1
hrt002d,29,251,253,0,0,0,1
hrt002d,30,402,379,0,0,0,1
hrt002d,31,346,357,0,0,0,1
hrt002d,32,468,375,0,0,0,1
hrt002d,33,469,399,0,0,0,1
hrt002d,34,316,296,0,0,0,1
hrt002d,35,355,364,0,0,0,1
hrt002d,36,453,418,0,0,0,1
hrt002d,37,346,354,0,0,0,1
hrt002d,38,367,370,0,0,0,1
hrt002d,39,450,436,0,0,0,1
hrt002d,40,486,471,0,0,0,1
hrt002d,41,378,348,0,0,0,1
hrt002d,42,459,421,0,0,0,1
hrt002d,43,549,519,0,0,0,1
hrt002d,44,494,521,0,0,0,1
hrt002d,45,636,564,0,0,0,1
hrt002d,46,536,473,0,0,0,1
hrt002d,47,412,367,0,0,0,1
hrt002d,48,410,373,0,0,0,1
hrt002d,49,331,328,0,0,0,1
hrt002d,50,617,610,0,0,0,1
hrt002d,51,436,426,0,0,0,1
hrt002d,52,391,371,0,0,0,1
hrt002d,53,673,638,0,0,0,1
hrt002d,54,449,477,0,0,0,1
hrt002d,55,588,526,0,0,0,1
hrt002d,56,468,476,0,0,0,1
hrt002d,57,520,506,0,0,0,1
hrt002d,58,458,449,0,0,0,1
hrt002d,59,480,461,0,0,0,1
hrt002d,60,803,558,0,0,0,1
hrt002d,61,451,392,0,0,0,1
hrt002d,62,463,480,0,0,0,1
hrt002d,63,542,464,0,0,0,1
hrt002d,64,467,426,0,0,0,1
hrt002d,65,492,408,0,0,0,1
hrt002d,66,524,414,0,0,0,1
hrt002d,67,854,593,0,0,0,1
hrt002d,68,767,586,0,0,0,1
hrt002d,69,757,630,0,0,0,1
hrt002d,70,741,497,0,0,0,1
hrt002d,71,618,383,0,0,0,1
hrt002d,72,563,401,0,0,0,1
hrt002d,73,666,512,0,0,0,1
hrt002d,74,751,551,0,0,0,1
hrt002d,75,584,427,0,0,0,1
hrt002d,76,672,452,0,0,0,1
hrt002d,77,952,601,0,0,0,1
hrt002d,78,758,548,0,0,0,1
hrt002d,79,628,397,0,0,0,1
hrt002d,80,651,396,0,0,0,1
hrt002d,81,855,575,0,0,0,1
hrt002d,82,937,502,0,0,0,1
hrt002d,83,626,371,0,0,0,1
hrt002d,84,582,365,0,0,0,1
hrt002d,85,915,468,0,0,0,1
hrt002d,86,523,356,0,0,0,1
hrt002d,87,702,445,0,0,0,1
hrt002d,88,561,389,0,0,0,1
hrt002d,89,586,369,0,0,0,1
hrt002d,90,685,384,0,0,0,1
hrt002d,91,882,444,0,0,0,1
hrt002d,92,684,370,0,0,0,1
hrt002d,93,642,398,0,0,0,1
hrt002d,94,605,381,0,0,0,1
hrt002d,95,1027,619,0,0,0,1
hrt002d,96,635,480,0,0,0,1
hrt002d,97,594,415,0,0,0,1
hrt002d,98,791,485,0,0,0,1
