map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
hrt201d,0,172,173,0,0,0,0
hrt201d,1,254,382,0,0,0,0
hrt201d,2,165,199,0,0,0,0
hrt201d,3,175,130,0,0,0,0
hrt201d,4,297,393,0,0,0,0
hrt201d,5,196,197,0,0,0,0
hrt201d,6,127,129,0,0,0,0
hrt201d,7,175,203,0,0,0,0
hrt201d,8,149,115,0,0,0,0
hrt201d,9,198,176,0,0,0,0
hrt201d,10,226,259,0,0,0,0
hrt201d,11,184,207,0,0,0,0
hrt201d,12,223,284,0,0,0,0
hrt201d,13,190,241,0,0,0,0
hrt201d,14,315,439,0,0,0,0
hrt201d,15,145,173,0,0,0,0
hrt201d,16,235,276,0,0,0,0
hrt201d,17,197,180,0,0,0,0
hrt201d,18,321,529,0,0,0,0
hrt201d,19,392,504,0,0,0,0
hrt201d,20,332,473,0,0,0,0
hrt201d,21,310,297,0,0,0,0
hrt201d,22,320,345,0,0,0,0
hrt201d,23,388,538,0,0,0,0
hrt201d,24,254,262,0,0,0,0
hrt201d,25,207,217,0,0,0,0
hrt201d,26,278,260,0,0,0,0
hrt201d,27,329,405,0,0,0,0
hrt201d,28,509,645,0,0,0,0
hrt201d,29,416,448,0,0,0,0
hrt201d,30,296,288,0,0,0,0
hrt201d,31,429,537,0,0,0,0
hrt201d,32,566,746,0,0,0,0
hrt201d,33,541,757,0,0,0,0
hrt201d,34,519,593,0,0,0,0
hrt201d,35,500,637,0,0,0,0
hrt201d,36,344,461,0,0,0,0
hrt201d,37,570,771,0,0,0,0
hrt201d,38,666,839,0,0,0,0
hrt201d,39,367,405,0,0,0,0
hrt201d,40,670,662,0,0,0,0
hrt201d,41,947,1466,0,0,0,0
hrt201d,42,786,1137,0,0,0,0
hrt201d,43,688,781,0,0,0,0
hrt201d,44,760,657,0,0,0,0
hrt201d,45,631,484,0,0,0,0
hrt201d,46,972,1066,0,0,0,0
hrt201d,47,643,753,0,0,0,0
hrt201d,48,698,813,0,0,0,0
hrt201d,49,876,975,0,0,0,0
hrt201d,50,807,1039,0,0,0,0
hrt201d,51,785,946,0,0,0,0
hrt201d,52,702,690,0,0,0,0
hrt201d,53,874,986,0,0,0,0
hrt201d,54,777,1081,0,0,0,0
hrt201d,55,691,728,0,0,0,0
hrt201d,56,737,683,0,0,0,0
hrt201d,57,584,676,0,0,0,0
hrt201d,58,763,815,0,0,0,0
hrt201d,59,657,722,0,0,0,0
hrt201d,60,895,1035,0,0,0,0
hrt201d,61,1042,1087,0,0,0,0
hrt201d,62,960,889,0,0,0,0
hrt201d,63,848,839,0,0,0,0
hrt201d,64,879,740,0,0,0,0
hrt201d,65,769,1037,0,0,0,0
hrt201d,66,1006,743,0,0,0,0
hrt201d,67,736,766,0,0,0,0
hrt201d,68,600,646,0,0,0,0
hrt201d,69,915,863,0,0,0,0
hrt201d,70,1072,1071,0,0,0,0
hrt201d,71,1149,791,0,0,0,0
hrt201d,72,934,760,0,0,0,0
hrt201d,73,1377,1418,0,0,0,0
hrt201d,74,735,651,0,0,0,0
hrt201d,75,689,544,0,0,0,0
hrt201d,76,840,922,0,0,0,0
hrt201d,77,969,929,0,0,0,0
hrt201d,78,1084,1278,0,0,0,0
hrt201d,79,679,767,0,0,0,0
hrt201d,80,1203,852,0,0,0,0
hrt201d,81,1023,599,0,0,0,0
hrt201d,82,1446,1073,0,0,0,0
hrt201d,83,825,479,0,0,0,0
hrt201d,84,1125,1246,0,0,0,0
hrt201d,85,1188,786,0,0,0,0
hrt201d,86,1248,935,0,0,0,0
hrt201d,87,1323,807,0,0,0,0
hrt201d,88,1418,1812,0,0,0,0
hrt201d,89,952,923,0,0,0,0
hrt201d,90,1537,964,0,0,0,0
hrt201d,91,1014,564,0,0,0,0
hrt201d,92,1142,807,0,0,0,0
hrt201d,93,951,685,0,0,0,0
hrt201d,94,1378,777,0,0,0,0
hrt201d,95,1256,829,0,0,0,0
hrt201d,96,981,670,0,0,0,0
hrt201d,97,1458,835,0,0,0,0
hrt201d,98,1258,663,0,0,0,0
hrt201d,99,1059,520,0,0,0,0
hrt201d,100,1126,695,0,0,0,0
hrt201d,101,1240,723,0,0,0,0
hrt201d,102,1088,679,0,0,0,0
hrt201d,103,1445,831,0,0,0,0
hrt201d,104,1278,814,0,0,0,0
hrt201d,105,1201,539,0,0,0,0
hrt201d,106,1068,848,0,0,0,0
hrt201d,107,1018,672,0,0,0,0
hrt201d,108,936,541,0,0,0,0
hrt201d,109,1015,637,0,0,0,0
hrt201d,110,1295,629,0,0,0,0
hrt201d,111,1467,753,0,0,0,0
hrt201d,112,1416,1010,0,0,0,0
hrt201d,113,1456,1479,0,0,0,0
hrt201d,114,1073,518,0,0,0,0
hrt201d,115,1017,492,0,0,0,0
hrt201d,116,1919,922,0,0,0,0
hrt201d,117,1274,695,0,0,0,0
hrt201d,118,1312,602,0,0,0,0
hrt201d,119,1513,785,0,0,0,0
hrt201d,120,1497,696,0,0,0,0
hrt201d,121,1663,698,0,0,0,0
hrt201d,122,1349,660,0,0,0,0
hrt201d,123,1158,489,0,0,0,0
