map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
lak100n,0,176,218,0,0,0,1
lak100n,1,304,437,0,0,0,1
lak100n,2,244,309,0,0,0,1
lak100n,3,119,116,0,0,0,1
lak100n,4,316,431,0,0,0,1
lak100n,5,327,442,0,0,0,1
lak100n,6,172,178,0,0,0,1
lak100n,7,96,85,0,0,0,1
lak100n,8,228,342,0,0,0,1
lak100n,9,203,339,0,0,0,1
lak100n,10,349,354,0,0,0,1
lak100n,11,365,393,0,0,0,1
lak100n,12,499,532,0,0,0,1
lak100n,13,369,378,0,0,0,1
lak100n,14,486,523,0,0,0,1
lak100n,15,551,559,0,0,0,1
lak100n,16,286,267,0,0,0,1
lak100n,17,386,440,0,0,0,1
lak100n,18,577,707,0,0,0,1
lak100n,19,268,438,0,0,0,1
lak100n,20,421,515,0,0,0,1
lak100n,21,450,485,0,0,0,1
lak100n,22,496,538,0,0,0,1
lak100n,23,452,566,0,0,0,1
lak100n,24,531,551,0,0,0,1
lak100n,25,411,651,0,0,0,1
lak100n,26,589,602,0,0,0,1
lak100n,27,520,753,0,0,0,1
lak100n,28,425,601,0,0,0,1
lak100n,29,452,471,0,0,0,1
lak100n,30,828,797,0,0,0,1
lak100n,31,456,363,0,0,0,1
lak100n,32,517,528,0,0,0,1
lak100n,33,571,528,0,0,0,1
lak100n,34,557,601,0,0,0,1
lak100n,35,604,719,0,0,0,1
lak100n,36,898,960,0,0,0,1
lak100n,37,556,634,0,0,0,1
lak100n,38,821,823,0,0,0,1
lak100n,39,1038,1180,0,0,0,1
lak100n,40,840,781,0,0,0,1
lak100n,41,914,948,0,0,0,1
lak100n,42,715,702,0,0,0,1
lak100n,43,662,645,0,0,0,1
lak100n,44,823,1108,0,0,0,1
lak100n,45,661,648,0,0,0,1
lak100n,46,814,861,0,0,0,1
lak100n,47,959,1116,0,0,0,1
lak100n,48,1209,1836,0,0,0,1
lak100n,49,762,822,0,0,0,1
lak100n,50,818,745,0,0,0,1
lak100n,51,755,730,0,0,0,1
lak100n,52,734,671,0,0,0,1
lak100n,53,706,562,0,0,0,1
lak100n,54,976,1079,0,0,0,1
lak100n,55,828,969,0,0,0,1
lak100n,56,1075,1204,0,0,0,1
lak100n,57,1034,988,0,0,0,1
lak100n,58,990,1076,0,0,0,1
lak100n,59,992,987,0,0,0,1
