map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
lak104d,0,193,165,0,0,3,1
lak104d,1,165,164,0,0,3,1
lak104d,2,147,131,0,0,3,1
lak104d,3,133,135,0,0,3,1
lak104d,4,128,120,0,0,3,1
lak104d,5,134,149,0,0,3,1
lak104d,6,154,148,0,0,3,1
lak104d,7,128,128,0,0,3,1
lak104d,8,185,207,0,0,3,1
lak104d,9,121,125,0,0,3,1
lak104d,10,258,276,0,0,3,1
lak104d,11,231,240,0,0,3,1
lak104d,12,165,168,0,0,3,1
lak104d,13,211,201,0,0,3,1
lak104d,14,175,159,0,0,3,1
lak104d,15,244,264,0,0,3,1
lak104d,16,286,279,0,0,3,1
lak104d,17,171,168,0,0,3,1
lak104d,18,203,202,0,0,3,1
lak104d,19,240,219,0,0,3,1
lak104d,20,409,378,0,0,3,1
lak104d,21,338,356,0,0,3,1
lak104d,22,370,359,0,0,3,1
lak104d,23,264,257,0,0,3,1
lak104d,24,391,371,0,0,3,1
lak104d,25,359,361,0,0,3,1
lak104d,26,344,337,0,0,3,1
lak104d,27,322,303,0,0,3,1
lak104d,28,341,324,0,0,3,1
lak104d,29,263,269,0,0,3,1
lak104d,30,503,449,0,0,3,1
lak104d,31,373,367,0,0,3,1
lak104d,32,328,342,0,0,3,1
lak104d,33,398,366,0,0,3,1
lak104d,34,446,438,0,0,3,1
lak104d,35,448,447,0,0,3,1
lak104d,36,410,425,0,0,3,1
lak104d,37,386,364,0,0,3,1
lak104d,38,298,273,0,0,3,1
lak104d,39,497,451,0,0,3,1
lak104d,40,464,441,0,0,3,1
lak104d,41,341,342,0,0,3,1
lak104d,42,418,436,0,0,3,1
lak104d,43,480,465,0,0,3,1
lak104d,44,464,459,0,0,3,1
lak104d,45,464,461,0,0,3,1
lak104d,46,479,481,0,0,3,1
lak104d,47,427,428,0,0,3,1
lak104d,48,503,481,0,0,3,1
lak104d,49,485,483,0,0,3,1
lak104d,50,477,450,0,0,3,1
lak104d,51,410,455,0,0,3,1
lak104d,52,399,409,0,0,3,1
lak104d,53,370,370,0,0,3,1
lak104d,54,517,503,0,0,3,1
lak104d,55,530,522,0,0,3,1
lak104d,56,566,527,0,0,3,1
lak104d,57,525,482,0,0,3,1
lak104d,58,605,556,0,0,3,1
lak104d,59,527,531,0,0,3,1
lak104d,60,561,411,0,0,3,1
lak104d,61,594,459,0,0,3,1
lak104d,62,529,484,0,0,3,1
lak104d,63,562,465,0,0,3,1
lak104d,64,595,502,0,0,3,1
lak104d,65,757,569,0,0,3,1
lak104d,66,832,702,0,0,3,1
lak104d,67,645,545,0,0,3,1
lak104d,68,662,534,0,0,3,1
lak104d,69,620,562,0,0,3,1
lak104d,70,686,423,0,0,3,1
lak104d,71,625,395,0,0,3,1
lak104d,72,621,397,0,0,3,1
lak104d,73,700,391,0,0,3,1
lak104d,74,699,423,0,0,3,1
lak104d,75,720,458,0,0,3,1
lak104d,76,593,440,0,0,3,1
lak104d,77,645,409,0,0,3,1
lak104d,78,640,459,0,0,3,1
lak104d,79,847,628,0,0,3,1
lak104d,80,806,399,0,0,3,1
lak104d,81,608,377,0,0,3,1
lak104d,82,735,372,0,0,3,1
lak104d,83,701,380,0,0,3,1
lak104d,84,728,377,0,0,3,1
lak104d,85,737,374,0,0,3,1
lak104d,86,770,403,0,0,3,1
lak104d,87,883,519,0,0,3,1
lak104d,88,741,436,0,0,3,1
lak104d,89,747,494,0,0,3,1
lak104d,90,1084,606,0,0,3,1
lak104d,91,832,383,0,0,3,1
lak104d,92,728,372,0,0,3,1
lak104d,93,738,396,0,0,3,1
lak104d,94,807,414,0,0,3,1
lak104d,95,960,505,0,0,3,1
lak104d,96,752,441,0,0,3,1
lak104d,97,1049,511,0,0,3,1
lak104d,98,946,448,0,0,3,1
lak104d,99,836,434,0,0,3,1
lak104d,100,1354,512,0,0,3,1
lak104d,101,1005,344,0,0,3,1
lak104d,102,821,422,0,0,3,1
lak104d,103,1303,614,0,0,3,1
lak104d,104,1417,710,0,0,3,1
lak104d,105,1080,505,0,0,3,1
lak104d,106,1153,553,0,0,3,1
lak104d,107,1004,484,0,0,3,1
lak104d,108,846,396,0,0,3,1
lak104d,109,966,497,0,0,3,1
lak104d,110,1084,480,0,0,3,1
lak104d,111,1146,544,0,0,3,1
lak104d,112,1057,531,0,0,3,1
lak104d,113,1065,539,0,0,3,1
lak104d,114,846,435,0,0,3,1
lak104d,115,1007,439,0,0,3,1
lak104d,116,900,425,0,0,3,1
lak104d,117,1038,392,0,0,3,1
lak104d,118,943,409,0,0,3,1
lak104d,119,923,383,0,0,3,1
lak104d,120,1061,385,0,0,3,1
lak104d,121,1129,424,0,0,3,1
lak104d,122,939,395,0,0,3,1
lak104d,123,989,415,0,0,3,1
lak104d,124,984,384,0,0,3,1
lak104d,125,1238,510,0,0,3,1
lak104d,126,1061,408,0,0,3,1
lak104d,127,1038,404,0,0,3,1
lak104d,128,928,388,0,0,3,1
lak104d,129,1082,449,0,0,3,1
