map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
lgt601d,0,163,122,0,0,0,0
lgt601d,1,104,96,0,0,0,0
lgt601d,2,118,113,0,0,0,0
lgt601d,3,153,155,0,0,0,0
lgt601d,4,160,155,0,0,0,0
lgt601d,5,151,164,0,0,0,0
lgt601d,6,80,78,0,0,0,0
lgt601d,7,80,76,0,0,0,0
lgt601d,8,82,75,0,0,0,0
lgt601d,9,120,127,0,0,0,0
lgt601d,10,235,273,0,0,0,0
lgt601d,11,231,170,0,0,0,0
lgt601d,12,168,171,0,0,0,0
lgt601d,13,188,179,0,0,0,0
lgt601d,14,159,136,0,0,0,0
lgt601d,15,136,136,0,0,0,0
lgt601d,16,121,123,0,0,0,0
lgt601d,17,208,160,0,0,0,0
lgt601d,18,244,237,0,0,0,0
lgt601d,19,163,162,0,0,0,0
lgt601d,20,257,292,0,0,0,0
lgt601d,21,253,312,0,0,0,0
lgt601d,22,318,320,0,0,0,0
lgt601d,23,319,317,0,0,0,0
lgt601d,24,246,326,0,0,0,0
lgt601d,25,262,269,0,0,0,0
lgt601d,26,241,233,0,0,0,0
lgt601d,27,277,276,0,0,0,0
lgt601d,28,294,286,0,0,0,0
lgt601d,29,186,180,0,0,0,0
lgt601d,30,399,371,0,0,0,0
lgt601d,31,281,280,0,0,0,0
lgt601d,32,276,276,0,0,0,0
lgt601d,33,401,346,0,0,0,0
lgt601d,34,473,427,0,0,0,0
lgt601d,35,421,432,0,0,0,0
lgt601d,36,301,317,0,0,0,0
lgt601d,37,252,258,0,0,0,0
lgt601d,38,259,255,0,0,0,0
lgt601d,39,340,346,0,0,0,0
lgt601d,40,282,284,0,0,0,0
lgt601d,41,349,348,0,0,0,0
lgt601d,42,335,334,0,0,0,0
lgt601d,43,352,351,0,0,0,0
lgt601d,44,312,316,0,0,0,0
lgt601d,45,427,424,0,0,0,0
lgt601d,46,348,351,0,0,0,0
lgt601d,47,417,388,0,0,0,0
lgt601d,48,350,355,0,0,0,0
lgt601d,49,306,293,0,0,0,0
lgt601d,50,437,470,0,0,0,0
lgt601d,51,786,828,0,0,0,0
lgt601d,52,363,379,0,0,0,0
lgt601d,53,547,449,0,0,0,0
lgt601d,54,533,492,0,0,0,0
lgt601d,55,396,380,0,0,0,0
lgt601d,56,372,349,0,0,0,0
lgt601d,57,290,297,0,0,0,0
lgt601d,58,474,441,0,0,0,0
lgt601d,59,414,392,0,0,0,0
lgt601d,60,683,571,0,0,0,0
lgt601d,61,1085,926,0,0,0,0
lgt601d,62,483,376,0,0,0,0
lgt601d,63,342,346,0,0,0,0
lgt601d,64,435,387,0,0,0,0
lgt601d,65,412,421,0,0,0,0
lgt601d,66,476,436,0,0,0,0
lgt601d,67,573,556,0,0,0,0
lgt601d,68,569,485,0,0,0,0
lgt601d,69,957,887,0,0,0,0
lgt601d,70,562,441,0,0,0,0
lgt601d,71,445,395,0,0,0,0
lgt601d,72,1360,873,0,0,0,0
lgt601d,73,562,458,0,0,0,0
lgt601d,74,722,626,0,0,0,0
lgt601d,75,982,794,0,0,0,0
lgt601d,76,751,589,0,0,0,0
lgt601d,77,709,633,0,0,0,0
lgt601d,78,697,448,0,0,0,0
lgt601d,79,448,377,0,0,0,0
lgt601d,80,663,533,0,0,0,0
lgt601d,81,505,378,0,0,0,0
lgt601d,82,914,683,0,0,0,0
lgt601d,83,865,607,0,0,0,0
lgt601d,84,806,679,0,0,0,0
lgt601d,85,713,486,0,0,0,0
lgt601d,86,804,641,0,0,0,0
lgt601d,87,1316,1038,0,0,0,0
lgt601d,88,749,577,0,0,0,0
lgt601d,89,704,425,0,0,0,0
lgt601d,90,642,435,0,0,0,0
lgt601d,91,872,524,0,0,0,0
lgt601d,92,955,711,0,0,0,0
lgt601d,93,849,524,0,0,0,0
lgt601d,94,909,694,0,0,0,0
lgt601d,95,886,552,0,0,0,0
lgt601d,96,1412,966,0,0,0,0
lgt601d,97,798,552,0,0,0,0
lgt601d,98,831,690,0,0,0,0
lgt601d,99,776,577,0,0,0,0
lgt601d,100,997,624,0,0,0,0
lgt601d,101,658,425,0,0,0,0
lgt601d,102,675,378,0,0,0,0
lgt601d,103,1210,831,0,0,0,0
lgt601d,104,1025,706,0,0,0,0
lgt601d,105,1081,823,0,0,0,0
lgt601d,106,1461,1109,0,0,0,0
lgt601d,107,917,597,0,0,0,0
lgt601d,108,1086,689,0,0,0,0
lgt601d,109,794,468,0,0,0,0
lgt601d,110,1176,523,0,0,0,0
lgt601d,111,944,444,0,0,0,0
lgt601d,112,950,575,0,0,0,0
lgt601d,113,808,482,0,0,0,0
lgt601d,114,757,427,0,0,0,0
lgt601d,115,1151,769,0,0,0,0
lgt601d,116,916,522,0,0,0,0
lgt601d,117,1337,962,0,0,0,0
lgt601d,118,1067,732,0,0,0,0
lgt601d,119,1372,1069,0,0,0,0
lgt601d,120,1281,822,0,0,0,0
lgt601d,121,1162,744,0,0,0,0
lgt601d,122,2156,797,0,0,0,0
lgt601d,123,885,563,0,0,0,0
lgt601d,124,1066,789,0,0,0,0
lgt601d,125,1266,698,0,0,0,0
lgt601d,126,1991,1025,0,0,0,0
lgt601d,127,1219,630,0,0,0,0
lgt601d,128,1559,876,0,0,0,0
lgt601d,129,854,471,0,0,0,0
lgt601d,130,1924,1025,0,0,0,0
