map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
lgt603d,0,400,390,0,0,3,1
lgt603d,1,301,306,0,0,3,1
lgt603d,2,238,232,0,0,3,1
lgt603d,3,280,256,0,0,3,1
lgt603d,4,158,171,0,0,3,1
lgt603d,5,193,157,0,0,3,1
lgt603d,6,283,341,0,0,3,1
lgt603d,7,368,352,0,0,3,1
lgt603d,8,195,181,0,0,3,1
lgt603d,9,205,199,0,0,3,1
lgt603d,10,444,357,0,0,3,1
lgt603d,11,416,395,0,0,3,1
lgt603d,12,249,241,0,0,3,1
lgt603d,13,487,480,0,0,3,1
lgt603d,14,491,443,0,0,3,1
lgt603d,15,386,428,0,0,3,1
lgt603d,16,342,305,0,0,3,1
lgt603d,17,245,250,0,0,3,1
lgt603d,18,379,331,0,0,3,1
lgt603d,19,320,293,0,0,3,1
lgt603d,20,337,356,0,0,3,1
lgt603d,21,395,381,0,0,3,1
lgt603d,22,830,742,0,0,3,1
lgt603d,23,476,456,0,0,3,1
lgt603d,24,583,605,0,0,3,1
lgt603d,25,359,356,0,0,3,1
lgt603d,26,404,408,0,0,3,1
lgt603d,27,495,441,0,0,3,1
lgt603d,28,572,551,0,0,3,1
lgt603d,29,466,504,0,0,3,1
lgt603d,30,919,751,0,0,3,1
lgt603d,31,350,381,0,0,3,1
lgt603d,32,309,309,0,0,3,1
lgt603d,33,778,902,0,0,3,1
lgt603d,34,498,543,0,0,3,1
lgt603d,35,525,582,0,0,3,1
lgt603d,36,401,440,0,0,3,1
lgt603d,37,930,854,0,0,3,1
lgt603d,38,920,930,0,0,3,1
lgt603d,39,567,548,0,0,3,1
lgt603d,40,572,612,0,0,3,1
lgt603d,41,550,523,0,0,3,1
lgt603d,42,579,596,0,0,3,1
lgt603d,43,382,376,0,0,3,1
lgt603d,44,874,883,0,0,3,1
lgt603d,45,728,537,0,0,3,1
lgt603d,46,572,601,0,0,3,1
lgt603d,47,462,460,0,0,3,1
lgt603d,48,682,636,0,0,3,1
lgt603d,49,938,829,0,0,3,1
lgt603d,50,1040,954,0,0,3,1
lgt603d,51,950,828,0,0,3,1
lgt603d,52,663,687,0,0,3,1
lgt603d,53,1128,1215,0,0,3,1
lgt603d,54,774,854,0,0,3,1
lgt603d,55,1174,1180,0,0,3,1
lgt603d,56,665,645,0,0,3,1
lgt603d,57,658,669,0,0,3,1
lgt603d,58,1084,936,0,0,3,1
lgt603d,59,954,914,0,0,3,1
lgt603d,60,892,827,0,0,3,1
lgt603d,61,1157,904,0,0,3,1
lgt603d,62,938,663,0,0,3,1
lgt603d,63,1041,720,0,0,3,1
lgt603d,64,768,798,0,0,3,1
lgt603d,65,1111,963,0,0,3,1
lgt603d,66,741,756,0,0,3,1
lgt603d,67,746,598,0,0,3,1
lgt603d,68,1155,1144,0,0,3,1
lgt603d,69,830,731,0,0,3,1
lgt603d,70,1420,840,0,0,3,1
lgt603d,71,990,608,0,0,3,1
lgt603d,72,1376,815,0,0,3,1
lgt603d,73,989,487,0,0,3,1
lgt603d,74,736,411,0,0,3,1
lgt603d,75,909,584,0,0,3,1
lgt603d,76,1320,819,0,0,3,1
lgt603d,77,755,662,0,0,3,1
lgt603d,78,1009,882,0,0,3,1
lgt603d,79,1300,1029,0,0,3,1
lgt603d,80,1369,954,0,0,3,1
lgt603d,81,1744,1113,0,0,3,1
lgt603d,82,1123,857,0,0,3,1
lgt603d,83,2313,1866,0,0,3,1
lgt603d,84,1751,881,0,0,3,1
lgt603d,85,1484,737,0,0,3,1
lgt603d,86,1683,1026,0,0,3,1
lgt603d,87,1380,1068,0,0,3,1
lgt603d,88,932,679,0,0,3,1
lgt603d,89,1978,1099,0,0,3,1
lgt603d,90,1997,1047,0,0,3,1
lgt603d,91,1560,973,0,0,3,1
lgt603d,92,1191,424,0,0,3,1
lgt603d,93,2236,1264,0,0,3,1
lgt603d,94,2671,1403,0,0,3,1
lgt603d,95,1521,985,0,0,3,1
lgt603d,96,1156,706,0,0,3,1
lgt603d,97,1261,854,0,0,3,1
lgt603d,98,1174,744,0,0,3,1
lgt603d,99,1154,867,0,0,3,1
lgt603d,100,2230,1050,0,0,3,1
lgt603d,101,1490,971,0,0,3,1
lgt603d,102,1812,724,0,0,3,1
lgt603d,103,1585,688,0,0,3,1
lgt603d,104,1238,366,0,0,3,1
lgt603d,105,1331,704,0,0,3,1
lgt603d,106,2058,949,0,0,3,1
lgt603d,107,1677,1101,0,0,3,1
lgt603d,108,1489,702,0,0,3,1
lgt603d,109,1147,660,0,0,3,1
lgt603d,110,1469,693,0,0,3,1
lgt603d,111,1152,513,0,0,3,1
lgt603d,112,2146,909,0,0,3,1
lgt603d,113,2089,1168,0,0,3,1
lgt603d,114,1615,841,0,0,3,1
lgt603d,115,1519,462,0,0,3,1
lgt603d,116,1326,486,0,0,3,1
lgt603d,117,2124,747,0,0,3,1
lgt603d,118,1753,666,0,0,3,1
lgt603d,119,1196,464,0,0,3,1
lgt603d,120,1745,914,0,0,3,1
lgt603d,121,1572,888,0,0,3,1
lgt603d,122,1260,474,0,0,3,1
lgt603d,123,1033,385,0,0,3,1
lgt603d,124,2753,1119,0,0,3,1
lgt603d,125,2209,793,0,0,3,1
lgt603d,126,1510,782,0,0,3,1
lgt603d,127,1642,504,0,0,3,1
lgt603d,128,1877,612,0,0,3,1
lgt603d,129,1246,399,0,0,3,1
lgt603d,130,2092,922,0,0,3,1
lgt603d,131,2983,947,0,0,3,1
lgt603d,132,1988,594,0,0,3,1
lgt603d,133,2311,1031,0,0,3,1
lgt603d,134,1879,844,0,0,3,1
lgt603d,135,2101,701,0,0,3,1
lgt603d,136,2091,822,0,0,3,1
lgt603d,137,1855,603,0,0,3,1
lgt603d,138,2614,782,0,0,3,1
lgt603d,139,1404,468,0,0,3,1
lgt603d,140,1509,519,0,0,3,1
lgt603d,141,2498,895,0,0,3,1
lgt603d,142,2788,748,0,0,3,1
lgt603d,143,2126,670,0,0,3,1
lgt603d,144,2283,668,0,0,3,1
lgt603d,145,2628,642,0,0,3,1
lgt603d,146,1849,506,0,0,3,1
lgt603d,147,2161,725,0,0,3,1
lgt603d,148,1845,542,0,0,3,1
lgt603d,149,2762,799,0,0,3,1
lgt603d,150,2074,478,0,0,3,1
lgt603d,151,2718,636,0,0,3,1
lgt603d,152,1664,414,0,0,3,1
lgt603d,153,1053,328,0,0,3,1
lgt603d,154,2335,599,0,0,3,1
lgt603d,155,2936,772,0,0,3,1
lgt603d,156,1709,527,0,0,3,1
lgt603d,157,1163,396,0,0,3,1
lgt603d,158,2213,775,0,0,3,1
lgt603d,159,2903,1046,0,0,3,1
lgt603d,160,2574,844,0,0,3,1
lgt603d,161,2554,786,0,0,3,1
lgt603d,162,1707,606,0,0,3,1
lgt603d,163,1892,487,0,0,3,1
lgt603d,164,2640,775,0,0,3,1
lgt603d,165,2751,947,0,0,3,1
lgt603d,166,2574,656,0,0,3,1
lgt603d,167,2125,561,0,0,3,1
lgt603d,168,2866,819,0,0,3,1
lgt603d,169,1585,467,0,0,3,1
lgt603d,170,1709,528,0,0,3,1
lgt603d,171,2284,536,0,0,3,1
lgt603d,172,3057,1119,0,0,3,1
lgt603d,173,2816,848,0,0,3,1
lgt603d,174,2982,747,0,0,3,1
lgt603d,175,2462,758,0,0,3,1
lgt603d,176,1995,604,0,0,3,1
lgt603d,177,2766,745,0,0,3,1
lgt603d,178,2092,527,0,0,3,1
lgt603d,179,3514,981,0,0,3,1
lgt603d,180,3415,880,0,0,3,1
lgt603d,181,3517,1201,0,0,3,1
lgt603d,182,2962,1050,0,0,3,1
lgt603d,183,2454,713,0,0,3,1
lgt603d,184,2073,381,0,0,3,1
lgt603d,185,2901,517,0,0,3,1
lgt603d,186,2880,637,0,0,3,1
lgt603d,187,2913,861,0,0,3,1
lgt603d,188,2553,760,0,0,3,1
lgt603d,189,3116,671,0,0,3,1
lgt603d,190,3998,937,0,0,3,1
lgt603d,191,3180,859,0,0,3,1
lgt603d,192,2168,473,0,0,3,1
