map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
orz102d,0,144,153,0,0,3,1
orz102d,1,220,211,0,0,3,1
orz102d,2,174,179,0,0,3,1
orz102d,3,188,183,0,0,3,1
orz102d,4,188,173,0,0,3,1
orz102d,5,78,77,0,0,3,1
orz102d,6,178,193,0,0,3,1
orz102d,7,189,160,0,0,3,1
orz102d,8,167,148,0,0,3,1
orz102d,9,164,154,0,0,3,1
orz102d,10,284,291,0,0,3,1
orz102d,11,309,296,0,0,3,1
orz102d,12,241,240,0,0,3,1
orz102d,13,261,247,0,0,3,1
orz102d,14,223,216,0,0,3,1
orz102d,15,268,248,0,0,3,1
orz102d,16,295,280,0,0,3,1
orz102d,17,277,250,0,0,3,1
orz102d,18,319,299,0,0,3,1
orz102d,19,317,290,0,0,3,1
orz102d,20,350,323,0,0,3,1
orz102d,21,409,393,0,0,3,1
orz102d,22,326,321,0,0,3,1
orz102d,23,310,303,0,0,3,1
orz102d,24,400,385,0,0,3,1
orz102d,25,347,323,0,0,3,1
orz102d,26,315,283,0,0,3,1
orz102d,27,455,432,0,0,3,1
orz102d,28,317,283,0,0,3,1
orz102d,29,275,265,0,0,3,1
orz102d,30,435,431,0,0,3,1
orz102d,31,408,388,0,0,3,1
orz102d,32,424,406,0,0,3,1
orz102d,33,518,485,0,0,3,1
orz102d,34,408,397,0,0,3,1
orz102d,35,408,422,0,0,3,1
orz102d,36,526,567,0,0,3,1
orz102d,37,494,527,0,0,3,1
orz102d,38,367,350,0,0,3,1
orz102d,39,381,374,0,0,3,1
orz102d,40,473,471,0,0,3,1
orz102d,41,505,495,0,0,3,1
orz102d,42,544,546,0,0,3,1
orz102d,43,538,563,0,0,3,1
orz102d,44,470,461,0,0,3,1
orz102d,45,486,488,0,0,3,1
orz102d,46,473,460,0,0,3,1
orz102d,47,550,514,0,0,3,1
orz102d,48,680,635,0,0,3,1
orz102d,49,570,561,0,0,3,1
orz102d,50,599,545,0,0,3,1
orz102d,51,581,571,0,0,3,1
orz102d,52,569,619,0,0,3,1
orz102d,53,616,601,0,0,3,1
orz102d,54,588,607,0,0,3,1
orz102d,55,564,576,0,0,3,1
orz102d,56,591,534,0,0,3,1
orz102d,57,561,533,0,0,3,1
orz102d,58,573,582,0,0,3,1
orz102d,59,595,496,0,0,3,1
orz102d,60,716,538,0,0,3,1
orz102d,61,690,543,0,0,3,1
orz102d,62,690,554,0,0,3,1
orz102d,63,692,598,0,0,3,1
orz102d,64,674,603,0,0,3,1
orz102d,65,753,683,0,0,3,1
orz102d,66,709,667,0,0,3,1
orz102d,67,793,576,0,0,3,1
orz102d,68,765,568,0,0,3,1
orz102d,69,760,594,0,0,3,1
orz102d,70,786,515,0,0,3,1
orz102d,71,798,515,0,0,3,1
orz102d,72,741,515,0,0,3,1
orz102d,73,628,445,0,0,3,1
orz102d,74,780,554,0,0,3,1
orz102d,75,912,570,0,0,3,1
orz102d,76,966,745,0,0,3,1
orz102d,77,804,566,0,0,3,1
orz102d,78,794,508,0,0,3,1
orz102d,79,755,549,0,0,3,1
orz102d,80,886,528,0,0,3,1
orz102d,81,875,563,0,0,3,1
orz102d,82,820,604,0,0,3,1
orz102d,83,738,477,0,0,3,1
orz102d,84,886,498,0,0,3,1
orz102d,85,729,468,0,0,3,1
orz102d,86,871,522,0,0,3,1
orz102d,87,739,473,0,0,3,1
orz102d,88,764,525,0,0,3,1
orz102d,89,816,505,0,0,3,1
orz102d,90,1059,636,0,0,3,1
orz102d,91,970,577,0,0,3,1
orz102d,92,920,508,0,0,3,1
orz102d,93,859,481,0,0,3,1
orz102d,94,999,534,0,0,3,1
orz102d,95,914,524,0,0,3,1
orz102d,96,848,556,0,0,3,1
orz102d,97,673,405,0,0,3,1
orz102d,98,1066,481,0,0,3,1
orz102d,99,842,435,0,0,3,1
orz102d,100,1082,534,0,0,3,1
orz102d,101,1033,520,0,0,3,1
orz102d,102,962,495,0,0,3,1
orz102d,103,925,514,0,0,3,1
orz102d,104,932,487,0,0,3,1
orz102d,105,1038,461,0,0,3,1
orz102d,106,952,429,0,0,3,1
orz102d,107,856,399,0,0,3,1
orz102d,108,853,393,0,0,3,1
orz102d,109,884,380,0,0,3,1
orz102d,110,1000,500,0,0,3,1
orz102d,111,1077,446,0,0,3,1
orz102d,112,1207,529,0,0,3,1
orz102d,113,1058,562,0,0,3,1
orz102d,114,1099,521,0,0,3,1
orz102d,115,1012,523,0,0,3,1
orz102d,116,1254,580,0,0,3,1
orz102d,117,1018,453,0,0,3,1
orz102d,118,1164,565,0,0,3,1
orz102d,119,963,521,0,0,3,1
orz102d,120,1202,642,0,0,3,1
orz102d,121,1076,519,0,0,3,1
orz102d,122,1001,504,0,0,3,1
orz102d,123,1057,521,0,0,3,1
orz102d,124,956,474,0,0,3,1
orz102d,125,889,348,0,0,3,1
orz102d,126,920,437,0,0,3,1
orz102d,127,1057,544,0,0,3,1
orz102d,128,1216,522,0,0,3,1
orz102d,129,1154,553,0,0,3,1
