map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
orz302d,0,206,218,0,0,0,0
orz302d,1,144,135,0,0,0,0
orz302d,2,179,169,0,0,0,0
orz302d,3,142,159,0,0,0,0
orz302d,4,157,137,0,0,0,0
orz302d,5,158,152,0,0,0,0
orz302d,6,262,233,0,0,0,0
orz302d,7,151,148,0,0,0,0
orz302d,8,150,147,0,0,0,0
orz302d,9,135,132,0,0,0,0
orz302d,10,350,330,0,0,0,0
orz302d,11,314,333,0,0,0,0
orz302d,12,291,311,0,0,0,0
orz302d,13,199,211,0,0,0,0
orz302d,14,294,263,0,0,0,0
orz302d,15,307,267,0,0,0,0
orz302d,16,239,246,0,0,0,0
orz302d,17,221,243,0,0,0,0
orz302d,18,174,204,0,0,0,0
orz302d,19,188,175,0,0,0,0
orz302d,20,510,475,0,0,0,0
orz302d,21,401,363,0,0,0,0
orz302d,22,535,517,0,0,0,0
orz302d,23,293,329,0,0,0,0
orz302d,24,290,328,0,0,0,0
orz302d,25,321,353,0,0,0,0
orz302d,26,260,289,0,0,0,0
orz302d,27,259,253,0,0,0,0
orz302d,28,445,401,0,0,0,0
orz302d,29,298,299,0,0,0,0
orz302d,30,582,621,0,0,0,0
orz302d,31,454,461,0,0,0,0
orz302d,32,369,368,0,0,0,0
orz302d,33,390,368,0,0,0,0
orz302d,34,471,437,0,0,0,0
orz302d,35,353,333,0,0,0,0
orz302d,36,433,392,0,0,0,0
orz302d,37,431,449,0,0,0,0
orz302d,38,274,288,0,0,0,0
orz302d,39,369,377,0,0,0,0
orz302d,40,572,550,0,0,0,0
orz302d,41,618,617,0,0,0,0
orz302d,42,675,592,0,0,0,0
orz302d,43,557,554,0,0,0,0
orz302d,44,596,585,0,0,0,0
orz302d,45,566,612,0,0,0,0
orz302d,46,662,701,0,0,0,0
orz302d,47,564,556,0,0,0,0
orz302d,48,491,510,0,0,0,0
orz302d,49,777,776,0,0,0,0
orz302d,50,761,723,0,0,0,0
orz302d,51,655,584,0,0,0,0
orz302d,52,523,545,0,0,0,0
orz302d,53,636,657,0,0,0,0
orz302d,54,729,673,0,0,0,0
orz302d,55,658,699,0,0,0,0
orz302d,56,588,577,0,0,0,0
orz302d,57,570,533,0,0,0,0
orz302d,58,679,606,0,0,0,0
orz302d,59,499,530,0,0,0,0
orz302d,60,819,722,0,0,0,0
orz302d,61,797,614,0,0,0,0
orz302d,62,767,763,0,0,0,0
orz302d,63,776,651,0,0,0,0
orz302d,64,604,583,0,0,0,0
orz302d,65,650,652,0,0,0,0
orz302d,66,727,539,0,0,0,0
orz302d,67,622,537,0,0,0,0
orz302d,68,627,523,0,0,0,0
orz302d,69,795,725,0,0,0,0
orz302d,70,590,506,0,0,0,0
orz302d,71,949,726,0,0,0,0
orz302d,72,639,568,0,0,0,0
orz302d,73,639,527,0,0,0,0
orz302d,74,986,682,0,0,0,0
orz302d,75,957,817,0,0,0,0
orz302d,76,1059,896,0,0,0,0
orz302d,77,905,658,0,0,0,0
orz302d,78,671,602,0,0,0,0
orz302d,79,687,559,0,0,0,0
orz302d,80,771,533,0,0,0,0
orz302d,81,789,598,0,0,0,0
orz302d,82,812,612,0,0,0,0
orz302d,83,765,524,0,0,0,0
orz302d,84,745,598,0,0,0,0
orz302d,85,761,588,0,0,0,0
orz302d,86,661,513,0,0,0,0
orz302d,87,677,479,0,0,0,0
orz302d,88,663,480,0,0,0,0
orz302d,89,1070,750,0,0,0,0
orz302d,90,1052,767,0,0,0,0
orz302d,91,1172,757,0,0,0,0
orz302d,92,1178,765,0,0,0,0
orz302d,93,1075,690,0,0,0,0
orz302d,94,853,611,0,0,0,0
orz302d,95,764,553,0,0,0,0
orz302d,96,1198,764,0,0,0,0
orz302d,97,1004,672,0,0,0,0
orz302d,98,1042,671,0,0,0,0
orz302d,99,905,565,0,0,0,0
orz302d,100,1035,624,0,0,0,0
orz302d,101,1028,677,0,0,0,0
orz302d,102,1039,723,0,0,0,0
orz302d,103,1100,604,0,0,0,0
orz302d,104,960,567,0,0,0,0
orz302d,105,892,563,0,0,0,0
orz302d,106,1451,789,0,0,0,0
orz302d,107,1159,736,0,0,0,0
orz302d,108,1462,1007,0,0,0,0
orz302d,109,1116,757,0,0,0,0
orz302d,110,1018,621,0,0,0,0
orz302d,111,849,588,0,0,0,0
orz302d,112,897,531,0,0,0,0
orz302d,113,942,524,0,0,0,0
orz302d,114,888,452,0,0,0,0
orz302d,115,1101,522,0,0,0,0
orz302d,116,1085,673,0,0,0,0
orz302d,117,921,578,0,0,0,0
orz302d,118,1070,522,0,0,0,0
orz302d,119,1003,602,0,0,0,0
orz302d,120,991,536,0,0,0,0
orz302d,121,1290,582,0,0,0,0
orz302d,122,1413,642,0,0,0,0
orz302d,123,992,518,0,0,0,0
orz302d,124,1450,864,0,0,0,0
orz302d,125,1250,618,0,0,0,0
orz302d,126,1391,839,0,0,0,0
orz302d,127,1190,725,0,0,0,0
orz302d,128,1278,641,0,0,0,0
orz302d,129,956,490,0,0,0,0
orz302d,130,1583,736,0,0,0,0
orz302d,131,1330,570,0,0,0,0
orz302d,132,1191,592,0,0,0,0
orz302d,133,1323,573,0,0,0,0
orz302d,134,981,426,0,0,0,0
orz302d,135,1191,517,0,0,0,0
orz302d,136,1143,560,0,0,0,0
orz302d,137,963,559,0,0,0,0
orz302d,138,1274,644,0,0,0,0
orz302d,139,1347,618,0,0,0,0
orz302d,140,1463,591,0,0,0,0
orz302d,141,1324,565,0,0,0,0
orz302d,142,1268,609,0,0,0,0
orz302d,143,1108,493,0,0,0,0
orz302d,144,1275,602,0,0,0,0
orz302d,145,1322,443,0,0,0,0
orz302d,146,1294,605,0,0,0,0
orz302d,147,1167,542,0,0,0,0
orz302d,148,985,487,0,0,0,0
orz302d,149,1002,512,0,0,0,0
orz302d,150,1406,528,0,0,0,0
orz302d,151,1695,683,0,0,0,0
orz302d,152,1368,485,0,0,0,0
orz302d,153,1429,583,0,0,0,0
orz302d,154,1412,514,0,0,0,0
orz302d,155,1449,701,0,0,0,0
orz302d,156,1284,499,0,0,0,0
orz302d,157,1200,420,0,0,0,0
orz302d,158,1050,412,0,0,0,0
orz302d,159,1096,403,0,0,0,0
orz302d,160,1389,499,0,0,0,0
orz302d,161,1311,519,0,0,0,0
orz302d,162,1335,610,0,0,0,0
orz302d,163,1333,501,0,0,0,0
orz302d,164,1323,549,0,0,0,0
orz302d,165,1345,520,0,0,0,0
