map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
ost000a,0,183,233,0,0,3,0
ost000a,1,150,228,0,0,3,0
ost000a,2,189,199,0,0,3,0
ost000a,3,177,162,0,0,3,0
ost000a,4,171,349,0,0,3,0
ost000a,5,298,229,0,0,3,0
ost000a,6,194,173,0,0,3,0
ost000a,7,231,257,0,0,3,0
ost000a,8,372,718,0,0,3,0
ost000a,9,283,400,0,0,3,0
ost000a,10,271,472,0,0,3,0
ost000a,11,267,391,0,0,3,0
ost000a,12,223,419,0,0,3,0
ost000a,13,266,236,0,0,3,0
ost000a,14,206,363,0,0,3,0
ost000a,15,537,781,0,0,3,0
ost000a,16,311,430,0,0,3,0
ost000a,17,499,618,0,0,3,0
ost000a,18,535,445,0,0,3,0
ost000a,19,302,318,0,0,3,0
ost000a,20,647,1051,0,0,3,0
ost000a,21,531,806,0,0,3,0
ost000a,22,643,943,0,0,3,0
ost000a,23,795,1147,0,0,3,0
ost000a,24,232,275,0,0,3,0
ost000a,25,442,423,0,0,3,0
ost000a,26,916,1165,0,0,3,0
ost000a,27,727,571,0,0,3,0
ost000a,28,1075,1789,0,0,3,0
ost000a,29,616,617,0,0,3,0
ost000a,30,837,950,0,0,3,0
ost000a,31,440,560,0,0,3,0
ost000a,32,809,1029,0,0,3,0
ost000a,33,673,688,0,0,3,0
ost000a,34,649,749,0,0,3,0
ost000a,35,1333,1297,0,0,3,0
ost000a,36,455,423,0,0,3,0
ost000a,37,442,1096,0,0,3,0
ost000a,38,685,1208,0,0,3,0
ost000a,39,463,929,0,0,3,0
ost000a,40,609,928,0,0,3,0
ost000a,41,1324,1945,0,0,3,0
ost000a,42,1065,1233,0,0,3,0
ost000a,43,426,871,0,0,3,0
ost000a,44,925,1421,0,0,3,0
ost000a,45,741,1282,0,0,3,0
ost000a,46,380,522,0,0,3,0
ost000a,47,451,796,0,0,3,0
ost000a,48,1010,967,0,0,3,0
ost000a,49,1066,999,0,0,3,0
ost000a,50,912,997,0,0,3,0
ost000a,51,586,1342,0,0,3,0
ost000a,52,766,1391,0,0,3,0
ost000a,53,957,1336,0,0,3,0
ost000a,54,2053,2697,0,0,3,0
ost000a,55,806,842,0,0,3,0
ost000a,56,1066,1335,0,0,3,0
ost000a,57,672,1491,0,0,3,0
ost000a,58,2448,3701,0,0,3,0
ost000a,59,597,507,0,0,3,0
ost000a,60,830,838,0,0,3,0
ost000a,61,830,1477,0,0,3,0
ost000a,62,1650,2248,0,0,3,0
ost000a,63,705,744,0,0,3,0
ost000a,64,802,828,0,0,3,0
ost000a,65,728,1255,0,0,3,0
ost000a,66,1265,1497,0,0,3,0
ost000a,67,975,1012,0,0,3,0
ost000a,68,651,1044,0,0,3,0
ost000a,69,692,1261,0,0,3,0
ost000a,70,1483,1597,0,0,3,0
ost000a,71,863,640,0,0,3,0
ost000a,72,2589,3541,0,0,3,0
ost000a,73,964,1193,0,0,3,0
ost000a,74,1486,2270,0,0,3,0
ost000a,75,1769,1698,0,0,3,0
ost000a,76,968,825,0,0,3,0
ost000a,77,1533,1491,0,0,3,0
ost000a,78,2734,3015,0,0,3,0
ost000a,79,1509,2256,0,0,3,0
ost000a,80,3673,3398,0,0,3,0
ost000a,81,1004,1081,0,0,3,0
ost000a,82,2522,2284,0,0,3,0
ost000a,83,1718,1414,0,0,3,0
ost000a,84,1611,1670,0,0,3,0
ost000a,85,2799,3502,0,0,3,0
ost000a,86,2004,1931,0,0,3,0
ost000a,87,878,732,0,0,3,0
ost000a,88,1803,2550,0,0,3,0
ost000a,89,1910,2086,0,0,3,0
ost000a,90,2475,1501,0,0,3,0
ost000a,91,1471,1273,0,0,3,0
ost000a,92,1847,1178,0,0,3,0
ost000a,93,1852,1708,0,0,3,0
ost000a,94,3558,3360,0,0,3,0
ost000a,95,1583,2158,0,0,3,0
ost000a,96,1509,2291,0,0,3,0
ost000a,97,1303,1079,0,0,3,0
ost000a,98,2071,1402,0,0,3,0
ost000a,99,3199,3272,0,0,3,0
ost000a,100,2119,1914,0,0,3,0
ost000a,101,1970,1578,0,0,3,0
ost000a,102,1070,881,0,0,3,0
ost000a,103,3446,2704,0,0,3,0
ost000a,104,2199,983,0,0,3,0
ost000a,105,2566,1298,0,0,3,0
ost000a,106,1596,913,0,0,3,0
ost000a,107,2490,2834,0,0,3,0
ost000a,108,1860,1414,0,0,3,0
ost000a,109,2314,2568,0,0,3,0
ost000a,110,2676,1694,0,0,3,0
ost000a,111,2130,1318,0,0,3,0
ost000a,112,1568,909,0,0,3,0
ost000a,113,3299,1964,0,0,3,0
ost000a,114,4427,4061,0,0,3,0
ost000a,115,3306,2801,0,0,3,0
ost000a,116,3622,2957,0,0,3,0
ost000a,117,2946,1875,0,0,3,0
ost000a,118,1324,751,0,0,3,0
ost000a,119,1833,1117,0,0,3,0
ost000a,120,1677,1702,0,0,3,0
ost000a,121,1183,697,0,0,3,0
ost000a,122,1940,1706,0,0,3,0
ost000a,123,4272,2922,0,0,3,0
ost000a,124,2726,2568,0,0,3,0
ost000a,125,3444,1842,0,0,3,0
ost000a,126,2990,1363,0,0,3,0
ost000a,127,1682,1327,0,0,3,0
ost000a,128,6087,2526,0,0,3,0
ost000a,129,2512,1702,0,0,3,0
ost000a,130,2600,1511,0,0,3,0
ost000a,131,1816,1552,0,0,3,0
ost000a,132,1508,1026,0,0,3,0
ost000a,133,2175,1361,0,0,3,0
ost000a,134,3423,1458,0,0,3,0
ost000a,135,4394,2272,0,0,3,0
ost000a,136,3227,2771,0,0,3,0
ost000a,137,3513,1827,0,0,3,0
ost000a,138,2430,1573,0,0,3,0
ost000a,139,1894,1415,0,0,3,0
ost000a,140,7041,4039,0,0,3,0
ost000a,141,2637,1839,0,0,3,0
ost000a,142,4658,2239,0,0,3,0
ost000a,143,4463,4180,0,0,3,0
ost000a,144,5324,2138,0,0,3,0
ost000a,145,2637,870,0,0,3,0
ost000a,146,5353,2398,0,0,3,0
ost000a,147,2133,1566,0,0,3,0
ost000a,148,3409,1411,0,0,3,0
ost000a,149,1955,801,0,0,3,0
ost000a,150,3558,2511,0,0,3,0
ost000a,151,2140,967,0,0,3,0
ost000a,152,4435,2080,0,0,3,0
ost000a,153,2043,741,0,0,3,0
ost000a,154,2702,1313,0,0,3,0
ost000a,155,4490,2325,0,0,3,0
ost000a,156,2429,1412,0,0,3,0
ost000a,157,3700,1960,0,0,3,0
ost000a,158,4654,1789,0,0,3,0
ost000a,159,6571,3196,0,0,3,0
ost000a,160,4221,1482,0,0,3,0
ost000a,161,1787,988,0,0,3,0
ost000a,162,5501,3043,0,0,3,0
ost000a,163,2248,872,0,0,3,0
ost000a,164,3330,1487,0,0,3,0
ost000a,165,3386,2256,0,0,3,0
ost000a,166,4892,1441,0,0,3,0
ost000a,167,5179,2118,0,0,3,0
ost000a,168,2208,884,0,0,3,0
ost000a,169,4889,2358,0,0,3,0
ost000a,170,5803,2009,0,0,3,0
ost000a,171,2413,1121,0,0,3,0
ost000a,172,2718,955,0,0,3,0
ost000a,173,5668,923,0,0,3,0
ost000a,174,2644,1230,0,0,3,0
ost000a,175,2452,773,0,0,3,0
ost000a,176,3479,1353,0,0,3,0
ost000a,177,5485,1525,0,0,3,0
ost000a,178,1745,816,0,0,3,0
ost000a,179,3443,953,0,0,3,0
ost000a,180,2741,648,0,0,3,0
ost000a,181,5931,4347,0,0,3,0
ost000a,182,6667,1882,0,0,3,0
ost000a,183,3446,619,0,0,3,0
ost000a,184,2301,887,0,0,3,0
ost000a,185,5831,2420,0,0,3,0
ost000a,186,6473,1552,0,0,3,0
ost000a,187,2800,865,0,0,3,0
ost000a,188,6742,2382,0,0,3,0
ost000a,189,3668,2143,0,0,3,0
ost000a,190,4522,2615,0,0,3,0
ost000a,191,2793,728,0,0,3,0
ost000a,192,3916,1465,0,0,3,0
ost000a,193,2864,587,0,0,3,0
ost000a,194,2149,530,0,0,3,0
ost000a,195,4349,1007,0,0,3,0
ost000a,196,5372,1937,0,0,3,0
ost000a,197,1869,822,0,0,3,0
ost000a,198,3585,1698,0,0,3,0
ost000a,199,4340,1153,0,0,3,0
ost000a,200,4090,954,0,0,3,0
ost000a,201,4042,1538,0,0,3,0
ost000a,202,5250,1860,0,0,3,0
ost000a,203,3612,2083,0,0,3,0
ost000a,204,4036,1270,0,0,3,0
ost000a,205,5797,2936,0,0,3,0
ost000a,206,3562,783,0,0,3,0
ost000a,207,3296,1205,0,0,3,0
ost000a,208,2649,1287,0,0,3,0
ost000a,209,7017,1852,0,0,3,0
ost000a,210,2893,1004,0,0,3,0
ost000a,211,2432,858,0,0,3,0
ost000a,212,4590,2556,0,0,3,0
ost000a,213,6510,1779,0,0,3,0
ost000a,214,3457,1417,0,0,3,0
ost000a,215,4295,1838,0,0,3,0
ost000a,216,2837,729,0,0,3,0
ost000a,217,7917,4514,0,0,3,0
ost000a,218,7238,1517,0,0,3,0
ost000a,219,3209,1260,0,0,3,0
ost000a,220,9665,2482,0,0,3,0
ost000a,221,3185,788,0,0,3,0
ost000a,222,3364,1726,0,0,3,0
ost000a,223,7821,3077,0,0,3,0
ost000a,224,5831,2054,0,0,3,0
ost000a,225,6723,2254,0,0,3,0
ost000a,226,6019,1722,0,0,3,0
ost000a,227,3047,1335,0,0,3,0
ost000a,228,7620,1845,0,0,3,0
ost000a,229,7726,3644,0,0,3,0
ost000a,230,3454,886,0,0,3,0
ost000a,231,3974,663,0,0,3,0
ost000a,232,5640,2018,0,0,3,0
ost000a,233,2868,547,0,0,3,0
ost000a,234,4931,1647,0,0,3,0
ost000a,235,4164,789,0,0,3,0
ost000a,236,2910,1044,0,0,3,0
ost000a,237,2592,728,0,0,3,0
ost000a,238,2135,1014,0,0,3,0
ost000a,239,5048,1094,0,0,3,0
ost000a,240,7076,1635,0,0,3,0
ost000a,241,3402,1529,0,0,3,0
ost000a,242,3977,1594,0,0,3,0
ost000a,243,2910,742,0,0,3,0
ost000a,244,6162,3129,0,0,3,0
ost000a,245,4792,2012,0,0,3,0
ost000a,246,2863,1020,0,0,3,0
ost000a,247,6897,1505,0,0,3,0
ost000a,248,4239,901,0,0,3,0
ost000a,249,3276,1066,0,0,3,0
ost000a,250,6133,1869,0,0,3,0
ost000a,251,5487,703,0,0,3,0
ost000a,252,6806,3564,0,0,3,0
ost000a,253,4625,1097,0,0,3,0
ost000a,254,5155,2193,0,0,3,0
ost000a,255,7777,2813,0,0,3,0
ost000a,256,6821,2000,0,0,3,0
ost000a,257,6365,1251,0,0,3,0
ost000a,258,6505,1311,0,0,3,0
ost000a,259,5463,2400,0,0,3,0
ost000a,260,4357,695,0,0,3,0
ost000a,261,6854,2130,0,0,3,0
ost000a,262,3584,602,0,0,3,0
ost000a,263,4693,678,0,0,3,0
ost000a,264,2747,881,0,0,3,0
ost000a,265,3243,628,0,0,3,0
ost000a,266,4239,933,0,0,3,0
ost000a,267,6627,2810,0,0,3,0
ost000a,268,4342,807,0,0,3,0
ost000a,269,2676,662,0,0,3,0
ost000a,270,6204,2128,0,0,3,0
ost000a,271,3379,740,0,0,3,0
ost000a,272,6397,2244,0,0,3,0
ost000a,273,6044,3155,0,0,3,0
ost000a,274,6510,863,0,0,3,0
ost000a,275,4608,764,0,0,3,0
ost000a,276,3412,1036,0,0,3,0
ost000a,277,4562,526,0,0,3,0
ost000a,278,3272,799,0,0,3,0
ost000a,279,3619,569,0,0,3,0
ost000a,280,9426,2236,0,0,3,0
ost000a,281,4878,704,0,0,3,0
ost000a,282,7169,2082,0,0,3,0
ost000a,283,3401,760,0,0,3,0
ost000a,284,5115,1102,0,0,3,0
ost000a,285,8169,2731,0,0,3,0
ost000a,286,4344,838,0,0,3,0
ost000a,287,3504,1002,0,0,3,0
ost000a,288,5587,1929,0,0,3,0
ost000a,289,4898,2149,0,0,3,0
ost000a,290,7661,1048,0,0,3,0
ost000a,291,5624,2359,0,0,3,0
ost000a,292,7182,710,0,0,3,0
ost000a,293,4367,738,0,0,3,0
ost000a,294,6276,1597,0,0,3,0
ost000a,295,5602,1585,0,0,3,0
ost000a,296,3807,932,0,0,3,0
ost000a,297,9696,1519,0,0,3,0
ost000a,298,3597,921,0,0,3,0
ost000a,299,2689,1453,0,0,3,0
ost000a,300,10860,1153,0,0,3,0
ost000a,301,4222,1116,0,0,3,0
ost000a,302,6810,3324,0,0,3,0
ost000a,303,6410,1774,0,0,3,0
ost000a,304,4922,893,0,0,3,0
ost000a,305,4041,908,0,0,3,0
ost000a,306,3394,896,0,0,3,0
ost000a,307,6690,822,0,0,3,0
ost000a,308,8207,1211,0,0,3,0
ost000a,309,3246,634,0,0,3,0
ost000a,310,5151,810,0,0,3,0
ost000a,311,5912,1192,0,0,3,0
ost000a,312,5223,677,0,0,3,0
ost000a,313,6990,844,0,0,3,0
ost000a,314,7134,892,0,0,3,0
ost000a,315,6891,2166,0,0,3,0
ost000a,316,6774,1812,0,0,3,0
ost000a,317,3704,689,0,0,3,0
ost000a,318,9209,1793,0,0,3,0
ost000a,319,5999,601,0,0,3,0
ost000a,320,7818,1511,0,0,3,0
ost000a,321,7527,3838,0,0,3,0
ost000a,322,3818,802,0,0,3,0
ost000a,323,5382,1956,0,0,3,0
ost000a,324,7035,1363,0,0,3,0
ost000a,325,3850,786,0,0,3,0
ost000a,326,6216,2849,0,0,3,0
ost000a,327,5834,869,0,0,3,0
ost000a,328,4096,1385,0,0,3,0
ost000a,329,6349,764,0,0,3,0
ost000a,330,10552,3565,0,0,3,0
ost000a,331,9020,814,0,0,3,0
ost000a,332,4012,1501,0,0,3,0
ost000a,333,7509,860,0,0,3,0
ost000a,334,7011,2933,0,0,3,0
ost000a,335,3950,1309,0,0,3,0
ost000a,336,3129,1864,0,0,3,0
ost000a,337,10332,2075,0,0,3,0
ost000a,338,3881,910,0,0,3,0
ost000a,339,3356,520,0,0,3,0
ost000a,340,7511,4848,0,0,3,0
ost000a,341,3625,678,0,0,3,0
ost000a,342,4812,895,0,0,3,0
ost000a,343,3911,788,0,0,3,0
ost000a,344,3336,621,0,0,3,0
ost000a,345,4949,2945,0,0,3,0
ost000a,346,6843,3782,0,0,3,0
ost000a,347,7198,1390,0,0,3,0
ost000a,348,5513,1561,0,0,3,0
ost000a,349,9380,3077,0,0,3,0
ost000a,350,4543,2796,0,0,3,0
ost000a,351,6081,1643,0,0,3,0
ost000a,352,8895,598,0,0,3,0
ost000a,353,3998,486,0,0,3,0
ost000a,354,7534,1763,0,0,3,0
ost000a,355,5062,717,0,0,3,0
ost000a,356,7510,1882,0,0,3,0
ost000a,357,6321,2009,0,0,3,0
ost000a,358,6356,2457,0,0,3,0
ost000a,359,3217,780,0,0,3,0
ost000a,360,9021,3312,0,0,3,0
ost000a,361,10643,3409,0,0,3,0
ost000a,362,5098,2435,0,0,3,0
ost000a,363,7650,679,0,0,3,0
ost000a,364,5037,1177,0,0,3,0
ost000a,365,3120,759,0,0,3,0
ost000a,366,6843,964,0,0,3,0
ost000a,367,4422,1751,0,0,3,0
ost000a,368,6506,788,0,0,3,0
ost000a,369,6465,1237,0,0,3,0
ost000a,370,9156,2005,0,0,3,0
ost000a,371,3918,873,0,0,3,0
ost000a,372,7463,1551,0,0,3,0
ost000a,373,4010,623,0,0,3,0
ost000a,374,3967,586,0,0,3,0
ost000a,375,6292,2281,0,0,3,0
ost000a,376,8025,1005,0,0,3,0
ost000a,377,4323,526,0,0,3,0
ost000a,378,3921,1097,0,0,3,0
ost000a,379,7783,1256,0,0,3,0
ost000a,380,11384,2312,0,0,3,0
ost000a,381,5974,1004,0,0,3,0
ost000a,382,4893,559,0,0,3,0
ost000a,383,7968,3662,0,0,3,0
ost000a,384,6739,2109,0,0,3,0
ost000a,385,6915,866,0,0,3,0
ost000a,386,5050,2085,0,0,3,0
ost000a,387,7685,1812,0,0,3,0
ost000a,388,7015,922,0,0,3,0
ost000a,389,8200,1967,0,0,3,0
ost000a,390,5309,1039,0,0,3,0
ost000a,391,8706,1683,0,0,3,0
ost000a,392,7567,1485,0,0,3,0
ost000a,393,6024,970,0,0,3,0
ost000a,394,5478,1987,0,0,3,0
ost000a,395,4582,728,0,0,3,0
ost000a,396,5257,763,0,0,3,0
ost000a,397,4172,1624,0,0,3,0
ost000a,398,11461,2997,0,0,3,0
ost000a,399,7812,2234,0,0,3,0
ost000a,400,10867,1995,0,0,3,0
ost000a,401,6093,2176,0,0,3,0
ost000a,402,3899,587,0,0,3,0
ost000a,403,6049,949,0,0,3,0
ost000a,404,8645,2131,0,0,3,0
ost000a,405,3386,703,0,0,3,0
ost000a,406,4021,1060,0,0,3,0
ost000a,407,4546,896,0,0,3,0
ost000a,408,5369,763,0,0,3,0
ost000a,409,4368,1714,0,0,3,0
ost000a,410,14610,2455,0,0,3,0
ost000a,411,8376,1045,0,0,3,0
ost000a,412,9540,4194,0,0,3,0
ost000a,413,6129,658,0,0,3,0
ost000a,414,6111,2163,0,0,3,0
ost000a,415,8855,1445,0,0,3,0
ost000a,416,10167,915,0,0,3,0
ost000a,417,6202,1974,0,0,3,0
ost000a,418,4521,483,0,0,3,0
ost000a,419,6217,720,0,0,3,0
ost000a,420,5050,669,0,0,3,0
ost000a,421,4125,625,0,0,3,0
ost000a,422,6442,2921,0,0,3,0
ost000a,423,3382,654,0,0,3,0
ost000a,424,7728,2781,0,0,3,0
ost000a,425,6706,2116,0,0,3,0
ost000a,426,11101,2341,0,0,3,0
ost000a,427,5075,925,0,0,3,0
ost000a,428,4436,741,0,0,3,0
ost000a,429,5777,649,0,0,3,0
ost000a,430,7171,1238,0,0,3,0
ost000a,431,4883,701,0,0,3,0
ost000a,432,6235,832,0,0,3,0
ost000a,433,5081,481,0,0,3,0
ost000a,434,4474,919,0,0,3,0
ost000a,435,3771,1115,0,0,3,0
ost000a,436,3747,2375,0,0,3,0
ost000a,437,5129,673,0,0,3,0
ost000a,438,5079,571,0,0,3,0
ost000a,439,5918,905,0,0,3,0
ost000a,440,3680,832,0,0,3,0
ost000a,441,5709,885,0,0,3,0
ost000a,442,4100,1183,0,0,3,0
ost000a,443,7414,3690,0,0,3,0
ost000a,444,4389,644,0,0,3,0
ost000a,445,7504,707,0,0,3,0
ost000a,446,7685,2411,0,0,3,0
ost000a,447,5040,2467,0,0,3,0
ost000a,448,8595,801,0,0,3,0
ost000a,449,11884,1520,0,0,3,0
ost000a,450,9092,1723,0,0,3,0
ost000a,451,8856,586,0,0,3,0
ost000a,452,6981,1621,0,0,3,0
ost000a,453,7141,853,0,0,3,0
ost000a,454,11284,892,0,0,3,0
ost000a,455,5916,1424,0,0,3,0
ost000a,456,5715,1169,0,0,3,0
ost000a,457,9359,1604,0,0,3,0
ost000a,458,7416,814,0,0,3,0
ost000a,459,5704,1394,0,0,3,0
ost000a,460,5147,1875,0,0,3,0
ost000a,461,4689,661,0,0,3,0
ost000a,462,6983,749,0,0,3,0
ost000a,463,7244,1113,0,0,3,0
ost000a,464,5667,1531,0,0,3,0
ost000a,465,10462,2510,0,0,3,0
ost000a,466,6241,1875,0,0,3,0
ost000a,467,6489,1224,0,0,3,0
ost000a,468,5351,621,0,0,3,0
ost000a,469,9065,3458,0,0,3,0
