map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
ost004d,0,152,160,0,0,0,0
ost004d,1,105,101,0,0,0,0
ost004d,2,117,111,0,0,0,0
ost004d,3,124,127,0,0,0,0
ost004d,4,96,93,0,0,0,0
ost004d,5,142,140,0,0,0,0
ost004d,6,122,129,0,0,0,0
ost004d,7,116,121,0,0,0,0
ost004d,8,116,107,0,0,0,0
ost004d,9,160,155,0,0,0,0
ost004d,10,165,157,0,0,0,0
ost004d,11,197,198,0,0,0,0
ost004d,12,169,163,0,0,0,0
ost004d,13,185,187,0,0,0,0
ost004d,14,221,225,0,0,0,0
ost004d,15,190,195,0,0,0,0
ost004d,16,210,243,0,0,0,0
ost004d,17,167,174,0,0,0,0
ost004d,18,165,166,0,0,0,0
ost004d,19,153,146,0,0,0,0
ost004d,20,257,278,0,0,0,0
ost004d,21,229,233,0,0,0,0
ost004d,22,249,246,0,0,0,0
ost004d,23,216,208,0,0,0,0
ost004d,24,281,280,0,0,0,0
ost004d,25,333,336,0,0,0,0
ost004d,26,235,237,0,0,0,0
ost004d,27,230,239,0,0,0,0
ost004d,28,207,208,0,0,0,0
ost004d,29,211,229,0,0,0,0
ost004d,30,364,371,0,0,0,0
ost004d,31,363,350,0,0,0,0
ost004d,32,313,338,0,0,0,0
ost004d,33,295,283,0,0,0,0
ost004d,34,290,301,0,0,0,0
ost004d,35,274,273,0,0,0,0
ost004d,36,341,355,0,0,0,0
ost004d,37,357,343,0,0,0,0
ost004d,38,297,309,0,0,0,0
ost004d,39,277,272,0,0,0,0
ost004d,40,386,399,0,0,0,0
ost004d,41,352,354,0,0,0,0
ost004d,42,373,381,0,0,0,0
ost004d,43,309,308,0,0,0,0
ost004d,44,307,308,0,0,0,0
ost004d,45,347,338,0,0,0,0
ost004d,46,326,327,0,0,0,0
ost004d,47,361,362,0,0,0,0
ost004d,48,406,415,0,0,0,0
ost004d,49,377,373,0,0,0,0
ost004d,50,442,480,0,0,0,0
ost004d,51,439,380,0,0,0,0
ost004d,52,404,405,0,0,0,0
ost004d,53,537,471,0,0,0,0
ost004d,54,399,387,0,0,0,0
ost004d,55,432,410,0,0,0,0
ost004d,56,386,379,0,0,0,0
ost004d,57,364,365,0,0,0,0
ost004d,58,396,391,0,0,0,0
ost004d,59,435,379,0,0,0,0
ost004d,60,494,467,0,0,0,0
ost004d,61,461,372,0,0,0,0
ost004d,62,438,380,0,0,0,0
ost004d,63,454,383,0,0,0,0
ost004d,64,422,371,0,0,0,0
ost004d,65,660,466,0,0,0,0
ost004d,66,472,485,0,0,0,0
ost004d,67,446,456,0,0,0,0
ost004d,68,506,441,0,0,0,0
ost004d,69,443,413,0,0,0,0
ost004d,70,645,523,0,0,0,0
ost004d,71,587,450,0,0,0,0
ost004d,72,573,390,0,0,0,0
ost004d,73,487,377,0,0,0,0
ost004d,74,526,442,0,0,0,0
ost004d,75,582,402,0,0,0,0
ost004d,76,625,510,0,0,0,0
ost004d,77,641,485,0,0,0,0
ost004d,78,607,439,0,0,0,0
ost004d,79,559,441,0,0,0,0
ost004d,80,614,380,0,0,0,0
ost004d,81,589,379,0,0,0,0
ost004d,82,675,522,0,0,0,0
ost004d,83,652,480,0,0,0,0
ost004d,84,546,409,0,0,0,0
ost004d,85,672,481,0,0,0,0
ost004d,86,668,478,0,0,0,0
ost004d,87,671,428,0,0,0,0
ost004d,88,604,392,0,0,0,0
ost004d,89,536,386,0,0,0,0
ost004d,90,795,523,0,0,0,0
ost004d,91,731,518,0,0,0,0
ost004d,92,775,447,0,0,0,0
ost004d,93,676,461,0,0,0,0
ost004d,94,687,520,0,0,0,0
ost004d,95,649,483,0,0,0,0
ost004d,96,683,493,0,0,0,0
ost004d,97,742,434,0,0,0,0
ost004d,98,596,401,0,0,0,0
ost004d,99,752,436,0,0,0,0
ost004d,100,764,505,0,0,0,0
ost004d,101,795,417,0,0,0,0
ost004d,102,893,597,0,0,0,0
ost004d,103,690,515,0,0,0,0
ost004d,104,651,441,0,0,0,0
ost004d,105,809,528,0,0,0,0
ost004d,106,755,483,0,0,0,0
ost004d,107,834,518,0,0,0,0
ost004d,108,819,475,0,0,0,0
ost004d,109,752,571,0,0,0,0
ost004d,110,748,392,0,0,0,0
ost004d,111,955,474,0,0,0,0
ost004d,112,736,470,0,0,0,0
ost004d,113,966,464,0,0,0,0
ost004d,114,808,458,0,0,0,0
ost004d,115,786,558,0,0,0,0
ost004d,116,802,398,0,0,0,0
ost004d,117,729,481,0,0,0,0
ost004d,118,767,508,0,0,0,0
ost004d,119,884,386,0,0,0,0
ost004d,120,1081,709,0,0,0,0
ost004d,121,1092,600,0,0,0,0
ost004d,122,754,453,0,0,0,0
ost004d,123,926,468,0,0,0,0
ost004d,124,960,648,0,0,0,0
ost004d,125,1277,628,0,0,0,0
ost004d,126,1227,687,0,0,0,0
ost004d,127,928,486,0,0,0,0
ost004d,128,1041,555,0,0,0,0
ost004d,129,1072,468,0,0,0,0
ost004d,130,999,583,0,0,0,0
ost004d,131,1120,642,0,0,0,0
ost004d,132,1243,716,0,0,0,0
ost004d,133,955,539,0,0,0,0
ost004d,134,1011,610,0,0,0,0
ost004d,135,1282,497,0,0,0,0
ost004d,136,1287,688,0,0,0,0
ost004d,137,1002,541,0,0,0,0
ost004d,138,945,570,0,0,0,0
ost004d,139,1117,439,0,0,0,0
ost004d,140,1113,578,0,0,0,0
ost004d,141,1191,405,0,0,0,0
ost004d,142,1057,523,0,0,0,0
