map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
ost004d,0,217,317,0,0,0,1
ost004d,1,137,141,0,0,0,1
ost004d,2,122,134,0,0,0,1
ost004d,3,205,218,0,0,0,1
ost004d,4,143,128,0,0,0,1
ost004d,5,168,160,0,0,0,1
ost004d,6,202,191,0,0,0,1
ost004d,7,196,186,0,0,0,1
ost004d,8,190,207,0,0,0,1
ost004d,9,219,242,0,0,0,1
ost004d,10,215,241,0,0,0,1
ost004d,11,425,443,0,0,0,1
ost004d,12,323,356,0,0,0,1
ost004d,13,325,354,0,0,0,1
ost004d,14,405,438,0,0,0,1
ost004d,15,316,350,0,0,0,1
ost004d,16,519,530,0,0,0,1
ost004d,17,380,384,0,0,0,1
ost004d,18,331,332,0,0,0,1
ost004d,19,249,240,0,0,0,1
ost004d,20,459,482,0,0,0,1
ost004d,21,436,478,0,0,0,1
ost004d,22,603,567,0,0,0,1
ost004d,23,476,443,0,0,0,1
ost004d,24,489,442,0,0,0,1
ost004d,25,501,488,0,0,0,1
ost004d,26,438,410,0,0,0,1
ost004d,27,433,418,0,0,0,1
ost004d,28,323,277,0,0,0,1
ost004d,29,341,327,0,0,0,1
ost004d,30,628,664,0,0,0,1
ost004d,31,369,402,0,0,0,1
ost004d,32,504,488,0,0,0,1
ost004d,33,445,520,0,0,0,1
ost004d,34,517,532,0,0,0,1
ost004d,35,435,434,0,0,0,1
ost004d,36,568,523,0,0,0,1
ost004d,37,731,652,0,0,0,1
ost004d,38,677,573,0,0,0,1
ost004d,39,518,504,0,0,0,1
ost004d,40,768,698,0,0,0,1
ost004d,41,490,483,0,0,0,1
ost004d,42,697,650,0,0,0,1
ost004d,43,801,808,0,0,0,1
ost004d,44,668,656,0,0,0,1
ost004d,45,523,496,0,0,0,1
ost004d,46,697,677,0,0,0,1
ost004d,47,767,779,0,0,0,1
ost004d,48,1043,1073,0,0,0,1
ost004d,49,717,631,0,0,0,1
ost004d,50,705,655,0,0,0,1
ost004d,51,957,790,0,0,0,1
ost004d,52,761,753,0,0,0,1
ost004d,53,736,618,0,0,0,1
ost004d,54,607,618,0,0,0,1
ost004d,55,836,728,0,0,0,1
ost004d,56,887,806,0,0,0,1
ost004d,57,1006,892,0,0,0,1
ost004d,58,836,803,0,0,0,1
ost004d,59,879,808,0,0,0,1
ost004d,60,853,727,0,0,0,1
ost004d,61,968,760,0,0,0,1
ost004d,62,903,758,0,0,0,1
ost004d,63,860,672,0,0,0,1
ost004d,64,803,679,0,0,0,1
ost004d,65,772,632,0,0,0,1
ost004d,66,953,766,0,0,0,1
ost004d,67,655,587,0,0,0,1
ost004d,68,1093,685,0,0,0,1
ost004d,69,932,733,0,0,0,1
ost004d,70,851,516,0,0,0,1
ost004d,71,922,527,0,0,0,1
ost004d,72,1126,721,0,0,0,1
ost004d,73,1117,814,0,0,0,1
ost004d,74,802,505,0,0,0,1
ost004d,75,690,468,0,0,0,1
ost004d,76,1308,885,0,0,0,1
ost004d,77,1254,764,0,0,0,1
ost004d,78,1403,847,0,0,0,1
ost004d,79,1161,778,0,0,0,1
ost004d,80,1321,682,0,0,0,1
ost004d,81,1185,676,0,0,0,1
ost004d,82,1076,500,0,0,0,1
ost004d,83,915,558,0,0,0,1
ost004d,84,1399,969,0,0,0,1
ost004d,85,914,474,0,0,0,1
ost004d,86,1138,628,0,0,0,1
ost004d,87,991,494,0,0,0,1
ost004d,88,1140,667,0,0,0,1
ost004d,89,1103,709,0,0,0,1
ost004d,90,1443,546,0,0,0,1
ost004d,91,1300,593,0,0,0,1
ost004d,92,1426,567,0,0,0,1
ost004d,93,926,478,0,0,0,1
ost004d,94,1651,996,0,0,0,1
ost004d,95,1322,870,0,0,0,1
ost004d,96,1165,702,0,0,0,1
ost004d,97,1765,869,0,0,0,1
ost004d,98,1357,926,0,0,0,1
ost004d,99,1248,435,0,0,0,1
ost004d,100,1283,508,0,0,0,1
ost004d,101,1440,630,0,0,0,1
ost004d,102,1740,663,0,0,0,1
ost004d,103,1503,846,0,0,0,1
ost004d,104,1296,745,0,0,0,1
ost004d,105,1203,611,0,0,0,1
ost004d,106,1424,722,0,0,0,1
ost004d,107,1405,668,0,0,0,1
ost004d,108,1678,891,0,0,0,1
ost004d,109,1477,757,0,0,0,1
ost004d,110,1481,693,0,0,0,1
ost004d,111,1757,519,0,0,0,1
ost004d,112,1544,812,0,0,0,1
ost004d,113,1994,601,0,0,0,1
ost004d,114,1578,809,0,0,0,1
ost004d,115,1507,785,0,0,0,1
ost004d,116,1441,509,0,0,0,1
ost004d,117,1276,562,0,0,0,1
ost004d,118,1807,1071,0,0,0,1
ost004d,119,1649,599,0,0,0,1
ost004d,120,1914,815,0,0,0,1
ost004d,121,1881,812,0,0,0,1
ost004d,122,1560,678,0,0,0,1
ost004d,123,1963,773,0,0,0,1
ost004d,124,1553,709,0,0,0,1
ost004d,125,2226,653,0,0,0,1
ost004d,126,1970,710,0,0,0,1
ost004d,127,1904,913,0,0,0,1
ost004d,128,2179,937,0,0,0,1
ost004d,129,2009,725,0,0,0,1
ost004d,130,1756,797,0,0,0,1
ost004d,131,1718,561,0,0,0,1
ost004d,132,1672,506,0,0,0,1
ost004d,133,2249,956,0,0,0,1
ost004d,134,1452,595,0,0,0,1
ost004d,135,2128,743,0,0,0,1
ost004d,136,1877,607,0,0,0,1
ost004d,137,2246,842,0,0,0,1
ost004d,138,2206,1046,0,0,0,1
ost004d,139,2398,730,0,0,0,1
ost004d,140,2375,805,0,0,0,1
ost004d,141,2190,578,0,0,0,1
ost004d,142,2353,815,0,0,0,1
ost004d,143,1810,923,0,0,0,1
ost004d,144,1759,787,0,0,0,1
ost004d,145,1991,556,0,0,0,1
ost004d,146,2046,573,0,0,0,1
ost004d,147,2240,974,0,0,0,1
ost004d,148,2426,623,0,0,0,1
ost004d,149,2122,616,0,0,0,1
ost004d,150,2416,842,0,0,0,1
ost004d,151,1943,749,0,0,0,1
ost004d,152,2098,837,0,0,0,1
ost004d,153,2169,850,0,0,0,1
ost004d,154,2400,531,0,0,0,1
ost004d,155,2401,933,0,0,0,1
ost004d,156,2124,763,0,0,0,1
ost004d,157,2549,759,0,0,0,1
ost004d,158,2569,729,0,0,0,1
ost004d,159,2767,605,0,0,0,1
ost004d,160,2382,677,0,0,0,1
ost004d,161,2724,558,0,0,0,1
ost004d,162,2152,551,0,0,0,1
ost004d,163,2543,748,0,0,0,1
ost004d,164,2302,600,0,0,0,1
ost004d,165,2685,711,0,0,0,1
ost004d,166,2823,623,0,0,0,1
ost004d,167,2207,719,0,0,0,1
ost004d,168,2245,718,0,0,0,1
ost004d,169,2987,645,0,0,0,1
