map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
oth001d,0,131,116,0,0,0,1
oth001d,1,102,79,0,0,0,1
oth001d,2,90,81,0,0,0,1
oth001d,3,73,60,0,0,0,1
oth001d,4,80,68,0,0,0,1
oth001d,5,70,71,0,0,0,1
oth001d,6,71,69,0,0,0,1
oth001d,7,79,79,0,0,0,1
oth001d,8,76,72,0,0,0,1
oth001d,9,67,65,0,0,0,1
oth001d,10,296,298,0,0,0,1
oth001d,11,383,311,0,0,0,1
oth001d,12,351,291,0,0,0,1
oth001d,13,228,234,0,0,0,1
oth001d,14,317,256,0,0,0,1
oth001d,15,229,240,0,0,0,1
oth001d,16,303,264,0,0,0,1
oth001d,17,216,171,0,0,0,1
oth001d,18,349,281,0,0,0,1
oth001d,19,346,342,0,0,0,1
oth001d,20,528,494,0,0,0,1
oth001d,21,461,354,0,0,0,1
oth001d,22,465,344,0,0,0,1
oth001d,23,481,425,0,0,0,1
oth001d,24,326,251,0,0,0,1
oth001d,25,379,334,0,0,0,1
oth001d,26,349,341,0,0,0,1
oth001d,27,420,386,0,0,0,1
oth001d,28,381,362,0,0,0,1
oth001d,29,497,444,0,0,0,1
oth001d,30,495,444,0,0,0,1
oth001d,31,557,503,0,0,0,1
oth001d,32,406,318,0,0,0,1
oth001d,33,436,399,0,0,0,1
oth001d,34,438,412,0,0,0,1
oth001d,35,587,485,0,0,0,1
oth001d,36,643,497,0,0,0,1
oth001d,37,401,355,0,0,0,1
oth001d,38,528,426,0,0,0,1
oth001d,39,501,407,0,0,0,1
oth001d,40,641,576,0,0,0,1
oth001d,41,665,577,0,0,0,1
oth001d,42,494,377,0,0,0,1
oth001d,43,553,526,0,0,0,1
oth001d,44,756,613,0,0,0,1
oth001d,45,603,512,0,0,0,1
oth001d,46,496,459,0,0,0,1
oth001d,47,663,548,0,0,0,1
oth001d,48,517,510,0,0,0,1
oth001d,49,498,432,0,0,0,1
oth001d,50,675,562,0,0,0,1
oth001d,51,604,591,0,0,0,1
oth001d,52,631,574,0,0,0,1
oth001d,53,682,567,0,0,0,1
oth001d,54,560,483,0,0,0,1
oth001d,55,620,575,0,0,0,1
oth001d,56,660,564,0,0,0,1
oth001d,57,535,449,0,0,0,1
oth001d,58,579,531,0,0,0,1
oth001d,59,768,629,0,0,0,1
oth001d,60,651,485,0,0,0,1
oth001d,61,653,426,0,0,0,1
oth001d,62,773,540,0,0,0,1
oth001d,63,781,569,0,0,0,1
oth001d,64,646,474,0,0,0,1
oth001d,65,579,478,0,0,0,1
oth001d,66,762,529,0,0,0,1
oth001d,67,706,507,0,0,0,1
oth001d,68,681,481,0,0,0,1
oth001d,69,669,456,0,0,0,1
oth001d,70,1056,663,0,0,0,1
oth001d,71,774,499,0,0,0,1
oth001d,72,653,428,0,0,0,1
oth001d,73,856,523,0,0,0,1
oth001d,74,818,468,0,0,0,1
oth001d,75,624,421,0,0,0,1
oth001d,76,895,513,0,0,0,1
oth001d,77,763,503,0,0,0,1
oth001d,78,881,549,0,0,0,1
oth001d,79,796,535,0,0,0,1
oth001d,80,890,568,0,0,0,1
oth001d,81,743,449,0,0,0,1
oth001d,82,1003,635,0,0,0,1
oth001d,83,871,452,0,0,0,1
oth001d,84,751,449,0,0,0,1
oth001d,85,835,430,0,0,0,1
oth001d,86,983,549,0,0,0,1
oth001d,87,869,482,0,0,0,1
oth001d,88,878,437,0,0,0,1
oth001d,89,1974,1556,0,0,0,1
oth001d,90,1068,508,0,0,0,1
oth001d,91,952,541,0,0,0,1
oth001d,92,905,445,0,0,0,1
oth001d,93,970,521,0,0,0,1
oth001d,94,1024,535,0,0,0,1
oth001d,95,1044,504,0,0,0,1
oth001d,96,1051,542,0,0,0,1
oth001d,97,784,461,0,0,0,1
oth001d,98,917,440,0,0,0,1
oth001d,99,858,508,0,0,0,1
oth001d,100,1019,482,0,0,0,1
oth001d,101,1291,488,0,0,0,1
oth001d,102,1006,537,0,0,0,1
oth001d,103,1008,465,0,0,0,1
oth001d,104,1085,490,0,0,0,1
oth001d,105,938,430,0,0,0,1
oth001d,106,1017,491,0,0,0,1
oth001d,107,999,506,0,0,0,1
oth001d,108,872,437,0,0,0,1
oth001d,109,1070,481,0,0,0,1
oth001d,110,1143,502,0,0,0,1
oth001d,111,1100,466,0,0,0,1
oth001d,112,938,452,0,0,0,1
oth001d,113,1120,519,0,0,0,1
oth001d,114,962,447,0,0,0,1
oth001d,115,945,468,0,0,0,1
oth001d,116,902,417,0,0,0,1
oth001d,117,1007,444,0,0,0,1
oth001d,118,938,448,0,0,0,1
oth001d,119,956,467,0,0,0,1
oth001d,120,1013,450,0,0,0,1
oth001d,121,1026,434,0,0,0,1
oth001d,122,1108,437,0,0,0,1
oth001d,123,1125,460,0,0,0,1
oth001d,124,1011,426,0,0,0,1
oth001d,125,983,428,0,0,0,1
oth001d,126,1051,464,0,0,0,1
oth001d,127,964,412,0,0,0,1
oth001d,128,966,415,0,0,0,1
oth001d,129,2782,1262,0,0,0,1
oth001d,130,1964,539,0,0,0,1
oth001d,131,1146,507,0,0,0,1
oth001d,132,1541,542,0,0,0,1
oth001d,133,965,426,0,0,0,1
oth001d,134,1098,460,0,0,0,1
oth001d,135,1249,497,0,0,0,1
oth001d,136,1089,460,0,0,0,1
oth001d,137,1059,449,0,0,0,1
oth001d,138,1051,467,0,0,0,1
oth001d,139,1082,464,0,0,0,1
oth001d,140,1345,460,0,0,0,1
oth001d,141,1264,430,0,0,0,1
oth001d,142,1322,490,0,0,0,1
oth001d,143,1158,460,0,0,0,1
oth001d,144,1082,431,0,0,0,1
oth001d,145,1175,448,0,0,0,1
oth001d,146,1250,441,0,0,0,1
oth001d,147,3192,1452,0,0,0,1
oth001d,148,1683,830,0,0,0,1
oth001d,149,2207,935,0,0,0,1
oth001d,150,1775,595,0,0,0,1
oth001d,151,1521,465,0,0,0,1
oth001d,152,1173,433,0,0,0,1
oth001d,153,1242,454,0,0,0,1
oth001d,154,1263,463,0,0,0,1
oth001d,155,3068,983,0,0,0,1
oth001d,156,2433,964,0,0,0,1
oth001d,157,2005,575,0,0,0,1
oth001d,158,2529,819,0,0,0,1
oth001d,159,1956,614,0,0,0,1
oth001d,160,1753,596,0,0,0,1
oth001d,161,1453,450,0,0,0,1
oth001d,162,1254,447,0,0,0,1
oth001d,163,1247,429,0,0,0,1
oth001d,164,1411,464,0,0,0,1
oth001d,165,1181,501,0,0,0,1
oth001d,166,1158,441,0,0,0,1
oth001d,167,1243,471,0,0,0,1
oth001d,168,1320,470,0,0,0,1
oth001d,169,1272,481,0,0,0,1
oth001d,170,1698,473,0,0,0,1
oth001d,171,1342,450,0,0,0,1
oth001d,172,1332,468,0,0,0,1
oth001d,173,2498,575,0,0,0,1
oth001d,174,1521,459,0,0,0,1
oth001d,175,1416,486,0,0,0,1
oth001d,176,1289,477,0,0,0,1
