map,scenid,total-src,20move-src,distance,path_size,hLevel,pure
oth999d,0,75,74,0,0,3,0
oth999d,1,75,60,0,0,3,0
oth999d,2,168,187,0,0,3,0
oth999d,3,159,162,0,0,3,0
oth999d,4,178,175,0,0,3,0
oth999d,5,132,120,0,0,3,0
oth999d,6,97,112,0,0,3,0
oth999d,7,147,132,0,0,3,0
oth999d,8,173,186,0,0,3,0
oth999d,9,152,159,0,0,3,0
oth999d,10,186,172,0,0,3,0
oth999d,11,263,247,0,0,3,0
oth999d,12,223,231,0,0,3,0
oth999d,13,220,222,0,0,3,0
oth999d,14,152,150,0,0,3,0
oth999d,15,136,142,0,0,3,0
oth999d,16,175,182,0,0,3,0
oth999d,17,238,237,0,0,3,0
oth999d,18,204,194,0,0,3,0
oth999d,19,169,168,0,0,3,0
oth999d,20,331,331,0,0,3,0
oth999d,21,260,228,0,0,3,0
oth999d,22,222,211,0,0,3,0
oth999d,23,332,329,0,0,3,0
oth999d,24,243,248,0,0,3,0
oth999d,25,317,318,0,0,3,0
oth999d,26,356,339,0,0,3,0
oth999d,27,274,260,0,0,3,0
oth999d,28,259,282,0,0,3,0
oth999d,29,250,232,0,0,3,0
oth999d,30,358,341,0,0,3,0
oth999d,31,286,292,0,0,3,0
oth999d,32,470,469,0,0,3,0
oth999d,33,299,294,0,0,3,0
oth999d,34,248,248,0,0,3,0
oth999d,35,271,271,0,0,3,0
oth999d,36,402,391,0,0,3,0
oth999d,37,410,404,0,0,3,0
oth999d,38,291,309,0,0,3,0
oth999d,39,277,259,0,0,3,0
oth999d,40,506,509,0,0,3,0
oth999d,41,314,311,0,0,3,0
oth999d,42,366,381,0,0,3,0
oth999d,43,321,318,0,0,3,0
oth999d,44,314,307,0,0,3,0
oth999d,45,310,307,0,0,3,0
oth999d,46,336,328,0,0,3,0
oth999d,47,325,313,0,0,3,0
oth999d,48,365,402,0,0,3,0
oth999d,49,489,476,0,0,3,0
oth999d,50,394,434,0,0,3,0
oth999d,51,413,429,0,0,3,0
oth999d,52,394,394,0,0,3,0
oth999d,53,399,393,0,0,3,0
oth999d,54,393,384,0,0,3,0
oth999d,55,670,592,0,0,3,0
oth999d,56,536,537,0,0,3,0
oth999d,57,529,522,0,0,3,0
oth999d,58,444,453,0,0,3,0
oth999d,59,591,559,0,0,3,0
oth999d,60,742,567,0,0,3,0
oth999d,61,586,491,0,0,3,0
oth999d,62,485,484,0,0,3,0
oth999d,63,481,458,0,0,3,0
oth999d,64,427,421,0,0,3,0
oth999d,65,466,404,0,0,3,0
oth999d,66,457,367,0,0,3,0
oth999d,67,621,537,0,0,3,0
oth999d,68,568,492,0,0,3,0
oth999d,69,443,408,0,0,3,0
oth999d,70,638,498,0,0,3,0
oth999d,71,486,408,0,0,3,0
oth999d,72,494,421,0,0,3,0
oth999d,73,655,546,0,0,3,0
oth999d,74,683,573,0,0,3,0
oth999d,75,522,427,0,0,3,0
oth999d,76,490,405,0,0,3,0
oth999d,77,789,594,0,0,3,0
oth999d,78,602,408,0,0,3,0
oth999d,79,741,551,0,0,3,0
oth999d,80,636,465,0,0,3,0
oth999d,81,578,393,0,0,3,0
oth999d,82,539,432,0,0,3,0
oth999d,83,513,425,0,0,3,0
oth999d,84,557,453,0,0,3,0
oth999d,85,561,405,0,0,3,0
oth999d,86,573,385,0,0,3,0
oth999d,87,611,385,0,0,3,0
oth999d,88,632,373,0,0,3,0
oth999d,89,584,379,0,0,3,0
oth999d,90,917,582,0,0,3,0
oth999d,91,682,404,0,0,3,0
oth999d,92,646,470,0,0,3,0
oth999d,93,591,400,0,0,3,0
oth999d,94,574,384,0,0,3,0
oth999d,95,607,394,0,0,3,0
oth999d,96,598,406,0,0,3,0
oth999d,97,605,385,0,0,3,0
oth999d,98,675,433,0,0,3,0
oth999d,99,820,505,0,0,3,0
oth999d,100,622,409,0,0,3,0
oth999d,101,565,391,0,0,3,0
oth999d,102,760,495,0,0,3,0
oth999d,103,813,484,0,0,3,0
oth999d,104,725,372,0,0,3,0
oth999d,105,716,442,0,0,3,0
oth999d,106,723,398,0,0,3,0
oth999d,107,831,408,0,0,3,0
oth999d,108,869,544,0,0,3,0
oth999d,109,938,456,0,0,3,0
oth999d,110,685,448,0,0,3,0
oth999d,111,766,443,0,0,3,0
oth999d,112,795,441,0,0,3,0
oth999d,113,683,396,0,0,3,0
oth999d,114,868,388,0,0,3,0
oth999d,115,797,400,0,0,3,0
oth999d,116,849,369,0,0,3,0
oth999d,117,832,359,0,0,3,0
oth999d,118,825,372,0,0,3,0
oth999d,119,713,469,0,0,3,0
oth999d,120,918,428,0,0,3,0
oth999d,121,852,428,0,0,3,0
oth999d,122,794,422,0,0,3,0
oth999d,123,813,396,0,0,3,0
oth999d,124,782,425,0,0,3,0
oth999d,125,988,457,0,0,3,0
oth999d,126,917,405,0,0,3,0
oth999d,127,980,533,0,0,3,0
oth999d,128,976,451,0,0,3,0
oth999d,129,939,434,0,0,3,0
oth999d,130,913,411,0,0,3,0
oth999d,131,906,472,0,0,3,0
oth999d,132,887,383,0,0,3,0
oth999d,133,952,402,0,0,3,0
oth999d,134,1031,541,0,0,3,0
oth999d,135,940,398,0,0,3,0
oth999d,136,912,390,0,0,3,0
oth999d,137,1006,453,0,0,3,0
oth999d,138,1009,525,0,0,3,0
oth999d,139,930,449,0,0,3,0
oth999d,140,971,460,0,0,3,0
oth999d,141,1141,535,0,0,3,0
oth999d,142,1038,439,0,0,3,0
oth999d,143,976,401,0,0,3,0
oth999d,144,848,382,0,0,3,0
oth999d,145,1046,538,0,0,3,0
oth999d,146,976,456,0,0,3,0
oth999d,147,967,465,0,0,3,0
oth999d,148,851,383,0,0,3,0
oth999d,149,879,434,0,0,3,0
