map,scenid,total-src,20move-src,distance,path_size,hLevel
random512-10-0,0,602,560,0,0,1
random512-10-0,1,164,74,0,0,1
random512-10-0,2,799,812,0,0,1
random512-10-0,3,577,581,0,0,1
random512-10-0,4,93,70,0,0,1
random512-10-0,5,469,453,0,0,1
random512-10-0,6,73,102,0,0,1
random512-10-0,7,965,915,0,0,1
random512-10-0,8,969,768,0,0,1
random512-10-0,9,601,787,0,0,1
random512-10-0,10,1488,1903,0,0,1
random512-10-0,11,1248,1166,0,0,1
random512-10-0,12,1384,1126,0,0,1
random512-10-0,13,842,525,0,0,1
random512-10-0,14,1506,1029,0,0,1
random512-10-0,15,1566,1083,0,0,1
random512-10-0,16,1410,1608,0,0,1
random512-10-0,17,1627,1231,0,0,1
random512-10-0,18,2058,1181,0,0,1
random512-10-0,19,1008,687,0,0,1
random512-10-0,20,1164,723,0,0,1
random512-10-0,21,1774,1699,0,0,1
random512-10-0,22,2472,1400,0,0,1
random512-10-0,23,1643,1818,0,0,1
random512-10-0,24,2010,2034,0,0,1
random512-10-0,25,2628,2816,0,0,1
random512-10-0,26,2188,1899,0,0,1
random512-10-0,27,2060,1463,0,0,1
random512-10-0,28,1616,1397,0,0,1
random512-10-0,29,1879,1681,0,0,1
random512-10-0,30,1917,2608,0,0,1
random512-10-0,31,2802,2684,0,0,1
random512-10-0,32,1785,1814,0,0,1
random512-10-0,33,2783,1887,0,0,1
random512-10-0,34,3882,2031,0,0,1
random512-10-0,35,2663,2820,0,0,1
random512-10-0,36,3050,3293,0,0,1
random512-10-0,37,3045,2681,0,0,1
random512-10-0,38,3898,2890,0,0,1
random512-10-0,39,3194,1983,0,0,1
random512-10-0,40,4520,3140,0,0,1
random512-10-0,41,4457,3424,0,0,1
random512-10-0,42,2240,995,0,0,1
random512-10-0,43,2759,4323,0,0,1
random512-10-0,44,4746,3695,0,0,1
random512-10-0,45,3904,5349,0,0,1
random512-10-0,46,3554,3473,0,0,1
random512-10-0,47,3342,3514,0,0,1
random512-10-0,48,3466,3211,0,0,1
random512-10-0,49,3031,3152,0,0,1
random512-10-0,50,4525,5005,0,0,1
random512-10-0,51,4032,3304,0,0,1
random512-10-0,52,4177,5005,0,0,1
random512-10-0,53,2778,3009,0,0,1
random512-10-0,54,4904,2954,0,0,1
random512-10-0,55,3402,3606,0,0,1
random512-10-0,56,4252,3508,0,0,1
random512-10-0,57,4577,2682,0,0,1
random512-10-0,58,5192,5520,0,0,1
random512-10-0,59,4677,1655,0,0,1
random512-10-0,60,6858,4533,0,0,1
random512-10-0,61,6581,3393,0,0,1
random512-10-0,62,5942,4605,0,0,1
random512-10-0,63,6223,3557,0,0,1
random512-10-0,64,6122,3595,0,0,1
random512-10-0,65,3444,3184,0,0,1
random512-10-0,66,5352,6356,0,0,1
random512-10-0,67,6127,5617,0,0,1
random512-10-0,68,4323,3428,0,0,1
random512-10-0,69,5407,6421,0,0,1
random512-10-0,70,6402,4123,0,0,1
random512-10-0,71,5869,3907,0,0,1
random512-10-0,72,7129,6066,0,0,1
random512-10-0,73,5736,3302,0,0,1
random512-10-0,74,6837,3824,0,0,1
random512-10-0,75,5893,2805,0,0,1
random512-10-0,76,6720,3265,0,0,1
random512-10-0,77,5283,5518,0,0,1
random512-10-0,78,6497,4220,0,0,1
random512-10-0,79,4612,2822,0,0,1
random512-10-0,80,8579,4187,0,0,1
random512-10-0,81,7171,4163,0,0,1
random512-10-0,82,7556,4112,0,0,1
random512-10-0,83,5050,3735,0,0,1
random512-10-0,84,7272,7110,0,0,1
random512-10-0,85,6782,3439,0,0,1
random512-10-0,86,8902,4075,0,0,1
random512-10-0,87,4915,4152,0,0,1
random512-10-0,88,6779,3388,0,0,1
random512-10-0,89,5756,3897,0,0,1
random512-10-0,90,7530,4080,0,0,1
random512-10-0,91,7900,4498,0,0,1
random512-10-0,92,6693,5096,0,0,1
random512-10-0,93,8686,3778,0,0,1
random512-10-0,94,8250,4330,0,0,1
random512-10-0,95,8004,5207,0,0,1
random512-10-0,96,5849,4056,0,0,1
random512-10-0,97,7018,4452,0,0,1
random512-10-0,98,6057,3946,0,0,1
random512-10-0,99,8221,4114,0,0,1
random512-10-0,100,10827,4798,0,0,1
random512-10-0,101,7923,2912,0,0,1
random512-10-0,102,8731,4937,0,0,1
random512-10-0,103,8739,4236,0,0,1
random512-10-0,104,7576,5879,0,0,1
random512-10-0,105,7863,5101,0,0,1
random512-10-0,106,8795,3936,0,0,1
random512-10-0,107,8744,5172,0,0,1
random512-10-0,108,9620,2980,0,0,1
random512-10-0,109,9976,4406,0,0,1
random512-10-0,110,8939,4273,0,0,1
random512-10-0,111,9209,3965,0,0,1
random512-10-0,112,9931,5784,0,0,1
random512-10-0,113,8607,4057,0,0,1
random512-10-0,114,7259,1856,0,0,1
random512-10-0,115,6625,2481,0,0,1
random512-10-0,116,10479,3918,0,0,1
random512-10-0,117,9853,5443,0,0,1
random512-10-0,118,8294,5248,0,0,1
random512-10-0,119,8432,3849,0,0,1
random512-10-0,120,9921,4322,0,0,1
random512-10-0,121,8543,4265,0,0,1
random512-10-0,122,10094,4524,0,0,1
random512-10-0,123,9357,3251,0,0,1
random512-10-0,124,10106,3933,0,0,1
random512-10-0,125,10691,5256,0,0,1
random512-10-0,126,11123,4603,0,0,1
random512-10-0,127,10245,3572,0,0,1
random512-10-0,128,8445,4849,0,0,1
random512-10-0,129,11558,4375,0,0,1
random512-10-0,130,10670,2560,0,0,1
random512-10-0,131,12747,5497,0,0,1
random512-10-0,132,8216,2910,0,0,1
random512-10-0,133,11974,4805,0,0,1
random512-10-0,134,8668,3503,0,0,1
random512-10-0,135,10542,4066,0,0,1
random512-10-0,136,13055,4690,0,0,1
random512-10-0,137,10385,4810,0,0,1
random512-10-0,138,9192,3017,0,0,1
random512-10-0,139,11788,4064,0,0,1
random512-10-0,140,8462,3273,0,0,1
random512-10-0,141,10789,5943,0,0,1
random512-10-0,142,13866,6727,0,0,1
random512-10-0,143,10469,3853,0,0,1
random512-10-0,144,13017,5616,0,0,1
random512-10-0,145,9952,5894,0,0,1
random512-10-0,146,13267,3379,0,0,1
random512-10-0,147,15473,3661,0,0,1
random512-10-0,148,10423,4814,0,0,1
random512-10-0,149,13084,5662,0,0,1
random512-10-0,150,11549,3570,0,0,1
random512-10-0,151,13458,4464,0,0,1
random512-10-0,152,12745,4884,0,0,1
random512-10-0,153,14032,6968,0,0,1
random512-10-0,154,13985,5771,0,0,1
random512-10-0,155,13607,6588,0,0,1
random512-10-0,156,11196,4736,0,0,1
random512-10-0,157,12035,3964,0,0,1
random512-10-0,158,15920,4530,0,0,1
random512-10-0,159,12898,4114,0,0,1
random512-10-0,160,8960,2992,0,0,1
random512-10-0,161,7977,3749,0,0,1
random512-10-0,162,12354,5328,0,0,1
random512-10-0,163,13201,3646,0,0,1
random512-10-0,164,13663,5629,0,0,1
random512-10-0,165,13554,4095,0,0,1
random512-10-0,166,13148,4884,0,0,1
random512-10-0,167,12477,5363,0,0,1
random512-10-0,168,12304,2832,0,0,1
random512-10-0,169,16294,4937,0,0,1
random512-10-0,170,13993,3005,0,0,1
random512-10-0,171,15745,5194,0,0,1
random512-10-0,172,12656,3792,0,0,1
random512-10-0,173,12522,3602,0,0,1
random512-10-0,174,12215,4373,0,0,1
random512-10-0,175,10878,4671,0,0,1
random512-10-0,176,12043,5231,0,0,1
random512-10-0,177,14035,4468,0,0,1
random512-10-0,178,8965,2963,0,0,1
random512-10-0,179,14403,4141,0,0,1
random512-10-0,180,12215,3506,0,0,1
random512-10-0,181,14904,5054,0,0,1
random512-10-0,182,14037,2277,0,0,1
random512-10-0,183,13526,3914,0,0,1
random512-10-0,184,7012,3466,0,0,1
random512-10-0,185,13408,2662,0,0,1
random512-10-0,186,11307,4680,0,0,1
random512-10-0,187,13611,5241,0,0,1
random512-10-0,188,7529,2343,0,0,1
random512-10-0,189,15870,5338,0,0,1
random512-10-0,190,15792,4576,0,0,1
random512-10-0,191,14782,5106,0,0,1
random512-10-0,192,14385,5166,0,0,1
random512-10-0,193,17288,3152,0,0,1
random512-10-0,194,11302,3084,0,0,1
random512-10-0,195,13894,5244,0,0,1
random512-10-0,196,9907,3884,0,0,1
random512-10-0,197,16685,5960,0,0,1
random512-10-0,198,13905,4810,0,0,1
random512-10-0,199,12185,5185,0,0,1
random512-10-0,200,14657,5526,0,0,1
random512-10-0,201,9862,1731,0,0,1
random512-10-0,202,12268,4456,0,0,1
random512-10-0,203,13628,3160,0,0,1
random512-10-0,204,13611,4957,0,0,1
random512-10-0,205,14451,3942,0,0,1
random512-10-0,206,14513,2829,0,0,1
random512-10-0,207,10078,2604,0,0,1
random512-10-0,208,14404,3783,0,0,1
random512-10-0,209,12823,3946,0,0,1
random512-10-0,210,12514,2957,0,0,1
random512-10-0,211,19444,4785,0,0,1
random512-10-0,212,19544,5452,0,0,1
random512-10-0,213,12493,4240,0,0,1
random512-10-0,214,16396,4929,0,0,1
random512-10-0,215,15727,3335,0,0,1
random512-10-0,216,17998,3602,0,0,1
random512-10-0,217,15223,4834,0,0,1
random512-10-0,218,18384,4739,0,0,1
random512-10-0,219,16282,4420,0,0,1
random512-10-0,220,22522,5273,0,0,1
random512-10-0,221,16457,3109,0,0,1
random512-10-0,222,17790,5934,0,0,1
random512-10-0,223,14151,4407,0,0,1
random512-10-0,224,19112,3966,0,0,1
random512-10-0,225,15513,3908,0,0,1
random512-10-0,226,15831,2783,0,0,1
random512-10-0,227,13391,3634,0,0,1
random512-10-0,228,17563,5200,0,0,1
random512-10-0,229,13098,3563,0,0,1
random512-10-0,230,17541,3087,0,0,1
random512-10-0,231,16187,5147,0,0,1
random512-10-0,232,19421,5178,0,0,1
random512-10-0,233,20235,6489,0,0,1
random512-10-0,234,15601,4111,0,0,1
random512-10-0,235,20128,6501,0,0,1
random512-10-0,236,17751,3942,0,0,1
random512-10-0,237,17888,3979,0,0,1
random512-10-0,238,15869,5179,0,0,1
random512-10-0,239,14322,5230,0,0,1
random512-10-0,240,19071,5672,0,0,1
random512-10-0,241,17999,5421,0,0,1
random512-10-0,242,16809,4936,0,0,1
random512-10-0,243,18595,4232,0,0,1
random512-10-0,244,18092,4757,0,0,1
random512-10-0,245,13814,2384,0,0,1
random512-10-0,246,18382,4424,0,0,1
random512-10-0,247,20696,3745,0,0,1
random512-10-0,248,18252,3782,0,0,1
random512-10-0,249,17039,3707,0,0,1
random512-10-0,250,20325,5904,0,0,1
random512-10-0,251,18822,3333,0,0,1
random512-10-0,252,21313,4111,0,0,1
random512-10-0,253,14426,3445,0,0,1
