map,scenid,total-src,20move-src,distance,path_size,hLevel
arena,0,129,142,0,0,0
arena,1,155,151,0,0,0
arena,2,177,174,0,0,0
arena,3,201,191,0,0,0
arena,4,164,162,0,0,0
arena,5,158,161,0,0,0
arena,6,98,104,0,0,0
arena,7,131,116,0,0,0
arena,8,167,170,0,0,0
arena,9,147,159,0,0,0
arena,10,206,172,0,0,0
arena,11,275,279,0,0,0
arena,12,200,172,0,0,0
arena,13,191,189,0,0,0
arena,14,161,158,0,0,0
arena,15,208,199,0,0,0
arena,16,185,192,0,0,0
arena,17,208,178,0,0,0
arena,18,138,153,0,0,0
arena,19,247,200,0,0,0
arena,20,248,258,0,0,0
arena,21,282,286,0,0,0
arena,22,329,318,0,0,0
arena,23,295,300,0,0,0
arena,24,192,182,0,0,0
arena,25,170,179,0,0,0
arena,26,297,276,0,0,0
arena,27,242,239,0,0,0
arena,28,239,234,0,0,0
arena,29,211,210,0,0,0
arena,30,288,282,0,0,0
arena,31,289,261,0,0,0
arena,32,234,206,0,0,0
arena,33,224,223,0,0,0
arena,34,249,241,0,0,0
arena,35,290,290,0,0,0
arena,36,319,303,0,0,0
arena,37,270,274,0,0,0
arena,38,280,282,0,0,0
arena,39,302,300,0,0,0
arena,40,418,410,0,0,0
arena,41,324,349,0,0,0
arena,42,318,339,0,0,0
arena,43,351,362,0,0,0
arena,44,360,356,0,0,0
arena,45,419,422,0,0,0
arena,46,302,298,0,0,0
arena,47,367,363,0,0,0
arena,48,405,388,0,0,0
arena,49,322,336,0,0,0
arena,50,436,431,0,0,0
arena,51,456,430,0,0,0
arena,52,439,441,0,0,0
arena,53,595,594,0,0,0
arena,54,481,449,0,0,0
arena,55,422,411,0,0,0
arena,56,504,496,0,0,0
arena,57,477,469,0,0,0
arena,58,446,419,0,0,0
arena,59,390,397,0,0,0
arena,60,503,483,0,0,0
arena,61,491,439,0,0,0
arena,62,451,430,0,0,0
arena,63,453,477,0,0,0
arena,64,441,446,0,0,0
arena,65,546,486,0,0,0
arena,66,602,495,0,0,0
arena,67,572,480,0,0,0
arena,68,404,442,0,0,0
arena,69,566,453,0,0,0
arena,70,517,487,0,0,0
arena,71,517,515,0,0,0
arena,72,580,518,0,0,0
arena,73,621,441,0,0,0
arena,74,536,472,0,0,0
arena,75,600,478,0,0,0
arena,76,600,439,0,0,0
arena,77,661,525,0,0,0
arena,78,597,458,0,0,0
arena,79,720,463,0,0,0
arena,80,677,525,0,0,0
arena,81,624,551,0,0,0
arena,82,799,498,0,0,0
arena,83,727,426,0,0,0
arena,84,710,468,0,0,0
arena,85,593,521,0,0,0
arena,86,652,411,0,0,0
arena,87,658,401,0,0,0
arena,88,616,441,0,0,0
arena,89,594,506,0,0,0
arena,90,722,511,0,0,0
arena,91,655,441,0,0,0
arena,92,671,507,0,0,0
arena,93,603,493,0,0,0
arena,94,733,627,0,0,0
arena,95,885,587,0,0,0
arena,96,806,465,0,0,0
arena,97,685,354,0,0,0
arena,98,652,351,0,0,0
arena,99,660,432,0,0,0
arena,100,778,482,0,0,0
arena,101,729,455,0,0,0
arena,102,729,491,0,0,0
arena,103,667,518,0,0,0
arena,104,855,565,0,0,0
arena,105,768,499,0,0,0
arena,106,731,481,0,0,0
arena,107,704,472,0,0,0
arena,108,780,564,0,0,0
arena,109,699,557,0,0,0
arena,110,692,463,0,0,0
arena,111,1144,678,0,0,0
arena,112,834,471,0,0,0
arena,113,951,497,0,0,0
arena,114,932,542,0,0,0
arena,115,995,461,0,0,0
arena,116,727,479,0,0,0
arena,117,972,606,0,0,0
arena,118,670,441,0,0,0
arena,119,831,390,0,0,0
arena,120,684,446,0,0,0
arena,121,755,507,0,0,0
arena,122,681,465,0,0,0
arena,123,739,483,0,0,0
arena,124,765,476,0,0,0
arena,125,1111,600,0,0,0
arena,126,717,454,0,0,0
arena,127,970,618,0,0,0
arena,128,890,484,0,0,0
arena,129,875,494,0,0,0
arena,130,957,576,0,0,0
arena,131,810,485,0,0,0
arena,132,916,540,0,0,0
arena,133,867,583,0,0,0
arena,134,1003,574,0,0,0
arena,135,809,450,0,0,0
arena,136,846,500,0,0,0
arena,137,924,521,0,0,0
arena,138,781,455,0,0,0
arena,139,1009,501,0,0,0
arena,140,928,520,0,0,0
arena,141,884,468,0,0,0
arena,142,1571,805,0,0,0
arena,143,1028,515,0,0,0
arena,144,881,479,0,0,0
arena,145,1483,608,0,0,0
arena,146,1054,490,0,0,0
arena,147,1098,545,0,0,0
arena,148,847,510,0,0,0
arena,149,951,512,0,0,0
arena,150,1003,578,0,0,0
arena,151,1052,571,0,0,0
arena,152,1046,482,0,0,0
arena,153,925,499,0,0,0
arena,154,836,455,0,0,0
arena,155,1093,526,0,0,0
arena,156,883,440,0,0,0
arena,157,1162,485,0,0,0
arena,158,984,582,0,0,0
arena,159,869,475,0,0,0
