map,scenid,total-src,20move-src,distance,path_size,hLevel
random512-10-0,0,662,704,0,0,2
random512-10-0,1,140,73,0,0,2
random512-10-0,2,842,976,0,0,2
random512-10-0,3,543,572,0,0,2
random512-10-0,4,72,67,0,0,2
random512-10-0,5,375,499,0,0,2
random512-10-0,6,70,73,0,0,2
random512-10-0,7,1119,1182,0,0,2
random512-10-0,8,861,759,0,0,2
random512-10-0,9,563,882,0,0,2
random512-10-0,10,1419,2126,0,0,2
random512-10-0,11,1301,1298,0,0,2
random512-10-0,12,1396,1293,0,0,2
random512-10-0,13,1158,740,0,0,2
random512-10-0,14,1682,1353,0,0,2
random512-10-0,15,1604,1501,0,0,2
random512-10-0,16,1635,1714,0,0,2
random512-10-0,17,1617,1356,0,0,2
random512-10-0,18,1736,1080,0,0,2
random512-10-0,19,1193,1013,0,0,2
random512-10-0,20,1477,641,0,0,2
random512-10-0,21,1695,1685,0,0,2
random512-10-0,22,2246,1700,0,0,2
random512-10-0,23,1474,1787,0,0,2
random512-10-0,24,1769,1970,0,0,2
random512-10-0,25,2874,2958,0,0,2
random512-10-0,26,2179,1769,0,0,2
random512-10-0,27,1961,1643,0,0,2
random512-10-0,28,1823,1652,0,0,2
random512-10-0,29,1842,1463,0,0,2
random512-10-0,30,2050,3185,0,0,2
random512-10-0,31,2864,2896,0,0,2
random512-10-0,32,1927,1880,0,0,2
random512-10-0,33,2976,2773,0,0,2
random512-10-0,34,3739,2059,0,0,2
random512-10-0,35,2767,3107,0,0,2
random512-10-0,36,2924,3340,0,0,2
random512-10-0,37,2727,2368,0,0,2
random512-10-0,38,4575,3157,0,0,2
random512-10-0,39,2715,1901,0,0,2
random512-10-0,40,4082,2831,0,0,2
random512-10-0,41,4224,3821,0,0,2
random512-10-0,42,2379,1248,0,0,2
random512-10-0,43,2964,3858,0,0,2
random512-10-0,44,5049,4044,0,0,2
random512-10-0,45,3973,5220,0,0,2
random512-10-0,46,4209,4048,0,0,2
random512-10-0,47,3052,3450,0,0,2
random512-10-0,48,3457,3229,0,0,2
random512-10-0,49,2698,3295,0,0,2
random512-10-0,50,4438,5072,0,0,2
random512-10-0,51,4081,4021,0,0,2
random512-10-0,52,4035,5339,0,0,2
random512-10-0,53,2483,2874,0,0,2
random512-10-0,54,4582,3508,0,0,2
random512-10-0,55,2949,3615,0,0,2
random512-10-0,56,4682,3953,0,0,2
random512-10-0,57,4100,2611,0,0,2
random512-10-0,58,4520,5204,0,0,2
random512-10-0,59,4413,1807,0,0,2
random512-10-0,60,7084,4543,0,0,2
random512-10-0,61,5783,3433,0,0,2
random512-10-0,62,5241,4286,0,0,2
random512-10-0,63,6004,3491,0,0,2
random512-10-0,64,6113,3595,0,0,2
random512-10-0,65,4504,3817,0,0,2
random512-10-0,66,4405,5282,0,0,2
random512-10-0,67,6890,5966,0,0,2
random512-10-0,68,4558,4069,0,0,2
random512-10-0,69,5143,6113,0,0,2
random512-10-0,70,6396,4791,0,0,2
random512-10-0,71,5546,3367,0,0,2
random512-10-0,72,7094,6306,0,0,2
random512-10-0,73,6100,3700,0,0,2
random512-10-0,74,7098,3972,0,0,2
random512-10-0,75,5725,3014,0,0,2
random512-10-0,76,6393,3875,0,0,2
random512-10-0,77,4456,5214,0,0,2
random512-10-0,78,6235,4528,0,0,2
random512-10-0,79,4697,2784,0,0,2
random512-10-0,80,9107,4219,0,0,2
random512-10-0,81,6902,3950,0,0,2
random512-10-0,82,7746,4837,0,0,2
random512-10-0,83,4800,3340,0,0,2
random512-10-0,84,6946,6372,0,0,2
random512-10-0,85,6305,4014,0,0,2
random512-10-0,86,8217,3687,0,0,2
random512-10-0,87,5113,3909,0,0,2
random512-10-0,88,6264,2970,0,0,2
random512-10-0,89,6287,4421,0,0,2
random512-10-0,90,6405,3709,0,0,2
random512-10-0,91,7298,4425,0,0,2
