map,scenid,total,20move,distance,path_size,hLevel
arena2,0,379,330,3.82843,4,0
arena2,1,287,267,3.41421,4,0
arena2,2,284,279,2.41421,3,0
arena2,3,312,301,2.41421,3,0
arena2,4,302,301,3.82843,4,0
arena2,5,271,250,2.41421,3,0
arena2,6,295,266,3.82843,4,0
arena2,7,267,265,2.41421,3,0
arena2,8,169,186,1,2,0
arena2,9,144,140,1,2,0
arena2,10,447,435,6.65685,6,0
arena2,11,165,130,4,5,0
arena2,12,167,179,7,8,0
arena2,13,287,333,7.24264,7,0
arena2,14,271,261,6.41421,7,0
arena2,15,320,296,5.24264,5,0
arena2,16,406,383,7.24264,7,0
arena2,17,145,143,4,5,0
arena2,18,342,330,5.65685,5,0
arena2,19,281,285,6.41421,7,0
arena2,20,286,264,10.4142,11,0
arena2,21,292,311,11.3137,9,0
arena2,22,389,430,11.8995,10,0
arena2,23,463,419,10.8995,9,0
arena2,24,303,283,10.2426,10,0
arena2,25,501,476,9.82843,10,0
arena2,26,340,330,10.4142,11,0
arena2,27,169,168,10,11,0
arena2,28,440,480,10.4853,9,0
arena2,29,451,423,10.4142,11,0
arena2,30,540,527,14.8995,13,0
arena2,31,303,290,15.4853,14,0
arena2,32,410,434,15.6569,15,0
arena2,33,308,324,15.6569,15,0
arena2,34,789,751,15.0711,14,0
arena2,35,319,340,14.6569,14,0
arena2,36,467,460,14.6569,14,0
arena2,37,244,275,12.8284,13,0
arena2,38,299,309,15.4142,16,0
arena2,39,210,208,12.8995,11,0
arena2,40,532,501,16.7279,14,0
arena2,41,299,317,18.8284,19,0
arena2,42,327,330,16.9706,13,0
arena2,43,339,355,16.4853,15,0
arena2,44,476,492,19.8284,20,0
arena2,45,513,460,19.3848,15,0
arena2,46,397,361,16.0711,15,0
arena2,47,279,283,18.6569,18,0
arena2,48,446,378,19.8995,18,0
arena2,49,385,391,16.1421,13,0
arena2,50,512,484,23.799,19,0
arena2,51,504,487,23.6569,23,0
arena2,52,527,508,21.5563,18,0
arena2,53,459,470,23.0711,22,0
arena2,54,317,324,23.2426,23,0
arena2,55,524,532,22.1421,19,0
arena2,56,404,380,20.3137,18,0
arena2,57,473,476,22.8995,21,0
arena2,58,803,763,21.1421,18,0
arena2,59,269,295,23.7279,21,0
arena2,60,632,622,25.6274,20,0
arena2,61,388,363,25.1421,22,0
arena2,62,674,537,27.8995,26,0
arena2,63,166,182,24,25,0
arena2,64,401,392,24.8995,23,0
arena2,65,252,273,27.4142,28,0
arena2,66,573,591,27.3848,23,0
arena2,67,493,441,26.0711,25,0
arena2,68,570,470,27.3137,25,0
arena2,69,627,653,27.6274,22,0
arena2,70,287,251,28.8284,29,0
arena2,71,816,609,31.3137,29,0
arena2,72,387,406,28.5563,25,0
arena2,73,526,473,29.8284,30,0
arena2,74,420,389,31.2426,31,0
arena2,75,822,615,31.3137,29,0
arena2,76,679,388,29.8995,28,0
arena2,77,582,556,28.0416,22,0
arena2,78,429,430,29.1421,26,0
arena2,79,527,532,28.3137,26,0
arena2,80,308,302,33.4142,34,0
arena2,81,560,252,35.6569,35,0
arena2,82,863,923,32.2132,27,0
arena2,83,686,680,33.5563,30,0
arena2,84,606,572,35.9411,27,0
arena2,85,708,678,35.2132,30,0
arena2,86,740,778,33.799,29,0
arena2,87,503,382,33.2843,26,0
arena2,88,891,496,34.1421,31,0
arena2,89,430,294,34.9411,26,0
arena2,90,316,321,37.3137,35,0
arena2,91,165,177,39,40,0
arena2,92,925,629,39.5269,31,0
arena2,93,319,345,36.6569,36,0
arena2,94,954,805,39.2132,34,0
arena2,95,306,312,37.0711,36,0
arena2,96,279,277,36.4142,37,0
arena2,97,316,321,39.6569,39,0
arena2,98,654,516,36.2843,29,0
arena2,99,763,584,38.2132,33,0
arena2,100,842,438,42.799,38,0
arena2,101,572,561,42.2132,37,0
arena2,102,904,519,43.4264,32,0
arena2,103,672,384,42.4853,41,0
arena2,104,602,321,43.6985,36,0
arena2,105,400,412,43.6569,43,0
arena2,106,541,408,43.1838,33,0
arena2,107,985,576,40.799,36,0
arena2,108,693,408,42.4853,41,0
arena2,109,320,291,41.8995,40,0
arena2,110,460,432,44.7279,42,0
arena2,111,826,313,44.8995,43,0
arena2,112,1038,664,44.0416,38,0
arena2,113,1021,686,45.8406,34,0
arena2,114,901,670,45.2843,38,0
arena2,115,1058,804,45.9706,42,0
arena2,116,851,601,44.2132,39,0
arena2,117,1039,722,46.7696,37,0
arena2,118,926,755,45.5269,37,0
arena2,119,618,369,45.6274,40,0
arena2,120,936,493,50.669,38,0
arena2,121,460,254,51.8995,50,0
arena2,122,706,716,50.2132,45,0
arena2,123,392,362,51.7279,49,0
arena2,124,421,387,51.4853,50,0
arena2,125,658,620,48.0416,42,0
arena2,126,678,409,48.5563,45,0
arena2,127,752,422,49.9706,46,0
arena2,128,1021,491,51.6985,44,0
arena2,129,996,492,50.0833,37,0
arena2,130,729,394,52.9706,49,0
arena2,131,663,302,53.1421,50,0
arena2,132,277,272,55.8995,54,0
arena2,133,773,323,54.3137,52,0
arena2,134,1002,479,52.598,42,0
arena2,135,372,375,55.8284,56,0
arena2,136,820,410,55.799,51,0
arena2,137,702,516,54.9706,51,0
arena2,138,927,401,54.1838,44,0
arena2,139,971,466,54.0833,41,0
arena2,140,998,423,56.7696,47,0
arena2,141,711,355,58.4558,52,0
arena2,142,813,337,59.2548,47,0
arena2,143,684,430,57.799,53,0
arena2,144,985,661,57.3259,43,0
arena2,145,1216,511,56.1838,46,0
arena2,146,893,699,56.6985,49,0
arena2,147,808,844,58.2132,53,0
arena2,148,756,485,58.0711,57,0
arena2,149,1082,853,56.6985,49,0
arena2,150,1095,393,63.9706,60,0
arena2,151,866,400,61.3848,57,0
arena2,152,602,292,61.799,57,0
arena2,153,716,302,60.6274,55,0
arena2,154,1021,499,60.0122,49,0
arena2,155,514,411,61.7279,59,0
arena2,156,731,306,60.3848,56,0
arena2,157,847,567,61.7696,52,0
arena2,158,681,336,63.3553,54,0
arena2,159,1117,611,62.1838,52,0
arena2,160,780,479,67.8995,66,0
arena2,161,562,330,67.669,55,0
arena2,162,791,438,67.8701,61,0
arena2,163,1207,830,66.8406,55,0
arena2,164,921,437,64.1838,54,0
arena2,165,809,596,66.2132,61,0
arena2,166,1149,480,67.2548,55,0
arena2,167,904,274,65.3553,56,0
arena2,168,862,427,66.7696,57,0
arena2,169,746,455,66.3553,57,0
arena2,170,988,718,69.5269,61,0
arena2,171,1003,581,68.8112,52,0
arena2,172,1174,294,68.2548,56,0
arena2,173,679,360,71.8406,60,0
arena2,174,847,426,68.4558,62,0
arena2,175,1014,656,68.1838,58,0
arena2,176,866,350,68.2843,61,0
arena2,177,933,545,70.0711,69,0
arena2,178,751,681,68.799,64,0
arena2,179,876,398,69.8995,68,0
arena2,180,822,442,72.799,68,0
arena2,181,663,384,72.9706,69,0
arena2,182,792,426,75.9706,72,0
arena2,183,543,299,72.3137,70,0
arena2,184,842,341,72.8995,71,0
arena2,185,908,348,73.4853,72,0
arena2,186,1150,403,73.5269,65,0
arena2,187,851,433,72.1127,64,0
arena2,188,1158,346,75.3553,66,0
arena2,189,1012,420,74.9706,71,0
arena2,190,654,330,79.3137,77,0
arena2,191,792,429,78.2132,73,0
arena2,192,1041,508,77.3553,68,0
arena2,193,655,566,79.2843,72,0
arena2,194,807,418,77.2132,72,0
arena2,195,773,395,77.1421,74,0
arena2,196,1249,617,76.7401,62,0
arena2,197,1133,399,79.598,69,0
arena2,198,697,296,76.2426,76,0
arena2,199,646,313,76.0711,75,0
arena2,200,789,270,80.2843,73,0
arena2,201,1048,639,81.0122,70,0
arena2,202,1126,551,83.9828,68,0
arena2,203,942,449,80.0711,79,0
arena2,204,1099,667,82.6985,75,0
arena2,205,697,309,81.4264,70,0
arena2,206,832,384,80.7279,78,0
arena2,207,1093,484,81.5269,73,0
arena2,208,1168,587,83.4975,70,0
arena2,209,835,431,83.2548,71,0
arena2,210,817,473,84.2132,79,0
arena2,211,888,387,85.4558,79,0
arena2,212,1073,312,87.1127,79,0
arena2,213,643,275,85.799,81,0
arena2,214,759,344,86.9706,83,0
arena2,215,941,393,85.669,73,0
arena2,216,1148,464,84.4264,73,0
arena2,217,1149,539,84.6274,79,0
arena2,218,1120,410,85.7401,71,0
arena2,219,1318,412,86.0122,75,0
arena2,220,1068,373,88.5269,80,0
arena2,221,901,490,90.5269,82,0
arena2,222,1075,363,90.598,80,0
arena2,223,769,344,88.799,84,0
arena2,224,1029,239,91.3553,82,0
arena2,225,508,139,90.3137,88,0
arena2,226,971,564,89.6396,72,0
arena2,227,1111,492,90.3259,76,0
arena2,228,1274,476,91.0416,85,0
arena2,229,1453,438,89.8822,71,0
arena2,230,1008,539,93.2843,86,0
arena2,231,1731,500,95.8112,79,0
arena2,232,1233,404,93.2254,76,0
arena2,233,1153,403,93.4386,70,0
arena2,234,1202,557,92.5391,72,0
arena2,235,1058,440,95.9828,80,0
arena2,236,1210,782,95.1127,87,0
arena2,237,1183,749,95.6985,88,0
arena2,238,823,389,94.7279,92,0
arena2,239,1248,423,93.6985,86,0
arena2,240,1371,403,99.468,81,0
arena2,241,1022,315,97.0538,79,0
arena2,242,1181,500,96.7401,82,0
arena2,243,858,441,98.1127,90,0
arena2,244,1203,322,98.598,88,0
arena2,245,772,459,98.0416,92,0
arena2,246,776,713,98.3553,89,0
arena2,247,541,581,98.1421,95,0
arena2,248,703,574,97.6274,92,0
arena2,249,1094,444,97.196,75,0
arena2,250,922,397,100.255,88,0
arena2,251,1439,677,102.61,80,0
arena2,252,1129,343,102.184,92,0
arena2,253,759,260,101.426,90,0
arena2,254,913,356,102.799,98,0
arena2,255,1096,435,101.213,96,0
arena2,256,851,150,102.213,97,0
arena2,257,944,253,100.698,93,0
arena2,258,832,397,103.527,95,0
arena2,259,793,469,103.698,96,0
arena2,260,1063,314,104.184,94,0
arena2,261,1826,341,104.154,89,0
arena2,262,1585,585,105.64,88,0
arena2,263,1272,374,105.054,87,0
arena2,264,1538,414,104.012,93,0
arena2,265,1515,596,107.083,94,0
arena2,266,1074,459,106.497,93,0
arena2,267,914,408,107.284,100,0
arena2,268,1536,504,104.368,83,0
arena2,269,1546,381,106.426,95,0
arena2,270,1188,383,109.426,98,0
arena2,271,1211,463,111.569,96,0
arena2,272,1161,360,108.882,90,0
arena2,273,880,656,108.527,100,0
arena2,274,960,366,110.841,99,0
arena2,275,1303,291,110.255,98,0
arena2,276,771,364,109.556,106,0
arena2,277,1646,633,109.569,94,0
arena2,278,1099,502,109.627,104,0
arena2,279,1294,481,110.497,97,0
arena2,280,1263,321,113.113,105,0
arena2,281,1748,577,112.811,96,0
arena2,282,1382,461,113.184,103,0
arena2,283,1597,536,113.083,100,0
arena2,284,1168,259,115.225,98,0
arena2,285,1439,512,114.426,103,0
arena2,286,1393,661,112.397,96,0
arena2,287,1355,367,113.841,102,0
arena2,288,1445,692,114.368,93,0
arena2,289,837,540,113.527,105,0
arena2,290,1581,360,118.882,100,0
arena2,291,1461,453,118.77,109,0
arena2,292,1645,396,118.995,91,0
arena2,293,1625,565,119.338,93,0
arena2,294,1599,294,118.953,98,0
arena2,295,1199,330,117.74,103,0
arena2,296,1539,620,118.326,104,0
arena2,297,1117,550,116.012,105,0
arena2,298,1458,282,119.569,104,0
arena2,299,909,378,116.284,109,0
arena2,300,1300,321,121.083,108,0
arena2,301,1517,618,120.983,105,0
arena2,302,1059,512,120.225,103,0
arena2,303,1430,533,122.125,102,0
arena2,304,1398,455,120.255,108,0
arena2,305,2022,708,123.51,98,0
arena2,306,962,540,121.627,116,0
arena2,307,1368,621,120.995,93,0
arena2,308,1071,555,120.284,113,0
arena2,309,1233,356,120.74,106,0
arena2,310,1184,266,126.924,101,0
arena2,311,2148,701,124.125,104,0
arena2,312,1457,416,127.61,105,0
arena2,313,1139,410,126.782,105,0
arena2,314,1213,441,125.527,117,0
arena2,315,751,275,125.385,121,0
arena2,316,1412,310,125.953,105,0
arena2,317,1161,528,125.355,116,0
arena2,318,1267,332,126.012,115,0
arena2,319,1263,370,127.326,113,0
arena2,320,1205,379,128.225,111,0
arena2,321,1145,406,131.61,109,0
arena2,322,1474,382,129.51,104,0
arena2,323,1044,432,129.882,111,0
arena2,324,1848,336,131.983,116,0
arena2,325,1093,377,129.113,121,0
arena2,326,1195,290,128.054,110,0
arena2,327,1558,476,128.841,117,0
arena2,328,1425,411,130.711,111,0
arena2,329,1474,644,131.61,109,0
arena2,330,1004,269,135.971,132,0
arena2,331,1222,512,134.64,117,0
arena2,332,1852,633,133.397,117,0
arena2,333,1684,561,132.113,124,0
arena2,334,1342,291,134.941,126,0
arena2,335,1532,593,134.296,115,0
arena2,336,1861,444,132.497,119,0
arena2,337,1267,259,133.042,127,0
arena2,338,1042,370,135.598,125,0
arena2,339,891,340,132.912,119,0
arena2,340,1946,624,138.853,115,0
arena2,341,1710,679,138.326,124,0
arena2,342,963,318,137.284,130,0
arena2,343,1121,468,138.569,123,0
arena2,344,1674,467,137.51,112,0
arena2,345,1727,390,138.752,112,0
arena2,346,1223,301,137.368,116,0
arena2,347,1211,304,137.083,124,0
arena2,348,641,239,139.698,132,0
arena2,349,1323,489,136.983,121,0
arena2,350,1746,689,142.61,120,0
arena2,351,1003,332,143.012,132,0
arena2,352,1540,559,142.054,124,0
arena2,353,1465,700,140.426,129,0
arena2,354,1304,638,141.284,134,0
arena2,355,984,453,141.184,131,0
arena2,356,1429,342,140.61,118,0
arena2,357,1295,507,140.711,121,0
arena2,358,1092,240,142.167,115,0
arena2,359,1174,211,143.255,131,0
arena2,360,1569,345,146.284,139,0
arena2,361,780,268,146.355,137,0
arena2,362,1174,371,145.77,136,0
arena2,363,1752,438,145.066,115,0
arena2,364,1138,335,144.184,134,0
arena2,365,2321,529,144.167,117,0
arena2,366,1734,390,146.74,132,0
arena2,367,1201,285,146.255,134,0
arena2,368,962,368,144.326,130,0
arena2,369,843,254,146.698,139,0
arena2,370,924,259,150.74,136,0
arena2,371,1447,579,149.912,136,0
arena2,372,1800,355,150.953,130,0
arena2,373,1483,364,148.539,128,0
arena2,374,1237,290,149.527,141,0
arena2,375,1420,348,150.309,119,0
arena2,376,1121,321,149.125,129,0
arena2,377,1034,252,149.941,141,0
arena2,378,1679,338,148.752,122,0
arena2,379,1845,351,149.054,131,0
arena2,380,1522,393,153.924,128,0
arena2,381,1386,321,153.225,136,0
arena2,382,871,368,155.799,151,0
arena2,383,1864,399,155.622,121,0
arena2,384,1858,524,155.238,126,0
arena2,385,1254,325,154.338,128,0
arena2,386,1393,574,155.894,125,0
arena2,387,1606,681,155.397,139,0
arena2,388,1164,340,155.267,131,0
arena2,389,1385,261,154.983,139,0
arena2,390,1202,252,158.326,144,0
arena2,391,1436,382,157.196,135,0
arena2,392,1068,113,159.598,149,0
arena2,393,2147,558,157.468,139,0
arena2,394,1784,481,159.882,141,0
arena2,395,977,250,158.711,139,0
arena2,396,1092,399,157.113,149,0
arena2,397,1372,321,158.882,140,0
