map,scenid,total-src,20move-src,distance,path_size,hLevel
arena2,0,299,279,0,0,2
arena2,1,381,410,0,0,2
arena2,2,179,203,0,0,2
arena2,3,162,191,0,0,2
arena2,4,402,483,0,0,2
arena2,5,187,176,0,0,2
arena2,6,255,274,0,0,2
arena2,7,251,269,0,0,2
arena2,8,147,162,0,0,2
arena2,9,198,188,0,0,2
arena2,10,241,260,0,0,2
arena2,11,275,299,0,0,2
arena2,12,213,207,0,0,2
arena2,13,336,349,0,0,2
arena2,14,868,1010,0,0,2
arena2,15,222,230,0,0,2
arena2,16,164,166,0,0,2
arena2,17,148,153,0,0,2
arena2,18,971,961,0,0,2
arena2,19,442,449,0,0,2
arena2,20,455,436,0,0,2
arena2,21,258,267,0,0,2
arena2,22,615,641,0,0,2
arena2,23,697,681,0,0,2
arena2,24,522,554,0,0,2
arena2,25,300,287,0,0,2
arena2,26,242,234,0,0,2
arena2,27,637,664,0,0,2
arena2,28,266,282,0,0,2
arena2,29,845,893,0,0,2
arena2,30,628,599,0,0,2
arena2,31,364,328,0,0,2
arena2,32,938,1027,0,0,2
arena2,33,999,950,0,0,2
arena2,34,534,559,0,0,2
arena2,35,842,918,0,0,2
arena2,36,333,307,0,0,2
arena2,37,869,862,0,0,2
arena2,38,1264,1227,0,0,2
arena2,39,397,366,0,0,2
arena2,40,872,897,0,0,2
arena2,41,1046,1038,0,0,2
arena2,42,1193,1146,0,0,2
arena2,43,1101,975,0,0,2
arena2,44,1337,1551,0,0,2
arena2,45,1765,1862,0,0,2
arena2,46,1221,1297,0,0,2
arena2,47,1812,1846,0,0,2
arena2,48,812,838,0,0,2
arena2,49,1252,1193,0,0,2
arena2,50,1131,1082,0,0,2
arena2,51,1955,1866,0,0,2
arena2,52,1274,1317,0,0,2
arena2,53,2161,2112,0,0,2
arena2,54,1845,1917,0,0,2
arena2,55,1760,1963,0,0,2
arena2,56,1143,1069,0,0,2
arena2,57,1902,1833,0,0,2
arena2,58,1230,1259,0,0,2
arena2,59,1216,1300,0,0,2
arena2,60,1665,1618,0,0,2
arena2,61,2243,2338,0,0,2
arena2,62,1819,1690,0,0,2
arena2,63,1271,1090,0,0,2
arena2,64,1198,1034,0,0,2
arena2,65,1437,1337,0,0,2
arena2,66,1934,1869,0,0,2
arena2,67,2200,2106,0,0,2
arena2,68,2001,1898,0,0,2
arena2,69,1527,1429,0,0,2
arena2,70,2115,2036,0,0,2
arena2,71,1703,1174,0,0,2
arena2,72,1687,1637,0,0,2
arena2,73,1126,1095,0,0,2
arena2,74,1302,1287,0,0,2
arena2,75,2080,1182,0,0,2
arena2,76,1421,1387,0,0,2
arena2,77,2127,1483,0,0,2
arena2,78,1582,1376,0,0,2
arena2,79,1083,863,0,0,2
arena2,80,1513,1336,0,0,2
arena2,81,3323,2423,0,0,2
arena2,82,2500,2381,0,0,2
arena2,83,1740,1254,0,0,2
arena2,84,2558,2285,0,0,2
arena2,85,2384,2180,0,0,2
arena2,86,2473,1934,0,0,2
arena2,87,1835,1743,0,0,2
arena2,88,2402,1688,0,0,2
arena2,89,1707,1209,0,0,2
arena2,90,1245,737,0,0,2
arena2,91,2276,1079,0,0,2
arena2,92,3128,2245,0,0,2
arena2,93,1666,1209,0,0,2
arena2,94,1854,1534,0,0,2
arena2,95,2389,1872,0,0,2
arena2,96,1966,1378,0,0,2
arena2,97,1895,1350,0,0,2
arena2,98,1531,1042,0,0,2
arena2,99,2818,1746,0,0,2
arena2,100,2366,939,0,0,2
arena2,101,1900,1215,0,0,2
arena2,102,2254,1214,0,0,2
arena2,103,2390,1099,0,0,2
arena2,104,3260,2239,0,0,2
arena2,105,3652,2146,0,0,2
arena2,106,2266,1352,0,0,2
arena2,107,2119,1052,0,0,2
arena2,108,1751,1121,0,0,2
arena2,109,3071,2019,0,0,2
arena2,110,2288,712,0,0,2
arena2,111,1509,610,0,0,2
arena2,112,2579,1826,0,0,2
arena2,113,2071,1349,0,0,2
arena2,114,3299,1665,0,0,2
arena2,115,2391,1019,0,0,2
arena2,116,3413,1701,0,0,2
arena2,117,3987,2198,0,0,2
arena2,118,2854,2472,0,0,2
arena2,119,3117,2198,0,0,2
arena2,120,1987,594,0,0,2
arena2,121,2027,1219,0,0,2
arena2,122,1810,760,0,0,2
arena2,123,2156,1312,0,0,2
arena2,124,2712,1638,0,0,2
arena2,125,4476,2226,0,0,2
arena2,126,1702,740,0,0,2
arena2,127,979,440,0,0,2
arena2,128,2823,1008,0,0,2
arena2,129,1938,818,0,0,2
arena2,130,2148,1185,0,0,2
arena2,131,1663,1093,0,0,2
arena2,132,2370,1911,0,0,2
arena2,133,2932,1654,0,0,2
arena2,134,3601,2225,0,0,2
arena2,135,4299,1907,0,0,2
arena2,136,3408,1950,0,0,2
arena2,137,3083,2152,0,0,2
arena2,138,3474,1350,0,0,2
arena2,139,3509,1263,0,0,2
arena2,140,3008,1374,0,0,2
arena2,141,2830,1083,0,0,2
arena2,142,4028,2245,0,0,2
arena2,143,3171,957,0,0,2
arena2,144,4613,1941,0,0,2
arena2,145,2039,557,0,0,2
arena2,146,4183,963,0,0,2
arena2,147,3778,2125,0,0,2
arena2,148,2550,987,0,0,2
arena2,149,2960,805,0,0,2
arena2,150,4297,1265,0,0,2
arena2,151,5394,1931,0,0,2
arena2,152,2784,915,0,0,2
arena2,153,4922,1264,0,0,2
arena2,154,2910,883,0,0,2
arena2,155,3353,1311,0,0,2
arena2,156,3954,2511,0,0,2
arena2,157,3785,1784,0,0,2
arena2,158,3037,1210,0,0,2
arena2,159,2532,534,0,0,2
arena2,160,5538,1790,0,0,2
arena2,161,3740,1302,0,0,2
arena2,162,3132,1016,0,0,2
arena2,163,3396,2440,0,0,2
arena2,164,2983,654,0,0,2
arena2,165,3938,1303,0,0,2
arena2,166,5084,1944,0,0,2
arena2,167,2805,840,0,0,2
arena2,168,3186,1110,0,0,2
arena2,169,2441,1005,0,0,2
arena2,170,3288,1025,0,0,2
arena2,171,4129,1901,0,0,2
arena2,172,3446,788,0,0,2
arena2,173,3331,956,0,0,2
arena2,174,3389,999,0,0,2
arena2,175,3370,1010,0,0,2
arena2,176,4889,2421,0,0,2
arena2,177,6331,1888,0,0,2
arena2,178,2266,1015,0,0,2
arena2,179,4737,1357,0,0,2
arena2,180,4528,1247,0,0,2
arena2,181,5454,1861,0,0,2
arena2,182,3470,745,0,0,2
arena2,183,3797,1729,0,0,2
arena2,184,4169,1944,0,0,2
arena2,185,4049,2083,0,0,2
arena2,186,4447,1907,0,0,2
arena2,187,3265,782,0,0,2
arena2,188,3993,1121,0,0,2
arena2,189,3131,1534,0,0,2
arena2,190,3894,1738,0,0,2
arena2,191,5108,1594,0,0,2
arena2,192,3863,956,0,0,2
arena2,193,4859,973,0,0,2
arena2,194,4193,1132,0,0,2
arena2,195,5426,2003,0,0,2
arena2,196,4885,1094,0,0,2
arena2,197,3661,1042,0,0,2
arena2,198,6508,2316,0,0,2
arena2,199,4339,2141,0,0,2
arena2,200,4649,1970,0,0,2
arena2,201,5076,1774,0,0,2
arena2,202,3704,1238,0,0,2
arena2,203,4905,1309,0,0,2
arena2,204,2796,855,0,0,2
arena2,205,4144,1665,0,0,2
arena2,206,2316,545,0,0,2
arena2,207,3374,810,0,0,2
arena2,208,4354,1896,0,0,2
arena2,209,4843,2355,0,0,2
arena2,210,5588,1644,0,0,2
arena2,211,4684,1011,0,0,2
arena2,212,3794,948,0,0,2
arena2,213,3717,1069,0,0,2
arena2,214,2843,756,0,0,2
