map,scenid,total-src,20move-src,distance,path_size,hLevel
brc000d,0,250,326,0,0,3
brc000d,1,144,225,0,0,3
brc000d,2,155,232,0,0,3
brc000d,3,174,247,0,0,3
brc000d,4,136,169,0,0,3
brc000d,5,160,225,0,0,3
brc000d,6,145,188,0,0,3
brc000d,7,170,193,0,0,3
brc000d,8,145,155,0,0,3
brc000d,9,124,160,0,0,3
brc000d,10,297,296,0,0,3
brc000d,11,247,312,0,0,3
brc000d,12,380,288,0,0,3
brc000d,13,178,155,0,0,3
brc000d,14,275,230,0,0,3
brc000d,15,285,278,0,0,3
brc000d,16,459,376,0,0,3
brc000d,17,135,136,0,0,3
brc000d,18,138,135,0,0,3
brc000d,19,302,374,0,0,3
brc000d,20,294,361,0,0,3
brc000d,21,327,308,0,0,3
brc000d,22,262,287,0,0,3
brc000d,23,308,291,0,0,3
brc000d,24,232,219,0,0,3
brc000d,25,628,461,0,0,3
brc000d,26,302,301,0,0,3
brc000d,27,633,631,0,0,3
brc000d,28,868,805,0,0,3
brc000d,29,263,345,0,0,3
brc000d,30,484,463,0,0,3
brc000d,31,446,501,0,0,3
brc000d,32,689,968,0,0,3
brc000d,33,331,405,0,0,3
brc000d,34,661,833,0,0,3
brc000d,35,469,591,0,0,3
brc000d,36,322,340,0,0,3
brc000d,37,308,296,0,0,3
brc000d,38,816,658,0,0,3
brc000d,39,416,399,0,0,3
brc000d,40,849,846,0,0,3
brc000d,41,981,1016,0,0,3
brc000d,42,770,888,0,0,3
brc000d,43,641,816,0,0,3
brc000d,44,765,755,0,0,3
brc000d,45,619,551,0,0,3
brc000d,46,464,405,0,0,3
brc000d,47,510,491,0,0,3
brc000d,48,791,717,0,0,3
brc000d,49,482,589,0,0,3
brc000d,50,527,480,0,0,3
brc000d,51,1184,1493,0,0,3
brc000d,52,687,659,0,0,3
brc000d,53,1085,947,0,0,3
brc000d,54,532,491,0,0,3
brc000d,55,1332,1178,0,0,3
brc000d,56,1361,1240,0,0,3
brc000d,57,839,801,0,0,3
brc000d,58,1117,1227,0,0,3
brc000d,59,1529,1414,0,0,3
brc000d,60,1071,992,0,0,3
brc000d,61,959,884,0,0,3
brc000d,62,743,730,0,0,3
brc000d,63,1005,917,0,0,3
brc000d,64,1111,967,0,0,3
brc000d,65,870,784,0,0,3
brc000d,66,1219,1037,0,0,3
brc000d,67,807,722,0,0,3
brc000d,68,906,839,0,0,3
brc000d,69,880,839,0,0,3
brc000d,70,1005,1216,0,0,3
brc000d,71,748,617,0,0,3
brc000d,72,1203,1178,0,0,3
brc000d,73,806,644,0,0,3
brc000d,74,1316,1115,0,0,3
brc000d,75,1471,1210,0,0,3
brc000d,76,1144,1023,0,0,3
brc000d,77,937,922,0,0,3
brc000d,78,825,842,0,0,3
brc000d,79,934,789,0,0,3
brc000d,80,1385,1130,0,0,3
brc000d,81,903,872,0,0,3
brc000d,82,1045,844,0,0,3
brc000d,83,1224,1174,0,0,3
brc000d,84,1487,788,0,0,3
brc000d,85,1117,1027,0,0,3
brc000d,86,1003,868,0,0,3
brc000d,87,1219,950,0,0,3
brc000d,88,1210,874,0,0,3
brc000d,89,1403,1039,0,0,3
brc000d,90,1110,907,0,0,3
brc000d,91,1279,605,0,0,3
brc000d,92,1027,700,0,0,3
brc000d,93,1678,1289,0,0,3
brc000d,94,1233,1035,0,0,3
brc000d,95,1075,831,0,0,3
brc000d,96,1862,1527,0,0,3
brc000d,97,1576,1017,0,0,3
brc000d,98,1427,828,0,0,3
brc000d,99,1024,784,0,0,3
brc000d,100,1382,849,0,0,3
brc000d,101,2584,1153,0,0,3
brc000d,102,1526,784,0,0,3
brc000d,103,1403,905,0,0,3
