map,scenid,total,20move,distance,path_size,hLevel
brc999d,0,433,358,3.82843,4,0
brc999d,1,207,201,3,4,0
brc999d,2,192,174,2,3,0
brc999d,3,279,317,3.82843,4,0
brc999d,4,383,375,3.41421,4,0
brc999d,5,197,205,3,4,0
brc999d,6,192,192,2,3,0
brc999d,7,349,322,2.41421,3,0
brc999d,8,231,223,1.41421,2,0
brc999d,9,359,404,3.82843,4,0
brc999d,10,267,284,4.41421,5,0
brc999d,11,564,561,5.24264,5,0
brc999d,12,230,213,5.65685,5,0
brc999d,13,335,326,6.65685,6,0
brc999d,14,546,528,7.82843,8,0
brc999d,15,348,337,6.24264,6,0
brc999d,16,299,319,7.82843,8,0
brc999d,17,438,424,6.65685,6,0
brc999d,18,271,247,5.41421,6,0
brc999d,19,317,286,4.24264,4,0
brc999d,20,316,306,8.41421,9,0
brc999d,21,324,321,9.48528,8,0
brc999d,22,312,310,11.4142,12,0
brc999d,23,274,286,8.65685,8,0
brc999d,24,398,410,8.07107,7,0
brc999d,25,317,333,9.82843,10,0
brc999d,26,502,446,8.24264,8,0
brc999d,27,289,303,11.2426,11,0
brc999d,28,598,546,10.0711,9,0
brc999d,29,273,273,9.65685,9,0
brc999d,30,405,362,13.4142,14,0
brc999d,31,435,352,12.4142,13,0
brc999d,32,710,606,15.1421,12,0
brc999d,33,348,322,12.6569,12,0
brc999d,34,549,462,15.0711,14,0
brc999d,35,311,310,12.6569,12,0
brc999d,36,316,294,15.2426,15,0
brc999d,37,256,240,13,14,0
brc999d,38,406,393,14.7279,12,0
brc999d,39,448,434,15.3137,13,0
brc999d,40,440,401,18.6569,18,0
brc999d,41,371,338,16.7279,14,0
brc999d,42,835,756,18.4853,17,0
brc999d,43,246,237,19,20,0
brc999d,44,587,553,17.7279,15,0
brc999d,45,581,546,18.5563,15,0
brc999d,46,320,328,19.0711,18,0
brc999d,47,309,279,18.8995,17,0
brc999d,48,341,302,16.0711,15,0
brc999d,49,536,551,17.9706,14,0
brc999d,50,649,589,22.5563,19,0
brc999d,51,725,671,20.799,16,0
brc999d,52,797,759,21.3848,17,0
brc999d,53,721,720,20.9706,17,0
brc999d,54,476,434,22.2132,17,0
brc999d,55,834,824,21.5563,18,0
brc999d,56,332,328,20.6569,20,0
brc999d,57,591,560,23.4853,22,0
brc999d,58,921,921,20.9706,17,0
brc999d,59,313,283,23.0711,22,0
brc999d,60,660,628,24.2132,19,0
brc999d,61,340,355,26.6569,26,0
brc999d,62,416,405,24.5563,21,0
brc999d,63,196,215,27,28,0
brc999d,64,791,770,26.799,22,0
brc999d,65,499,456,26.799,22,0
brc999d,66,319,287,25.8995,24,0
brc999d,67,588,561,24.5563,21,0
brc999d,68,566,586,25.3137,23,0
brc999d,69,704,408,26.8995,25,0
brc999d,70,323,300,29.8284,30,0
brc999d,71,630,605,29.799,25,0
brc999d,72,614,643,31.1421,28,0
brc999d,73,429,404,30.2132,25,0
brc999d,74,557,277,30.0711,29,0
brc999d,75,885,846,30.0416,24,0
brc999d,76,533,527,30.5563,27,0
brc999d,77,381,359,30.4853,29,0
brc999d,78,438,309,31.6985,24,0
brc999d,79,439,426,28.0711,27,0
brc999d,80,686,674,33.6274,28,0
brc999d,81,459,449,33.8995,32,0
brc999d,82,719,754,34.4558,28,0
brc999d,83,306,290,32.4142,33,0
brc999d,84,563,545,32.3848,28,0
brc999d,85,678,681,32.3848,28,0
brc999d,86,937,724,33.5269,25,0
brc999d,87,445,361,34.5269,26,0
brc999d,88,327,309,32.4142,33,0
brc999d,89,602,421,34.2843,27,0
brc999d,90,559,519,37.5563,34,0
brc999d,91,793,784,38.0416,32,0
brc999d,92,528,531,37.5563,34,0
brc999d,93,396,402,37.6569,37,0
brc999d,94,316,315,36.4142,37,0
