map,scenid,tcost,distance,expect,steps,access,r,itype
AcrosstheCape,0,6490.4,74.1543,6.24264,58,63,64,forward
AcrosstheCape,1,2578.2,85.468,6.24264,66,2,64,forward
AcrosstheCape,2,6329,63.1838,6.41421,52,66,64,forward
AcrosstheCape,3,4845.4,76.9828,6.24264,60,0,64,forward
AcrosstheCape,4,4795.8,50.6569,6.65685,49,40,64,forward
AcrosstheCape,5,1707.2,20.8995,7,18,0,64,forward
AcrosstheCape,6,3379.8,50.8995,6.65685,48,22,64,forward
AcrosstheCape,7,2057,23.0711,6.24264,21,10,64,forward
AcrosstheCape,8,3517,67.2132,4.41421,61,32,64,forward
AcrosstheCape,9,2038,61.4975,7.41421,47,0,64,forward
AcrosstheCape,10,3041.4,58.598,8.65685,47,4,64,forward
AcrosstheCape,11,2923,39.5269,11.0711,30,2,64,forward
AcrosstheCape,12,5261.6,72.669,8.07107,59,75,64,forward
AcrosstheCape,13,5132.8,74.6396,10.4142,56,1,64,forward
AcrosstheCape,14,6511.2,97.5097,9.65685,71,2,64,forward
AcrosstheCape,15,2680.4,54.9706,9.82843,50,22,64,forward
AcrosstheCape,16,5493,75.3137,9.24264,72,37,64,forward
AcrosstheCape,17,3725.8,74.5685,8.65685,58,22,64,forward
AcrosstheCape,18,2665.2,90.468,10.6569,71,0,64,forward
AcrosstheCape,19,630.8,14.6569,10.6569,13,0,64,forward
AcrosstheCape,20,3277.6,53.4558,13.6569,46,8,64,forward
AcrosstheCape,21,3502.6,56.4558,14.8995,49,17,64,forward
AcrosstheCape,22,5362.6,73.4264,15.2426,61,30,64,forward
AcrosstheCape,23,4125.2,53.598,12.8995,42,12,64,forward
AcrosstheCape,24,8651.8,133.522,13.7279,95,8,64,forward
AcrosstheCape,25,4591,89.3848,15.0711,84,69,64,forward
AcrosstheCape,26,1817.2,25.4853,15.2426,23,0,64,forward
AcrosstheCape,27,1327.4,17.4853,15,15,0,64,forward
AcrosstheCape,28,11068.4,114.841,12.0711,102,39,64,forward
AcrosstheCape,29,6738.8,96.8822,13.8284,77,36,64,forward
AcrosstheCape,30,9739,117.995,17.8284,89,26,64,forward
AcrosstheCape,31,2938.2,57.9411,19,48,27,64,forward
AcrosstheCape,32,5406,48.6274,19.9706,42,50,64,forward
AcrosstheCape,33,8215.8,93.397,18.0711,76,19,64,forward
AcrosstheCape,34,1567.2,35.0416,18.2426,28,14,64,forward
AcrosstheCape,35,2725.8,33.3848,18.3848,28,0,64,forward
