map,scenid,tcost,distance,expect,steps,access,r,itype
AcrosstheCape,0,1404.2,6.24264,6.24264,5,0,0,forward
AcrosstheCape,1,255.2,6.24264,6.24264,5,0,0,forward
AcrosstheCape,2,795.2,6.41421,6.41421,6,0,0,forward
AcrosstheCape,3,660.6,6.24264,6.24264,5,0,0,forward
AcrosstheCape,4,895.8,6.65685,6.65685,5,1,0,forward
AcrosstheCape,5,668,7,7,7,0,0,forward
AcrosstheCape,6,633.8,6.65685,6.65685,5,0,0,forward
AcrosstheCape,7,540.6,6.24264,6.24264,5,0,0,forward
AcrosstheCape,8,245.8,4.41421,4.41421,4,0,0,forward
AcrosstheCape,9,330.2,7.41421,7.41421,7,0,0,forward
AcrosstheCape,10,850.2,8.65685,8.65685,7,0,0,forward
AcrosstheCape,11,986.4,11.0711,11.0711,9,0,0,forward
AcrosstheCape,12,666.8,8.07107,8.07107,6,0,0,forward
AcrosstheCape,13,987.2,10.4142,10.4142,10,0,0,forward
AcrosstheCape,14,841.8,9.65685,9.65685,8,0,0,forward
AcrosstheCape,15,455.4,9.82843,9.82843,9,0,0,forward
AcrosstheCape,16,3839.6,9.24264,9.24264,8,0,0,forward
AcrosstheCape,17,354.8,8.65685,8.65685,7,0,0,forward
AcrosstheCape,18,514.6,10.6569,10.6569,9,0,0,forward
AcrosstheCape,19,549,10.6569,10.6569,9,0,0,forward
AcrosstheCape,20,513,13.6569,13.6569,12,0,0,forward
AcrosstheCape,21,1501.4,14.8995,14.8995,12,6,0,forward
AcrosstheCape,22,2112,15.2426,15.2426,14,5,0,forward
AcrosstheCape,23,1273.4,12.8995,12.8995,10,0,0,forward
AcrosstheCape,24,1470.2,13.7279,13.7279,10,0,0,forward
AcrosstheCape,25,571.6,15.0711,15.0711,13,0,0,forward
AcrosstheCape,26,1407.8,15.2426,15.2426,14,0,0,forward
AcrosstheCape,27,1218.8,15,15,15,0,0,forward
AcrosstheCape,28,1190.2,12.0711,12.0711,10,0,0,forward
AcrosstheCape,29,536.6,13.8284,13.8284,13,1,0,forward
AcrosstheCape,30,3160,17.8284,17.8284,17,10,0,forward
AcrosstheCape,31,2282,19,19,19,9,0,forward
AcrosstheCape,32,2264.6,19.9706,19.9706,15,3,0,forward
AcrosstheCape,33,1640.8,18.0711,18.0711,16,0,0,forward
AcrosstheCape,34,1471.8,18.2426,18.2426,17,3,0,forward
AcrosstheCape,35,2142.8,18.3848,18.3848,13,0,0,forward
AcrosstheCape,36,1580.2,19.2426,19.2426,18,0,0,forward
AcrosstheCape,37,831.6,17.5563,17.5563,13,0,0,forward
AcrosstheCape,38,1288.8,16.3137,16.3137,13,0,0,forward
AcrosstheCape,39,1522.2,18.0711,18.0711,16,0,0,forward
AcrosstheCape,40,806.4,22.4853,22.4853,20,0,0,forward
AcrosstheCape,41,1480.2,21.0711,21.0711,19,0,0,forward
AcrosstheCape,42,2474.2,20.3137,20.3137,17,5,0,forward
AcrosstheCape,43,1993,21.8995,21.8995,19,0,0,forward
AcrosstheCape,44,1718.2,20.7279,20.7279,17,0,0,forward
AcrosstheCape,45,1755.4,20.0711,20.0711,18,0,0,forward
AcrosstheCape,46,4346.6,23.9706,23.9706,19,0,0,forward
AcrosstheCape,47,2918,23.8284,23.8284,23,0,0,forward
AcrosstheCape,48,2223.6,23.1421,23.1421,19,0,0,forward
AcrosstheCape,49,1855,21.9706,21.9706,17,0,0,forward
AcrosstheCape,50,1803.8,26.799,26.799,21,0,0,forward
AcrosstheCape,51,954.2,25.2426,25.2426,24,0,0,forward
AcrosstheCape,52,2540.6,26.6569,26.6569,25,7,0,forward
AcrosstheCape,53,3753.8,24.3137,24.3137,21,16,0,forward
AcrosstheCape,54,2346.2,26.799,26.799,21,0,0,forward
AcrosstheCape,55,1900.8,26.4142,26.4142,26,0,0,forward
AcrosstheCape,56,2452.4,27.1421,27.1421,23,6,0,forward
AcrosstheCape,57,1376,26.4558,26.4558,19,0,0,forward
AcrosstheCape,58,3208.4,25.3848,25.3848,20,4,0,forward
AcrosstheCape,59,2048,24.8284,24.8284,24,0,0,forward
AcrosstheCape,60,1213.8,29.9706,29.9706,25,0,0,forward
AcrosstheCape,61,1810.4,28.6569,28.6569,27,9,0,forward
AcrosstheCape,62,1396.6,31.6274,31.6274,25,10,0,forward
AcrosstheCape,63,1983.4,28.7279,28.7279,25,0,0,forward
AcrosstheCape,64,4508.2,30.6274,30.6274,24,8,0,forward
AcrosstheCape,65,2715.6,31.9706,31.9706,27,0,0,forward
AcrosstheCape,66,1953.2,28.3848,28.3848,23,0,0,forward
AcrosstheCape,67,3608.4,31.4853,31.4853,29,6,0,forward
AcrosstheCape,68,2148.6,28.6274,28.6274,22,9,0,forward
AcrosstheCape,69,3322.6,30.5563,30.5563,26,7,0,forward
AcrosstheCape,70,3787.8,34.4142,34.4142,34,12,0,forward
AcrosstheCape,71,2564.2,32.8701,32.8701,25,7,0,forward
AcrosstheCape,72,2678.2,34.799,34.799,29,4,0,forward
AcrosstheCape,73,2957,33.799,33.799,28,0,0,forward
AcrosstheCape,74,1697.2,34.6985,34.6985,26,0,0,forward
AcrosstheCape,75,2883.4,32.6985,32.6985,24,7,0,forward
AcrosstheCape,76,2229.6,32.6569,32.6569,31,0,0,forward
AcrosstheCape,77,2622.4,35.0711,35.0711,33,0,0,forward
AcrosstheCape,78,2991.4,32.2132,32.2132,26,0,0,forward
AcrosstheCape,79,2005,33.3137,33.3137,30,4,0,forward
AcrosstheCape,80,2711.2,37.2843,37.2843,29,23,0,forward
AcrosstheCape,81,2574.6,39.799,39.799,34,0,0,forward
AcrosstheCape,82,3056.6,36.2426,36.2426,35,1,0,forward
AcrosstheCape,83,3545.6,38.6985,38.6985,30,1,0,forward
AcrosstheCape,84,2846.8,37.4142,37.4142,37,11,0,forward
AcrosstheCape,85,2737.6,37.4558,37.4558,30,8,0,forward
AcrosstheCape,86,3528.4,39.6274,39.6274,33,3,0,forward
AcrosstheCape,87,1244.6,37.7696,37.7696,27,1,0,forward
AcrosstheCape,88,4361.8,38.2132,38.2132,32,11,0,forward
AcrosstheCape,89,2145.4,38.9411,38.9411,29,6,0,forward
AcrosstheCape,90,1601.8,42.8995,42.8995,40,0,0,forward
AcrosstheCape,91,6598.4,43.1127,43.1127,34,23,0,forward
AcrosstheCape,92,6179.8,41.5563,41.5563,37,20,0,forward
AcrosstheCape,93,3986.6,40.4853,40.4853,38,30,0,forward
AcrosstheCape,94,3691.8,43,43,43,6,0,forward
AcrosstheCape,95,1796.8,40.0416,40.0416,33,22,0,forward
AcrosstheCape,96,2934.4,40.3553,40.3553,30,0,0,forward
AcrosstheCape,97,3590.8,43.4558,43.4558,36,0,0,forward
AcrosstheCape,98,5694.2,41.3553,41.3553,31,17,0,forward
AcrosstheCape,99,2468,40.2132,40.2132,34,2,0,forward
AcrosstheCape,100,5836.6,44.9411,44.9411,35,19,0,forward
AcrosstheCape,101,2480.6,46.1127,46.1127,37,0,0,forward
AcrosstheCape,102,4622,45.0122,45.0122,33,10,0,forward
AcrosstheCape,103,3371,47.1127,47.1127,38,0,0,forward
AcrosstheCape,104,3522.2,47.1421,47.1421,43,8,0,forward
AcrosstheCape,105,6415.2,46.2843,46.2843,38,14,0,forward
AcrosstheCape,106,3562.8,44.3137,44.3137,41,3,0,forward
AcrosstheCape,107,2493,46.598,46.598,35,5,0,forward
AcrosstheCape,108,2945,47.4264,47.4264,35,0,0,forward
AcrosstheCape,109,5969.8,46.598,46.598,35,14,0,forward
AcrosstheCape,110,4406,48.669,48.669,35,0,0,forward
AcrosstheCape,111,2102.8,51.9117,51.9117,37,0,0,forward
AcrosstheCape,112,3946.8,51.2132,51.2132,45,8,0,forward
AcrosstheCape,113,3183.2,49.4975,49.4975,35,5,0,forward
AcrosstheCape,114,10686.2,50.2426,50.2426,49,45,0,forward
AcrosstheCape,115,3228.2,48.3137,48.3137,45,27,0,forward
AcrosstheCape,116,8513,49.1421,49.1421,45,39,0,forward
AcrosstheCape,117,6124.6,51.598,51.598,40,17,0,forward
AcrosstheCape,118,2996.2,51.598,51.598,40,0,0,forward
AcrosstheCape,119,1784.8,49.7279,49.7279,46,0,0,forward
AcrosstheCape,120,6023.2,52.8995,52.8995,50,14,0,forward
AcrosstheCape,121,2836.8,54.8995,54.8995,52,0,0,forward
AcrosstheCape,122,2442,53.2843,53.2843,45,9,0,forward
AcrosstheCape,123,4494.4,52.3848,52.3848,47,0,0,forward
AcrosstheCape,124,4941,54.4975,54.4975,40,19,0,forward
AcrosstheCape,125,4895.8,54.9117,54.9117,40,15,0,forward
AcrosstheCape,126,3252.8,53.1127,53.1127,44,15,0,forward
AcrosstheCape,127,4762.8,52.5563,52.5563,48,38,0,forward
AcrosstheCape,128,5861.4,55.3553,55.3553,45,20,0,forward
AcrosstheCape,129,4668,53.1838,53.1838,42,23,0,forward
AcrosstheCape,130,1845.6,58.0416,58.0416,51,2,0,forward
AcrosstheCape,131,5743.4,58.2843,58.2843,50,32,0,forward
AcrosstheCape,132,8474,59.3553,59.3553,49,30,0,forward
AcrosstheCape,133,5175.6,59.598,59.598,48,42,0,forward
AcrosstheCape,134,3905,57.4558,57.4558,50,40,0,forward
AcrosstheCape,135,8342.6,59.9411,59.9411,50,35,0,forward
AcrosstheCape,136,8504.8,58.1127,58.1127,49,44,0,forward
AcrosstheCape,137,3331.4,59.6985,59.6985,51,41,0,forward
AcrosstheCape,138,5443.4,57.1127,57.1127,48,32,0,forward
AcrosstheCape,139,5657.2,57.2548,57.2548,44,28,0,forward
AcrosstheCape,140,7108,61.4264,61.4264,49,32,0,forward
AcrosstheCape,141,6498,62.0711,62.0711,60,55,0,forward
AcrosstheCape,142,4747.6,61.0122,61.0122,49,25,0,forward
AcrosstheCape,143,4335.4,61.2548,61.2548,48,15,0,forward
AcrosstheCape,144,8231,63.4264,63.4264,51,32,0,forward
AcrosstheCape,145,4777.2,61.9828,61.9828,45,0,0,forward
AcrosstheCape,146,4456.4,62.397,62.397,45,18,0,forward
