map,scenid,tcost,distance,expect,steps,access,r,itype
Aftershock,0,1123.4,27.3848,7.41421,22,0,32,forward
Aftershock,1,1151.4,33.6985,5.82843,25,0,32,forward
Aftershock,2,2985.2,43.9706,7.65685,39,51,32,forward
Aftershock,3,3761.8,49.8406,4.82843,37,14,32,forward
Aftershock,4,4485.8,43.7279,4.41421,40,20,32,forward
Aftershock,5,1171.8,23.3137,7.65685,20,2,32,forward
Aftershock,6,981.4,18.8995,4.82843,16,14,32,forward
Aftershock,7,819.2,21.1421,4.82843,17,0,32,forward
Aftershock,8,2628.8,38.7279,6.41421,35,40,32,forward
Aftershock,9,681.6,20.3137,6.65685,17,0,32,forward
Aftershock,10,558.2,11.4142,8.82843,11,0,32,forward
Aftershock,11,619.2,15.3137,9.24264,12,0,32,forward
Aftershock,12,1315.2,25.1421,9.41421,21,12,32,forward
Aftershock,13,1249.6,43.5269,9.41421,34,0,32,forward
Aftershock,14,2785.2,48.6274,8,42,38,32,forward
Aftershock,15,842.6,15.6569,8.65685,14,0,32,forward
Aftershock,16,1423.4,30.3137,9.24264,27,4,32,forward
Aftershock,17,1200.4,27.1421,10,23,0,32,forward
Aftershock,18,1402.6,39.9706,8.82843,35,0,32,forward
Aftershock,19,2559.8,54.0416,9.07107,47,28,32,forward
Aftershock,20,1966.2,62.9117,15.4853,48,0,32,forward
Aftershock,21,1485.2,59.4975,15.1421,45,0,32,forward
Aftershock,22,1673.4,42.1127,15.6569,33,13,32,forward
Aftershock,23,1289,34.1421,14.6569,30,1,32,forward
Aftershock,24,1179.8,26.0711,15.2426,24,1,32,forward
Aftershock,25,1094.8,27.4853,14.3137,25,2,32,forward
Aftershock,26,1774,44.8701,12.7279,37,9,32,forward
Aftershock,27,1324.4,22.0711,15.0711,20,7,32,forward
Aftershock,28,2654,56.799,15.6569,51,45,32,forward
Aftershock,29,942.2,20.1421,14.1421,16,0,32,forward
Aftershock,30,1560.8,70.468,16.7279,51,0,32,forward
Aftershock,31,623.8,31.5563,18.8284,27,0,32,forward
Aftershock,32,1451.4,24.4142,18.5563,24,12,32,forward
Aftershock,33,727.4,16.4853,16.4853,14,0,32,forward
Aftershock,34,995.4,30.7279,19.8995,27,0,32,forward
Aftershock,35,2663.8,49.3848,16.0711,44,22,32,forward
Aftershock,36,895.8,27.6274,17.6569,21,0,32,forward
Aftershock,37,1794.6,46.2843,19.3848,38,2,32,forward
Aftershock,38,3159.8,58.2132,16.2426,52,21,32,forward
Aftershock,39,1510.2,33.799,16.4853,28,0,32,forward
Aftershock,40,1102,25.6569,23.6569,24,8,32,forward
Aftershock,41,1594.4,51.2843,20.8995,43,0,32,forward
Aftershock,42,2961.2,55.1127,23.3137,46,41,32,forward
Aftershock,43,1607.6,42.2843,20.8284,34,11,32,forward
Aftershock,44,2322.6,79.8822,21.8995,60,0,32,forward
Aftershock,45,1542.2,47.1421,20.3137,43,0,32,forward
Aftershock,46,1879.4,56.2132,21.2426,50,1,32,forward
Aftershock,47,811,34.8701,20.2426,27,8,32,forward
Aftershock,48,1320,32.5563,23.1421,28,3,32,forward
Aftershock,49,3130,69.1838,22.8995,58,46,32,forward
Aftershock,50,1647.4,54.9411,27.8284,45,0,32,forward
Aftershock,51,2126,61.6985,24.4142,53,0,32,forward
Aftershock,52,2457,30.9706,25.8995,26,16,32,forward
Aftershock,53,1503.8,37.4853,24.8995,35,6,32,forward
Aftershock,54,1998.8,66.0833,25.0416,52,1,32,forward
Aftershock,55,2690.2,50.4853,24.1421,48,47,32,forward
Aftershock,56,1314,41.3848,25.6274,36,0,32,forward
Aftershock,57,2180.8,49.3553,25.8284,39,9,32,forward
Aftershock,58,2711.2,61.5269,26.0711,52,22,32,forward
Aftershock,59,1464.2,47.0416,25.0416,40,0,32,forward
Aftershock,60,2177.8,52.3137,31.6274,49,10,32,forward
Aftershock,61,1137.8,40.4853,29.6569,38,0,32,forward
Aftershock,62,3037,48.5269,30.8701,39,16,32,forward
Aftershock,63,1285.2,44.2426,29.2426,43,0,32,forward
Aftershock,64,1138,55.9706,29.0416,51,0,32,forward
Aftershock,65,890.2,33.6569,28.3848,32,0,32,forward
Aftershock,66,1378.4,41.4853,28.2132,39,4,32,forward
Aftershock,67,2043,69.2548,29.6569,56,1,32,forward
Aftershock,68,1342.2,47.0122,29,35,3,32,forward
Aftershock,69,2359.4,49.9706,29.4853,45,27,32,forward
Aftershock,70,1841,41.3137,34.2426,38,8,32,forward
Aftershock,71,1922,61.6274,35.4853,55,0,32,forward
Aftershock,72,1012.6,33.5563,32.7279,29,0,32,forward
Aftershock,73,2942.4,64.6985,35.6985,56,49,32,forward
Aftershock,74,2046.2,68.9411,35,59,14,32,forward
Aftershock,75,2399.2,58.2843,33.3137,50,11,32,forward
Aftershock,76,1571,46.2426,34.8701,45,21,32,forward
Aftershock,77,1321.2,35.5563,35.5563,31,12,32,forward
Aftershock,78,1304.2,37.6274,33.5269,31,9,32,forward
Aftershock,79,1124.8,38.5563,33.3848,34,15,32,forward
Aftershock,80,2400.6,66.8406,38.5269,54,0,32,forward
Aftershock,81,1724.8,56.4975,37,42,0,32,forward
Aftershock,82,1696.2,54.799,36.799,49,7,32,forward
Aftershock,83,1609.4,47.3137,38.3137,44,0,32,forward
Aftershock,84,2630.6,74.1127,37.1421,65,4,32,forward
Aftershock,85,2884,87.5685,36.6569,71,0,32,forward
Aftershock,86,1486.8,47.598,37.3137,36,5,32,forward
Aftershock,87,1173,53.1838,36.5563,42,0,32,forward
Aftershock,88,2036.4,68.4975,36.4142,54,0,32,forward
Aftershock,89,3089,71.4975,39.9706,57,46,32,forward
Aftershock,90,2056.4,59.6569,40.9706,58,32,32,forward
Aftershock,91,1812.6,46.6274,42.4853,40,2,32,forward
Aftershock,92,2647.4,67.5685,43.7696,51,12,32,forward
Aftershock,93,1328.6,54.5269,41.4142,45,0,32,forward
Aftershock,94,2308.4,55.7696,40.6569,45,18,32,forward
Aftershock,95,1934.2,70.7696,42.7696,60,0,32,forward
Aftershock,96,2152.4,41.5563,40.3848,37,3,32,forward
Aftershock,97,2372.4,61.6985,42.1838,53,16,32,forward
Aftershock,98,1306.8,55.4853,43.6274,53,11,32,forward
Aftershock,99,2339.2,79.0122,43.7279,67,4,32,forward
Aftershock,100,1566.2,50.7696,46.7696,40,3,32,forward
Aftershock,101,4407.4,81.2254,47.2548,63,42,32,forward
Aftershock,102,2100.4,69.799,44.8284,64,16,32,forward
Aftershock,103,1979.6,77.7401,47.6569,62,16,32,forward
Aftershock,104,2734.2,69.9706,47.3848,65,23,32,forward
Aftershock,105,1851.8,61.3553,45.2132,51,0,32,forward
Aftershock,106,2807.6,53.6985,47.8995,45,24,32,forward
Aftershock,107,2444.8,58.2132,45.2843,52,29,32,forward
Aftershock,108,2249.2,67.799,46.2843,62,6,32,forward
Aftershock,109,2118.2,74.9828,44.3553,58,15,32,forward
Aftershock,110,2663.4,57.6985,51.5563,49,16,32,forward
Aftershock,111,1629.4,55.2548,48.2548,42,5,32,forward
Aftershock,112,3257.6,61.2843,49.6274,53,32,32,forward
Aftershock,113,1791.8,51.1421,51.1421,47,9,32,forward
Aftershock,114,2852.6,70.7401,48.4558,55,29,32,forward
Aftershock,115,1633.6,55.4853,51.1421,53,0,32,forward
Aftershock,116,1783.4,56.4264,51.4558,44,17,32,forward
Aftershock,117,1677.2,56.7279,48.8284,53,28,32,forward
Aftershock,118,2825,79.1543,50.598,63,17,32,forward
Aftershock,119,2851.8,89.468,51.2843,70,7,32,forward
Aftershock,120,1500.4,66.7401,52.3553,51,0,32,forward
Aftershock,121,3268.4,84.4975,54.0416,70,52,32,forward
Aftershock,122,3488.6,60.1421,53.5563,56,45,32,forward
Aftershock,123,3321,97.8528,55.3259,73,22,32,forward
Aftershock,124,2001.6,52.7696,52.7696,42,3,32,forward
Aftershock,125,2418.4,61.9706,55.5269,57,38,32,forward
Aftershock,126,2341.2,58.2132,53.8701,52,34,32,forward
Aftershock,127,2404,58.598,55.2843,47,10,32,forward
Aftershock,128,1951.8,86.0416,55.5563,79,0,32,forward
Aftershock,129,1632.8,53.799,53.799,48,8,32,forward
Aftershock,130,3051,101.083,59.0833,87,20,32,forward
Aftershock,131,2482.2,83.0538,56.1127,64,11,32,forward
Aftershock,132,1489,57.799,57.799,52,14,32,forward
Aftershock,133,2730.2,103.941,59.8284,94,9,32,forward
Aftershock,134,2784,73.6274,59.5685,67,12,32,forward
Aftershock,135,3553.6,90.2132,56.0711,84,78,32,forward
Aftershock,136,1782.8,56.2426,56.2426,55,7,32,forward
Aftershock,137,3134.4,78.3553,59.2843,68,69,32,forward
Aftershock,138,3023,79.8822,56.2843,60,11,32,forward
Aftershock,139,3393.4,94.5391,59.2548,73,22,32,forward
Aftershock,140,3065.8,108.711,62.0416,88,18,32,forward
Aftershock,141,2051.6,83.8406,61.1543,71,14,32,forward
Aftershock,142,2336.4,78.2965,61.7696,58,37,32,forward
Aftershock,143,3180,84.468,62.7401,65,25,32,forward
Aftershock,144,1829.4,62.6274,60.2843,56,2,32,forward
Aftershock,145,3109.4,73.5269,60.3553,64,42,32,forward
Aftershock,146,2834.4,85.5685,63.4264,69,18,32,forward
Aftershock,147,2686.2,71.9411,62.2426,62,24,32,forward
Aftershock,148,2281.6,80.397,60.598,63,12,32,forward
Aftershock,149,3773.2,84.5685,61.397,68,40,32,forward
Aftershock,150,2583.8,74.7696,66.669,64,37,32,forward
Aftershock,151,1252,65.8112,64.6396,48,0,32,forward
Aftershock,152,1957.2,82.8822,66.799,63,1,32,forward
Aftershock,153,2760.6,98.598,67.2254,87,11,32,forward
Aftershock,154,4802.2,87.6274,66.6274,81,61,32,forward
Aftershock,155,2243.4,83.799,67.6985,78,8,32,forward
Aftershock,156,2117.8,74.0833,64.5685,60,13,32,forward
Aftershock,157,1893,72.8701,67.8995,65,11,32,forward
Aftershock,158,3407.6,67.6985,67.6985,59,56,32,forward
Aftershock,159,3269,89.0833,66.8995,75,13,32,forward
Aftershock,160,4544,78.8701,69.0122,71,59,32,forward
Aftershock,161,4161.4,77.8701,71.6985,70,53,32,forward
Aftershock,162,4699.8,111.841,68.6274,99,53,32,forward
Aftershock,163,3217.6,70.1838,69.3553,59,35,32,forward
Aftershock,164,3348.8,71.669,71.669,58,48,32,forward
Aftershock,165,2752.2,70.0122,69.0122,58,47,32,forward
Aftershock,166,4276,92.2548,69.0833,79,52,32,forward
Aftershock,167,3139.4,103.799,70.5269,98,24,32,forward
Aftershock,168,3535.8,95.3553,70.7279,85,44,32,forward
Aftershock,169,2592,69.3848,69.3848,64,50,32,forward
Aftershock,170,2650,106.539,74.0122,85,24,32,forward
Aftershock,171,3111.2,76.6396,73.8112,58,49,32,forward
Aftershock,172,4922.8,87.9411,74.9411,78,57,32,forward
Aftershock,173,2833.8,95.4386,75.9828,71,38,32,forward
Aftershock,174,3858.4,91.9533,74.0538,70,34,32,forward
Aftershock,175,3133.2,94.6985,75.6985,86,39,32,forward
Aftershock,176,4846.8,123.497,74.6985,109,83,32,forward
Aftershock,177,2757.6,72.9828,72.9828,56,42,32,forward
Aftershock,178,4919.6,119.61,73.0122,96,64,32,forward
Aftershock,179,1953.4,72.2132,72.2132,66,19,32,forward
Aftershock,180,2018.6,82.468,77.1543,63,0,32,forward
Aftershock,181,3662,81.4558,76.4853,74,39,32,forward
Aftershock,182,3186.2,88.2254,79.0538,70,39,32,forward
Aftershock,183,3953.8,116.569,76.3848,100,72,32,forward
Aftershock,184,3051.2,100.397,78.397,83,23,32,forward
Aftershock,185,2891.6,79.9706,78.3137,75,35,32,forward
Aftershock,186,1875.4,83.7279,76.4558,80,0,32,forward
Aftershock,187,2050.6,79.0833,79.0833,65,1,32,forward
Aftershock,188,2361.4,83.3259,78.3553,68,15,32,forward
Aftershock,189,3711.4,83.7107,76.1543,63,41,32,forward
Aftershock,190,4460.6,106.485,83.4853,104,58,32,forward
Aftershock,191,3607.8,110.296,82.0122,90,35,32,forward
Aftershock,192,2558.8,101.882,80.6274,82,15,32,forward
Aftershock,193,6148.2,103.711,82.3259,83,85,32,forward
Aftershock,194,2963.6,91.4853,80.3553,89,48,32,forward
Aftershock,195,4292.8,117.74,83.0416,102,72,32,forward
Aftershock,196,3919.6,117.841,81.669,105,86,32,forward
Aftershock,197,3279,88.7696,83.1127,78,48,32,forward
Aftershock,198,3284.4,98.5685,83.0538,82,31,32,forward
