map,scenid,tcost,distance,expect,steps,access,r,itype
Aftershock,0,1308.6,10.4853,7.41421,8,4,8,backward
Aftershock,1,836,6.65685,5.82843,5,2,8,backward
Aftershock,2,1622.2,10,7.65685,10,4,8,backward
Aftershock,3,804.8,4.82843,4.82843,4,3,8,backward
Aftershock,4,778.4,6.65685,4.41421,5,2,8,backward
Aftershock,5,729,10.8284,7.65685,10,2,8,backward
Aftershock,6,1363.8,4.82843,4.82843,4,4,8,backward
Aftershock,7,962.8,10.0711,4.82843,8,2,8,backward
Aftershock,8,1036.2,10.6569,6.41421,9,4,8,backward
Aftershock,9,1118.2,16.0711,6.65685,14,2,8,backward
Aftershock,10,913,11.4142,8.82843,11,2,8,backward
Aftershock,11,1282.2,20.2426,9.24264,19,2,8,backward
Aftershock,12,941.8,12.2426,9.41421,11,4,8,backward
Aftershock,13,993.8,12.8284,9.41421,12,2,8,backward
Aftershock,14,1209.2,13.8284,8,13,2,8,backward
Aftershock,15,1302,21.6569,8.65685,20,2,8,backward
Aftershock,16,929.6,9.24264,9.24264,8,1,8,backward
Aftershock,17,908.8,10.8284,10,10,2,8,backward
Aftershock,18,848.2,11.8284,8.82843,11,2,8,backward
Aftershock,19,1775,16.8995,9.07107,14,8,8,backward
Aftershock,20,1242.4,15.4853,15.4853,13,2,8,backward
Aftershock,21,1606.6,26.0416,15.1421,19,6,8,backward
Aftershock,22,1063.2,17.3137,15.6569,14,2,8,backward
Aftershock,23,980.6,14.6569,14.6569,13,1,8,backward
Aftershock,24,1090.4,17.7279,15.2426,14,2,8,backward
Aftershock,25,1568.2,19.4853,14.3137,17,3,8,backward
Aftershock,26,1115.2,12.7279,12.7279,9,3,8,backward
Aftershock,27,2107.8,24.4853,15.0711,22,10,8,backward
Aftershock,28,1533.4,15.6569,15.6569,14,5,8,backward
Aftershock,29,1493,17.6569,14.1421,16,2,8,backward
Aftershock,30,1401.2,23.799,16.7279,18,3,8,backward
Aftershock,31,1259.6,20.2426,18.8284,19,2,8,backward
Aftershock,32,1487.2,18.5563,18.5563,14,3,8,backward
Aftershock,33,1330.6,16.4853,16.4853,14,3,8,backward
Aftershock,34,1440.4,21.8995,19.8995,19,3,8,backward
Aftershock,35,1400.2,16.0711,16.0711,14,3,8,backward
Aftershock,36,1377.4,19.0711,17.6569,17,3,8,backward
Aftershock,37,1479.8,27.8701,19.3848,20,2,8,backward
Aftershock,38,2072.4,24.1421,16.2426,20,6,8,backward
Aftershock,39,1602,20.3848,16.4853,15,3,8,backward
Aftershock,40,1841.8,24.2426,23.6569,23,9,8,backward
Aftershock,41,1358,22.8995,20.8995,20,2,8,backward
Aftershock,42,1667.8,27.1421,23.3137,23,12,8,backward
Aftershock,43,1137.2,22.8284,20.8284,22,2,8,backward
Aftershock,44,1892.4,34.6274,21.8995,28,4,8,backward
Aftershock,45,1367.8,22.3137,20.3137,19,2,8,backward
Aftershock,46,4280.2,31.2426,21.2426,30,3,8,backward
Aftershock,47,836,20.2426,20.2426,19,2,8,backward
Aftershock,48,1273.4,23.1421,23.1421,19,3,8,backward
Aftershock,49,1702.6,26.3137,22.8995,23,6,8,backward
Aftershock,50,1669.8,32.3137,27.8284,29,2,8,backward
Aftershock,51,1489.2,30.6569,24.4142,29,2,8,backward
Aftershock,52,1831.2,35.8995,25.8995,33,10,8,backward
Aftershock,53,4715,28.6569,24.8995,27,3,8,backward
Aftershock,54,1300.2,26.4558,25.0416,19,4,8,backward
Aftershock,55,1821.2,28.1421,24.1421,24,3,8,backward
Aftershock,56,1530,28.2132,25.6274,22,2,8,backward
Aftershock,57,2159,36.8995,25.8284,34,4,8,backward
Aftershock,58,1906,34.6569,26.0711,33,6,8,backward
Aftershock,59,2055.2,31.0416,25.0416,24,4,8,backward
Aftershock,60,2170.8,44.6274,31.6274,38,4,8,backward
Aftershock,61,1981.2,40.4853,29.6569,38,3,8,backward
Aftershock,62,1916.2,38.6985,30.8701,30,6,8,backward
Aftershock,63,1443.8,36.2426,29.2426,35,2,8,backward
Aftershock,64,1272.4,31.8701,29.0416,24,3,8,backward
Aftershock,65,1980.4,28.3848,28.3848,23,5,8,backward
Aftershock,66,1753.4,28.2132,28.2132,22,3,8,backward
Aftershock,67,2279,30.4853,29.6569,28,6,8,backward
Aftershock,68,1408.4,31.4853,29,29,4,8,backward
Aftershock,69,1926.8,33.9706,29.4853,29,4,8,backward
Aftershock,70,2451,39.0711,34.2426,37,3,8,backward
Aftershock,71,1869.4,39.8284,35.4853,39,2,8,backward
Aftershock,72,1697.8,34.1421,32.7279,30,4,8,backward
Aftershock,73,5099,49.6985,35.6985,41,11,8,backward
Aftershock,74,1778,46.3137,35,43,2,8,backward
Aftershock,75,2273.4,33.8995,33.3137,31,5,8,backward
Aftershock,76,1711.6,36.5269,34.8701,27,2,8,backward
Aftershock,77,1915.6,35.5563,35.5563,31,8,8,backward
Aftershock,78,1669.4,39.0416,33.5269,32,5,8,backward
Aftershock,79,1442.8,33.3848,33.3848,28,3,8,backward
Aftershock,80,4977.4,48.0122,38.5269,36,2,8,backward
Aftershock,81,1692.8,38.4142,37,38,2,8,backward
Aftershock,82,2020.6,36.799,36.799,31,3,8,backward
Aftershock,83,2333.2,48.3137,38.3137,45,3,8,backward
Aftershock,84,2699.8,46.1421,37.1421,42,13,8,backward
Aftershock,85,1938.8,40.6569,36.6569,39,2,8,backward
Aftershock,86,2194.6,40.9706,37.3137,36,4,8,backward
Aftershock,87,2227.2,42.4558,36.5563,35,5,8,backward
Aftershock,88,1687.6,39.2426,36.4142,38,3,8,backward
Aftershock,89,1595.2,42.4558,39.9706,35,2,8,backward
Aftershock,90,1915.2,42.1421,40.9706,38,4,8,backward
Aftershock,91,1932.2,43.6569,42.4853,42,2,8,backward
Aftershock,92,2811.4,52.7696,43.7696,42,5,8,backward
Aftershock,93,1529.2,47.8995,41.4142,45,2,8,backward
Aftershock,94,1882.4,40.6569,40.6569,39,6,8,backward
Aftershock,95,2143.6,49.7696,42.7696,39,7,8,backward
Aftershock,96,2372.6,40.3848,40.3848,35,6,8,backward
Aftershock,97,4382.4,45.6985,42.1838,37,6,8,backward
Aftershock,98,1368.4,43.6274,43.6274,37,2,8,backward
Aftershock,99,2036.4,47.9706,43.7279,43,4,8,backward
Aftershock,100,2368.4,54.7696,46.7696,44,5,8,backward
Aftershock,101,3063.2,52.9117,47.2548,38,8,8,backward
Aftershock,102,2241.4,51.8284,44.8284,51,8,8,backward
Aftershock,103,4905.2,48.4853,47.6569,46,2,8,backward
Aftershock,104,3068.4,59.3848,47.3848,54,4,8,backward
Aftershock,105,2178.6,48.8701,45.2132,41,3,8,backward
Aftershock,106,2962,48.4853,47.8995,46,4,8,backward
Aftershock,107,2419.6,55.2843,45.2843,47,5,8,backward
Aftershock,108,2468.2,46.2843,46.2843,38,7,8,backward
Aftershock,109,1902.8,44.3553,44.3553,34,4,8,backward
Aftershock,110,3392.8,51.5563,51.5563,47,14,8,backward
