map,scenid,tcost,distance,expect,steps,access,r,itype
Archipelago,0,3334,11.2426,5.82843,10,4,32,backward
Archipelago,1,4643.2,52.598,6.24264,41,15,32,backward
Archipelago,2,2553,26.799,6.82843,21,6,32,backward
Archipelago,3,1802.2,19.9706,4.41421,15,2,32,backward
Archipelago,4,2210,19.4853,5,17,8,32,backward
Archipelago,5,3393.6,32.3137,5.65685,29,4,32,backward
Archipelago,6,1741.4,7.82843,6.65685,7,2,32,backward
Archipelago,7,1209.2,8.07107,6.41421,6,2,32,backward
Archipelago,8,3653.2,50.0122,5.82843,38,5,32,backward
Archipelago,9,1801.8,19.7279,4.82843,16,2,32,backward
Archipelago,10,3720,54.5563,10.0711,50,2,32,backward
Archipelago,11,2014,23.1421,11.8284,19,4,32,backward
Archipelago,12,2704,33.2132,9.07107,27,2,32,backward
Archipelago,13,2173.4,31.4558,11.0711,24,3,32,backward
Archipelago,14,2804.2,47.1838,8.41421,36,3,32,backward
Archipelago,15,4496.2,56.0711,11.8284,54,9,32,backward
Archipelago,16,1861,30.3137,10.0711,27,2,32,backward
Archipelago,17,2863.8,36.5563,9.48528,32,5,32,backward
Archipelago,18,2397.4,31.3137,8.41421,28,8,32,backward
Archipelago,19,2833.6,42.1421,8.82843,38,3,32,backward
Archipelago,20,2432.8,34.4558,14.6569,27,4,32,backward
Archipelago,21,1781.8,14.8995,12.8995,12,2,32,backward
Archipelago,22,3920.2,66.4853,13.2426,64,2,32,backward
Archipelago,23,2613.4,33.5563,15.5563,29,2,32,backward
Archipelago,24,2107.4,54.4264,14.8284,42,2,32,backward
Archipelago,25,3478.4,44.0416,15.3137,37,6,32,backward
Archipelago,26,1952.2,25.8995,13.3137,23,2,32,backward
Archipelago,27,3120,34.8995,14.8995,32,4,32,backward
Archipelago,28,2286.2,26.8995,15.7279,24,2,32,backward
Archipelago,29,3858.4,48.0416,14.0711,41,16,32,backward
Archipelago,30,2340.4,32.1421,16.1421,28,2,32,backward
Archipelago,31,4209.6,58.0711,17.0711,56,8,32,backward
Archipelago,32,3524.2,51.0416,19.8995,44,19,32,backward
Archipelago,33,4373.6,63.8701,19.4142,56,14,32,backward
Archipelago,34,2825.6,19.2426,19.2426,18,4,32,backward
Archipelago,35,3880.6,49.9411,19.3848,40,9,32,backward
Archipelago,36,1418.6,17.7279,16.0711,14,2,32,backward
Archipelago,37,2590.8,21.4853,19.4853,19,6,32,backward
Archipelago,38,2320,36.1421,16.7279,32,2,32,backward
Archipelago,39,3657.2,46.9706,17.9706,42,9,32,backward
Archipelago,40,2882.8,37.8995,22.8995,35,4,32,backward
Archipelago,41,3083.6,53.8701,21.8995,46,5,32,backward
Archipelago,42,2462.8,31.6569,23.2426,30,3,32,backward
Archipelago,43,2788.4,44.1421,23.5563,40,6,32,backward
Archipelago,44,3273,32.3848,22.7279,27,11,32,backward
Archipelago,45,1576,21.5563,20.3848,17,3,32,backward
Archipelago,46,5297.6,61.8701,21.0711,54,10,32,backward
Archipelago,47,4113.8,60.6985,22.2426,52,9,32,backward
Archipelago,48,3876,63.4558,23.8995,56,5,32,backward
Archipelago,49,4318,54.6985,22.2426,46,11,32,backward
Archipelago,50,1651.8,36.6569,27.8701,35,4,32,backward
Archipelago,51,3186.2,48.3137,26.4558,45,3,32,backward
Archipelago,52,1912.8,29.2132,24.4853,23,2,32,backward
Archipelago,53,3171.6,48.3553,27.4853,38,3,32,backward
Archipelago,54,4423.4,58.5269,26,49,2,32,backward
Archipelago,55,3020.6,37.9411,24.6274,28,5,32,backward
Archipelago,56,2946.4,50.8701,26.0416,43,4,32,backward
Archipelago,57,1627.2,29.3137,24.4853,26,3,32,backward
Archipelago,58,4071.2,47.3137,27.2132,44,5,32,backward
Archipelago,59,4214.2,57.6274,27.3848,51,6,32,backward
Archipelago,60,3411.6,56.0833,29.4558,42,8,32,backward
Archipelago,61,3145.8,39.5269,28.5563,30,5,32,backward
Archipelago,62,2001,31.2132,30.6274,25,3,32,backward
Archipelago,63,2303.8,40.7279,30.6274,37,3,32,backward
Archipelago,64,2939,57.7279,29.9706,54,12,32,backward
Archipelago,65,3078,62.9411,28.0416,53,33,32,backward
Archipelago,66,3033.6,63.0122,30.2426,51,4,32,backward
Archipelago,67,4930,73.1838,29.7279,62,11,32,backward
Archipelago,68,4606.8,67.9117,31.8701,53,20,32,backward
Archipelago,69,4101,90.6274,30.2132,84,3,32,backward
Archipelago,70,2068.4,37.2843,33.0416,29,2,32,backward
Archipelago,71,4242,72.9706,35.3137,68,2,32,backward
Archipelago,72,2884.2,65.4558,33.5563,58,3,32,backward
Archipelago,73,1898.2,42.4558,34.799,35,4,32,backward
Archipelago,74,2155.8,32.4853,32.4853,30,4,32,backward
Archipelago,75,5138.2,80.2548,34.8995,67,17,32,backward
Archipelago,76,3573.2,45.0711,32.8284,43,9,32,backward
Archipelago,77,3015,42.799,33.8701,37,7,32,backward
Archipelago,78,4257,66.669,35.4853,53,8,32,backward
Archipelago,79,4099.2,71.7696,32.6569,61,2,32,backward
Archipelago,80,3289.6,45.8406,37.799,33,3,32,backward
Archipelago,81,3224.2,54.4558,38.3848,47,6,32,backward
Archipelago,82,3453.6,63.0416,38.0416,56,16,32,backward
Archipelago,83,2487.6,38.7279,37.8995,35,5,32,backward
Archipelago,84,2897.4,45.1127,39.5563,36,6,32,backward
Archipelago,85,5026,51.5563,38.2426,47,7,32,backward
Archipelago,86,2379,38.799,37.6274,33,3,32,backward
Archipelago,87,2662.4,59.0711,36.7696,57,5,32,backward
Archipelago,88,3751,57.3553,36.7279,47,9,32,backward
Archipelago,89,1618.2,38.8995,38.8995,36,2,32,backward
