map,scenid,tcost,distance,expect,steps,access,r,itype
ArcticStation,0,1671,15.6569,6.65685,14,1,16,forward
ArcticStation,1,600.2,11.0711,5.82843,9,0,16,forward
ArcticStation,2,1452.8,22.3848,4,17,0,16,forward
ArcticStation,3,1159,9.48528,6.65685,7,0,16,forward
ArcticStation,4,1350.8,11.6569,6.82843,10,2,16,forward
ArcticStation,5,720.2,19.3137,6.82843,16,0,16,forward
ArcticStation,6,1501.6,22.5563,5.82843,18,0,16,forward
ArcticStation,7,1468,16.6569,7.65685,15,0,16,forward
ArcticStation,8,999.8,20.5563,7.82843,16,0,16,forward
ArcticStation,9,723.8,10.8284,6.82843,10,0,16,forward
ArcticStation,10,1775.6,26.799,10.4853,21,0,16,forward
ArcticStation,11,867.4,21.4853,10.8995,19,0,16,forward
ArcticStation,12,1449,21.8995,10.8284,19,0,16,forward
ArcticStation,13,1004.6,22.3137,9.24264,19,0,16,forward
ArcticStation,14,961.4,16.5563,9.48528,12,0,16,forward
ArcticStation,15,1675.2,21.1421,11.2426,17,0,16,forward
ArcticStation,16,2372.2,25.5563,10.4853,21,19,16,forward
ArcticStation,17,980.8,17.4853,9.48528,15,0,16,forward
ArcticStation,18,1560.4,22.0711,9.07107,20,4,16,forward
ArcticStation,19,2130,23.2426,11.2426,22,0,16,forward
ArcticStation,20,2342.2,33.5563,12.7279,29,0,16,forward
ArcticStation,21,2574.2,23.5563,14.7279,19,1,16,forward
ArcticStation,22,3249,29.1421,14.1421,25,11,16,forward
ArcticStation,23,1437,36.1127,14.8995,27,0,16,forward
ArcticStation,24,1165.2,12.0711,12.0711,10,0,16,forward
ArcticStation,25,2045,24.9706,13.6569,20,2,16,forward
ArcticStation,26,1742.8,28.9706,12.8284,24,3,16,forward
ArcticStation,27,1981.8,36.6985,15.1421,28,0,16,forward
ArcticStation,28,922.6,16.2426,14.2426,15,0,16,forward
ArcticStation,29,1044.8,16.0711,14.3137,14,0,16,forward
ArcticStation,30,1626.2,19.4142,19.4142,19,11,16,forward
ArcticStation,31,1059.2,20.9706,17.9706,16,0,16,forward
ArcticStation,32,1609.6,19.3137,18.1421,16,4,16,forward
ArcticStation,33,918.2,20.3137,18.6569,17,0,16,forward
ArcticStation,34,2072.4,32.2132,18.7279,26,0,16,forward
ArcticStation,35,1756.8,35.5563,18.5563,31,4,16,forward
ArcticStation,36,2752.6,32.6274,19.3137,26,14,16,forward
ArcticStation,37,1451.6,27.8995,18.4853,25,0,16,forward
ArcticStation,38,1547.8,18,17.4142,18,0,16,forward
ArcticStation,39,2191.2,22.5563,17.2426,18,3,16,forward
ArcticStation,40,1591.2,23.4853,20.6569,21,0,16,forward
ArcticStation,41,1623.8,27.6274,21.799,21,0,16,forward
ArcticStation,42,1681.6,22.6569,21,21,0,16,forward
ArcticStation,43,3946.4,41.6985,22.7279,33,2,16,forward
ArcticStation,44,1515,31.3848,22.3848,26,0,16,forward
ArcticStation,45,725,20.799,20.799,15,0,16,forward
ArcticStation,46,1702,28.4853,20.8995,26,2,16,forward
ArcticStation,47,1785.8,23.6569,22.8284,22,4,16,forward
ArcticStation,48,1533.2,40.9706,21.6569,36,0,16,forward
ArcticStation,49,1450.6,20.9706,20.9706,16,0,16,forward
ArcticStation,50,2715.4,29.9706,26.6569,25,0,16,forward
ArcticStation,51,4989.8,49.1127,25.0711,40,13,16,forward
ArcticStation,52,2810.8,36.2132,26.5563,30,9,16,forward
ArcticStation,53,1387.8,30.1421,26.8284,26,0,16,forward
ArcticStation,54,2668.6,33.0416,27.3848,26,2,16,forward
ArcticStation,55,3050.6,27.6569,24.1421,26,14,16,forward
ArcticStation,56,2169.4,26.6569,24.8995,25,4,16,forward
ArcticStation,57,1611.2,31.8701,26.2132,24,0,16,forward
