map,scenid,tcost,distance,expect,steps,access,r,itype
ArcticStation,0,670.4,6.65685,6.65685,5,0,0,forward
ArcticStation,1,323.6,5.82843,5.82843,5,0,0,forward
ArcticStation,2,442.4,4,4,4,0,0,forward
ArcticStation,3,664.4,6.65685,6.65685,5,0,0,forward
ArcticStation,4,526.6,6.82843,6.82843,6,0,0,forward
ArcticStation,5,311,6.82843,6.82843,6,0,0,forward
ArcticStation,6,472.2,5.82843,5.82843,5,0,0,forward
ArcticStation,7,688.4,7.65685,7.65685,6,0,0,forward
ArcticStation,8,322.8,7.82843,7.82843,7,0,0,forward
ArcticStation,9,386.6,6.82843,6.82843,6,0,0,forward
ArcticStation,10,605.8,10.4853,10.4853,8,0,0,forward
ArcticStation,11,468.2,10.8995,10.8995,8,0,0,forward
ArcticStation,12,1021.8,10.8284,10.8284,10,0,0,forward
ArcticStation,13,367.4,9.24264,9.24264,8,0,0,forward
ArcticStation,14,584.2,9.48528,9.48528,7,0,0,forward
ArcticStation,15,1051.4,11.2426,11.2426,10,0,0,forward
ArcticStation,16,527,10.4853,10.4853,8,1,0,forward
ArcticStation,17,450.8,9.48528,9.48528,7,0,0,forward
ArcticStation,18,488,9.07107,9.07107,7,0,0,forward
ArcticStation,19,799.8,11.2426,11.2426,10,0,0,forward
ArcticStation,20,799.2,12.7279,12.7279,9,0,0,forward
ArcticStation,21,1280.6,14.7279,14.7279,11,0,0,forward
ArcticStation,22,1674.8,14.1421,14.1421,10,2,0,forward
ArcticStation,23,579.6,14.8995,14.8995,12,0,0,forward
ArcticStation,24,871.2,12.0711,12.0711,10,0,0,forward
ArcticStation,25,1063,13.6569,13.6569,12,1,0,forward
ArcticStation,26,729,12.8284,12.8284,12,0,0,forward
ArcticStation,27,942.4,15.1421,15.1421,11,0,0,forward
ArcticStation,28,664.4,14.2426,14.2426,13,0,0,forward
ArcticStation,29,945.6,14.3137,14.3137,11,0,0,forward
ArcticStation,30,1919.4,19.4142,19.4142,19,13,0,forward
ArcticStation,31,664.4,17.9706,17.9706,13,0,0,forward
ArcticStation,32,1481.6,18.1421,18.1421,14,4,0,forward
ArcticStation,33,769,18.6569,18.6569,17,0,0,forward
ArcticStation,34,1186.2,18.7279,18.7279,15,0,0,forward
ArcticStation,35,655.4,18.5563,18.5563,14,0,0,forward
ArcticStation,36,1547.6,19.3137,19.3137,16,10,0,forward
ArcticStation,37,985.4,18.4853,18.4853,16,0,0,forward
ArcticStation,38,1468,17.4142,17.4142,17,0,0,forward
ArcticStation,39,1779,17.2426,17.2426,16,6,0,forward
ArcticStation,40,1596,20.6569,20.6569,19,0,0,forward
ArcticStation,41,1556.6,21.799,21.799,16,0,0,forward
ArcticStation,42,1302.8,21,21,21,0,0,forward
ArcticStation,43,2065.8,22.7279,22.7279,19,0,0,forward
ArcticStation,44,956.2,22.3848,22.3848,17,0,0,forward
ArcticStation,45,603.6,20.799,20.799,15,0,0,forward
ArcticStation,46,1185.4,20.8995,20.8995,18,0,0,forward
ArcticStation,47,1469.8,22.8284,22.8284,22,5,0,forward
ArcticStation,48,871.2,21.6569,21.6569,20,0,0,forward
ArcticStation,49,1449.4,20.9706,20.9706,16,0,0,forward
ArcticStation,50,2239.8,26.6569,26.6569,25,0,0,forward
ArcticStation,51,2112.4,25.0711,25.0711,23,5,0,forward
ArcticStation,52,1504.8,26.5563,26.5563,22,1,0,forward
ArcticStation,53,1066.2,26.8284,26.8284,26,0,0,forward
ArcticStation,54,2066.6,27.3848,27.3848,22,1,0,forward
ArcticStation,55,1773.4,24.1421,24.1421,20,3,0,forward
ArcticStation,56,1693.8,24.8995,24.8995,22,0,0,forward
ArcticStation,57,1455.6,26.2132,26.2132,20,0,0,forward
ArcticStation,58,1718.4,24,24,24,0,0,forward
ArcticStation,59,2695,26,26,26,8,0,forward
ArcticStation,60,1539.2,28.7279,28.7279,25,19,0,forward
ArcticStation,61,1160.4,28.6274,28.6274,22,0,0,forward
ArcticStation,62,2252.8,29.2426,29.2426,28,13,0,forward
ArcticStation,63,2008.2,31.4853,31.4853,29,2,0,forward
ArcticStation,64,2569.6,31.6985,31.6985,23,0,0,forward
ArcticStation,65,1725,31.2426,31.2426,30,0,0,forward
ArcticStation,66,1037.8,28.6569,28.6569,27,0,0,forward
ArcticStation,67,1683.8,30.8995,30.8995,28,4,0,forward
ArcticStation,68,2957.6,28.4142,28.4142,28,15,0,forward
ArcticStation,69,1855.8,31.5563,31.5563,27,9,0,forward
ArcticStation,70,2736,33.3848,33.3848,28,0,0,forward
ArcticStation,71,2167.2,32.799,32.799,27,0,0,forward
ArcticStation,72,3015.6,35.2426,35.2426,34,7,0,forward
ArcticStation,73,3081.4,34.2843,34.2843,26,12,0,forward
ArcticStation,74,1333.4,35.2843,35.2843,27,0,0,forward
ArcticStation,75,1534.4,33.9411,33.9411,24,0,0,forward
ArcticStation,76,1228.8,32.0711,32.0711,30,0,0,forward
ArcticStation,77,2460.6,35.0416,35.0416,28,2,0,forward
ArcticStation,78,1600,35.3848,35.3848,30,11,0,forward
ArcticStation,79,974.2,34,34,34,0,0,forward
ArcticStation,80,2137.6,38.3137,38.3137,35,6,0,forward
ArcticStation,81,2497.4,37.3553,37.3553,27,0,0,forward
ArcticStation,82,3271.2,38.2132,38.2132,32,12,0,forward
ArcticStation,83,1552.8,39.5563,39.5563,35,0,0,forward
ArcticStation,84,1379.4,38.1421,38.1421,34,0,0,forward
ArcticStation,85,3277.4,39.799,39.799,34,13,0,forward
ArcticStation,86,2373.2,36.6985,36.6985,28,25,0,forward
ArcticStation,87,1564.8,37.2132,37.2132,31,0,0,forward
ArcticStation,88,1192,37.0416,37.0416,30,0,0,forward
ArcticStation,89,4160,37.8995,37.8995,35,30,0,forward
ArcticStation,90,3543.6,43.9706,43.9706,39,6,0,forward
ArcticStation,91,1949.8,42.7279,42.7279,39,0,0,forward
ArcticStation,92,3858.8,43.4558,43.4558,36,6,0,forward
ArcticStation,93,4169.6,43.3553,43.3553,33,9,0,forward
ArcticStation,94,2724,41.9706,41.9706,37,30,0,forward
ArcticStation,95,2101.6,40.2426,40.2426,39,26,0,forward
ArcticStation,96,1612.2,42.4558,42.4558,35,2,0,forward
ArcticStation,97,2654.6,43.598,43.598,32,0,0,forward
ArcticStation,98,5245.4,42.1421,42.1421,38,18,0,forward
ArcticStation,99,3827.8,43.7696,43.7696,33,0,0,forward
ArcticStation,100,4775.8,45.0711,45.0711,43,30,0,forward
ArcticStation,101,3879.6,47.4142,47.4142,47,0,0,forward
ArcticStation,102,1770.4,45.8701,45.8701,38,0,0,forward
