map,scenid,tcost,distance,expect,steps,access,r,itype
Backwoods,0,945.2,9.24264,7,8,0,16,forward
Backwoods,1,1149.2,18.6569,6.65685,17,0,16,forward
Backwoods,2,846.8,15.8284,7,15,0,16,forward
Backwoods,3,545.2,10.8284,6.82843,10,0,16,forward
Backwoods,4,1879,20.4853,7.07107,18,12,16,forward
Backwoods,5,463.4,10.6569,5.82843,9,0,16,forward
Backwoods,6,1095,20.4853,6.41421,18,1,16,forward
Backwoods,7,518.8,10.0711,7.07107,8,0,16,forward
Backwoods,8,792,17.3137,4.82843,14,1,16,forward
Backwoods,9,948.4,21.4853,7.24264,19,0,16,forward
Backwoods,10,1814,31.5563,11.8995,27,15,16,forward
Backwoods,11,691.6,15.2426,9.24264,14,0,16,forward
Backwoods,12,1113.2,10.8284,10.2426,10,7,16,forward
Backwoods,13,763,16.2426,10.4853,15,0,16,forward
Backwoods,14,1104.6,28.4853,10.8284,26,0,16,forward
Backwoods,15,720.4,16.3137,9.65685,13,2,16,forward
Backwoods,16,916.4,18.3137,8.41421,15,0,16,forward
Backwoods,17,929.8,15.8284,11.2426,15,1,16,forward
Backwoods,18,2500.2,21.4853,8.24264,19,30,16,forward
Backwoods,19,1200.2,26.799,8.41421,21,6,16,forward
Backwoods,20,772.6,19.7279,15.1421,16,0,16,forward
Backwoods,21,1018.4,15.0711,15.0711,13,0,16,forward
Backwoods,22,654.6,15.3137,15.3137,12,0,16,forward
Backwoods,23,1033,20.4853,13.8284,18,0,16,forward
Backwoods,24,919.4,25.8995,12.4853,23,0,16,forward
Backwoods,25,931.6,18.6569,15.7279,17,0,16,forward
Backwoods,26,794.6,24.0711,12.3137,22,0,16,forward
Backwoods,27,807.6,19.4142,12.4142,19,0,16,forward
Backwoods,28,1776.6,41.5269,14.6569,32,14,16,forward
Backwoods,29,911.8,33.5563,15.0711,29,0,16,forward
Backwoods,30,995.6,22.3848,18.3848,17,0,16,forward
Backwoods,31,1555.8,25.3137,19.0711,22,9,16,forward
Backwoods,32,885.2,20.8284,17.3137,20,1,16,forward
Backwoods,33,1912.6,33.5563,16.9706,29,26,16,forward
Backwoods,34,1614.2,34.9706,19.4142,30,0,16,forward
Backwoods,35,1583.8,19.8995,19.8995,17,9,16,forward
Backwoods,36,1070,28.8284,19.5563,28,0,16,forward
Backwoods,37,845.2,18.4853,16.1421,16,0,16,forward
Backwoods,38,1046.2,38.2843,19.3137,30,0,16,forward
Backwoods,39,1290,32.9706,16.5563,28,0,16,forward
Backwoods,40,1985.8,46.1838,23.5563,35,9,16,forward
Backwoods,41,2159.6,43.1421,23.7279,39,27,16,forward
Backwoods,42,1969.2,40.5563,23.9706,36,0,16,forward
Backwoods,43,1270.8,32.8995,21.9706,30,2,16,forward
Backwoods,44,3024.4,32.4853,21.0711,30,18,16,forward
Backwoods,45,1761.8,38.9706,23.4142,34,2,16,forward
Backwoods,46,1536,22.1421,21.5563,18,2,16,forward
Backwoods,47,1179.8,31.8284,21.8284,31,0,16,forward
Backwoods,48,1370.6,33.6274,22.6569,27,0,16,forward
Backwoods,49,1808.2,25.2426,23,24,15,16,forward
Backwoods,50,1415,28.4853,25.4853,26,0,16,forward
Backwoods,51,1480,45.799,25.799,40,1,16,forward
Backwoods,52,1388.8,35.1127,24.8995,26,0,16,forward
Backwoods,53,1226,27.6274,27.0416,21,4,16,forward
Backwoods,54,1529.2,41.799,25.6569,36,0,16,forward
Backwoods,55,3405,49.8701,25.2426,42,38,16,forward
Backwoods,56,1506.6,27.6569,25.8995,26,12,16,forward
Backwoods,57,1238,32.9706,25.0711,28,0,16,forward
Backwoods,58,800.6,28.2426,25.2426,27,0,16,forward
Backwoods,59,1393.6,39.6985,25.8995,31,0,16,forward
Backwoods,60,1584.6,52.6985,28.6569,44,0,16,forward
Backwoods,61,1906,43.4853,31.4853,41,15,16,forward
Backwoods,62,2944.4,38.8995,28,36,35,16,forward
Backwoods,63,1307.6,35.2843,31.3848,27,4,16,forward
Backwoods,64,1246.6,42.3137,30.2132,39,0,16,forward
Backwoods,65,1466.8,34.799,30.5563,29,1,16,forward
Backwoods,66,1748.2,46.799,29.1421,41,0,16,forward
Backwoods,67,826.6,32.799,30.3137,27,0,16,forward
Backwoods,68,1263.4,35.8995,29.5563,33,0,16,forward
Backwoods,69,1687.4,32.8701,31.4558,25,11,16,forward
Backwoods,70,1382.6,33.6985,33.6985,25,5,16,forward
Backwoods,71,1968.6,40.9411,35.1421,31,9,16,forward
Backwoods,72,2288.4,61.0416,35.8284,54,15,16,forward
Backwoods,73,1935.2,33.0416,33.0416,26,4,16,forward
Backwoods,74,1750.2,52.0711,35.2426,50,19,16,forward
Backwoods,75,1523,34.2426,33.4142,33,5,16,forward
Backwoods,76,844.2,43.5563,33.5563,39,0,16,forward
