map,scenid,tcost,distance,expect,steps,access,r,itype
Backwoods,0,1544.8,7.82843,7,7,2,2,backward
Backwoods,1,1235.4,6.65685,6.65685,5,3,2,backward
Backwoods,2,1263.8,8.41421,7,8,2,2,backward
Backwoods,3,956.6,6.82843,6.82843,6,2,2,backward
Backwoods,4,1297.6,7.07107,7.07107,5,3,2,backward
Backwoods,5,867.6,6.41421,5.82843,6,2,2,backward
Backwoods,6,1247.6,6.41421,6.41421,6,3,2,backward
Backwoods,7,1265.4,8.07107,7.07107,6,2,2,backward
Backwoods,8,1308.6,7.65685,4.82843,6,3,2,backward
Backwoods,9,1081.6,7.82843,7.24264,7,2,2,backward
Backwoods,10,1908.4,12.7279,11.8995,9,4,2,backward
Backwoods,11,1067.6,9.24264,9.24264,8,2,2,backward
Backwoods,12,1637.8,10.2426,10.2426,9,5,2,backward
Backwoods,13,1339.6,10.4853,10.4853,8,2,2,backward
Backwoods,14,1549,10.8284,10.8284,10,3,2,backward
Backwoods,15,1180.2,9.65685,9.65685,8,2,2,backward
Backwoods,16,1297,9.24264,8.41421,8,2,2,backward
Backwoods,17,1679.6,13.8284,11.2426,13,2,2,backward
Backwoods,18,1180.2,8.24264,8.24264,7,2,2,backward
Backwoods,19,1764.6,8.41421,8.41421,8,6,2,backward
Backwoods,20,1302.6,15.7279,15.1421,12,2,2,backward
Backwoods,21,1405.8,15.0711,15.0711,13,2,2,backward
Backwoods,22,1282.4,17.3137,15.3137,14,2,2,backward
Backwoods,23,1649.2,14.4142,13.8284,14,2,2,backward
Backwoods,24,1513.2,13.8995,12.4853,11,3,2,backward
Backwoods,25,1464.2,16.3137,15.7279,13,2,2,backward
Backwoods,26,1786.6,13.3137,12.3137,10,6,2,backward
Backwoods,27,1181.2,13.4142,12.4142,13,2,2,backward
Backwoods,28,1943.6,15.6569,14.6569,14,5,2,backward
Backwoods,29,1374.6,17.0711,15.0711,15,2,2,backward
Backwoods,30,1532.8,19.3848,18.3848,14,3,2,backward
Backwoods,31,2130.4,19.0711,19.0711,17,4,2,backward
Backwoods,32,1316.6,17.3137,17.3137,14,1,2,backward
Backwoods,33,1558.6,18.3848,16.9706,13,3,2,backward
Backwoods,34,1736.8,20.4142,19.4142,20,4,2,backward
Backwoods,35,2180,19.8995,19.8995,17,8,2,backward
Backwoods,36,1728.2,20.1421,19.5563,16,3,2,backward
Backwoods,37,1563.2,16.9706,16.1421,12,2,2,backward
Backwoods,38,1547,19.3137,19.3137,16,2,2,backward
Backwoods,39,1400.2,17.9706,16.5563,13,2,2,backward
Backwoods,40,2352.6,24.3848,23.5563,19,5,2,backward
Backwoods,41,1929,24.3137,23.7279,21,3,2,backward
Backwoods,42,2162.4,24.5563,23.9706,20,4,2,backward
Backwoods,43,1692.6,22.5563,21.9706,18,5,2,backward
Backwoods,44,1874.6,22.4853,21.0711,20,2,2,backward
Backwoods,45,2791.6,24.8284,23.4142,24,9,2,backward
Backwoods,46,1958.8,21.5563,21.5563,17,3,2,backward
Backwoods,47,1412,21.8284,21.8284,21,1,2,backward
Backwoods,48,1758.2,23.4853,22.6569,21,2,2,backward
Backwoods,49,2938.6,23,23,23,13,2,backward
Backwoods,50,1890.2,26.8995,25.4853,24,2,2,backward
Backwoods,51,1957,25.799,25.799,20,3,2,backward
Backwoods,52,1978,24.8995,24.8995,22,4,2,backward
Backwoods,53,2646.6,27.6274,27.0416,21,5,2,backward
Backwoods,54,1656.4,28.4853,25.6569,26,2,2,backward
Backwoods,55,2273.6,25.2426,25.2426,24,3,2,backward
Backwoods,56,1964.4,25.8995,25.8995,23,5,2,backward
Backwoods,57,1760.8,25.6569,25.0711,24,2,2,backward
Backwoods,58,1755,26.2426,25.2426,25,3,2,backward
Backwoods,59,2323.4,25.8995,25.8995,23,5,2,backward
Backwoods,60,1654.6,29.6569,28.6569,28,8,2,backward
Backwoods,61,2356.8,31.4853,31.4853,29,9,2,backward
Backwoods,62,2106.6,29,28,29,2,2,backward
Backwoods,63,2198,31.3848,31.3848,26,6,2,backward
Backwoods,64,2683.8,30.799,30.2132,25,7,2,backward
Backwoods,65,2105.4,31.1421,30.5563,27,3,2,backward
Backwoods,66,1633.2,29.1421,29.1421,25,1,2,backward
Backwoods,67,2312.4,31.1421,30.3137,27,7,2,backward
Backwoods,68,2285.4,29.5563,29.5563,25,4,2,backward
Backwoods,69,2714.2,32.8701,31.4558,25,10,2,backward
Backwoods,70,1686.8,33.6985,33.6985,25,6,2,backward
Backwoods,71,2463.4,35.9706,35.1421,31,10,2,backward
Backwoods,72,2090.8,37.8284,35.8284,37,2,2,backward
Backwoods,73,1860.6,33.6274,33.0416,27,2,2,backward
Backwoods,74,1589,35.2426,35.2426,34,1,2,backward
Backwoods,75,2094.2,34.2426,33.4142,33,2,2,backward
Backwoods,76,2087.4,35.5563,33.5563,31,5,2,backward
Backwoods,77,1828,34.9706,33.9706,30,3,2,backward
Backwoods,78,2165,36.2426,34.8284,35,2,2,backward
Backwoods,79,2286.8,35.4558,34.8701,28,4,2,backward
Backwoods,80,2254.2,39.1421,39.1421,35,3,2,backward
Backwoods,81,2233,41.5563,39.5563,37,4,2,backward
Backwoods,82,2301.8,38.3848,36.9706,33,2,2,backward
Backwoods,83,2050.8,38.2843,37.4558,30,3,2,backward
Backwoods,84,2392.6,38.1127,38.1127,29,2,2,backward
Backwoods,85,2363.8,36.799,36.799,31,5,2,backward
Backwoods,86,2560.8,37.7696,37.7696,27,4,2,backward
Backwoods,87,2036.6,37.9411,36.5269,28,2,2,backward
Backwoods,88,2793.4,39.0711,39.0711,37,14,2,backward
Backwoods,89,1554,38.2426,38.2426,37,1,2,backward
Backwoods,90,2747.4,42.6274,40.6274,36,4,2,backward
