map,scenid,tcost,distance,expect,steps,access,r,itype
BigGameHunters,0,899.6,6.41421,5.41421,6,0,8,forward
BigGameHunters,1,984.8,14.8995,5.24264,12,0,8,forward
BigGameHunters,2,730.6,10.2426,6,9,0,8,forward
BigGameHunters,3,654.6,7.41421,5.41421,7,0,8,forward
BigGameHunters,4,1123.8,17.8995,7.41421,15,0,8,forward
BigGameHunters,5,560.8,6.41421,5.41421,6,0,8,forward
BigGameHunters,6,567,8,7.41421,8,0,8,forward
BigGameHunters,7,372.6,5.41421,4,5,0,8,forward
BigGameHunters,8,637.6,10.6569,5,9,0,8,forward
BigGameHunters,9,1032.8,15.0711,6.65685,13,0,8,forward
BigGameHunters,10,1043.2,19.3137,8,16,0,8,forward
BigGameHunters,11,1219.4,18.1421,10.0711,14,1,8,forward
BigGameHunters,12,884.4,10.8995,10.8995,8,0,8,forward
BigGameHunters,13,1010,18.1421,11.4142,14,0,8,forward
BigGameHunters,14,541.2,9.65685,9.65685,8,0,8,forward
BigGameHunters,15,927.2,13.2426,10.8995,12,0,8,forward
BigGameHunters,16,813.2,17.0711,8.07107,15,0,8,forward
BigGameHunters,17,326.4,14.8995,9.24264,12,0,8,forward
BigGameHunters,18,670.2,15.7279,9.82843,12,0,8,forward
BigGameHunters,19,585,17.4853,11.2426,15,0,8,forward
BigGameHunters,20,806.8,18.4142,14.3137,18,0,8,forward
BigGameHunters,21,3112.4,19.4853,15.2426,17,0,8,forward
BigGameHunters,22,889.8,21.3137,14.6569,18,0,8,forward
BigGameHunters,23,996.4,13.8995,13.8995,11,4,8,forward
BigGameHunters,24,755.6,16.4853,15.3137,14,0,8,forward
BigGameHunters,25,627.4,14.8995,13.7279,12,0,8,forward
BigGameHunters,26,939.8,15.4853,15.4853,13,7,8,forward
BigGameHunters,27,553.2,12.8284,12.2426,12,0,8,forward
BigGameHunters,28,588.6,14.4853,12.8284,12,0,8,forward
BigGameHunters,29,747.2,17.4853,13.8284,15,0,8,forward
BigGameHunters,30,951.8,26.5563,18.0711,22,0,8,forward
BigGameHunters,31,1136,26.4853,18,24,0,8,forward
BigGameHunters,32,856.2,23.8284,19,23,0,8,forward
BigGameHunters,33,1274,20.9706,17.0711,16,3,8,forward
BigGameHunters,34,746.4,18.3137,18.3137,15,0,8,forward
BigGameHunters,35,1238.6,27.7279,19,24,6,8,forward
BigGameHunters,36,917.8,22.5563,18.5563,18,0,8,forward
BigGameHunters,37,564.2,17.0711,16.4853,15,0,8,forward
BigGameHunters,38,878.8,20.5563,18.3137,16,0,8,forward
BigGameHunters,39,785.8,19.1421,17.1421,15,0,8,forward
BigGameHunters,40,1102.6,22.9706,20.1421,18,0,8,forward
BigGameHunters,41,1811.8,24.4853,23.3137,22,13,8,forward
BigGameHunters,42,1004.4,23.2426,23.2426,22,0,8,forward
BigGameHunters,43,1246.2,29.6569,20.6569,28,0,8,forward
BigGameHunters,44,819,30.3137,21.6569,27,0,8,forward
BigGameHunters,45,931.2,23.7279,23.7279,20,0,8,forward
BigGameHunters,46,1095.4,29.4142,22.4142,29,0,8,forward
BigGameHunters,47,1084,27.0416,22.799,20,1,8,forward
BigGameHunters,48,1218.8,27.9706,23.7279,23,0,8,forward
BigGameHunters,49,714.6,24.2132,21.9706,18,0,8,forward
BigGameHunters,50,1147.2,27.4558,26.8701,20,0,8,forward
BigGameHunters,51,1230,33.6569,27.6569,32,0,8,forward
BigGameHunters,52,1302.2,30.3137,27.4853,27,2,8,forward
BigGameHunters,53,857,28.5563,24.7279,24,0,8,forward
BigGameHunters,54,1323.2,35.0711,26.4853,33,0,8,forward
BigGameHunters,55,1467.4,27.4558,24.9706,20,2,8,forward
BigGameHunters,56,1158.6,26.8284,25.0711,26,10,8,forward
BigGameHunters,57,1271,27.0711,24.2426,25,6,8,forward
BigGameHunters,58,868.8,26.3848,24.9706,21,0,8,forward
BigGameHunters,59,1150,28.799,27.9706,23,0,8,forward
BigGameHunters,60,1429.4,36.8701,28.8701,29,0,8,forward
BigGameHunters,61,1171.6,32.4558,29.9706,25,0,8,forward
BigGameHunters,62,1358,37.4853,28,35,0,8,forward
BigGameHunters,63,1798.2,37.7279,31.7279,34,19,8,forward
BigGameHunters,64,1514.4,31.3848,31.3848,26,3,8,forward
BigGameHunters,65,1180.6,38.4558,28.5563,31,0,8,forward
BigGameHunters,66,1195.6,36.6274,30.799,30,0,8,forward
BigGameHunters,67,1350.2,35.9706,31.8284,31,3,8,forward
BigGameHunters,68,1774.8,33.9706,29.9706,29,0,8,forward
BigGameHunters,69,1389.4,34.9706,30.2426,30,5,8,forward
BigGameHunters,70,1149.8,32.5563,32.5563,28,0,8,forward
BigGameHunters,71,1126.2,32.9706,32.9706,28,1,8,forward
BigGameHunters,72,1437.8,34.3137,33.7279,31,2,8,forward
BigGameHunters,73,1146.2,38.0416,35.2132,31,0,8,forward
BigGameHunters,74,2131,36.3137,35.7279,33,25,8,forward
BigGameHunters,75,1098.4,37.3553,34.5269,27,0,8,forward
BigGameHunters,76,1538.2,41.799,35.2132,36,0,8,forward
BigGameHunters,77,1789,34.8995,34.8995,32,1,8,forward
BigGameHunters,78,922.4,36.9411,33.2843,27,0,8,forward
BigGameHunters,79,1611.6,41.3553,35.3553,31,0,8,forward
BigGameHunters,80,2061.8,47.7279,39.0711,44,12,8,forward
BigGameHunters,81,1396.8,40.0416,36.1421,33,0,8,forward
BigGameHunters,82,1009.8,39.4142,38.2426,39,9,8,forward
BigGameHunters,83,2325.8,44.8701,37.2132,37,25,8,forward
BigGameHunters,84,1513.4,41.8995,39.5563,39,0,8,forward
BigGameHunters,85,2207.8,48.7696,38.1127,38,8,8,forward
BigGameHunters,86,2488,37.9706,37.9706,33,20,8,forward
BigGameHunters,87,1580.2,38.7279,37.8995,35,1,8,forward
BigGameHunters,88,3803.4,46.6274,37.6274,40,34,8,forward
BigGameHunters,89,1340.6,44.3137,37.2426,41,0,8,forward
BigGameHunters,90,1322.6,42.9411,41.1838,33,0,8,forward
BigGameHunters,91,1962.4,43.8995,43.8995,41,2,8,forward
BigGameHunters,92,2341,49.9411,40.0416,40,17,8,forward
BigGameHunters,93,1598.4,47.8406,42.1838,35,0,8,forward
BigGameHunters,94,2365,49.1838,43.5269,38,1,8,forward
BigGameHunters,95,2358.2,44.2843,43.1127,36,11,8,forward
BigGameHunters,96,1979.6,44.2843,41.2843,36,8,8,forward
BigGameHunters,97,1568.2,46.6274,43.1127,40,1,8,forward
BigGameHunters,98,1269.6,41.4853,41.4853,39,0,8,forward
BigGameHunters,99,2058.8,47.8995,40.8995,45,22,8,forward
BigGameHunters,100,1966,52.0122,45.0122,40,1,8,forward
BigGameHunters,101,2488,51.3848,47.3848,46,15,8,forward
BigGameHunters,102,2539,55.669,45.7696,42,10,8,forward
BigGameHunters,103,2415.4,44.5269,44.5269,35,13,8,forward
BigGameHunters,104,2072.2,58.3259,45.598,43,0,8,forward
BigGameHunters,105,2257.6,47.1421,44.1421,43,10,8,forward
BigGameHunters,106,2396.6,49.7279,45,46,28,8,forward
BigGameHunters,107,1844.6,49.0122,47.598,37,0,8,forward
BigGameHunters,108,1886.2,56.669,46.7696,43,0,8,forward
BigGameHunters,109,4772,54.598,46.598,43,33,8,forward
BigGameHunters,110,2356,57.5269,49.6985,48,23,8,forward
BigGameHunters,111,2152.6,52.4558,51.8701,45,22,8,forward
BigGameHunters,112,1240.8,52.0833,48.0833,38,0,8,forward
BigGameHunters,113,2099.2,48.8701,48.8701,41,12,8,forward
BigGameHunters,114,2841,62.9411,51.6274,53,39,8,forward
BigGameHunters,115,2198.8,61.5563,51.6569,57,32,8,forward
BigGameHunters,116,1912.4,58.5269,51.5269,49,0,8,forward
BigGameHunters,117,2691.8,55.9411,51.3553,46,26,8,forward
BigGameHunters,118,2494.6,60.0122,51.5269,48,26,8,forward
BigGameHunters,119,1996,57.4264,49.598,45,12,8,forward
BigGameHunters,120,3276,60.4558,54.4558,53,41,8,forward
BigGameHunters,121,2168.6,59.2548,55.1127,46,12,8,forward
BigGameHunters,122,1989.8,57.1421,54.2132,53,18,8,forward
BigGameHunters,123,1367,62.6274,54.8701,56,1,8,forward
BigGameHunters,124,1635.4,62.4264,55.4264,50,4,8,forward
BigGameHunters,125,1904.8,63.7696,55.2843,53,27,8,forward
BigGameHunters,126,1718.4,53.1421,52.5563,49,12,8,forward
BigGameHunters,127,2529.4,65.598,54.1127,54,27,8,forward
BigGameHunters,128,1533.2,56.9411,55.9411,47,3,8,forward
BigGameHunters,129,2244.6,52.8406,52.0122,40,5,8,forward
BigGameHunters,130,3334.2,59.799,56.0416,54,29,8,forward
BigGameHunters,131,1370.6,56.6985,56.6985,48,0,8,forward
BigGameHunters,132,3182,69.4264,59.5269,57,36,8,forward
BigGameHunters,133,3052.8,63.0416,58.9411,56,36,8,forward
BigGameHunters,134,1958.2,59.8701,59.8701,52,12,8,forward
BigGameHunters,135,1924.4,59.7401,59.7401,44,5,8,forward
BigGameHunters,136,2343,60.9117,57.2548,46,5,8,forward
BigGameHunters,137,2260.4,66.6569,59.4142,65,58,8,forward
BigGameHunters,138,2925.6,59.2843,58.1127,51,36,8,forward
BigGameHunters,139,3394.8,67.8995,59.4142,65,41,8,forward
BigGameHunters,140,2593.6,63.397,60.5685,46,8,8,forward
BigGameHunters,141,2603.2,70.9411,61.0416,61,29,8,forward
BigGameHunters,142,1571.6,61.5685,60.1543,45,0,8,forward
BigGameHunters,143,2070.4,63.9706,63.1421,59,5,8,forward
BigGameHunters,144,1832.6,64.1127,63.1127,55,0,8,forward
BigGameHunters,145,3877.4,68.7401,63.4975,53,27,8,forward
BigGameHunters,146,2019.6,66.8701,62.8701,59,9,8,forward
BigGameHunters,147,2442.4,63.8284,61.8284,63,44,8,forward
BigGameHunters,148,3161,65.5269,60.1127,56,48,8,forward
BigGameHunters,149,2453.2,61.6569,61.0711,60,18,8,forward
BigGameHunters,150,1764.6,67.8406,66.0833,55,10,8,forward
BigGameHunters,151,2955.2,68.598,66.2548,57,31,8,forward
BigGameHunters,152,3699.4,66.2426,66.2426,65,38,8,forward
BigGameHunters,153,3314,65.799,64.6274,60,51,8,forward
BigGameHunters,154,3727,67.9828,64.2254,51,26,8,forward
BigGameHunters,155,2207,69.468,64.8112,50,18,8,forward
BigGameHunters,156,1981.4,70.669,67.8406,57,25,8,forward
BigGameHunters,157,3480.8,74.6569,66.0711,73,29,8,forward
BigGameHunters,158,1629.6,68.2132,64.4558,62,0,8,forward
BigGameHunters,159,2411.2,69.5563,65.5563,65,19,8,forward
BigGameHunters,160,2594,72.2548,68.9411,59,0,8,forward
BigGameHunters,161,3182.8,78.7696,71.7696,68,25,8,forward
