map,scenid,tcost,distance,expect,steps,access,r,itype
BigGameHunters,0,827.8,5.41421,5.41421,5,1,0,backward
BigGameHunters,1,650.6,5.24264,5.24264,4,1,0,backward
BigGameHunters,2,711,6,6,6,1,0,backward
BigGameHunters,3,626.4,5.41421,5.41421,5,1,0,backward
BigGameHunters,4,706.4,7.41421,7.41421,7,1,0,backward
BigGameHunters,5,686.2,5.41421,5.41421,5,1,0,backward
BigGameHunters,6,723.4,7.41421,7.41421,7,1,0,backward
BigGameHunters,7,636.6,4,4,4,1,0,backward
BigGameHunters,8,571.6,5,5,5,1,0,backward
BigGameHunters,9,821.2,6.65685,6.65685,5,1,0,backward
BigGameHunters,10,791.2,8,8,8,1,0,backward
BigGameHunters,11,736.8,10.0711,10.0711,8,1,0,backward
BigGameHunters,12,1067,10.8995,10.8995,8,2,0,backward
BigGameHunters,13,897.4,11.4142,11.4142,11,1,0,backward
BigGameHunters,14,740,9.65685,9.65685,8,1,0,backward
BigGameHunters,15,765.8,10.8995,10.8995,8,1,0,backward
BigGameHunters,16,1224.8,8.07107,8.07107,6,3,0,backward
BigGameHunters,17,648.8,9.24264,9.24264,8,2,0,backward
BigGameHunters,18,1011.2,9.82843,9.82843,9,3,0,backward
BigGameHunters,19,840,11.2426,11.2426,10,1,0,backward
BigGameHunters,20,836.4,14.3137,14.3137,11,1,0,backward
BigGameHunters,21,942.8,15.2426,15.2426,14,1,0,backward
BigGameHunters,22,884.4,14.6569,14.6569,13,1,0,backward
BigGameHunters,23,1088.6,13.8995,13.8995,11,2,0,backward
BigGameHunters,24,989.8,15.3137,15.3137,12,1,0,backward
BigGameHunters,25,895,13.7279,13.7279,10,1,0,backward
BigGameHunters,26,974.6,15.4853,15.4853,13,2,0,backward
BigGameHunters,27,1047.6,12.2426,12.2426,11,1,0,backward
BigGameHunters,28,883.6,12.8284,12.8284,12,1,0,backward
BigGameHunters,29,1050.6,13.8284,13.8284,13,2,0,backward
BigGameHunters,30,1045.8,18.0711,18.0711,16,3,0,backward
BigGameHunters,31,988,18,18,18,1,0,backward
BigGameHunters,32,905.8,19,19,19,1,0,backward
BigGameHunters,33,1081.2,17.0711,17.0711,15,2,0,backward
BigGameHunters,34,1054.8,18.3137,18.3137,15,1,0,backward
BigGameHunters,35,1106,19,19,19,1,0,backward
BigGameHunters,36,997.6,18.5563,18.5563,14,1,0,backward
BigGameHunters,37,728,16.4853,16.4853,14,1,0,backward
BigGameHunters,38,1080.2,18.3137,18.3137,15,1,0,backward
BigGameHunters,39,998.6,17.1421,17.1421,13,2,0,backward
BigGameHunters,40,1100.4,20.1421,20.1421,16,1,0,backward
BigGameHunters,41,1489.4,23.3137,23.3137,20,3,0,backward
BigGameHunters,42,1003.8,23.2426,23.2426,22,1,0,backward
BigGameHunters,43,1286.4,20.6569,20.6569,19,2,0,backward
BigGameHunters,44,954.6,21.6569,21.6569,20,1,0,backward
BigGameHunters,45,1251,23.7279,23.7279,20,2,0,backward
BigGameHunters,46,1067.8,22.4142,22.4142,22,1,0,backward
BigGameHunters,47,1232.8,22.799,22.799,17,1,0,backward
BigGameHunters,48,1457.8,23.7279,23.7279,20,2,0,backward
BigGameHunters,49,1066.8,21.9706,21.9706,17,1,0,backward
BigGameHunters,50,1507.8,26.8701,26.8701,19,2,0,backward
BigGameHunters,51,1483.4,27.6569,27.6569,26,3,0,backward
BigGameHunters,52,1453.4,27.4853,27.4853,25,1,0,backward
BigGameHunters,53,971.2,24.7279,24.7279,21,1,0,backward
BigGameHunters,54,1324.8,26.4853,26.4853,24,2,0,backward
