map,scenid,tcost,distance,expect,steps,access,r,itype
BlackLotus,0,777.2,9,6,9,0,8,forward
BlackLotus,1,675.8,8.41421,5.24264,8,2,8,forward
BlackLotus,2,929,11.0711,6.65685,9,0,8,forward
BlackLotus,3,1060.4,17.7279,6.24264,14,0,8,forward
BlackLotus,4,558.4,6.82843,6.82843,6,0,8,forward
BlackLotus,5,771.6,9.07107,7.41421,7,0,8,forward
BlackLotus,6,1066.4,7.82843,6.24264,7,3,8,forward
BlackLotus,7,674.2,15.8995,4.41421,13,0,8,forward
BlackLotus,8,615.6,8.07107,7.24264,6,0,8,forward
BlackLotus,9,461,8.41421,5.24264,8,0,8,forward
BlackLotus,10,651,14.4853,8.24264,12,1,8,forward
BlackLotus,11,872.8,13.6569,10.2426,12,0,8,forward
BlackLotus,12,782.4,12.2426,11.0711,11,0,8,forward
BlackLotus,13,760,8.82843,8.24264,8,0,8,forward
BlackLotus,14,943,18.8995,10.4142,16,0,8,forward
BlackLotus,15,2176.4,13.6569,10.2426,12,13,8,forward
BlackLotus,16,845.4,12.8284,10,12,0,8,forward
BlackLotus,17,666.8,18.7279,11.6569,15,0,8,forward
BlackLotus,18,844.6,8.82843,8.82843,8,2,8,forward
BlackLotus,19,941.6,12.0711,10.0711,10,2,8,forward
BlackLotus,20,1315.4,16.0711,14.8995,14,0,8,forward
BlackLotus,21,1419.2,20.1421,15.8995,16,2,8,forward
BlackLotus,22,2110,28.0416,15.3137,21,1,8,forward
BlackLotus,23,2012.2,23.4853,15.8284,21,9,8,forward
BlackLotus,24,1117.4,24.1421,14.1421,20,0,8,forward
BlackLotus,25,1343.4,19.9706,15.2426,15,3,8,forward
BlackLotus,26,694.6,16.6569,12.6569,15,0,8,forward
BlackLotus,27,1434.4,16.0711,15.4853,14,0,8,forward
BlackLotus,28,1646,18.9706,15.3137,14,1,8,forward
BlackLotus,29,1291.4,21.0711,12.8284,19,0,8,forward
BlackLotus,30,1468,22.8995,19.8284,20,5,8,forward
BlackLotus,31,1054.6,19.1421,19.1421,15,0,8,forward
BlackLotus,32,1414.2,19.2426,16.3137,18,6,8,forward
BlackLotus,33,1613.4,23.3848,18.3137,18,0,8,forward
BlackLotus,34,2084.6,25.9706,18.9706,21,0,8,forward
BlackLotus,35,1359,23.8995,16.7279,21,0,8,forward
BlackLotus,36,1679.8,17.1421,16.5563,13,0,8,forward
BlackLotus,37,2173.6,22.5563,16.7279,18,10,8,forward
BlackLotus,38,1092.2,18.5563,18.5563,14,0,8,forward
BlackLotus,39,1054.8,24.7279,16.2426,21,0,8,forward
BlackLotus,40,3188.8,21.5563,20.7279,17,10,8,forward
BlackLotus,41,819.4,23.6569,23.6569,22,1,8,forward
BlackLotus,42,1708.8,26.4142,22.4142,26,11,8,forward
BlackLotus,43,897.6,20.799,20.799,15,1,8,forward
BlackLotus,44,1541.6,29.9706,20.799,25,6,8,forward
BlackLotus,45,1759,24.0711,21.2426,22,3,8,forward
BlackLotus,46,1594.8,26.8284,21.3137,26,0,8,forward
BlackLotus,47,1893,23.9706,23.1421,19,4,8,forward
BlackLotus,48,2473.2,20.8995,20.8995,18,15,8,forward
BlackLotus,49,2100.8,25.0711,21.2426,23,5,8,forward
BlackLotus,50,2521.8,27.799,27.799,22,0,8,forward
BlackLotus,51,1990.4,26.2132,25.0416,20,6,8,forward
BlackLotus,52,2608.4,33.3137,27.3137,30,12,8,forward
BlackLotus,53,2357.4,31.4142,26.4853,31,21,8,forward
BlackLotus,54,2261.2,33.8701,24.3848,26,16,8,forward
BlackLotus,55,2051.2,26.7279,26.1421,23,0,8,forward
BlackLotus,56,1420.4,26.7279,25.5563,23,0,8,forward
BlackLotus,57,1286.8,25.8995,24.4853,23,1,8,forward
BlackLotus,58,1709.4,33.8701,25.6274,26,0,8,forward
BlackLotus,59,2575.2,27.6274,27.0416,21,0,8,forward
BlackLotus,60,1449.6,39.8701,30.8701,32,0,8,forward
BlackLotus,61,2381,36.9411,30.6274,27,6,8,forward
BlackLotus,62,1983.2,39.3137,31.4142,36,13,8,forward
BlackLotus,63,2757.2,32.799,29.0416,27,10,8,forward
BlackLotus,64,2372.6,30.9706,29.3137,26,8,8,forward
BlackLotus,65,2623.8,28.8284,28.8284,28,10,8,forward
BlackLotus,66,2288.6,30.8995,29.4853,28,0,8,forward
BlackLotus,67,2116.6,37.8701,29.8701,30,11,8,forward
BlackLotus,68,2699,33.0711,30.2426,31,11,8,forward
BlackLotus,69,1459,28.6274,28.6274,22,0,8,forward
BlackLotus,70,2211.4,34.6985,33.5269,26,5,8,forward
BlackLotus,71,2557.2,32.2132,32.2132,26,13,8,forward
BlackLotus,72,2568,37.3553,34.5269,27,9,8,forward
BlackLotus,73,1930.6,37.2426,33.4853,36,10,8,forward
BlackLotus,74,3309.2,34.9706,32.9706,30,16,8,forward
BlackLotus,75,3599.6,40.2426,33.6569,39,7,8,forward
BlackLotus,76,1616.2,37.9411,35.1127,28,0,8,forward
BlackLotus,77,2157.6,39.5269,34.2132,30,3,8,forward
BlackLotus,78,3006.8,46.4558,33.7279,39,14,8,forward
BlackLotus,79,2055.4,33.8995,33.3137,31,18,8,forward
BlackLotus,80,2974.4,39.7279,39.7279,36,25,8,forward
BlackLotus,81,2875.8,46.1838,36.2843,35,19,8,forward
BlackLotus,82,1785.6,36.2132,36.2132,30,2,8,forward
BlackLotus,83,4384.8,51.799,39.0711,46,31,8,forward
BlackLotus,84,1520.6,42.8284,38.2426,42,16,8,forward
BlackLotus,85,3039.6,46.0711,36.0711,44,27,8,forward
BlackLotus,86,1902,44.2132,39.2843,38,3,8,forward
BlackLotus,87,2303.6,39.2843,38.2843,31,2,8,forward
BlackLotus,88,3091.6,37.2132,37.2132,31,6,8,forward
BlackLotus,89,2929.2,37.1421,37.1421,33,21,8,forward
BlackLotus,90,3331.4,45.5563,40.5563,41,7,8,forward
BlackLotus,91,4398,42.2426,40.2426,41,14,8,forward
BlackLotus,92,4155.8,51.8701,43.8701,44,23,8,forward
BlackLotus,93,2358.6,43.3848,40.4558,38,1,8,forward
BlackLotus,94,2525.8,52.3137,42.4142,49,0,8,forward
BlackLotus,95,3113.4,51.0711,42.8284,49,23,8,forward
BlackLotus,96,2467,45.4264,40.7696,33,1,8,forward
BlackLotus,97,3171,41.8284,41,41,19,8,forward
BlackLotus,98,2742.2,44.5563,41.3848,40,6,8,forward
BlackLotus,99,1729.8,50.598,42.0122,39,0,8,forward
BlackLotus,100,3354.8,47.3553,45.6985,37,10,8,forward
BlackLotus,101,3712,46.5563,46.5563,42,6,8,forward
BlackLotus,102,3241,46.2132,46.2132,40,24,8,forward
BlackLotus,103,2134.8,45.6274,45.6274,39,0,8,forward
BlackLotus,104,4859,57.9411,47.2843,48,30,8,forward
BlackLotus,105,6953.8,55.2843,47.2843,47,39,8,forward
BlackLotus,106,2650.6,53.2132,47.5563,47,31,8,forward
BlackLotus,107,2893,48.799,45.0416,43,10,8,forward
BlackLotus,108,2412.2,58.4264,46.1127,46,4,8,forward
BlackLotus,109,4755.8,53.669,46.669,40,22,8,forward
BlackLotus,110,3582,55.1838,49.1838,44,4,8,forward
BlackLotus,111,3812.6,58.5269,49.0416,49,12,8,forward
BlackLotus,112,6707.4,52.4558,50.1127,45,26,8,forward
BlackLotus,113,1536.4,52.0122,49.0833,40,0,8,forward
BlackLotus,114,5328.4,51.8284,51.8284,51,41,8,forward
BlackLotus,115,3750.8,53.6985,50.7696,45,0,8,forward
BlackLotus,116,3102.4,51.2426,51.2426,50,13,8,forward
BlackLotus,117,3458.6,56.9117,50.9117,42,11,8,forward
BlackLotus,118,2456.6,48.598,48.598,37,0,8,forward
BlackLotus,119,3392,62.8406,49.5269,50,3,8,forward
BlackLotus,120,3675.2,60.7401,55.4264,45,31,8,forward
BlackLotus,121,3529.4,61.9117,52.0122,47,13,8,forward
BlackLotus,122,4529.4,55.2132,54.3848,49,34,8,forward
BlackLotus,123,3923,59.0711,53.4142,57,31,8,forward
BlackLotus,124,4232.6,58.0711,52.4142,56,22,8,forward
BlackLotus,125,4408.8,56.7696,53.6985,46,22,8,forward
BlackLotus,126,4424.6,54.7279,54.7279,51,38,8,forward
BlackLotus,127,2844,53.2548,52.0833,40,14,8,forward
BlackLotus,128,5244.2,53.598,53.598,42,28,8,forward
BlackLotus,129,4018,68.0416,55.3137,61,44,8,forward
BlackLotus,130,2843.6,57.799,57.799,52,24,8,forward
BlackLotus,131,6494.6,66.0416,58.0416,59,42,8,forward
BlackLotus,132,2788.4,60.4558,56.3553,53,6,8,forward
BlackLotus,133,5183.2,61.3553,57.1127,51,25,8,forward
BlackLotus,134,3939.2,62.8406,58.8406,50,35,8,forward
BlackLotus,135,7016.4,69.3137,59.4142,66,49,8,forward
BlackLotus,136,3001,66.799,58.3137,61,43,8,forward
BlackLotus,137,4741.4,62.0416,56.0416,55,24,8,forward
