map,scenid,tcost,distance,expect,steps,access,r,itype
BrokenSteppes,0,1426.6,11.4853,7.65685,9,0,4,forward
BrokenSteppes,1,863.8,9.24264,4.41421,8,0,4,forward
BrokenSteppes,2,649.2,8.24264,4.24264,7,0,4,forward
BrokenSteppes,3,1112.8,7.82843,7.82843,7,0,4,forward
BrokenSteppes,4,2022,5,5,5,3,4,forward
BrokenSteppes,5,712.8,6.41421,5.41421,6,2,4,forward
BrokenSteppes,6,885.6,9.24264,6.41421,8,0,4,forward
BrokenSteppes,7,937,9.07107,6.24264,7,0,4,forward
BrokenSteppes,8,855.2,10.0711,5.82843,8,0,4,forward
BrokenSteppes,9,907,10.2426,7.41421,9,0,4,forward
BrokenSteppes,10,1310.8,12.0711,10.6569,10,0,4,forward
BrokenSteppes,11,1170,13.0711,10.0711,11,0,4,forward
BrokenSteppes,12,800.6,12.8995,11.4853,10,0,4,forward
BrokenSteppes,13,1460.6,16.0711,11.8284,14,4,4,forward
BrokenSteppes,14,1226.8,15.2426,11,14,0,4,forward
BrokenSteppes,15,1288,12.4853,11.6569,10,0,4,forward
BrokenSteppes,16,1089.4,8.82843,8.82843,8,0,4,forward
BrokenSteppes,17,1260.2,12.6569,11.4853,11,0,4,forward
BrokenSteppes,18,1047.8,12.2426,10.8284,11,0,4,forward
BrokenSteppes,19,618.4,9.41421,9.41421,9,0,4,forward
BrokenSteppes,20,1989.4,12.0711,12.0711,10,3,4,forward
BrokenSteppes,21,1072.2,13.0711,13.0711,11,0,4,forward
BrokenSteppes,22,1311.8,14.8284,13.8284,14,1,4,forward
BrokenSteppes,23,3154.2,20.8995,14.2426,18,9,4,forward
BrokenSteppes,24,1244.4,16.8995,12.6569,14,0,4,forward
BrokenSteppes,25,1843.2,18.7279,15.5563,15,0,4,forward
BrokenSteppes,26,967.8,15.7279,14.3137,12,0,4,forward
BrokenSteppes,27,782.2,15.4853,14.0711,13,0,4,forward
BrokenSteppes,28,1115.4,17.4142,13.4142,17,0,4,forward
BrokenSteppes,29,1217,13.0711,13.0711,11,0,4,forward
BrokenSteppes,30,1079.2,20.2426,18.4853,19,0,4,forward
BrokenSteppes,31,1083.2,17.6569,16.4853,16,0,4,forward
BrokenSteppes,32,918.2,19.7279,16.7279,16,0,4,forward
BrokenSteppes,33,1829.4,21.8995,18.8995,19,0,4,forward
BrokenSteppes,34,2276.6,20.7279,17.6569,17,0,4,forward
BrokenSteppes,35,1639.6,19.8284,19,19,0,4,forward
BrokenSteppes,36,1683,20.8995,19.1421,18,0,4,forward
BrokenSteppes,37,1971.8,17.1421,16.5563,13,0,4,forward
BrokenSteppes,38,1593.4,23.4853,19.4853,21,0,4,forward
BrokenSteppes,39,1120.6,19.4142,19.4142,19,0,4,forward
BrokenSteppes,40,1189.2,23.799,22.9706,18,1,4,forward
BrokenSteppes,41,2005.6,22.7279,22.7279,19,0,4,forward
BrokenSteppes,42,1673.4,23.799,23.799,18,0,4,forward
BrokenSteppes,43,2164.8,23.6569,23.0711,22,0,4,forward
BrokenSteppes,44,3332.6,25.2426,21,24,2,4,forward
BrokenSteppes,45,1424.2,27.1421,22.5563,23,1,4,forward
BrokenSteppes,46,1676.6,28.6274,22.9706,22,0,4,forward
BrokenSteppes,47,1442.4,20.3137,20.3137,17,0,4,forward
BrokenSteppes,48,2219.8,24.3848,20.3848,19,1,4,forward
BrokenSteppes,49,2147.2,24.4142,21.4142,24,0,4,forward
BrokenSteppes,50,2985,25.799,24.6274,20,3,4,forward
BrokenSteppes,51,2869,31.5563,26.7279,27,0,4,forward
BrokenSteppes,52,4033,27.2426,25.2426,26,11,4,forward
BrokenSteppes,53,2803.6,29.9706,27.1421,25,0,4,forward
BrokenSteppes,54,1623.2,24.3137,24.3137,21,0,4,forward
BrokenSteppes,55,2790.4,28.2132,26.2132,22,1,4,forward
BrokenSteppes,56,2926.6,28.5563,25.7279,24,5,4,forward
