map,scenid,tcost,distance,expect,steps,access,r,itype
Brushfire,0,1084.8,11.6569,5.82843,10,2,32,backward
Brushfire,1,1378.2,27.6274,6.65685,21,4,32,backward
Brushfire,2,938,17.4853,7.82843,15,2,32,backward
Brushfire,3,2039.6,55.0711,5.41421,53,2,32,backward
Brushfire,4,1285.8,29.2132,4.82843,23,6,32,backward
Brushfire,5,854.4,19.1421,6.41421,15,2,32,backward
Brushfire,6,1417.6,34.0711,4.82843,32,2,32,backward
Brushfire,7,2205,36.5563,7.82843,32,4,32,backward
Brushfire,8,1924,34.799,4.82843,29,2,32,backward
Brushfire,9,878.6,9.65685,7.07107,8,3,32,backward
Brushfire,10,2232.2,52.8995,9.89949,50,10,32,backward
Brushfire,11,1224.8,56.4264,11.0711,44,4,32,backward
Brushfire,12,1842.8,44.6985,10.0711,36,8,32,backward
Brushfire,13,1559.4,28.0711,10.4142,26,2,32,backward
Brushfire,14,1773.8,45.3553,10,35,6,32,backward
Brushfire,15,1599.6,28.7279,10.6569,25,4,32,backward
Brushfire,16,528.8,19.8284,10.8284,19,4,32,backward
Brushfire,17,1709.6,55.8995,9.07107,53,3,32,backward
Brushfire,18,1623.2,36.0416,11.4142,29,4,32,backward
Brushfire,19,1304.8,15.8284,11,15,10,32,backward
Brushfire,20,2475.8,65.3848,15.4853,60,5,32,backward
Brushfire,21,1029.6,23.1421,14.1421,19,2,32,backward
Brushfire,22,1144.6,31.799,13.4142,26,3,32,backward
Brushfire,23,1209.8,28.7279,13.6569,25,2,32,backward
Brushfire,24,1345.4,23.2426,12,22,2,32,backward
Brushfire,25,1365.8,39.6569,15.6569,38,2,32,backward
Brushfire,26,890.2,25.1421,14.7279,21,4,32,backward
Brushfire,27,1031.8,25.4853,12.4853,23,4,32,backward
Brushfire,28,1177.2,30.5563,13.8995,26,2,32,backward
Brushfire,29,1623.2,34.6274,15.2426,28,4,32,backward
Brushfire,30,1455.4,44.3848,19.5563,39,4,32,backward
Brushfire,31,1351.2,33.7279,16.3137,30,3,32,backward
Brushfire,32,1367,51.8701,19.4142,44,5,32,backward
Brushfire,33,2108.2,57.598,16.4142,46,10,32,backward
Brushfire,34,701.8,20.1421,17.6569,16,2,32,backward
Brushfire,35,1143.2,27.1421,17,23,3,32,backward
Brushfire,36,1883.2,53.7696,17,43,2,32,backward
Brushfire,37,2034.2,58.2132,19.5563,52,7,32,backward
Brushfire,38,947.2,33.3848,17.1421,28,2,32,backward
Brushfire,39,1377,38.6274,16.4142,32,2,32,backward
Brushfire,40,1094.2,22.6569,21.8284,21,2,32,backward
Brushfire,41,2372.2,69.2843,21.2426,61,2,32,backward
Brushfire,42,2339.2,78.5685,20.2426,62,2,32,backward
Brushfire,43,934.6,20.2426,20.2426,19,3,32,backward
Brushfire,44,770,22.7279,20.3848,19,2,32,backward
Brushfire,45,1438.8,30.8284,23.3137,30,3,32,backward
Brushfire,46,1681.2,41.3848,23.9706,36,7,32,backward
Brushfire,47,1333,24.3137,23.7279,21,4,32,backward
Brushfire,48,1303.4,25.4853,22.5563,23,7,32,backward
Brushfire,49,1013.8,22.0711,22.0711,20,3,32,backward
Brushfire,50,1487.8,57.1543,27.4558,41,2,32,backward
Brushfire,51,1609,32.799,24.5563,27,7,32,backward
Brushfire,52,1503.2,37.5269,26.6569,28,2,32,backward
Brushfire,53,1948.6,45.0416,25.3848,38,4,32,backward
Brushfire,54,2867.6,75.6274,25.7279,69,25,32,backward
Brushfire,55,2412.2,51.598,26.4558,40,4,32,backward
Brushfire,56,1274.4,37.3137,25.3137,34,2,32,backward
Brushfire,57,1224.8,46.2132,26.4142,40,2,32,backward
Brushfire,58,755,37.2132,27.799,31,2,32,backward
Brushfire,59,1303.2,29.9706,27.4853,25,4,32,backward
Brushfire,60,1836.6,65.9706,29.9706,61,6,32,backward
Brushfire,61,1122.4,36.8701,31.8701,29,5,32,backward
Brushfire,62,2427.2,79.5563,30.5563,75,5,32,backward
Brushfire,63,1819.4,47.1421,29.4853,43,3,32,backward
Brushfire,64,1259.6,35.0416,29.2426,28,2,32,backward
Brushfire,65,2458.6,78.397,31.1421,61,10,32,backward
Brushfire,66,1930.6,57.6985,30.8284,49,4,32,backward
Brushfire,67,1889.8,50.0122,30.4142,38,6,32,backward
Brushfire,68,2768.8,57.9706,29.8701,53,13,32,backward
Brushfire,69,2183,72.1838,28.1421,61,3,32,backward
Brushfire,70,1529.2,54.7696,34.2843,44,6,32,backward
Brushfire,71,2886.6,70.1127,33.799,61,5,32,backward
Brushfire,72,2824.4,81.6274,35.6274,75,2,32,backward
Brushfire,73,1390.2,42.5563,34.9411,38,3,32,backward
Brushfire,74,2152.2,49.3553,34.6274,39,4,32,backward
Brushfire,75,1901.8,34.9706,34.1421,30,5,32,backward
Brushfire,76,2523,75.5563,34.5563,71,6,32,backward
Brushfire,77,1142.6,38.4558,32.6569,31,4,32,backward
Brushfire,78,1339.4,41.4558,34.8284,34,10,32,backward
Brushfire,79,1595.8,46.1421,33.4558,42,2,32,backward
Brushfire,80,1030,76.7401,36.6274,61,5,32,backward
Brushfire,81,1533.8,49.4264,37.3848,37,3,32,backward
Brushfire,82,915.4,42.3137,39,39,4,32,backward
Brushfire,83,1981.4,72.8406,38.8701,60,2,32,backward
Brushfire,84,2126.2,73.598,36.8284,62,2,32,backward
Brushfire,85,1583.6,41.8701,39.2843,34,3,32,backward
Brushfire,86,1299,44.3848,37.4142,39,3,32,backward
Brushfire,87,1014.6,43.799,38.3848,38,3,32,backward
Brushfire,88,2203.6,49.3137,39.8284,46,20,32,backward
Brushfire,89,1633.6,39.6274,39.6274,33,6,32,backward
Brushfire,90,2081,56.0416,40.9706,49,5,32,backward
Brushfire,91,1248.8,43.1421,43.1421,39,2,32,backward
Brushfire,92,2506.8,70.0833,40.7696,56,5,32,backward
Brushfire,93,1636.8,63.6274,41.9706,57,3,32,backward
Brushfire,94,1619,52.6985,42.598,44,3,32,backward
Brushfire,95,2129.8,92.669,40.0416,79,6,32,backward
Brushfire,96,1935.2,40.6985,40.6985,32,4,32,backward
Brushfire,97,2496.6,80.2843,43.2843,72,6,32,backward
Brushfire,98,1334.6,48.799,43.2426,43,2,32,backward
Brushfire,99,2381.2,88.9411,43.9411,79,3,32,backward
Brushfire,100,2761.6,70.1838,47.5563,59,10,32,backward
Brushfire,101,1267.6,45.7279,45.7279,42,2,32,backward
Brushfire,102,2443.8,51.3848,44.6985,46,7,32,backward
Brushfire,103,1682.6,68.0416,46.8284,61,2,32,backward
Brushfire,104,1569.4,76.3259,46.9411,61,2,32,backward
Brushfire,105,2631.6,73.8701,44.3137,66,13,32,backward
Brushfire,106,2774.6,84.799,44.9706,79,14,32,backward
Brushfire,107,1961.6,60.9411,44.4264,51,12,32,backward
Brushfire,108,1726.6,66.7279,44.4264,63,3,32,backward
Brushfire,109,1488.2,57.3259,45.7279,42,2,32,backward
Brushfire,110,1897.6,68.1421,48.7279,64,7,32,backward
Brushfire,111,1739.6,57.3553,51.3553,47,6,32,backward
Brushfire,112,2124.2,58.9411,51.9117,49,2,32,backward
