map,scenid,tcost,distance,expect,steps,access,r,itype
Brushfire,0,601.6,5.82843,5.82843,5,1,4,forward
Brushfire,1,425.2,8.07107,6.65685,6,0,4,forward
Brushfire,2,560.2,13.4853,7.82843,11,0,4,forward
Brushfire,3,317,6,5.41421,6,0,4,forward
Brushfire,4,372.4,5.41421,4.82843,5,0,4,forward
Brushfire,5,335,7.24264,6.41421,6,0,4,forward
Brushfire,6,289.8,6.82843,4.82843,6,0,4,forward
Brushfire,7,492.4,11.6569,7.82843,10,0,4,forward
Brushfire,8,370.4,7.82843,4.82843,7,0,4,forward
Brushfire,9,569.4,8.07107,7.07107,6,2,4,forward
Brushfire,10,501,11.8995,9.89949,9,0,4,forward
Brushfire,11,520.6,13.6569,11.0711,12,0,4,forward
Brushfire,12,395.6,11.2426,10.0711,10,0,4,forward
Brushfire,13,440.4,11,10.4142,11,0,4,forward
Brushfire,14,670.4,17.0711,10,15,0,4,forward
Brushfire,15,715.4,13.6569,10.6569,12,0,4,forward
Brushfire,16,384,10.8284,10.8284,10,0,4,forward
Brushfire,17,461.2,9.07107,9.07107,7,0,4,forward
Brushfire,18,495.8,13.4142,11.4142,13,0,4,forward
Brushfire,19,1293.4,11,11,11,8,4,forward
Brushfire,20,723.8,15.4853,15.4853,13,0,4,forward
Brushfire,21,602.4,15.3137,14.1421,12,0,4,forward
Brushfire,22,861,20.4853,13.4142,18,7,4,forward
Brushfire,23,850,20.7279,13.6569,17,1,4,forward
Brushfire,24,658.4,15.0711,12,13,1,4,forward
Brushfire,25,608.2,15.6569,15.6569,14,0,4,forward
Brushfire,26,499.8,15.3137,14.7279,12,0,4,forward
Brushfire,27,544.6,14.2426,12.4853,13,0,4,forward
Brushfire,28,578.4,14.4853,13.8995,12,0,4,forward
Brushfire,29,814.6,20.8995,15.2426,18,0,4,forward
Brushfire,30,642.6,20.1421,19.5563,16,0,4,forward
Brushfire,31,645,16.3137,16.3137,13,0,4,forward
Brushfire,32,716.6,21.0711,19.4142,19,0,4,forward
Brushfire,33,915,19.4142,16.4142,19,0,4,forward
Brushfire,34,578.6,17.6569,17.6569,16,0,4,forward
Brushfire,35,625.2,17,17,17,0,4,forward
Brushfire,36,893.8,17,17,17,5,4,forward
Brushfire,37,890.6,20.3848,19.5563,15,0,4,forward
Brushfire,38,768.8,17.7279,17.1421,14,0,4,forward
Brushfire,39,634,16.4142,16.4142,16,0,4,forward
Brushfire,40,837.4,21.8284,21.8284,21,1,4,forward
Brushfire,41,808,22.0711,21.2426,20,0,4,forward
Brushfire,42,886.4,22.8284,20.2426,22,0,4,forward
Brushfire,43,660.2,20.2426,20.2426,19,0,4,forward
Brushfire,44,720.4,22.3848,20.3848,17,0,4,forward
Brushfire,45,923.4,26.3137,23.3137,23,0,4,forward
Brushfire,46,1722.4,29.6274,23.9706,23,11,4,forward
Brushfire,47,1237,25.3848,23.7279,20,0,4,forward
Brushfire,48,1177,23.5563,22.5563,19,7,4,forward
Brushfire,49,763,22.0711,22.0711,20,0,4,forward
Brushfire,50,1085,34.5269,27.4558,25,0,4,forward
Brushfire,51,1621.4,31.6274,24.5563,25,17,4,forward
Brushfire,52,720.4,26.6569,26.6569,25,0,4,forward
Brushfire,53,1254.8,30.2132,25.3848,24,0,4,forward
Brushfire,54,1534.4,28.7279,25.7279,25,18,4,forward
Brushfire,55,1079.2,30.6985,26.4558,22,0,4,forward
Brushfire,56,930.2,25.3137,25.3137,22,0,4,forward
Brushfire,57,733,31.2426,26.4142,30,0,4,forward
Brushfire,58,1082,29.4558,27.799,22,3,4,forward
Brushfire,59,1593.8,27.4853,27.4853,25,9,4,forward
Brushfire,60,868.6,31.9706,29.9706,27,0,4,forward
Brushfire,61,1005.6,32.8701,31.8701,25,0,4,forward
Brushfire,62,1053.8,33.1421,30.5563,29,2,4,forward
Brushfire,63,1642.8,29.4853,29.4853,27,13,4,forward
Brushfire,64,1436.6,30.4142,29.2426,30,8,4,forward
Brushfire,65,1127.2,35.9706,31.1421,31,0,4,forward
Brushfire,66,1047.2,33.6569,30.8284,32,0,4,forward
Brushfire,67,1804.2,32.0711,30.4142,30,26,4,forward
Brushfire,68,1199.4,30.6985,29.8701,22,0,4,forward
Brushfire,69,1310,33.1421,28.1421,29,4,4,forward
Brushfire,70,820.8,35.9411,34.2843,26,0,4,forward
Brushfire,71,1451.2,35.5563,33.799,31,7,4,forward
Brushfire,72,1742.2,39.6274,35.6274,33,3,4,forward
Brushfire,73,971,35.5269,34.9411,26,0,4,forward
Brushfire,74,1655,34.6274,34.6274,28,6,4,forward
Brushfire,75,1349.8,35.799,34.1421,30,0,4,forward
Brushfire,76,1502,37.7279,34.5563,34,16,4,forward
Brushfire,77,989,35.7279,32.6569,32,0,4,forward
Brushfire,78,1534.8,39.6569,34.8284,38,20,4,forward
Brushfire,79,1170.6,33.4558,33.4558,26,0,4,forward
Brushfire,80,1837,38.0416,36.6274,31,26,4,forward
Brushfire,81,845.4,37.3848,37.3848,32,0,4,forward
Brushfire,82,895,39,39,39,0,4,forward
Brushfire,83,1240.6,39.6985,38.8701,31,0,4,forward
Brushfire,84,1148.2,36.8284,36.8284,36,0,4,forward
Brushfire,85,1037.8,39.2843,39.2843,31,0,4,forward
Brushfire,86,1155,37.4142,37.4142,37,1,4,forward
Brushfire,87,774.8,41.4558,38.3848,34,0,4,forward
Brushfire,88,2249,43.6569,39.8284,42,38,4,forward
Brushfire,89,1919,39.6274,39.6274,33,10,4,forward
Brushfire,90,1200.6,41.5563,40.9706,37,0,4,forward
Brushfire,91,1450.4,43.1421,43.1421,39,20,4,forward
Brushfire,92,1492.2,41.7696,40.7696,31,6,4,forward
Brushfire,93,1110.8,41.9706,41.9706,37,6,4,forward
Brushfire,94,1483.6,46.598,42.598,35,5,4,forward
Brushfire,95,1783.4,43.6985,40.0416,35,14,4,forward
Brushfire,96,1245.6,42.3553,40.6985,32,0,4,forward
Brushfire,97,1367.6,43.2843,43.2843,35,0,4,forward
Brushfire,98,1318.2,43.8284,43.2426,43,1,4,forward
Brushfire,99,1585.2,47.7696,43.9411,37,0,4,forward
Brushfire,100,2896.2,53.2132,47.5563,47,17,4,forward
Brushfire,101,1048.2,45.7279,45.7279,42,0,4,forward
Brushfire,102,3599.2,49.5269,44.6985,40,26,4,forward
Brushfire,103,1607.4,50.6569,46.8284,49,25,4,forward
Brushfire,104,1085.8,51.1838,46.9411,40,0,4,forward
Brushfire,105,2151.4,44.8995,44.3137,42,10,4,forward
Brushfire,106,2022.4,47.799,44.9706,42,4,4,forward
Brushfire,107,1760.2,48.2548,44.4264,35,21,4,forward
Brushfire,108,1130,45.8406,44.4264,33,0,4,forward
Brushfire,109,1200.8,45.7279,45.7279,42,6,4,forward
Brushfire,110,1363,51.7279,48.7279,48,0,4,forward
Brushfire,111,1808.8,51.3553,51.3553,41,7,4,forward
