map,scenid,tcost,distance,expect,steps,access,r,itype
ca_cave,0,2277.6,73.6274,5.24264,67,29,64,backward
ca_cave,1,897,41.0416,7.07107,34,4,64,backward
ca_cave,2,1588.2,52.5269,7.41421,43,10,64,backward
ca_cave,3,1788,55.799,6,50,6,64,backward
ca_cave,4,502,23.8284,5.82843,23,5,64,backward
ca_cave,5,621,24.4853,7.24264,22,5,64,backward
ca_cave,6,2149.2,94.3137,7.65685,91,24,64,backward
ca_cave,7,1078.4,47.0122,7.41421,35,10,64,backward
ca_cave,8,1537.4,65.0711,7.24264,63,20,64,backward
ca_cave,9,1014.4,47.4264,6.65685,35,11,64,backward
ca_cave,10,834.8,36.5563,10.4853,32,4,64,backward
ca_cave,11,895.8,42.799,11.4853,37,5,64,backward
ca_cave,12,1188.2,51.7279,10.6569,48,7,64,backward
ca_cave,13,1479.4,52.6274,9.48528,46,8,64,backward
ca_cave,14,685.4,31.9706,11.2426,27,4,64,backward
ca_cave,15,646.4,26.799,8.41421,21,10,64,backward
ca_cave,16,1378.8,77.1249,10.4853,56,12,64,backward
ca_cave,17,1413.8,80.8701,10.8995,73,25,64,backward
ca_cave,18,793.2,38.4558,9.65685,31,8,64,backward
ca_cave,19,1506.2,46.2843,11.4853,38,18,64,backward
ca_cave,20,1025.6,47.7279,13.7279,44,6,64,backward
ca_cave,21,2017.2,62.5269,12.8995,53,38,64,backward
ca_cave,22,1278.2,53.4558,13.2426,46,8,64,backward
ca_cave,23,1254.6,68.8112,13.4853,51,12,64,backward
ca_cave,24,881.6,39.0711,12.2426,37,3,64,backward
ca_cave,25,606.6,26.4853,15.6569,24,2,64,backward
ca_cave,26,1877.4,92.0538,14.2426,73,24,64,backward
ca_cave,27,1306.4,70.9117,14.8995,56,15,64,backward
ca_cave,28,702.4,48.4142,14.4142,48,3,64,backward
ca_cave,29,667,41.6569,13.6569,40,6,64,backward
ca_cave,30,1194,63.1838,16.3137,52,9,64,backward
ca_cave,31,884.2,38.3848,17.6569,33,7,64,backward
ca_cave,32,1493.6,63.1838,17.6569,52,20,64,backward
ca_cave,33,1577.6,92.267,16.3137,67,17,64,backward
ca_cave,34,1274.2,67.4264,19.0711,55,9,64,backward
ca_cave,35,1385.4,70.1421,16.3137,66,6,64,backward
ca_cave,36,1645.6,63.6985,17.1421,55,19,64,backward
ca_cave,37,873,37.3848,18.2426,32,9,64,backward
ca_cave,38,486.6,23.3137,19.0711,20,3,64,backward
ca_cave,39,731.8,29.8995,19.4142,27,7,64,backward
ca_cave,40,713,29.5563,23.6274,25,9,64,backward
ca_cave,41,1893.4,85.5685,23.8995,69,24,64,backward
ca_cave,42,1473.6,55.669,21.3848,42,18,64,backward
ca_cave,43,1412.8,55.3848,23.5563,50,30,64,backward
ca_cave,44,1992.2,78.0833,20.2426,64,26,64,backward
ca_cave,45,1661,92.468,21.4853,73,19,64,backward
ca_cave,46,1083.6,62.9411,21.4142,53,5,64,backward
ca_cave,47,1860,95.5685,23.0711,79,24,64,backward
ca_cave,48,1182.8,74.3848,22.3137,69,26,64,backward
ca_cave,49,933.6,39.9706,21.3848,35,8,64,backward
ca_cave,50,1416.4,66.8701,24.2426,59,6,64,backward
ca_cave,51,1195.6,60.2548,25.3137,47,13,64,backward
ca_cave,52,679.4,31.4558,27.799,24,6,64,backward
ca_cave,53,1298.6,60.0416,25.1421,53,17,64,backward
