map,scenid,tcost,distance,expect,steps,access,r,itype
ca_cavern1_haunted,0,2064.8,9.07107,7.07107,7,2,2,backward
ca_cavern1_haunted,1,736.8,6.24264,4.82843,5,4,2,backward
ca_cavern1_haunted,2,345.8,4,4,4,1,2,backward
ca_cavern1_haunted,3,912.6,6.24264,4.82843,5,3,2,backward
ca_cavern1_haunted,4,699.2,7,6,7,2,2,backward
ca_cavern1_haunted,5,746.6,5.41421,5.41421,5,3,2,backward
ca_cavern1_haunted,6,561.8,5.41421,4,5,3,2,backward
ca_cavern1_haunted,7,489,6.41421,5,6,3,2,backward
ca_cavern1_haunted,8,826.4,6.65685,5.24264,5,3,2,backward
ca_cavern1_haunted,9,665.6,7.24264,7.24264,6,2,2,backward
ca_cavern1_haunted,10,754.4,10.2426,8.82843,9,2,2,backward
ca_cavern1_haunted,11,814,12.4853,11.0711,10,2,2,backward
ca_cavern1_haunted,12,976.8,10.0711,8.65685,8,3,2,backward
ca_cavern1_haunted,13,882.6,8.07107,8.07107,6,2,2,backward
ca_cavern1_haunted,14,788.8,10.6569,8.24264,9,3,2,backward
ca_cavern1_haunted,15,608.2,8.24264,8.24264,7,1,2,backward
ca_cavern1_haunted,16,763.8,9.82843,8.82843,9,2,2,backward
ca_cavern1_haunted,17,813.6,14.3137,11.4853,11,2,2,backward
ca_cavern1_haunted,18,816,12.0711,11.4853,10,2,2,backward
ca_cavern1_haunted,19,695.8,8.24264,8.24264,7,5,2,backward
ca_cavern1_haunted,20,1172.4,14.8995,14.8995,12,5,2,backward
ca_cavern1_haunted,21,903.8,16.8995,15.4853,14,2,2,backward
ca_cavern1_haunted,22,713,15.0711,15.0711,13,2,2,backward
ca_cavern1_haunted,23,725.8,14.3137,14.3137,11,2,2,backward
ca_cavern1_haunted,24,803.2,15.8995,15.8995,13,2,2,backward
ca_cavern1_haunted,25,808.4,14.2426,13.6569,13,4,2,backward
ca_cavern1_haunted,26,1218.4,16.5563,15.5563,12,5,2,backward
ca_cavern1_haunted,27,1157.8,17.5563,15.5563,13,3,2,backward
ca_cavern1_haunted,28,657.8,16.3137,14.8995,13,2,2,backward
ca_cavern1_haunted,29,735,15.4853,15.4853,13,3,2,backward
ca_cavern1_haunted,30,881.6,18.6569,17.2426,17,3,2,backward
ca_cavern1_haunted,31,1058.4,18.6569,17.2426,17,3,2,backward
ca_cavern1_haunted,32,1088.6,17.1421,17.1421,13,5,2,backward
ca_cavern1_haunted,33,1076.6,21.8995,19.8995,19,3,2,backward
ca_cavern1_haunted,34,985.6,18.5563,17.9706,14,6,2,backward
ca_cavern1_haunted,35,756.8,17.0711,17.0711,15,2,2,backward
ca_cavern1_haunted,36,750.6,18.0711,18.0711,16,1,2,backward
ca_cavern1_haunted,37,760.8,19.0711,18.4853,17,2,2,backward
ca_cavern1_haunted,38,640.4,19.7279,19.7279,16,1,2,backward
ca_cavern1_haunted,39,745.2,21.1421,19.7279,17,2,2,backward
ca_cavern1_haunted,40,1433.6,23.1421,23.1421,19,3,2,backward
ca_cavern1_haunted,41,792.2,23.4142,21,23,5,2,backward
ca_cavern1_haunted,42,1124.2,21.8284,21.8284,21,2,2,backward
ca_cavern1_haunted,43,1279.4,23.3137,23.3137,20,8,2,backward
ca_cavern1_haunted,44,939,21.2132,21.2132,15,2,2,backward
ca_cavern1_haunted,45,910,23.7279,23.7279,20,2,2,backward
ca_cavern1_haunted,46,1008.6,23.8284,22.8284,23,7,2,backward
ca_cavern1_haunted,47,1153,23.7279,22.3137,20,7,2,backward
ca_cavern1_haunted,48,897,24.0711,22.0711,22,4,2,backward
ca_cavern1_haunted,49,1244.2,25.9706,23.1421,21,3,2,backward
ca_cavern1_haunted,50,1371,28.1421,25.3137,24,8,2,backward
ca_cavern1_haunted,51,988.6,26.4853,25.8995,24,2,2,backward
ca_cavern1_haunted,52,1157.6,26.6274,26.0416,20,5,2,backward
ca_cavern1_haunted,53,730.6,25.2426,25.2426,24,2,2,backward
ca_cavern1_haunted,54,932.6,28.6569,26.6569,27,2,2,backward
ca_cavern1_haunted,55,923.6,24.5563,24.5563,20,3,2,backward
ca_cavern1_haunted,56,1004.8,26.1421,25.5563,22,7,2,backward
ca_cavern1_haunted,57,961.2,25.8284,25.8284,25,2,2,backward
ca_cavern1_haunted,58,996,28.4558,27.8701,21,3,2,backward
ca_cavern1_haunted,59,1032.4,27.1421,27.1421,23,5,2,backward
ca_cavern1_haunted,60,1482.2,32.8701,31.4558,25,3,2,backward
ca_cavern1_haunted,61,882.8,31.0416,29.6274,24,2,2,backward
ca_cavern1_haunted,62,865,30.1421,28.1421,26,3,2,backward
ca_cavern1_haunted,63,839.2,31.6274,31.6274,25,2,2,backward
ca_cavern1_haunted,64,983.4,30.7279,30.7279,27,4,2,backward
ca_cavern1_haunted,65,1445.8,28.4853,28.4853,26,11,2,backward
ca_cavern1_haunted,66,1474.8,33.8995,31.8995,31,3,2,backward
ca_cavern1_haunted,67,1274.8,29.2843,29.2843,21,3,2,backward
ca_cavern1_haunted,68,1371.2,29.5563,28.9706,25,3,2,backward
ca_cavern1_haunted,69,1074.6,28.9706,28.9706,24,3,2,backward
ca_cavern1_haunted,70,1554.6,32.8995,32.8995,30,14,2,backward
ca_cavern1_haunted,71,1484.6,36.5563,34.5563,32,10,2,backward
ca_cavern1_haunted,72,1270.2,36.2132,34.2132,30,4,2,backward
ca_cavern1_haunted,73,1033.8,32.6274,32.6274,26,1,2,backward
ca_cavern1_haunted,74,2454,34.1421,32.7279,30,2,2,backward
ca_cavern1_haunted,75,1472,34.2132,34.2132,28,8,2,backward
ca_cavern1_haunted,76,797.4,33.4142,33.4142,33,3,2,backward
ca_cavern1_haunted,77,1655.4,32.2426,32.2426,31,5,2,backward
ca_cavern1_haunted,78,1211.6,36.3848,34.9706,31,5,2,backward
ca_cavern1_haunted,79,1080.4,33.6569,33.0711,32,6,2,backward
ca_cavern1_haunted,80,1483.4,38.4853,38.4853,36,8,2,backward
ca_cavern1_haunted,81,1207.8,39.2426,38.6569,38,7,2,backward
ca_cavern1_haunted,82,1236.6,37.6274,36.2132,31,5,2,backward
ca_cavern1_haunted,83,1086.8,40.5269,38.1127,31,8,2,backward
ca_cavern1_haunted,84,1203.8,36.5563,36.5563,32,7,2,backward
ca_cavern1_haunted,85,1109.4,37.6274,37.0416,31,5,2,backward
ca_cavern1_haunted,86,1252.4,37.8995,36.4853,35,3,2,backward
ca_cavern1_haunted,87,1024.6,37.1127,36.1127,28,5,2,backward
ca_cavern1_haunted,88,1960.4,40.3848,39.799,35,3,2,backward
ca_cavern1_haunted,89,937,36.799,36.799,31,4,2,backward
ca_cavern1_haunted,90,1811.6,42.8284,40.8284,42,2,2,backward
ca_cavern1_haunted,91,1604.6,43.5563,42.1421,39,4,2,backward
ca_cavern1_haunted,92,1087.4,42.5563,41.9706,38,5,2,backward
ca_cavern1_haunted,93,1698.2,40.799,40.799,35,13,2,backward
ca_cavern1_haunted,94,1667,42.4558,42.4558,35,14,2,backward
ca_cavern1_haunted,95,1442.2,41.6985,40.2843,33,4,2,backward
ca_cavern1_haunted,96,2126.6,45.1421,43.1421,41,15,2,backward
ca_cavern1_haunted,97,1706.6,42.4853,40.4853,40,7,2,backward
ca_cavern1_haunted,98,1393,42.3137,42.3137,39,8,2,backward
ca_cavern1_haunted,99,1230.4,41.8701,41.2843,34,7,2,backward
ca_cavern1_haunted,100,1893.2,44.3137,44.3137,41,3,2,backward
ca_cavern1_haunted,101,1466.8,46.3848,46.3848,41,3,2,backward
ca_cavern1_haunted,102,1400.2,44.7279,44.7279,41,7,2,backward
ca_cavern1_haunted,103,938.6,46.5269,46.5269,37,5,2,backward
ca_cavern1_haunted,104,2785.8,46.9411,45.5269,37,7,2,backward
ca_cavern1_haunted,105,1594.6,47.799,47.799,42,11,2,backward
