map,scenid,tcost,distance,expect,steps,access,r,itype
ca_cavern1_haunted,0,830.2,11.4853,7.07107,9,4,8,backward
ca_cavern1_haunted,1,606.6,9.65685,4.82843,8,3,8,backward
ca_cavern1_haunted,2,740.4,8.24264,4,7,4,8,backward
ca_cavern1_haunted,3,529.8,6.24264,4.82843,5,3,8,backward
ca_cavern1_haunted,4,456.8,13.0711,6,11,2,8,backward
ca_cavern1_haunted,5,527,9.65685,5.41421,8,3,8,backward
ca_cavern1_haunted,6,335.8,7.65685,4,6,2,8,backward
ca_cavern1_haunted,7,774.6,15.0711,5,13,6,8,backward
ca_cavern1_haunted,8,617.4,8.24264,5.24264,7,3,8,backward
ca_cavern1_haunted,9,441.6,7.24264,7.24264,6,2,8,backward
ca_cavern1_haunted,10,502.2,13.0711,8.82843,11,2,8,backward
ca_cavern1_haunted,11,764.8,17.3137,11.0711,14,2,8,backward
ca_cavern1_haunted,12,620.4,14.6569,8.65685,13,3,8,backward
ca_cavern1_haunted,13,628.2,12.0711,8.07107,10,2,8,backward
ca_cavern1_haunted,14,746.2,19.5563,8.24264,15,2,8,backward
ca_cavern1_haunted,15,696.4,13.4853,8.24264,11,5,8,backward
ca_cavern1_haunted,16,557.6,11.2426,8.82843,10,2,8,backward
ca_cavern1_haunted,17,539.8,13.8995,11.4853,11,2,8,backward
ca_cavern1_haunted,18,661.4,20.0711,11.4853,18,2,8,backward
ca_cavern1_haunted,19,420.8,8.24264,8.24264,7,2,8,backward
ca_cavern1_haunted,20,654.8,14.8995,14.8995,12,4,8,backward
ca_cavern1_haunted,21,696,19.1421,15.4853,15,3,8,backward
ca_cavern1_haunted,22,535.6,18.0711,15.0711,16,3,8,backward
ca_cavern1_haunted,23,520.8,15.4853,14.3137,13,3,8,backward
ca_cavern1_haunted,24,559.8,17.6569,15.8995,16,2,8,backward
ca_cavern1_haunted,25,416.8,13.6569,13.6569,12,2,8,backward
ca_cavern1_haunted,26,702.4,16.5563,15.5563,12,5,8,backward
ca_cavern1_haunted,27,930.8,25.5563,15.5563,21,6,8,backward
ca_cavern1_haunted,28,428.8,15.7279,14.8995,12,2,8,backward
ca_cavern1_haunted,29,440.2,15.4853,15.4853,13,2,8,backward
ca_cavern1_haunted,30,642.6,22.8995,17.2426,20,3,8,backward
ca_cavern1_haunted,31,784,23.1421,17.2426,19,4,8,backward
ca_cavern1_haunted,32,582,19.3848,17.1421,14,3,8,backward
ca_cavern1_haunted,33,671.4,21.8995,19.8995,19,3,8,backward
ca_cavern1_haunted,34,1017.6,26.5563,17.9706,22,6,8,backward
ca_cavern1_haunted,35,449.6,17.0711,17.0711,15,2,8,backward
ca_cavern1_haunted,36,551,26.5563,18.0711,22,2,8,backward
ca_cavern1_haunted,37,659.2,26.2426,18.4853,25,2,8,backward
ca_cavern1_haunted,38,571.6,33.8701,19.7279,26,2,8,backward
ca_cavern1_haunted,39,505,29.6274,19.7279,23,2,8,backward
ca_cavern1_haunted,40,1105.2,33.9706,23.1421,29,5,8,backward
ca_cavern1_haunted,41,672,24.4142,21,24,5,8,backward
ca_cavern1_haunted,42,1027.4,29.8284,21.8284,29,3,8,backward
ca_cavern1_haunted,43,1014.6,27.8995,23.3137,25,8,8,backward
ca_cavern1_haunted,44,593.4,21.799,21.2132,16,2,8,backward
ca_cavern1_haunted,45,662,26.5563,23.7279,22,2,8,backward
ca_cavern1_haunted,46,1062,35.0711,22.8284,33,10,8,backward
ca_cavern1_haunted,47,892.4,30.1421,22.3137,26,5,8,backward
ca_cavern1_haunted,48,838.2,31.0711,22.0711,29,6,8,backward
ca_cavern1_haunted,49,1071.4,30.5563,23.1421,26,5,8,backward
ca_cavern1_haunted,50,975.2,32.3848,25.3137,27,7,8,backward
ca_cavern1_haunted,51,645,25.8995,25.8995,23,2,8,backward
ca_cavern1_haunted,52,927.2,30.1421,26.0416,26,6,8,backward
ca_cavern1_haunted,53,604.8,28.0711,25.2426,26,3,8,backward
ca_cavern1_haunted,54,713.8,36.5563,26.6569,32,2,8,backward
ca_cavern1_haunted,55,745.8,26.8995,24.5563,24,5,8,backward
ca_cavern1_haunted,56,683.8,26.1421,25.5563,22,7,8,backward
ca_cavern1_haunted,57,620.2,27.4853,25.8284,25,2,8,backward
ca_cavern1_haunted,58,727.2,29.0416,27.8701,22,3,8,backward
ca_cavern1_haunted,59,783.4,27.1421,27.1421,23,5,8,backward
ca_cavern1_haunted,60,1013.2,32.8701,31.4558,25,3,8,backward
ca_cavern1_haunted,61,627.2,35.2843,29.6274,27,2,8,backward
ca_cavern1_haunted,62,673.6,31.9706,28.1421,27,3,8,backward
ca_cavern1_haunted,63,576,33.0416,31.6274,26,2,8,backward
ca_cavern1_haunted,64,643.2,30.7279,30.7279,27,4,8,backward
ca_cavern1_haunted,65,972.8,30.7279,28.4853,27,10,8,backward
ca_cavern1_haunted,66,1004.8,37.8995,31.8995,35,3,8,backward
ca_cavern1_haunted,67,1205.6,39.6985,29.2843,31,5,8,backward
ca_cavern1_haunted,68,1042,30.1421,28.9706,26,3,8,backward
ca_cavern1_haunted,69,767.2,32.9706,28.9706,28,4,8,backward
ca_cavern1_haunted,70,1238.4,35.2426,32.8995,34,12,8,backward
ca_cavern1_haunted,71,1299.4,41.7279,34.5563,38,12,8,backward
ca_cavern1_haunted,72,918.8,36.799,34.2132,31,4,8,backward
ca_cavern1_haunted,73,795,32.6274,32.6274,26,3,8,backward
ca_cavern1_haunted,74,839.6,39.799,32.7279,34,2,8,backward
ca_cavern1_haunted,75,902.8,35.3848,34.2132,30,9,8,backward
ca_cavern1_haunted,76,669.6,36.8284,33.4142,36,4,8,backward
ca_cavern1_haunted,77,1282,36.1421,32.2426,32,7,8,backward
ca_cavern1_haunted,78,993,37.4558,34.9706,30,6,8,backward
ca_cavern1_haunted,79,784.4,39.8995,33.0711,37,6,8,backward
ca_cavern1_haunted,80,1090.4,38.4853,38.4853,36,9,8,backward
ca_cavern1_haunted,81,793,47.6569,38.6569,46,8,8,backward
ca_cavern1_haunted,82,1033.4,42.2132,36.2132,36,5,8,backward
ca_cavern1_haunted,83,800.8,40.5269,38.1127,31,8,8,backward
ca_cavern1_haunted,84,934.2,38.9706,36.5563,34,8,8,backward
ca_cavern1_haunted,85,695.6,37.0416,37.0416,30,4,8,backward
ca_cavern1_haunted,86,945.2,38.1421,36.4853,34,3,8,backward
ca_cavern1_haunted,87,893.4,43.1127,36.1127,34,6,8,backward
ca_cavern1_haunted,88,1436,43.8995,39.799,41,3,8,backward
ca_cavern1_haunted,89,752.8,37.6274,36.799,31,5,8,backward
ca_cavern1_haunted,90,1534.8,50.8284,40.8284,50,2,8,backward
ca_cavern1_haunted,91,1294,46.5563,42.1421,42,8,8,backward
ca_cavern1_haunted,92,931.4,53.9706,41.9706,49,5,8,backward
ca_cavern1_haunted,93,1578.6,46.5563,40.799,42,15,8,backward
ca_cavern1_haunted,94,1231,42.4558,42.4558,35,14,8,backward
ca_cavern1_haunted,95,1033.8,41.1127,40.2843,32,5,8,backward
ca_cavern1_haunted,96,1401.6,49.1421,43.1421,45,13,8,backward
ca_cavern1_haunted,97,1517,44.8995,40.4853,42,12,8,backward
