map,scenid,tcost,distance,expect,steps,access,r,itype
ca_cavern1_haunted,0,499,11.4853,7.07107,9,0,8,forward
ca_cavern1_haunted,1,269.4,8.65685,4.82843,7,0,8,forward
ca_cavern1_haunted,2,303.2,9.65685,4,8,1,8,forward
ca_cavern1_haunted,3,325.4,6.24264,4.82843,5,2,8,forward
ca_cavern1_haunted,4,278.6,13.0711,6,11,0,8,forward
ca_cavern1_haunted,5,293.6,8.65685,5.41421,7,1,8,forward
ca_cavern1_haunted,6,193.8,6.65685,4,5,0,8,forward
ca_cavern1_haunted,7,348.4,12.0711,5,10,0,8,forward
ca_cavern1_haunted,8,225.4,7.24264,5.24264,6,0,8,forward
ca_cavern1_haunted,9,250.6,7.24264,7.24264,6,0,8,forward
ca_cavern1_haunted,10,409,13.0711,8.82843,11,2,8,forward
ca_cavern1_haunted,11,579.8,21.5563,11.0711,17,3,8,forward
ca_cavern1_haunted,12,344,11.6569,8.65685,10,0,8,forward
ca_cavern1_haunted,13,334.4,12.0711,8.07107,10,1,8,forward
ca_cavern1_haunted,14,665,19.5563,8.24264,15,7,8,forward
ca_cavern1_haunted,15,376.8,13.4853,8.24264,11,2,8,forward
ca_cavern1_haunted,16,363.8,11.2426,8.82843,10,6,8,forward
ca_cavern1_haunted,17,463,15.3137,11.4853,12,3,8,forward
ca_cavern1_haunted,18,468.4,20.0711,11.4853,18,3,8,forward
ca_cavern1_haunted,19,253,8.24264,8.24264,7,3,8,forward
ca_cavern1_haunted,20,605.6,14.8995,14.8995,12,4,8,forward
ca_cavern1_haunted,21,613,19.1421,15.4853,15,4,8,forward
ca_cavern1_haunted,22,536.6,17.0711,15.0711,15,5,8,forward
ca_cavern1_haunted,23,279.6,15.4853,14.3137,13,0,8,forward
ca_cavern1_haunted,24,386.6,17.6569,15.8995,16,2,8,forward
ca_cavern1_haunted,25,304.4,13.6569,13.6569,12,3,8,forward
ca_cavern1_haunted,26,446,16.5563,15.5563,12,1,8,forward
ca_cavern1_haunted,27,767.2,23.5563,15.5563,19,8,8,forward
ca_cavern1_haunted,28,323.2,15.7279,14.8995,12,2,8,forward
ca_cavern1_haunted,29,238.6,15.4853,15.4853,13,0,8,forward
ca_cavern1_haunted,30,566.2,24.3137,17.2426,21,14,8,forward
ca_cavern1_haunted,31,415.4,23.1421,17.2426,19,0,8,forward
ca_cavern1_haunted,32,589.4,19.3848,17.1421,14,5,8,forward
ca_cavern1_haunted,33,404,21.8995,19.8995,19,0,8,forward
ca_cavern1_haunted,34,593.2,26.5563,17.9706,22,7,8,forward
ca_cavern1_haunted,35,265.2,17.0711,17.0711,15,0,8,forward
ca_cavern1_haunted,36,466,26.5563,18.0711,22,2,8,forward
ca_cavern1_haunted,37,565.4,26.2426,18.4853,25,1,8,forward
ca_cavern1_haunted,38,471.6,33.8701,19.7279,26,2,8,forward
ca_cavern1_haunted,39,563.8,29.6274,19.7279,23,4,8,forward
ca_cavern1_haunted,40,1117.4,31.9706,23.1421,27,16,8,forward
ca_cavern1_haunted,41,770.4,24.4142,21,24,6,8,forward
ca_cavern1_haunted,42,846.8,25.8284,21.8284,25,19,8,forward
ca_cavern1_haunted,43,1007.4,26.8995,23.3137,24,14,8,forward
ca_cavern1_haunted,44,415,21.799,21.2132,16,1,8,forward
ca_cavern1_haunted,45,539.4,26.5563,23.7279,22,8,8,forward
ca_cavern1_haunted,46,1219.6,33.4853,22.8284,31,19,8,forward
ca_cavern1_haunted,47,748.6,28.1421,22.3137,24,14,8,forward
ca_cavern1_haunted,48,853,29.0711,22.0711,27,20,8,forward
ca_cavern1_haunted,49,922,33.9706,23.1421,29,15,8,forward
ca_cavern1_haunted,50,866.8,33.799,25.3137,28,10,8,forward
ca_cavern1_haunted,51,408.4,25.8995,25.8995,23,0,8,forward
ca_cavern1_haunted,52,638.4,30.1421,26.0416,26,4,8,forward
