map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns1,0,431.2,7.82843,7.82843,7,1,2,forward
ca_caverns1,1,192.4,5.24264,5.24264,4,0,2,forward
ca_caverns1,2,201.2,5,4,5,0,2,forward
ca_caverns1,3,200.8,7.41421,7.41421,7,0,2,forward
ca_caverns1,4,174,5.82843,5.82843,5,0,2,forward
ca_caverns1,5,168.4,5.82843,5,5,0,2,forward
ca_caverns1,6,249.8,10.4853,7.65685,8,0,2,forward
ca_caverns1,7,121.8,4.41421,4.41421,4,0,2,forward
ca_caverns1,8,202.2,7.82843,6.41421,7,0,2,forward
ca_caverns1,9,183.2,6,6,6,0,2,forward
ca_caverns1,10,232.2,11,11,11,0,2,forward
ca_caverns1,11,382.2,9,8,9,1,2,forward
ca_caverns1,12,314.2,9.41421,9.41421,9,1,2,forward
ca_caverns1,13,260.2,9.41421,9.41421,9,0,2,forward
ca_caverns1,14,263,9.07107,9.07107,7,0,2,forward
ca_caverns1,15,275.2,9.24264,8.41421,8,1,2,forward
ca_caverns1,16,661.6,10.4142,10.4142,10,8,2,forward
ca_caverns1,17,225.6,11.2426,9.82843,10,0,2,forward
ca_caverns1,18,185.6,9,8.41421,9,0,2,forward
ca_caverns1,19,190.4,9.48528,8.65685,7,0,2,forward
ca_caverns1,20,419.6,14.8284,13.8284,14,3,2,forward
ca_caverns1,21,381.4,13.4853,13.4853,11,1,2,forward
ca_caverns1,22,519,12,12,12,8,2,forward
ca_caverns1,23,360.8,12.8284,12.8284,12,0,2,forward
ca_caverns1,24,295,12.6569,12.6569,11,0,2,forward
ca_caverns1,25,462.2,16.6569,15.8284,15,2,2,forward
ca_caverns1,26,497,14.4853,14.4853,12,6,2,forward
ca_caverns1,27,390.4,13.3137,13.3137,10,3,2,forward
ca_caverns1,28,498.4,14.0711,13.0711,12,4,2,forward
ca_caverns1,29,349.6,16.8995,15.8995,14,0,2,forward
ca_caverns1,30,676.8,18.4142,18.4142,18,15,2,forward
ca_caverns1,31,531.4,19.4142,18,19,4,2,forward
ca_caverns1,32,498.2,17.7279,17.7279,14,4,2,forward
ca_caverns1,33,568.2,17.8995,16.4853,15,4,2,forward
ca_caverns1,34,518.4,17.4853,17.4853,15,5,2,forward
ca_caverns1,35,424.6,19.3848,19.3848,14,2,2,forward
ca_caverns1,36,574.6,17.4142,17.4142,17,8,2,forward
ca_caverns1,37,400.2,17.7279,17.7279,14,2,2,forward
ca_caverns1,38,425.4,16.3137,16.3137,13,1,2,forward
ca_caverns1,39,584,18.3137,16.8995,15,5,2,forward
ca_caverns1,40,561,22.6569,22.0711,21,7,2,forward
ca_caverns1,41,619.8,22.7279,22.7279,19,10,2,forward
ca_caverns1,42,839.6,20.4142,20.4142,20,15,2,forward
ca_caverns1,43,416.6,22.1421,22.1421,18,0,2,forward
ca_caverns1,44,689.2,23.7279,23.7279,20,12,2,forward
ca_caverns1,45,727.6,23.4853,22.4853,21,8,2,forward
