map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns1,0,906.4,7.82843,7.82843,7,3,4,backward
ca_caverns1,1,472.8,5.24264,5.24264,4,1,4,backward
ca_caverns1,2,561.2,8.24264,4,7,2,4,backward
ca_caverns1,3,616.2,9.65685,7.41421,8,2,4,backward
ca_caverns1,4,668.6,5.82843,5.82843,5,3,4,backward
ca_caverns1,5,525.2,5.82843,5,5,2,4,backward
ca_caverns1,6,937.2,11.0711,7.65685,9,4,4,backward
ca_caverns1,7,502.4,4.41421,4.41421,4,2,4,backward
ca_caverns1,8,497.8,7.24264,6.41421,6,2,4,backward
ca_caverns1,9,659.2,10.2426,6,9,2,4,backward
ca_caverns1,10,774,13.8284,11,13,3,4,backward
ca_caverns1,11,664.6,12.2426,8,11,2,4,backward
ca_caverns1,12,706.2,12.2426,9.41421,11,2,4,backward
ca_caverns1,13,576.4,9.41421,9.41421,9,2,4,backward
ca_caverns1,14,675.6,9.07107,9.07107,7,2,4,backward
ca_caverns1,15,556.4,8.41421,8.41421,8,1,4,backward
ca_caverns1,16,1209.4,14.4142,10.4142,14,6,4,backward
ca_caverns1,17,740,12.8995,9.82843,10,5,4,backward
ca_caverns1,18,517.2,11.8284,8.41421,11,2,4,backward
ca_caverns1,19,574.8,12.8995,8.65685,10,2,4,backward
ca_caverns1,20,819.4,19.0711,13.8284,17,3,4,backward
ca_caverns1,21,959.8,13.4853,13.4853,11,3,4,backward
ca_caverns1,22,853.2,14.2426,12,13,4,4,backward
ca_caverns1,23,714.4,12.8284,12.8284,12,1,4,backward
ca_caverns1,24,841.6,16.6569,12.6569,15,4,4,backward
ca_caverns1,25,840.6,19.4853,15.8284,17,2,4,backward
ca_caverns1,26,705.8,14.4853,14.4853,12,1,4,backward
ca_caverns1,27,527.4,13.3137,13.3137,10,3,4,backward
ca_caverns1,28,1143.4,16.8995,13.0711,14,4,4,backward
ca_caverns1,29,973.2,20.1421,15.8995,16,5,4,backward
ca_caverns1,30,1295.2,18.4142,18.4142,18,9,4,backward
ca_caverns1,31,1023.6,19.4142,18,19,4,4,backward
