map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns1_mines,0,1341.2,60.9117,4.82843,46,5,64,forward
ca_caverns1_mines,1,1327.6,65.9828,6.82843,49,25,64,forward
ca_caverns1_mines,2,198.2,4.41421,4.41421,4,0,64,forward
ca_caverns1_mines,3,1602,52.5563,4.82843,48,72,64,forward
ca_caverns1_mines,4,527.6,14.0711,4.41421,12,7,64,forward
ca_caverns1_mines,5,2036.4,71.8995,5.41421,69,95,64,forward
ca_caverns1_mines,6,494.6,24.3848,5.41421,19,4,64,forward
ca_caverns1_mines,7,509.4,22.7279,6.41421,19,2,64,forward
ca_caverns1_mines,8,2249.2,63.7696,5.41421,53,45,64,forward
ca_caverns1_mines,9,891.8,44.5269,6.82843,35,10,64,forward
ca_caverns1_mines,10,264,13.8995,9.41421,11,2,64,forward
ca_caverns1_mines,11,966.8,38.7279,10.2426,35,23,64,forward
ca_caverns1_mines,12,1541.6,54.2548,10.6569,41,30,64,forward
ca_caverns1_mines,13,1571.6,48.799,11.4142,43,54,64,forward
ca_caverns1_mines,14,1344.2,46.5563,9.24264,42,34,64,forward
ca_caverns1_mines,15,2393.8,55.2132,9.07107,49,67,64,forward
ca_caverns1_mines,16,1005.8,30.3137,8.48528,27,8,64,forward
ca_caverns1_mines,17,905.6,26.6569,11.4142,25,23,64,forward
ca_caverns1_mines,18,443.4,24.7279,11.4853,21,2,64,forward
ca_caverns1_mines,19,1406,39.6274,9.07107,33,32,64,forward
ca_caverns1_mines,20,859.8,33.5563,15.8995,29,14,64,forward
ca_caverns1_mines,21,279.2,15.2426,14.0711,14,1,64,forward
ca_caverns1_mines,22,1447,52.5563,15.8284,48,63,64,forward
ca_caverns1_mines,23,1254.2,55.2132,13.6569,49,39,64,forward
ca_caverns1_mines,24,707.6,29.8995,15.4142,27,16,64,forward
ca_caverns1_mines,25,1838.4,53.0122,14.4853,41,30,64,forward
ca_caverns1_mines,26,783.2,40.2843,12.0711,32,4,64,forward
ca_caverns1_mines,27,638.8,31.8701,15.7279,24,2,64,forward
ca_caverns1_mines,28,329,17.5563,15.1421,13,0,64,forward
ca_caverns1_mines,29,1905.2,104.167,12.2426,76,21,64,forward
ca_caverns1_mines,30,2391.4,85.6274,18.3137,79,99,64,forward
ca_caverns1_mines,31,1583.4,70.9117,16.6569,56,25,64,forward
ca_caverns1_mines,32,2033.6,71.5269,17.3137,62,57,64,forward
ca_caverns1_mines,33,441,20.8284,18,20,5,64,forward
ca_caverns1_mines,34,997.6,62.0122,18.6569,50,25,64,forward
ca_caverns1_mines,35,1018.8,51.2132,18.2426,45,40,64,forward
ca_caverns1_mines,36,2246.4,65.8406,17.8995,53,67,64,forward
ca_caverns1_mines,37,1176,34.8284,17.4142,34,41,64,forward
ca_caverns1_mines,38,572.8,30.8995,17.4853,28,9,64,forward
ca_caverns1_mines,39,556,23.7279,18.8995,20,10,64,forward
ca_caverns1_mines,40,1482.8,57.5269,22,48,34,64,forward
ca_caverns1_mines,41,1549.6,55.5269,23.8995,46,38,64,forward
ca_caverns1_mines,42,2468,75.4975,23.1421,61,85,64,forward
ca_caverns1_mines,43,1738,59.2426,20.8284,58,76,64,forward
ca_caverns1_mines,44,1450,65.6274,20.3137,59,48,64,forward
ca_caverns1_mines,45,644.8,33.8995,20,31,24,64,forward
ca_caverns1_mines,46,520.8,23.0711,20.8284,21,13,64,forward
ca_caverns1_mines,47,799.4,40.2426,23.4142,39,5,64,forward
ca_caverns1_mines,48,607.8,24.8995,21.8284,22,9,64,forward
ca_caverns1_mines,49,1365.8,55.9706,21.8284,51,60,64,forward
ca_caverns1_mines,50,1887.8,59.7279,26.0711,56,71,64,forward
ca_caverns1_mines,51,1329.8,52.8406,25.4558,40,15,64,forward
ca_caverns1_mines,52,1540,64.2843,26.3137,56,43,64,forward
ca_caverns1_mines,53,530.6,26.1421,24.9706,22,10,64,forward
ca_caverns1_mines,54,1899.4,72.0416,25.5563,65,69,64,forward
ca_caverns1_mines,55,1648.2,75.9411,27.9706,66,60,64,forward
ca_caverns1_mines,56,2447.8,90.2843,25.0416,82,102,64,forward
ca_caverns1_mines,57,690.2,38.9706,26.2426,34,9,64,forward
ca_caverns1_mines,58,1046,46.1421,27.1421,42,23,64,forward
ca_caverns1_mines,59,1117.8,50.8701,25.8284,43,24,64,forward
ca_caverns1_mines,60,1593.2,67.0122,29.1421,55,49,64,forward
ca_caverns1_mines,61,1643.8,95.6396,30.2426,77,33,64,forward
ca_caverns1_mines,62,862,38.8701,28.8701,31,19,64,forward
ca_caverns1_mines,63,790.2,28.3137,28.3137,25,9,64,forward
ca_caverns1_mines,64,1609.8,67.3848,30.5563,62,55,64,forward
ca_caverns1_mines,65,2217.4,77.1127,28.5563,68,102,64,forward
ca_caverns1_mines,66,788.2,38.1421,28.8995,34,20,64,forward
ca_caverns1_mines,67,1977,76.5269,29.9706,67,61,64,forward
ca_caverns1_mines,68,998.6,69.8112,29.6274,52,8,64,forward
ca_caverns1_mines,69,1566.8,57.3137,30.4853,54,68,64,forward
ca_caverns1_mines,70,1564,63.8701,32.799,56,67,64,forward
ca_caverns1_mines,71,1163.8,58.2132,33,52,36,64,forward
ca_caverns1_mines,72,849.6,49.0833,33.9411,35,7,64,forward
ca_caverns1_mines,73,845,41.1127,35.8701,32,19,64,forward
ca_caverns1_mines,74,1795.2,81.7696,32.5563,71,69,64,forward
ca_caverns1_mines,75,1364.2,53.5563,33.7279,49,35,64,forward
ca_caverns1_mines,76,870.8,40.3137,35.4853,37,28,64,forward
ca_caverns1_mines,77,1617.6,57.1421,33.7279,53,49,64,forward
ca_caverns1_mines,78,964.6,39.799,34.4853,34,17,64,forward
ca_caverns1_mines,79,1366,79.7107,34.2843,59,17,64,forward
ca_caverns1_mines,80,749.4,36.7279,36.7279,33,17,64,forward
ca_caverns1_mines,81,938.8,40.5563,36.4558,36,24,64,forward
ca_caverns1_mines,82,809,40.0711,39.2426,38,32,64,forward
ca_caverns1_mines,83,1401.8,68.0833,39.2843,54,36,64,forward
ca_caverns1_mines,84,2474.8,83.9828,36.0416,67,85,64,forward
ca_caverns1_mines,85,842,40.9706,39.1421,36,32,64,forward
ca_caverns1_mines,86,763.4,40.3848,39.799,35,20,64,forward
ca_caverns1_mines,87,1505.4,69.1421,36.7279,65,59,64,forward
ca_caverns1_mines,88,1609,68.9706,37.8995,64,75,64,forward
ca_caverns1_mines,89,1865,77.3553,39.1127,67,81,64,forward
ca_caverns1_mines,90,921,60.598,41.8284,49,21,64,forward
ca_caverns1_mines,91,2161.8,90.397,41.6274,73,91,64,forward
ca_caverns1_mines,92,1812.8,70.9828,40.6985,54,50,64,forward
ca_caverns1_mines,93,1372.8,61.3553,43.3848,51,32,64,forward
ca_caverns1_mines,94,1918,108.527,43.4142,99,84,64,forward
ca_caverns1_mines,95,1451.2,68.4264,40.598,56,44,64,forward
ca_caverns1_mines,96,1553.8,56.0416,42.6274,49,49,64,forward
ca_caverns1_mines,97,1676.6,65.1421,43.1421,61,38,64,forward
ca_caverns1_mines,98,1037.8,41.6274,41.6274,35,20,64,forward
ca_caverns1_mines,99,875.4,50.1127,42.2132,41,21,64,forward
ca_caverns1_mines,100,857.8,46.4558,46.4558,39,23,64,forward
ca_caverns1_mines,101,1826,75.1127,44.6274,66,77,64,forward
ca_caverns1_mines,102,1216.4,44.3137,44.3137,41,39,64,forward
ca_caverns1_mines,103,2137.8,77.2426,46.2426,76,94,64,forward
ca_caverns1_mines,104,1039.4,54.3137,47.3137,51,45,64,forward
ca_caverns1_mines,105,2141.2,85.3848,44.0711,80,100,64,forward
ca_caverns1_mines,106,1302.2,57.4558,46.4558,50,31,64,forward
ca_caverns1_mines,107,1325.2,63.3553,45.1838,53,44,64,forward
ca_caverns1_mines,108,1584.8,76.5269,45.4558,67,78,64,forward
ca_caverns1_mines,109,1938.6,82.1838,44.3137,71,65,64,forward
ca_caverns1_mines,110,1151.2,49.2132,48.6274,43,37,64,forward
ca_caverns1_mines,111,955.6,53.8701,48.799,46,30,64,forward
ca_caverns1_mines,112,1116.6,53.3553,49.598,43,29,64,forward
ca_caverns1_mines,113,1305.8,48.8995,48.8995,46,41,64,forward
