map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns2,0,1023.4,7.07107,7.07107,5,1,0,backward
ca_caverns2,1,760.8,6.82843,6.82843,6,1,0,backward
ca_caverns2,2,704,7.24264,7.24264,6,1,0,backward
ca_caverns2,3,1056.8,7.07107,7.07107,5,2,0,backward
ca_caverns2,4,625.8,4.41421,4.41421,4,1,0,backward
ca_caverns2,5,612.2,5,5,5,1,0,backward
ca_caverns2,6,648,5,5,5,1,0,backward
ca_caverns2,7,819.2,7.41421,7.41421,7,2,0,backward
ca_caverns2,8,758.4,7.24264,7.24264,6,1,0,backward
ca_caverns2,9,794.4,6.82843,6.82843,6,3,0,backward
ca_caverns2,10,857.2,9.65685,9.65685,8,1,0,backward
ca_caverns2,11,1112,11.8995,11.8995,9,3,0,backward
ca_caverns2,12,813,10.6569,10.6569,9,1,0,backward
ca_caverns2,13,871.2,10.8284,10.8284,10,1,0,backward
ca_caverns2,14,851,10.4853,10.4853,8,1,0,backward
ca_caverns2,15,1276.6,9.65685,9.65685,8,3,0,backward
ca_caverns2,16,861.6,10.6569,10.6569,9,1,0,backward
ca_caverns2,17,948.8,9.65685,9.65685,8,2,0,backward
ca_caverns2,18,996.8,9.07107,9.07107,7,2,0,backward
ca_caverns2,19,1190,8.82843,8.82843,8,4,0,backward
ca_caverns2,20,1145.6,14.2426,14.2426,13,1,0,backward
ca_caverns2,21,1120.6,13.8284,13.8284,13,1,0,backward
ca_caverns2,22,1080.4,15.0711,15.0711,13,2,0,backward
ca_caverns2,23,1205.8,15.8995,15.8995,13,3,0,backward
ca_caverns2,24,982.8,15.8995,15.8995,13,1,0,backward
ca_caverns2,25,1421.2,15.6569,15.6569,14,3,0,backward
ca_caverns2,26,895.2,12.4853,12.4853,10,2,0,backward
ca_caverns2,27,1047.8,13.4853,13.4853,11,2,0,backward
ca_caverns2,28,1143.4,15.4853,15.4853,13,2,0,backward
ca_caverns2,29,1305.8,12.0711,12.0711,10,3,0,backward
ca_caverns2,30,1812.2,17.2426,17.2426,16,7,0,backward
ca_caverns2,31,1370.2,19.4142,19.4142,19,1,0,backward
ca_caverns2,32,1335,19.6569,19.6569,18,2,0,backward
ca_caverns2,33,1138.8,18.6569,18.6569,17,4,0,backward
ca_caverns2,34,1603.6,19.6569,19.6569,18,5,0,backward
ca_caverns2,35,1088.4,19.8284,19.8284,19,3,0,backward
ca_caverns2,36,1481.6,18.3137,18.3137,15,5,0,backward
ca_caverns2,37,1312.8,19.3848,19.3848,14,3,0,backward
ca_caverns2,38,1237.2,17.4853,17.4853,15,2,0,backward
ca_caverns2,39,1047.4,16.0711,16.0711,14,2,0,backward
ca_caverns2,40,2015.4,23.8995,23.8995,21,9,0,backward
ca_caverns2,41,1195.2,23.2426,23.2426,22,2,0,backward
ca_caverns2,42,1469.2,23.1421,23.1421,19,4,0,backward
ca_caverns2,43,1899.2,23.6569,23.6569,22,4,0,backward
ca_caverns2,44,1952,23.4853,23.4853,21,6,0,backward
ca_caverns2,45,1644.4,22.4853,22.4853,20,3,0,backward
ca_caverns2,46,2137,21.5563,21.5563,17,9,0,backward
ca_caverns2,47,1595.2,20.3137,20.3137,17,2,0,backward
ca_caverns2,48,1763.2,20.0711,20.0711,18,6,0,backward
ca_caverns2,49,1469.8,21.3137,21.3137,18,4,0,backward
ca_caverns2,50,1453,24.4142,24.4142,24,1,0,backward
ca_caverns2,51,1480.2,25.4853,25.4853,23,5,0,backward
ca_caverns2,52,1569.2,26.5563,26.5563,22,5,0,backward
ca_caverns2,53,1772.6,25.4853,25.4853,23,3,0,backward
ca_caverns2,54,1964,25.8995,25.8995,23,10,0,backward
ca_caverns2,55,2007,27.2132,27.2132,21,7,0,backward
ca_caverns2,56,1751,27.3848,27.3848,22,7,0,backward
ca_caverns2,57,2272,26.4853,26.4853,24,13,0,backward
ca_caverns2,58,1943.4,25.6569,25.6569,24,7,0,backward
ca_caverns2,59,1810.6,24.3137,24.3137,21,8,0,backward
ca_caverns2,60,2007.4,30.2426,30.2426,29,3,0,backward
ca_caverns2,61,2911,31.2426,31.2426,30,16,0,backward
ca_caverns2,62,2047.8,29.9706,29.9706,25,5,0,backward
ca_caverns2,63,1804.2,28.9706,28.9706,24,4,0,backward
ca_caverns2,64,1907,31.1421,31.1421,27,2,0,backward
ca_caverns2,65,1992.8,30.8284,30.8284,30,2,0,backward
ca_caverns2,66,1715.6,30.3848,30.3848,25,4,0,backward
ca_caverns2,67,2360.4,31.1421,31.1421,27,8,0,backward
ca_caverns2,68,1870,31.0711,31.0711,29,7,0,backward
ca_caverns2,69,1842.6,28.7279,28.7279,25,6,0,backward
ca_caverns2,70,2543,32.9706,32.9706,28,11,0,backward
ca_caverns2,71,1994.6,34.1421,34.1421,30,7,0,backward
ca_caverns2,72,2047,32.5563,32.5563,28,8,0,backward
ca_caverns2,73,1928.4,33.9706,33.9706,29,6,0,backward
ca_caverns2,74,2337.2,33.3848,33.3848,28,13,0,backward
ca_caverns2,75,1812.6,34.8995,34.8995,32,10,0,backward
ca_caverns2,76,1943.2,32.6569,32.6569,31,3,0,backward
ca_caverns2,77,996.4,32.8284,32.8284,32,2,0,backward
ca_caverns2,78,2389.2,34.0711,34.0711,32,9,0,backward
ca_caverns2,79,2061.8,34.6569,34.6569,33,1,0,backward
ca_caverns2,80,1975,37.5563,37.5563,33,2,0,backward
ca_caverns2,81,1907,36.799,36.799,31,7,0,backward
ca_caverns2,82,2815.2,37.0416,37.0416,30,15,0,backward
ca_caverns2,83,2210.2,37.4142,37.4142,37,11,0,backward
ca_caverns2,84,1911.6,36.3137,36.3137,33,6,0,backward
ca_caverns2,85,2303.2,39.4558,39.4558,32,9,0,backward
ca_caverns2,86,1326.8,36.5563,36.5563,32,4,0,backward
ca_caverns2,87,1625.4,38.6569,38.6569,37,5,0,backward
ca_caverns2,88,1581.2,39.9411,39.9411,30,3,0,backward
ca_caverns2,89,2352.8,38.4853,38.4853,36,14,0,backward
ca_caverns2,90,3158.6,42.4853,42.4853,40,17,0,backward
ca_caverns2,91,3068.2,41.6569,41.6569,40,16,0,backward
ca_caverns2,92,2120.2,43.8995,43.8995,41,4,0,backward
ca_caverns2,93,2232.8,42.799,42.799,37,6,0,backward
ca_caverns2,94,3154,42.6985,42.6985,34,12,0,backward
ca_caverns2,95,1898.6,41.0711,41.0711,39,6,0,backward
ca_caverns2,96,1934,42.8701,42.8701,35,4,0,backward
ca_caverns2,97,3089.4,40.6274,40.6274,34,17,0,backward
ca_caverns2,98,2145.2,42.7279,42.7279,39,6,0,backward
ca_caverns2,99,2104.6,40.9706,40.9706,36,9,0,backward
ca_caverns2,100,2503,46.8284,46.8284,46,6,0,backward
ca_caverns2,101,2323.2,44.6569,44.6569,43,3,0,backward
ca_caverns2,102,2289.6,44.6569,44.6569,43,14,0,backward
ca_caverns2,103,2223.8,47.6985,47.6985,39,5,0,backward
ca_caverns2,104,2509.6,44.8284,44.8284,44,3,0,backward
ca_caverns2,105,3284.8,47.3553,47.3553,37,13,0,backward
ca_caverns2,106,2299.2,45.9706,45.9706,41,8,0,backward
ca_caverns2,107,2014.4,44.1421,44.1421,40,9,0,backward
ca_caverns2,108,2140.2,45.0711,45.0711,43,9,0,backward
ca_caverns2,109,2781.6,46.4264,46.4264,34,9,0,backward
ca_caverns2,110,2664.4,49.8701,49.8701,42,11,0,backward
ca_caverns2,111,1986.4,51.1421,51.1421,47,7,0,backward
ca_caverns2,112,2650,48.3137,48.3137,45,6,0,backward
ca_caverns2,113,2163.8,51.2843,51.2843,43,2,0,backward
ca_caverns2,114,3228.2,51.3848,51.3848,46,15,0,backward
ca_caverns2,115,2973.8,50.7696,50.7696,40,13,0,backward
ca_caverns2,116,2590.6,50.799,50.799,45,8,0,backward
ca_caverns2,117,1720.6,50.9411,50.9411,41,8,0,backward
ca_caverns2,118,2799.4,48.5563,48.5563,44,12,0,backward
ca_caverns2,119,2390.6,50.3848,50.3848,45,11,0,backward
ca_caverns2,120,2863.2,52.7696,52.7696,42,13,0,backward
ca_caverns2,121,3486.2,53.7279,53.7279,50,18,0,backward
ca_caverns2,122,3196,54.8995,54.8995,52,2,0,backward
ca_caverns2,123,3019.8,52.2132,52.2132,46,24,0,backward
ca_caverns2,124,2692.6,53.799,53.799,48,8,0,backward
ca_caverns2,125,2616.4,53.6274,53.6274,47,6,0,backward
ca_caverns2,126,2512.4,52.799,52.799,47,9,0,backward
ca_caverns2,127,1874.2,52.4853,52.4853,50,7,0,backward
ca_caverns2,128,2051.2,54.9706,54.9706,50,9,0,backward
ca_caverns2,129,3154,55.9411,55.9411,46,13,0,backward
ca_caverns2,130,3154,57.5563,57.5563,53,14,0,backward
ca_caverns2,131,2989.6,57.2132,57.2132,51,7,0,backward
ca_caverns2,132,3590.8,59.0416,59.0416,52,14,0,backward
ca_caverns2,133,3658.2,59.2843,59.2843,51,22,0,backward
ca_caverns2,134,3034.2,56.9706,56.9706,52,12,0,backward
ca_caverns2,135,3014.8,57.6985,57.6985,49,13,0,backward
ca_caverns2,136,2227.4,57.6274,57.6274,51,13,0,backward
ca_caverns2,137,2336.2,57.1421,57.1421,53,9,0,backward
ca_caverns2,138,3638.8,59.0122,59.0122,47,17,0,backward
ca_caverns2,139,3244.6,56.2843,56.2843,48,18,0,backward
ca_caverns2,140,2528,62.5269,62.5269,53,10,0,backward
ca_caverns2,141,3479.6,62.1127,62.1127,53,15,0,backward
ca_caverns2,142,2973.6,61.598,61.598,50,10,0,backward
ca_caverns2,143,2687.4,63.9706,63.9706,59,7,0,backward
ca_caverns2,144,3127.6,60.6274,60.6274,54,12,0,backward
ca_caverns2,145,3505.6,63.2843,63.2843,55,7,0,backward
ca_caverns2,146,3424.4,63.2843,63.2843,55,21,0,backward
ca_caverns2,147,2586.8,63.8406,63.8406,51,4,0,backward
ca_caverns2,148,2583,62.3848,62.3848,57,13,0,backward
ca_caverns2,149,2246.6,60.4558,60.4558,53,6,0,backward
ca_caverns2,150,3200.6,67.7696,67.7696,57,13,0,backward
ca_caverns2,151,2850.6,66.0416,66.0416,59,5,0,backward
ca_caverns2,152,3025.8,64.3137,64.3137,61,7,0,backward
ca_caverns2,153,2698.8,65.1838,65.1838,54,9,0,backward
ca_caverns2,154,2444.6,64.7279,64.7279,61,11,0,backward
ca_caverns2,155,3343.2,64.9706,64.9706,60,20,0,backward
ca_caverns2,156,3662.4,64.1421,64.1421,60,8,0,backward
ca_caverns2,157,2988.8,65.7696,65.7696,55,7,0,backward
ca_caverns2,158,3579.4,65.0122,65.0122,53,12,0,backward
ca_caverns2,159,2496.8,66.9706,66.9706,62,11,0,backward
ca_caverns2,160,2048.8,70.5563,70.5563,66,8,0,backward
ca_caverns2,161,2351.2,71.5563,71.5563,67,10,0,backward
ca_caverns2,162,3097.4,71.4558,71.4558,64,8,0,backward
ca_caverns2,163,3355.2,69.4558,69.4558,62,13,0,backward
ca_caverns2,164,3670.6,69.1127,69.1127,60,17,0,backward
ca_caverns2,165,2351.2,69.3848,69.3848,64,7,0,backward
ca_caverns2,166,1574.4,69.8995,69.8995,67,4,0,backward
ca_caverns2,167,2716.6,71.2132,71.2132,65,13,0,backward
ca_caverns2,168,3940.6,69.4264,69.4264,57,15,0,backward
ca_caverns2,169,2951.6,68.2548,68.2548,55,17,0,backward
ca_caverns2,170,3650.2,75.9706,75.9706,71,7,0,backward
ca_caverns2,171,4289,75.8995,75.8995,73,23,0,backward
ca_caverns2,172,3065.6,75.2426,75.2426,74,14,0,backward
ca_caverns2,173,3228.6,72.9411,72.9411,63,15,0,backward
ca_caverns2,174,2837.2,75.0416,75.0416,68,16,0,backward
ca_caverns2,175,3693.6,74.3137,74.3137,71,18,0,backward
ca_caverns2,176,4528.2,75.799,75.799,70,32,0,backward
ca_caverns2,177,2596.6,74.0416,74.0416,67,13,0,backward
ca_caverns2,178,3504,75.8406,75.8406,63,12,0,backward
ca_caverns2,179,3081.8,75.598,75.598,64,7,0,backward
ca_caverns2,180,3274,79.3848,79.3848,74,21,0,backward
ca_caverns2,181,2870.8,76.6274,76.6274,70,13,0,backward
ca_caverns2,182,3560.4,79.6569,79.6569,78,2,0,backward
ca_caverns2,183,3790.4,77.7696,77.7696,67,25,0,backward
ca_caverns2,184,3839.6,77.9706,77.9706,73,13,0,backward
ca_caverns2,185,1831.4,78.7279,78.7279,75,6,0,backward
ca_caverns2,186,2534.4,76.799,76.799,71,5,0,backward
ca_caverns2,187,3512.8,79.1838,79.1838,68,17,0,backward
ca_caverns2,188,2871.6,76.2843,76.2843,68,8,0,backward
ca_caverns2,189,2256.4,78.8995,78.8995,76,5,0,backward
ca_caverns2,190,3904,81.799,81.799,76,18,0,backward
ca_caverns2,191,4099.4,82.2843,82.2843,74,16,0,backward
ca_caverns2,192,3671.4,81.5685,81.5685,65,12,0,backward
