map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns2prc,0,768.6,11.0711,6.24264,9,6,4,backward
ca_caverns2prc,1,389.6,6,6,6,2,4,backward
ca_caverns2prc,2,483.4,10.4853,6.24264,8,2,4,backward
ca_caverns2prc,3,367.4,4.82843,4.82843,4,2,4,backward
ca_caverns2prc,4,447.4,6.82843,6.82843,6,2,4,backward
ca_caverns2prc,5,342.6,5.24264,4.41421,4,2,4,backward
ca_caverns2prc,6,459,6.24264,6.24264,5,4,4,backward
ca_caverns2prc,7,457.4,9.82843,5.82843,9,2,4,backward
ca_caverns2prc,8,488.6,7.82843,7.82843,7,2,4,backward
ca_caverns2prc,9,524,10.2426,6,9,2,4,backward
ca_caverns2prc,10,579,12.4853,11.0711,10,3,4,backward
ca_caverns2prc,11,499.2,12.2426,8,11,2,4,backward
ca_caverns2prc,12,478.2,9.41421,8.41421,9,2,4,backward
ca_caverns2prc,13,469.4,13.2426,8.24264,12,3,4,backward
ca_caverns2prc,14,368.4,12.4853,8.48528,10,2,4,backward
ca_caverns2prc,15,349.8,9.07107,8.48528,7,2,4,backward
ca_caverns2prc,16,326.8,12.3137,9.48528,9,2,4,backward
ca_caverns2prc,17,623.6,14.4853,8.82843,12,5,4,backward
ca_caverns2prc,18,643.6,11.8995,9.07107,9,4,4,backward
ca_caverns2prc,19,351,10.4142,9.82843,10,2,4,backward
ca_caverns2prc,20,876.4,19.4853,14.8995,17,6,4,backward
ca_caverns2prc,21,643.4,16.6569,13.4853,15,3,4,backward
ca_caverns2prc,22,502.6,14.8995,13.7279,12,3,4,backward
ca_caverns2prc,23,585.6,14.4142,13.8284,14,4,4,backward
ca_caverns2prc,24,737,13.8284,12.2426,13,5,4,backward
ca_caverns2prc,25,517.6,19.6569,13.6569,18,2,4,backward
ca_caverns2prc,26,617,15.4853,13.7279,13,3,4,backward
ca_caverns2prc,27,526.6,17.6569,14.8284,16,2,4,backward
ca_caverns2prc,28,703.6,19.1421,15.4853,15,4,4,backward
ca_caverns2prc,29,467.8,12.6569,12.6569,11,2,4,backward
ca_caverns2prc,30,727.2,25.5563,19.5563,21,4,4,backward
ca_caverns2prc,31,602.4,19.8995,16.8995,17,4,4,backward
ca_caverns2prc,32,588.8,17.8284,16.8284,17,5,4,backward
ca_caverns2prc,33,454.8,16,16,16,1,4,backward
ca_caverns2prc,34,443.4,17.8284,16.4142,17,2,4,backward
ca_caverns2prc,35,919,20.4853,19.4853,18,8,4,backward
ca_caverns2prc,36,606.8,22.2426,18,21,2,4,backward
ca_caverns2prc,37,557.4,19.4853,19.4853,17,2,4,backward
ca_caverns2prc,38,587.8,17.4853,17.4853,15,3,4,backward
ca_caverns2prc,39,580.4,23.1421,17.4853,19,4,4,backward
ca_caverns2prc,40,577.6,23.2426,23.2426,22,2,4,backward
ca_caverns2prc,41,579,21.5563,21.5563,17,3,4,backward
ca_caverns2prc,42,893.8,24.0711,20.0711,22,5,4,backward
ca_caverns2prc,43,500.6,22.799,20.799,17,3,4,backward
ca_caverns2prc,44,695.4,23.4142,23.4142,23,4,4,backward
ca_caverns2prc,45,640.2,21.4853,20.6569,19,7,4,backward
ca_caverns2prc,46,673.6,21.8995,21.3137,19,3,4,backward
ca_caverns2prc,47,723,22.7279,22.7279,19,4,4,backward
ca_caverns2prc,48,609.2,25.799,21.799,20,3,4,backward
ca_caverns2prc,49,912.4,21.0711,20.4853,19,10,4,backward
ca_caverns2prc,50,1007.8,27.8284,27.2426,27,10,4,backward
ca_caverns2prc,51,712.6,27.4853,27.4853,25,6,4,backward
ca_caverns2prc,52,698.6,27.799,27.2132,22,4,4,backward
ca_caverns2prc,53,674.2,24.5563,24.5563,20,4,4,backward
ca_caverns2prc,54,756.4,29.3848,25.3848,24,4,4,backward
ca_caverns2prc,55,849.4,29.3137,25.4853,26,5,4,backward
ca_caverns2prc,56,769.8,27.3848,27.3848,22,6,4,backward
ca_caverns2prc,57,979.2,29.8284,26.4142,29,11,4,backward
ca_caverns2prc,58,727,30.6985,26.4558,22,5,4,backward
ca_caverns2prc,59,889.2,24.8995,24.8995,22,5,4,backward
ca_caverns2prc,60,748.6,28.7279,28.1421,25,4,4,backward
ca_caverns2prc,61,790.6,33.2426,31.8284,32,2,4,backward
ca_caverns2prc,62,1029,31.5563,30.1421,27,11,4,backward
ca_caverns2prc,63,758,31.8701,28.2132,24,5,4,backward
ca_caverns2prc,64,889.4,31.8284,31.8284,31,7,4,backward
ca_caverns2prc,65,651.8,32.4142,29.8284,32,2,4,backward
ca_caverns2prc,66,809.6,30.3137,30.3137,27,6,4,backward
ca_caverns2prc,67,842.2,28.7279,28.7279,25,8,4,backward
ca_caverns2prc,68,750.4,30.9706,30.3848,26,4,4,backward
ca_caverns2prc,69,823.6,31.3848,31.3848,26,7,4,backward
ca_caverns2prc,70,931.4,39.5269,35.5269,30,4,4,backward
ca_caverns2prc,71,945.2,34.7279,33.7279,31,5,4,backward
ca_caverns2prc,72,705.6,34.6569,34.0711,33,6,4,backward
ca_caverns2prc,73,1049.4,35.4558,35.4558,28,8,4,backward
ca_caverns2prc,74,910.8,37.4558,34.8701,30,7,4,backward
ca_caverns2prc,75,1037.2,38.6274,35.6274,32,8,4,backward
ca_caverns2prc,76,980.6,37.0711,33.4142,35,8,4,backward
ca_caverns2prc,77,902.4,36.799,32.5563,31,12,4,backward
ca_caverns2prc,78,733,34.1421,34.1421,30,5,4,backward
ca_caverns2prc,79,1040.4,36.4558,35.8701,29,9,4,backward
ca_caverns2prc,80,936.4,37.6569,37.0711,36,7,4,backward
ca_caverns2prc,81,1377.6,42.2132,39.1421,36,16,4,backward
ca_caverns2prc,82,708.2,36.6569,36.6569,35,5,4,backward
ca_caverns2prc,83,1118.4,44.8995,39.8995,42,6,4,backward
ca_caverns2prc,84,1164,42.2132,39.3848,36,13,4,backward
ca_caverns2prc,85,1102.2,38.2426,37.6569,37,4,4,backward
ca_caverns2prc,86,1005.8,38.1421,38.1421,34,7,4,backward
ca_caverns2prc,87,746.4,37.3848,37.3848,32,3,4,backward
ca_caverns2prc,88,1005.6,39.8284,39.2426,39,3,4,backward
