map,scenid,tcost,distance,expect,steps,access,r,itype
ca_caverns2prc,0,461.8,10.0711,6.24264,8,0,4,forward
ca_caverns2prc,1,176.8,6,6,6,0,4,forward
ca_caverns2prc,2,260.4,11.8995,6.24264,9,0,4,forward
ca_caverns2prc,3,168,4.82843,4.82843,4,0,4,forward
ca_caverns2prc,4,272.8,6.82843,6.82843,6,1,4,forward
ca_caverns2prc,5,158.4,5.24264,4.41421,4,0,4,forward
ca_caverns2prc,6,200.6,6.24264,6.24264,5,0,4,forward
ca_caverns2prc,7,270.6,9.82843,5.82843,9,2,4,forward
ca_caverns2prc,8,232.8,7.82843,7.82843,7,1,4,forward
ca_caverns2prc,9,257.8,10.2426,6,9,0,4,forward
ca_caverns2prc,10,352,12.4853,11.0711,10,0,4,forward
ca_caverns2prc,11,475.8,12.2426,8,11,4,4,forward
ca_caverns2prc,12,519.4,9.41421,8.41421,9,7,4,forward
ca_caverns2prc,13,259,13.2426,8.24264,12,0,4,forward
ca_caverns2prc,14,249,10.4853,8.48528,8,0,4,forward
ca_caverns2prc,15,191.2,9.07107,8.48528,7,0,4,forward
ca_caverns2prc,16,207,12.3137,9.48528,9,0,4,forward
ca_caverns2prc,17,472.6,14.4853,8.82843,12,8,4,forward
ca_caverns2prc,18,229.6,11.8995,9.07107,9,0,4,forward
ca_caverns2prc,19,235.2,10.4142,9.82843,10,0,4,forward
ca_caverns2prc,20,527.4,19.4853,14.8995,17,8,4,forward
ca_caverns2prc,21,315,16.6569,13.4853,15,0,4,forward
ca_caverns2prc,22,269.2,14.8995,13.7279,12,0,4,forward
ca_caverns2prc,23,469,14.4142,13.8284,14,2,4,forward
ca_caverns2prc,24,599.4,13.8284,12.2426,13,11,4,forward
ca_caverns2prc,25,294.8,18.6569,13.6569,17,0,4,forward
ca_caverns2prc,26,316.2,15.4853,13.7279,13,0,4,forward
ca_caverns2prc,27,620.8,17.6569,14.8284,16,8,4,forward
ca_caverns2prc,28,530.8,19.1421,15.4853,15,5,4,forward
ca_caverns2prc,29,275.6,12.6569,12.6569,11,0,4,forward
ca_caverns2prc,30,641.6,22.5563,19.5563,18,6,4,forward
ca_caverns2prc,31,539.6,18.8995,16.8995,16,8,4,forward
ca_caverns2prc,32,642.8,17.8284,16.8284,17,15,4,forward
ca_caverns2prc,33,287.4,16,16,16,0,4,forward
ca_caverns2prc,34,281.8,17.8284,16.4142,17,0,4,forward
ca_caverns2prc,35,823,20.4853,19.4853,18,14,4,forward
ca_caverns2prc,36,394,23.6569,18,22,0,4,forward
ca_caverns2prc,37,296.8,19.4853,19.4853,17,0,4,forward
ca_caverns2prc,38,558.8,17.4853,17.4853,15,10,4,forward
ca_caverns2prc,39,276.2,23.1421,17.4853,19,0,4,forward
ca_caverns2prc,40,702.2,23.2426,23.2426,22,13,4,forward
ca_caverns2prc,41,664,21.5563,21.5563,17,11,4,forward
ca_caverns2prc,42,763,22.0711,20.0711,20,13,4,forward
ca_caverns2prc,43,321.4,21.799,20.799,16,0,4,forward
ca_caverns2prc,44,409.4,23.4142,23.4142,23,1,4,forward
ca_caverns2prc,45,676.4,21.4853,20.6569,19,14,4,forward
ca_caverns2prc,46,435.8,21.8995,21.3137,19,2,4,forward
ca_caverns2prc,47,399,22.7279,22.7279,19,1,4,forward
ca_caverns2prc,48,681.4,23.799,21.799,18,7,4,forward
ca_caverns2prc,49,622.4,21.0711,20.4853,19,12,4,forward
ca_caverns2prc,50,710,27.8284,27.2426,27,8,4,forward
ca_caverns2prc,51,723,27.4853,27.4853,25,16,4,forward
ca_caverns2prc,52,554.6,27.799,27.2132,22,5,4,forward
ca_caverns2prc,53,541.2,24.5563,24.5563,20,2,4,forward
ca_caverns2prc,54,546.6,27.3848,25.3848,22,5,4,forward
ca_caverns2prc,55,744.4,29.3137,25.4853,26,17,4,forward
ca_caverns2prc,56,661.6,27.3848,27.3848,22,14,4,forward
ca_caverns2prc,57,1128.8,29.8284,26.4142,29,22,4,forward
ca_caverns2prc,58,631.6,32.1127,26.4558,23,8,4,forward
ca_caverns2prc,59,796.8,24.8995,24.8995,22,14,4,forward
ca_caverns2prc,60,932.6,28.7279,28.1421,25,15,4,forward
ca_caverns2prc,61,726.2,33.2426,31.8284,32,21,4,forward
ca_caverns2prc,62,667,31.5563,30.1421,27,13,4,forward
ca_caverns2prc,63,459.2,31.8701,28.2132,24,1,4,forward
ca_caverns2prc,64,429.8,31.8284,31.8284,31,0,4,forward
ca_caverns2prc,65,560.6,32.4142,29.8284,32,12,4,forward
ca_caverns2prc,66,1027.6,30.3137,30.3137,27,18,4,forward
ca_caverns2prc,67,459,28.7279,28.7279,25,3,4,forward
ca_caverns2prc,68,677.2,30.9706,30.3848,26,14,4,forward
ca_caverns2prc,69,645,31.3848,31.3848,26,3,4,forward
ca_caverns2prc,70,856,37.5269,35.5269,28,15,4,forward
ca_caverns2prc,71,729.8,34.7279,33.7279,31,9,4,forward
ca_caverns2prc,72,889.4,34.6569,34.0711,33,24,4,forward
ca_caverns2prc,73,1072.2,35.4558,35.4558,28,20,4,forward
ca_caverns2prc,74,578.4,37.4558,34.8701,30,9,4,forward
ca_caverns2prc,75,899.4,37.6274,35.6274,31,20,4,forward
ca_caverns2prc,76,594.2,37.0711,33.4142,35,0,4,forward
ca_caverns2prc,77,956.4,38.2132,32.5563,32,21,4,forward
ca_caverns2prc,78,811.6,34.1421,34.1421,30,13,4,forward
ca_caverns2prc,79,828.2,36.4558,35.8701,29,17,4,forward
ca_caverns2prc,80,1042.6,37.6569,37.0711,36,29,4,forward
ca_caverns2prc,81,1127.4,42.2132,39.1421,36,26,4,forward
ca_caverns2prc,82,1014.8,36.6569,36.6569,35,28,4,forward
ca_caverns2prc,83,918.8,44.8995,39.8995,42,19,4,forward
ca_caverns2prc,84,1196.2,42.2132,39.3848,36,28,4,forward
ca_caverns2prc,85,1046.4,38.2426,37.6569,37,21,4,forward
ca_caverns2prc,86,827.6,38.1421,38.1421,34,17,4,forward
ca_caverns2prc,87,972.8,37.3848,37.3848,32,24,4,forward
ca_caverns2prc,88,699,39.8284,39.2426,39,5,4,forward
ca_caverns2prc,89,1130.4,40.799,38.2132,35,24,4,forward
ca_caverns2prc,90,892.6,42.7279,42.1421,39,26,4,forward
ca_caverns2prc,91,697,40.9706,40.3848,36,3,4,forward
ca_caverns2prc,92,1158.8,44.3137,42.5563,41,33,4,forward
ca_caverns2prc,93,939.8,44.1421,42.1421,40,19,4,forward
ca_caverns2prc,94,887.6,41.2426,41.2426,40,31,4,forward
ca_caverns2prc,95,1192.4,40.3848,40.3848,35,28,4,forward
ca_caverns2prc,96,701.2,42.1127,40.3553,33,5,4,forward
ca_caverns2prc,97,1179.2,47.7279,42.8995,44,38,4,forward
ca_caverns2prc,98,998,40.1421,40.1421,36,21,4,forward
ca_caverns2prc,99,641.6,43.5269,42.3553,34,5,4,forward
ca_caverns2prc,100,1043.6,52.6274,45.5563,46,29,4,forward
ca_caverns2prc,101,1216.6,49.8701,47.0416,42,28,4,forward
ca_caverns2prc,102,1071.4,46.8995,46.8995,44,39,4,forward
ca_caverns2prc,103,859.2,45.8406,44.0122,33,13,4,forward
ca_caverns2prc,104,743.4,44.5563,44.5563,40,14,4,forward
ca_caverns2prc,105,1136.4,48.5269,47.9411,39,30,4,forward
ca_caverns2prc,106,1313,46.2132,44.799,40,36,4,forward
ca_caverns2prc,107,1013.4,45.6274,45.0416,39,23,4,forward
ca_caverns2prc,108,1131.2,48.3137,47.7279,45,36,4,forward
ca_caverns2prc,109,717.6,50.598,46.9411,39,1,4,forward
ca_caverns2prc,110,1256.8,51.6274,49.6274,45,28,4,forward
ca_caverns2prc,111,987.4,49.2426,48.2426,48,33,4,forward
ca_caverns2prc,112,881.4,50.1421,50.1421,46,20,4,forward
ca_caverns2prc,113,1170.2,54.5563,50.3137,50,41,4,forward
ca_caverns2prc,114,994.2,53.2843,50.4558,45,31,4,forward
ca_caverns2prc,115,1267.6,55.8284,50.8284,55,56,4,forward
ca_caverns2prc,116,1702.6,51.3848,50.5563,46,40,4,forward
ca_caverns2prc,117,1240.2,52.2132,48.2132,46,36,4,forward
ca_caverns2prc,118,1069.4,53.9706,49.7279,49,33,4,forward
ca_caverns2prc,119,1066.8,50.8284,50.2426,50,27,4,forward
ca_caverns2prc,120,1382.8,56.4264,55.2548,44,33,4,forward
ca_caverns2prc,121,1184.4,56.799,55.6274,51,43,4,forward
ca_caverns2prc,122,1337,57.5563,55.799,53,36,4,forward
ca_caverns2prc,123,1266.8,53.8701,53.0416,46,40,4,forward
ca_caverns2prc,124,1337.4,54.799,54.799,49,42,4,forward
ca_caverns2prc,125,794.6,54.0711,53.4853,52,0,4,forward
ca_caverns2prc,126,695.8,52.8995,52.8995,50,0,4,forward
