map,scenid,tcost,distance,expect,steps,access,r,itype
dr_0_deeproads,0,1779,59.4975,7.82843,45,6,32,backward
dr_0_deeproads,1,2311.8,30.1421,4,26,12,32,backward
dr_0_deeproads,2,1841.6,29.7279,7.41421,26,15,32,backward
dr_0_deeproads,3,912.6,25.799,4.82843,20,2,32,backward
dr_0_deeproads,4,1052.8,16.0711,5,14,8,32,backward
dr_0_deeproads,5,1434,23.8995,6,21,6,32,backward
dr_0_deeproads,6,1972.2,55.4142,7,55,6,32,backward
dr_0_deeproads,7,994.6,30.2132,5.65685,24,2,32,backward
dr_0_deeproads,8,989,21.0711,5.82843,19,5,32,backward
dr_0_deeproads,9,1665.8,36.1421,6.24264,32,6,32,backward
dr_0_deeproads,10,1847.4,47.5563,9.24264,43,10,32,backward
dr_0_deeproads,11,1515.2,28.4853,10.4142,26,8,32,backward
dr_0_deeproads,12,1711.8,40.1127,8.82843,31,11,32,backward
dr_0_deeproads,13,1134.4,19.5563,8.07107,15,4,32,backward
dr_0_deeproads,14,2190.6,50.5563,11.2426,46,14,32,backward
dr_0_deeproads,15,694.4,11.2426,10.6569,10,2,32,backward
dr_0_deeproads,16,1967,43.6274,11.4853,37,6,32,backward
dr_0_deeproads,17,1984.8,54.4853,11.3137,52,3,32,backward
dr_0_deeproads,18,1345.2,50.4558,9.65685,43,14,32,backward
dr_0_deeproads,19,1746.2,58.1421,10.8284,54,2,32,backward
dr_0_deeproads,20,1304.6,21.6569,13.3137,20,4,32,backward
dr_0_deeproads,21,1756.6,66.2426,14.2426,65,3,32,backward
dr_0_deeproads,22,1211.4,38.0416,12.8284,31,2,32,backward
dr_0_deeproads,23,1431,38.0416,12.8284,31,8,32,backward
dr_0_deeproads,24,1433,35.3848,13.7279,30,3,32,backward
dr_0_deeproads,25,2071.4,47.799,14.4853,42,8,32,backward
dr_0_deeproads,26,942,29.3848,12.8995,24,3,32,backward
dr_0_deeproads,27,1620.6,35.0711,14.2426,33,7,32,backward
dr_0_deeproads,28,1703.8,52.3848,14.0711,47,4,32,backward
dr_0_deeproads,29,1617.8,55.5563,15.8284,51,6,32,backward
dr_0_deeproads,30,643.4,21.8284,16,21,4,32,backward
dr_0_deeproads,31,1778.2,51.0711,17.4142,49,15,32,backward
dr_0_deeproads,32,1960,43.0416,19.9706,36,5,32,backward
dr_0_deeproads,33,1183.4,20.6569,16.3137,19,8,32,backward
dr_0_deeproads,34,1934.8,40.4558,16.4142,33,10,32,backward
dr_0_deeproads,35,980.8,28.3137,19.8284,25,3,32,backward
dr_0_deeproads,36,812.2,20.3137,17.8284,17,3,32,backward
dr_0_deeproads,37,1869.6,43.3848,18.0711,38,18,32,backward
dr_0_deeproads,38,917.8,23.6569,16.8284,22,2,32,backward
dr_0_deeproads,39,817.8,18.1421,17.5563,14,5,32,backward
dr_0_deeproads,40,1056.8,32.3848,20.2426,27,8,32,backward
dr_0_deeproads,41,1146.4,38.5563,22,34,6,32,backward
dr_0_deeproads,42,740.4,29.5563,23.1421,25,8,32,backward
dr_0_deeproads,43,925.8,26.8995,22.8995,24,7,32,backward
dr_0_deeproads,44,1000.6,22.8995,20.5563,20,2,32,backward
dr_0_deeproads,45,1649.8,43.8995,22.7279,41,13,32,backward
