map,scenid,tcost,distance,expect,steps,access,r,itype
dr_primevalentrance,0,651,9.65685,4.41421,8,4,4,backward
dr_primevalentrance,1,323.6,8,7.41421,8,2,4,backward
dr_primevalentrance,2,414.8,10.6569,6.24264,9,2,4,backward
dr_primevalentrance,3,336.6,5.24264,5.24264,4,2,4,backward
dr_primevalentrance,4,313.6,8.24264,5.41421,7,2,4,backward
dr_primevalentrance,5,306,8.82843,5.41421,8,2,4,backward
dr_primevalentrance,6,495.8,10.8284,6.41421,10,2,4,backward
dr_primevalentrance,7,395.8,9.24264,5.24264,8,2,4,backward
dr_primevalentrance,8,433.2,6,5.41421,6,3,4,backward
dr_primevalentrance,9,347.2,8,7.41421,8,2,4,backward
dr_primevalentrance,10,417,11.2426,9.48528,10,2,4,backward
dr_primevalentrance,11,413.6,11,11,11,2,4,backward
dr_primevalentrance,12,388.2,17.3137,11.3137,14,2,4,backward
dr_primevalentrance,13,450.4,15.4853,11.4853,13,2,4,backward
dr_primevalentrance,14,337.2,11.0711,8.24264,9,2,4,backward
dr_primevalentrance,15,332,9.65685,8.48528,8,2,4,backward
dr_primevalentrance,16,355.6,11.2426,11.2426,10,1,4,backward
dr_primevalentrance,17,271.8,12.4853,8.24264,10,2,4,backward
dr_primevalentrance,18,344.6,15.6569,9.65685,14,2,4,backward
dr_primevalentrance,19,393.2,10.2426,9.07107,9,2,4,backward
dr_primevalentrance,20,574.8,16.0711,14.4142,14,3,4,backward
dr_primevalentrance,21,534.4,18.7279,14.7279,15,2,4,backward
dr_primevalentrance,22,564.8,12.4142,12.4142,12,5,4,backward
dr_primevalentrance,23,363.8,15.8995,14.2426,13,2,4,backward
dr_primevalentrance,24,348.6,14.4853,14.4853,12,2,4,backward
dr_primevalentrance,25,465.6,16.8995,15.4853,14,2,4,backward
dr_primevalentrance,26,381.6,17.1421,15.7279,13,2,4,backward
dr_primevalentrance,27,552.2,16.4853,13.4853,14,3,4,backward
dr_primevalentrance,28,501,18.2426,15.8284,17,2,4,backward
dr_primevalentrance,29,508.2,18.6569,12.6569,17,2,4,backward
dr_primevalentrance,30,791.2,18.3137,17.1421,15,6,4,backward
dr_primevalentrance,31,606.8,22.7279,18.7279,19,5,4,backward
dr_primevalentrance,32,565,16.1421,16.1421,12,6,4,backward
dr_primevalentrance,33,459.8,17.3137,17.3137,14,4,4,backward
dr_primevalentrance,34,598.8,23.1421,18.8995,19,2,4,backward
dr_primevalentrance,35,649.8,18.8284,17.0711,18,5,4,backward
dr_primevalentrance,36,454.2,16.6569,16.6569,15,3,4,backward
dr_primevalentrance,37,517.8,21.4142,18.2426,21,2,4,backward
dr_primevalentrance,38,460.2,18.9706,18.9706,14,2,4,backward
dr_primevalentrance,39,498.8,20.3137,18.0711,17,3,4,backward
dr_primevalentrance,40,578.8,24.8284,20.4142,24,2,4,backward
dr_primevalentrance,41,744.6,23.8284,20.4142,23,6,4,backward
dr_primevalentrance,42,719.6,27.4853,23.2426,25,4,4,backward
dr_primevalentrance,43,641.8,28.7279,23.0711,25,4,4,backward
dr_primevalentrance,44,530.8,24.6274,20.9706,18,3,4,backward
dr_primevalentrance,45,694.4,28.9706,23.3137,24,4,4,backward
dr_primevalentrance,46,519.4,22.0711,22.0711,20,2,4,backward
dr_primevalentrance,47,518,22.5563,22.5563,18,3,4,backward
dr_primevalentrance,48,509.4,22.2132,22.2132,16,5,4,backward
dr_primevalentrance,49,602,25.4853,20.2426,23,3,4,backward
dr_primevalentrance,50,625.4,26.3848,26.3848,21,3,4,backward
dr_primevalentrance,51,395,24.4142,24.4142,24,3,4,backward
dr_primevalentrance,52,723.6,26.0711,24.6569,24,8,4,backward
dr_primevalentrance,53,619.4,25.8284,25.2426,25,7,4,backward
dr_primevalentrance,54,676.6,25.0711,25.0711,23,6,4,backward
dr_primevalentrance,55,831.8,26.5563,25.5563,22,7,4,backward
dr_primevalentrance,56,680.4,24.1421,24.1421,20,6,4,backward
dr_primevalentrance,57,561.2,24.2132,24.2132,18,3,4,backward
dr_primevalentrance,58,783,28.2426,27.6569,27,11,4,backward
dr_primevalentrance,59,710.8,27.8995,27.8995,25,3,4,backward
dr_primevalentrance,60,792,34.2426,30.2426,33,2,4,backward
dr_primevalentrance,61,760.4,29.6274,29.6274,23,6,4,backward
dr_primevalentrance,62,689.2,32.8284,30.8284,32,2,4,backward
dr_primevalentrance,63,679,29.799,29.799,24,5,4,backward
dr_primevalentrance,64,864.6,30.3848,30.3848,25,5,4,backward
dr_primevalentrance,65,576.4,31.1127,31.1127,22,3,4,backward
dr_primevalentrance,66,733.2,29.1421,29.1421,25,7,4,backward
dr_primevalentrance,67,922,29.7279,28.5563,26,10,4,backward
dr_primevalentrance,68,845.4,34.3137,30.6569,31,5,4,backward
dr_primevalentrance,69,636.4,29.2132,29.2132,23,3,4,backward
dr_primevalentrance,70,792.8,35.1127,35.1127,26,5,4,backward
dr_primevalentrance,71,762,35.4853,35.4853,33,7,4,backward
dr_primevalentrance,72,921.6,39.5269,32.4558,30,5,4,backward
dr_primevalentrance,73,606.6,38.7279,34.8995,35,5,4,backward
dr_primevalentrance,74,706,35.7279,35.7279,32,5,4,backward
dr_primevalentrance,75,822.4,39.7279,35.7279,36,4,4,backward
dr_primevalentrance,76,1062.6,33.8995,33.0711,31,12,4,backward
dr_primevalentrance,77,789.4,34.2132,32.4558,28,4,4,backward
dr_primevalentrance,78,718.2,39.2843,33.0416,31,4,4,backward
dr_primevalentrance,79,1025.8,33.3848,32.3848,28,10,4,backward
dr_primevalentrance,80,1187,39.4853,37.8995,37,14,4,backward
dr_primevalentrance,81,765.6,41.6274,37.3848,35,5,4,backward
dr_primevalentrance,82,794,39.7279,38.0711,36,2,4,backward
dr_primevalentrance,83,1048,40.9706,37.5563,36,10,4,backward
dr_primevalentrance,84,1189,37.8284,36.4142,37,13,4,backward
dr_primevalentrance,85,732.2,40.4558,36.2132,33,2,4,backward
dr_primevalentrance,86,791.8,43.2132,38.9706,37,3,4,backward
dr_primevalentrance,87,647,43.4853,39.2426,41,7,4,backward
dr_primevalentrance,88,931,40.0711,37.2426,38,5,4,backward
dr_primevalentrance,89,936,40.7696,36.7696,30,4,4,backward
dr_primevalentrance,90,1260.8,42.9706,41.9706,38,14,4,backward
dr_primevalentrance,91,1101.6,46.6274,42.3848,40,8,4,backward
