map,scenid,tcost,distance,expect,steps,access,r,itype
dr_primevaltomb,0,366,4.82843,4.82843,4,0,0,forward
dr_primevaltomb,1,293.2,7.65685,7.65685,6,0,0,forward
dr_primevaltomb,2,189,6.41421,6.41421,6,0,0,forward
dr_primevaltomb,3,416.2,7.41421,7.41421,7,1,0,forward
dr_primevaltomb,4,366,4,4,4,3,0,forward
dr_primevaltomb,5,197,4,4,4,0,0,forward
dr_primevaltomb,6,303.4,7.24264,7.24264,6,0,0,forward
dr_primevaltomb,7,237.4,5.24264,5.24264,4,0,0,forward
dr_primevaltomb,8,192.4,5.41421,5.41421,5,0,0,forward
dr_primevaltomb,9,279,6.41421,6.41421,6,0,0,forward
dr_primevaltomb,10,482,8.24264,8.24264,7,4,0,forward
dr_primevaltomb,11,418.2,9.82843,9.82843,9,1,0,forward
dr_primevaltomb,12,505.6,9.24264,9.24264,8,3,0,forward
dr_primevaltomb,13,328.6,8.24264,8.24264,7,0,0,forward
dr_primevaltomb,14,258,11.8284,11.8284,11,0,0,forward
dr_primevaltomb,15,252.6,8.82843,8.82843,8,0,0,forward
dr_primevaltomb,16,704.4,8.82843,8.82843,8,5,0,forward
dr_primevaltomb,17,447.6,11.8995,11.8995,9,2,0,forward
dr_primevaltomb,18,275,8.82843,8.82843,8,0,0,forward
dr_primevaltomb,19,579.4,8.82843,8.82843,8,8,0,forward
dr_primevaltomb,20,542.6,15.7279,15.7279,12,1,0,forward
dr_primevaltomb,21,594.2,13.2426,13.2426,12,3,0,forward
dr_primevaltomb,22,429.6,14.7279,14.7279,11,0,0,forward
dr_primevaltomb,23,267.6,13.0711,13.0711,11,0,0,forward
dr_primevaltomb,24,496.8,14.8284,14.8284,14,5,0,forward
dr_primevaltomb,25,378.6,14.6569,14.6569,13,0,0,forward
dr_primevaltomb,26,426.2,14,14,14,1,0,forward
dr_primevaltomb,27,800.4,15.4853,15.4853,13,10,0,forward
dr_primevaltomb,28,427.8,14.4142,14.4142,14,4,0,forward
dr_primevaltomb,29,787.6,13.2426,13.2426,12,9,0,forward
dr_primevaltomb,30,947.4,19.6569,19.6569,18,12,0,forward
dr_primevaltomb,31,1037.6,19.3137,19.3137,16,12,0,forward
dr_primevaltomb,32,970,19.8284,19.8284,19,11,0,forward
dr_primevaltomb,33,965,18.4142,18.4142,18,11,0,forward
dr_primevaltomb,34,899,18.0711,18.0711,16,13,0,forward
dr_primevaltomb,35,738.8,19.2426,19.2426,18,2,0,forward
dr_primevaltomb,36,800.6,16.0711,16.0711,14,8,0,forward
dr_primevaltomb,37,563.4,18.9706,18.9706,14,2,0,forward
dr_primevaltomb,38,869,18.6569,18.6569,17,14,0,forward
dr_primevaltomb,39,844.6,19.3137,19.3137,16,9,0,forward
dr_primevaltomb,40,1177.2,23.2426,23.2426,22,13,0,forward
dr_primevaltomb,41,802.6,22.0711,22.0711,20,0,0,forward
dr_primevaltomb,42,908.4,23.5563,23.5563,19,6,0,forward
dr_primevaltomb,43,678.2,22.4142,22.4142,22,16,0,forward
dr_primevaltomb,44,1099.6,23.8284,23.8284,23,18,0,forward
dr_primevaltomb,45,907,22.4853,22.4853,20,7,0,forward
dr_primevaltomb,46,594.2,21.3848,21.3848,16,4,0,forward
dr_primevaltomb,47,959.4,20.3137,20.3137,17,11,0,forward
dr_primevaltomb,48,841.2,22.3848,22.3848,17,14,0,forward
dr_primevaltomb,49,968.4,22.7279,22.7279,19,9,0,forward
dr_primevaltomb,50,895,26.4853,26.4853,24,19,0,forward
dr_primevaltomb,51,581.4,25.6274,25.6274,19,6,0,forward
dr_primevaltomb,52,1175,27.2426,27.2426,26,23,0,forward
dr_primevaltomb,53,854.2,27.8995,27.8995,25,15,0,forward
dr_primevaltomb,54,1026.8,25.4853,25.4853,23,18,0,forward
dr_primevaltomb,55,1069.8,27.0711,27.0711,25,18,0,forward
dr_primevaltomb,56,761.6,25.3848,25.3848,20,7,0,forward
dr_primevaltomb,57,1138.6,26.8995,26.8995,24,20,0,forward
dr_primevaltomb,58,472.4,26.4558,26.4558,19,2,0,forward
dr_primevaltomb,59,568.8,26.3848,26.3848,21,1,0,forward
dr_primevaltomb,60,812.4,29.5563,29.5563,25,12,0,forward
dr_primevaltomb,61,1022,28.8284,28.8284,28,21,0,forward
dr_primevaltomb,62,965.4,30.0711,30.0711,28,15,0,forward
dr_primevaltomb,63,1172,30.4142,30.4142,30,23,0,forward
dr_primevaltomb,64,921.2,31.8995,31.8995,29,20,0,forward
dr_primevaltomb,65,1409.8,31.4142,31.4142,31,29,0,forward
dr_primevaltomb,66,820,31.1127,31.1127,22,8,0,forward
dr_primevaltomb,67,1126.6,31.2132,31.2132,25,10,0,forward
dr_primevaltomb,68,921,28.8995,28.8995,26,15,0,forward
dr_primevaltomb,69,701,28.9706,28.9706,24,10,0,forward
dr_primevaltomb,70,1276.2,35.8995,35.8995,33,28,0,forward
dr_primevaltomb,71,1060.2,34.6569,34.6569,33,28,0,forward
dr_primevaltomb,72,1582.8,32.2426,32.2426,31,25,0,forward
dr_primevaltomb,73,1488.6,35.799,35.799,30,27,0,forward
dr_primevaltomb,74,1635.4,35.3137,35.3137,32,22,0,forward
dr_primevaltomb,75,1159.4,34.0711,34.0711,32,27,0,forward
